date,object,value
2000-01-01,retirement_charges,279
2000-04-01,retirement_charges,1675
2000-07-01,retirement_charges,979
2000-10-01,retirement_charges,1254
2001-01-01,retirement_charges,1494
2001-04-01,retirement_charges,882
2001-07-01,retirement_charges,1083
2001-10-01,retirement_charges,1252
2002-01-01,retirement_charges,1625
2002-04-01,retirement_charges,1067
2002-07-01,retirement_charges,981
2002-10-01,retirement_charges,1461
2003-01-01,retirement_charges,1182
2003-04-01,retirement_charges,2172
2003-07-01,retirement_charges,1828
2003-10-01,retirement_charges,688
2004-01-01,retirement_charges,1124
2004-04-01,retirement_charges,1190
2004-07-01,retirement_charges,1851
2004-10-01,retirement_charges,1895
2005-01-01,retirement_charges,1338
2005-04-01,retirement_charges,2566
2005-07-01,retirement_charges,1448
2005-10-01,retirement_charges,1457
2006-01-01,retirement_charges,2469
2006-04-01,retirement_charges,1466
2006-07-01,retirement_charges,1338
2006-10-01,retirement_charges,1736
2007-01-01,retirement_charges,2653
2007-04-01,retirement_charges,1563
2007-07-01,retirement_charges,2374
2007-10-01,retirement_charges,1662
2008-01-01,retirement_charges,3658
2008-04-01,retirement_charges,2326
2008-07-01,retirement_charges,2006
2008-10-01,retirement_charges,2032
2009-01-01,retirement_charges,2179
2009-04-01,retirement_charges,2718
2009-07-01,retirement_charges,3357
2009-10-01,retirement_charges,1892
2010-01-01,retirement_charges,3382
2010-04-01,retirement_charges,2342
2010-07-01,retirement_charges,2919
2010-10-01,retirement_charges,2873
2011-01-01,retirement_charges,4346
2011-04-01,retirement_charges,2769
2011-07-01,retirement_charges,3169
2011-10-01,retirement_charges,3281
2012-01-01,retirement_charges,4350
2012-04-01,retirement_charges,3172
2012-07-01,retirement_charges,3518
2012-10-01,retirement_charges,3038
2013-01-01,retirement_charges,3890
2013-04-01,retirement_charges,4112
2013-07-01,retirement_charges,3563
2013-10-01,retirement_charges,3276
2014-01-01,retirement_charges,4803
2014-04-01,retirement_charges,4109
2014-07-01,retirement_charges,5157
2014-10-01,retirement_charges,4149
2015-01-01,retirement_charges,4740
2015-04-01,retirement_charges,5303
2015-07-01,retirement_charges,4435
2015-10-01,retirement_charges,4395
2016-01-01,retirement_charges,5545
2016-04-01,retirement_charges,5141
