date,object,value
2014-07-01,asset_acquisition,196
2014-10-01,asset_acquisition,1383
2015-01-01,asset_acquisition,204
2015-04-01,asset_acquisition,138
2015-07-01,asset_acquisition,302
2015-10-01,asset_acquisition,1079
2016-01-01,asset_acquisition,82
2016-04-01,asset_acquisition,160
2016-07-01,asset_acquisition,97
2016-10-01,asset_acquisition,336
2017-01-01,asset_acquisition,20
2017-04-01,asset_acquisition,51
2017-07-01,asset_acquisition,111
2017-10-01,asset_acquisition,333
2018-01-01,asset_acquisition,17
2018-04-01,asset_acquisition,52
2018-07-01,asset_acquisition,63
2018-10-01,asset_acquisition,315
2019-01-01,asset_acquisition,13
2019-04-01,asset_acquisition,45
2019-07-01,asset_acquisition,77
2019-10-01,asset_acquisition,636
2020-01-01,asset_acquisition,46
2020-04-01,asset_acquisition,37
2020-07-01,asset_acquisition,2
2020-10-01,asset_acquisition,546
2021-01-01,asset_acquisition,18
2021-04-01,asset_acquisition,65
2021-07-01,asset_acquisition,97
2021-10-01,asset_acquisition,416
2022-01-01,asset_acquisition,50
2022-04-01,asset_acquisition,63
2022-07-01,asset_acquisition,165
2022-10-01,asset_acquisition,488
2023-01-01,asset_acquisition,64
2023-04-01,asset_acquisition,120
2023-07-01,asset_acquisition,245
2023-10-01,asset_acquisition,593
2024-01-01,asset_acquisition,57
1999-01-01,grants_transfers,2858
1999-04-01,grants_transfers,2255
1999-07-01,grants_transfers,3732
1999-10-01,grants_transfers,2279
2000-01-01,grants_transfers,1869
2000-04-01,grants_transfers,2205
2000-07-01,grants_transfers,4177
2000-10-01,grants_transfers,3507
2001-01-01,grants_transfers,3177
2001-04-01,grants_transfers,2839
2001-07-01,grants_transfers,2725
2001-10-01,grants_transfers,4783
2002-01-01,grants_transfers,3935
2002-04-01,grants_transfers,3108
2002-07-01,grants_transfers,3771
2002-10-01,grants_transfers,5133
2003-01-01,grants_transfers,2314
2003-04-01,grants_transfers,5885
2003-07-01,grants_transfers,3096
2003-10-01,grants_transfers,5028
2004-01-01,grants_transfers,3422
2004-04-01,grants_transfers,4386
2004-07-01,grants_transfers,4555
2004-10-01,grants_transfers,8900
2005-01-01,grants_transfers,3040
2005-04-01,grants_transfers,5950
2005-07-01,grants_transfers,5008
2005-10-01,grants_transfers,6430
2006-01-01,grants_transfers,3400
2006-04-01,grants_transfers,4845
2006-07-01,grants_transfers,8707
2006-10-01,grants_transfers,9341
2007-01-01,grants_transfers,5280
2007-04-01,grants_transfers,6287
2007-07-01,grants_transfers,9874
2007-10-01,grants_transfers,10061
2008-01-01,grants_transfers,4906
2008-04-01,grants_transfers,5639
2008-07-01,grants_transfers,7139
2008-10-01,grants_transfers,7939
2009-01-01,grants_transfers,9561
2009-04-01,grants_transfers,12808
2009-07-01,grants_transfers,7253
2009-10-01,grants_transfers,10315
2010-01-01,grants_transfers,8111
2010-04-01,grants_transfers,8537
2010-07-01,grants_transfers,8721
2010-10-01,grants_transfers,2494
2011-01-01,grants_transfers,9002
2011-04-01,grants_transfers,8236
2011-07-01,grants_transfers,11442
2011-10-01,grants_transfers,3478
2012-01-01,grants_transfers,11128
2012-04-01,grants_transfers,7915
2012-07-01,grants_transfers,11369
2012-10-01,grants_transfers,2214
2013-01-01,grants_transfers,14178
2013-04-01,grants_transfers,6036
2013-07-01,grants_transfers,11799
2013-10-01,grants_transfers,2782
2014-01-01,grants_transfers,11170
2014-04-01,grants_transfers,7384
2014-07-01,grants_transfers,8295
2014-10-01,grants_transfers,7739
2015-01-01,grants_transfers,13549
2015-04-01,grants_transfers,6623
2015-07-01,grants_transfers,9319
2015-10-01,grants_transfers,7828
2016-01-01,grants_transfers,11849
2016-04-01,grants_transfers,6012
2016-07-01,grants_transfers,6970
2016-10-01,grants_transfers,8376
2017-01-01,grants_transfers,10184
2017-04-01,grants_transfers,6157
2017-07-01,grants_transfers,6599
2017-10-01,grants_transfers,8408
2018-01-01,grants_transfers,8380
2018-04-01,grants_transfers,11639
2018-07-01,grants_transfers,8877
2018-10-01,grants_transfers,2009
2019-01-01,grants_transfers,14876
2019-04-01,grants_transfers,15145
2019-07-01,grants_transfers,20538
2019-10-01,grants_transfers,15491
2020-01-01,grants_transfers,12169
2020-04-01,grants_transfers,6178
2020-07-01,grants_transfers,9783
2020-10-01,grants_transfers,737
2021-01-01,grants_transfers,12144
2021-04-01,grants_transfers,3861
2021-07-01,grants_transfers,6570
2021-10-01,grants_transfers,6562
2022-01-01,grants_transfers,10409
2022-04-01,grants_transfers,5867
2022-07-01,grants_transfers,6576
2022-10-01,grants_transfers,5703
2023-01-01,grants_transfers,4073
2023-04-01,grants_transfers,4301
2023-07-01,grants_transfers,8662
2023-10-01,grants_transfers,6304
2024-01-01,grants_transfers,13948
1999-01-01,other,266
1999-04-01,other,245
1999-07-01,other,504
1999-10-01,other,759
2000-01-01,other,671
2000-04-01,other,588
2000-07-01,other,547
2000-10-01,other,629
2001-01-01,other,154
2001-04-01,other,336
2001-07-01,other,512
2001-10-01,other,849
2002-01-01,other,120
2002-04-01,other,336
2002-07-01,other,348
2002-10-01,other,988
2003-01-01,other,139
2003-04-01,other,1215
2003-07-01,other,1045
2003-10-01,other,307
2004-01-01,other,557
2004-04-01,other,823
2004-07-01,other,587
2004-10-01,other,3116
2005-01-01,other,45
2005-04-01,other,86
2005-07-01,other,53
2005-10-01,other,159
2006-01-01,other,26
2006-04-01,other,105
2006-07-01,other,115
2006-10-01,other,145
2007-01-01,other,110
2007-04-01,other,198
2007-07-01,other,174
2007-10-01,other,715
2008-01-01,other,82
2008-04-01,other,143
2008-07-01,other,125
2008-10-01,other,499
2009-01-01,other,388
2009-04-01,other,113
2009-07-01,other,117
2009-10-01,other,68
2010-01-01,other,428
2010-04-01,other,142
2010-07-01,other,354
2010-10-01,other,231
2011-01-01,other,97
2011-04-01,other,448
2011-07-01,other,341
2011-10-01,other,251
2012-01-01,other,275
2012-04-01,other,458
2012-07-01,other,47
2012-10-01,other,686
2013-01-01,other,310
2013-04-01,other,637
2013-07-01,other,58
2013-10-01,other,228
2014-01-01,other,431
2014-04-01,other,615
2014-07-01,other,240
2014-10-01,other,198
2015-01-01,other,299
2015-04-01,other,575
2015-07-01,other,79
2015-10-01,other,156
2016-01-01,other,372
2016-04-01,other,369
2016-07-01,other,64
2016-10-01,other,107
2017-01-01,other,302
2017-04-01,other,360
2017-07-01,other,163
2017-10-01,other,214
2018-01-01,other,329
2018-04-01,other,258
2018-07-01,other,348
2018-10-01,other,163
2019-01-01,other,388
2019-04-01,other,306
2019-07-01,other,895
2019-10-01,other,167
2020-01-01,other,382
2020-04-01,other,313
2020-07-01,other,117
2020-10-01,other,149
2021-01-01,other,147
2021-04-01,other,353
2021-07-01,other,120
2021-10-01,other,180
2022-01-01,other,204
2022-04-01,other,378
2022-07-01,other,87
2022-10-01,other,197
2023-01-01,other,141
2023-04-01,other,371
2023-07-01,other,144
2023-10-01,other,202
2024-01-01,other,262
