state,district,stage,sex,date,teachers
Johor,Batu Pahat,primary,both,2018-01-01,3756
Johor,Batu Pahat,primary,both,2019-01-01,3643
Johor,Batu Pahat,primary,both,2020-01-01,3550
Johor,Batu Pahat,primary,both,2021-01-01,3491
Johor,Batu Pahat,primary,both,2022-01-01,3420
Johor,Batu Pahat,primary,both,2023-06-30,3354
Johor,Batu Pahat,primary,both,2024-06-30,3428
Johor,Batu Pahat,primary,both,2025-06-30,3458
Johor,Batu Pahat,primary,female,2017-01-01,2530
Johor,Batu Pahat,primary,female,2018-01-01,2631
Johor,Batu Pahat,primary,female,2019-01-01,2560
Johor,Batu Pahat,primary,female,2020-01-01,2505
Johor,Batu Pahat,primary,female,2021-01-01,2471
Johor,Batu Pahat,primary,female,2022-01-01,2444
Johor,Batu Pahat,primary,female,2023-06-30,2393
Johor,Batu Pahat,primary,female,2024-06-30,2434
Johor,Batu Pahat,primary,female,2025-06-30,2458
Johor,Batu Pahat,primary,male,2017-01-01,1102
Johor,Batu Pahat,primary,male,2018-01-01,1125
Johor,Batu Pahat,primary,male,2019-01-01,1083
Johor,Batu Pahat,primary,male,2020-01-01,1045
Johor,Batu Pahat,primary,male,2021-01-01,1020
Johor,Batu Pahat,primary,male,2022-01-01,976
Johor,Batu Pahat,primary,male,2023-06-30,961
Johor,Batu Pahat,primary,male,2024-06-30,994
Johor,Batu Pahat,primary,male,2025-06-30,1000
Johor,Batu Pahat,secondary,both,2017-01-01,2698
Johor,Batu Pahat,secondary,both,2018-01-01,2697
Johor,Batu Pahat,secondary,both,2019-01-01,2654
Johor,Batu Pahat,secondary,both,2020-01-01,2591
Johor,Batu Pahat,secondary,both,2021-01-01,2547
Johor,Batu Pahat,secondary,both,2022-01-01,2590
Johor,Batu Pahat,secondary,both,2023-06-30,2538
Johor,Batu Pahat,secondary,both,2024-06-30,2539
Johor,Batu Pahat,secondary,both,2025-06-30,2504
Johor,Batu Pahat,secondary,female,2017-01-01,1778
Johor,Batu Pahat,secondary,female,2018-01-01,1802
Johor,Batu Pahat,secondary,female,2019-01-01,1803
Johor,Batu Pahat,secondary,female,2020-01-01,1795
Johor,Batu Pahat,secondary,female,2021-01-01,1783
Johor,Batu Pahat,secondary,female,2022-01-01,1832
Johor,Batu Pahat,secondary,female,2023-06-30,1803
Johor,Batu Pahat,secondary,female,2024-06-30,1820
Johor,Batu Pahat,secondary,female,2025-06-30,1804
Johor,Batu Pahat,secondary,male,2017-01-01,920
Johor,Batu Pahat,secondary,male,2018-01-01,895
Johor,Batu Pahat,secondary,male,2019-01-01,851
Johor,Batu Pahat,secondary,male,2020-01-01,796
Johor,Batu Pahat,secondary,male,2021-01-01,764
Johor,Batu Pahat,secondary,male,2022-01-01,758
Johor,Batu Pahat,secondary,male,2023-06-30,735
Johor,Batu Pahat,secondary,male,2024-06-30,719
Johor,Batu Pahat,secondary,male,2025-06-30,700
Johor,Johor Bahru,primary,both,2017-01-01,8880
Johor,Johor Bahru,primary,both,2018-01-01,9972
Johor,Johor Bahru,primary,both,2019-01-01,9778
Johor,Johor Bahru,primary,both,2020-01-01,10052
Johor,Johor Bahru,primary,both,2021-01-01,9962
Johor,Johor Bahru,primary,both,2022-01-01,9743
Johor,Johor Bahru,primary,both,2023-06-30,4818
Johor,Johor Bahru,primary,both,2024-06-30,5042
Johor,Johor Bahru,primary,both,2025-06-30,5066
Johor,Johor Bahru,primary,female,2017-01-01,6628
Johor,Johor Bahru,primary,female,2018-01-01,7395
Johor,Johor Bahru,primary,female,2019-01-01,7250
Johor,Johor Bahru,primary,female,2020-01-01,7437
Johor,Johor Bahru,primary,female,2021-01-01,7408
Johor,Johor Bahru,primary,female,2022-01-01,7305
Johor,Johor Bahru,primary,female,2023-06-30,3631
Johor,Johor Bahru,primary,female,2024-06-30,3813
Johor,Johor Bahru,primary,female,2025-06-30,3852
Johor,Johor Bahru,primary,male,2017-01-01,2252
Johor,Johor Bahru,primary,male,2018-01-01,2577
Johor,Johor Bahru,primary,male,2019-01-01,2528
Johor,Johor Bahru,primary,male,2020-01-01,2615
Johor,Johor Bahru,primary,male,2021-01-01,2554
Johor,Johor Bahru,primary,male,2022-01-01,2438
Johor,Johor Bahru,primary,male,2023-06-30,1187
Johor,Johor Bahru,primary,male,2024-06-30,1229
Johor,Johor Bahru,primary,male,2025-06-30,1214
Johor,Johor Bahru,secondary,both,2017-01-01,7333
Johor,Johor Bahru,secondary,both,2018-01-01,7700
Johor,Johor Bahru,secondary,both,2019-01-01,7688
Johor,Johor Bahru,secondary,both,2020-01-01,7616
Johor,Johor Bahru,secondary,both,2021-01-01,7486
Johor,Johor Bahru,secondary,both,2022-01-01,7761
Johor,Johor Bahru,secondary,both,2023-06-30,3865
Johor,Johor Bahru,secondary,both,2024-06-30,3899
Johor,Johor Bahru,secondary,both,2025-06-30,3900
Johor,Johor Bahru,secondary,female,2017-01-01,5856
Johor,Johor Bahru,secondary,female,2018-01-01,6094
Johor,Johor Bahru,secondary,female,2019-01-01,6076
Johor,Johor Bahru,secondary,female,2020-01-01,6025
Johor,Johor Bahru,secondary,female,2021-01-01,5920
Johor,Johor Bahru,secondary,female,2022-01-01,6146
Johor,Johor Bahru,secondary,female,2023-06-30,3076
Johor,Johor Bahru,secondary,female,2024-06-30,3116
Johor,Johor Bahru,secondary,female,2025-06-30,3126
Johor,Johor Bahru,secondary,male,2017-01-01,1477
Johor,Johor Bahru,secondary,male,2018-01-01,1606
Johor,Johor Bahru,secondary,male,2019-01-01,1612
Johor,Johor Bahru,secondary,male,2020-01-01,1591
Johor,Johor Bahru,secondary,male,2021-01-01,1566
Johor,Johor Bahru,secondary,male,2022-01-01,1615
Johor,Johor Bahru,secondary,male,2023-06-30,789
Johor,Johor Bahru,secondary,male,2024-06-30,783
Johor,Johor Bahru,secondary,male,2025-06-30,774
Johor,Kluang,primary,both,2017-01-01,2368
Johor,Kluang,primary,both,2018-01-01,2438
Johor,Kluang,primary,both,2019-01-01,2373
Johor,Kluang,primary,both,2020-01-01,2374
Johor,Kluang,primary,both,2021-01-01,2331
Johor,Kluang,primary,both,2022-01-01,2271
Johor,Kluang,primary,both,2023-06-30,2267
Johor,Kluang,primary,both,2024-06-30,2305
Johor,Kluang,primary,both,2025-06-30,2334
Johor,Kluang,primary,female,2017-01-01,1744
Johor,Kluang,primary,female,2018-01-01,1815
Johor,Kluang,primary,female,2019-01-01,1762
Johor,Kluang,primary,female,2020-01-01,1750
Johor,Kluang,primary,female,2021-01-01,1716
Johor,Kluang,primary,female,2022-01-01,1680
Johor,Kluang,primary,female,2023-06-30,1670
Johor,Kluang,primary,female,2024-06-30,1683
Johor,Kluang,primary,female,2025-06-30,1699
Johor,Kluang,primary,male,2017-01-01,624
Johor,Kluang,primary,male,2018-01-01,623
Johor,Kluang,primary,male,2019-01-01,611
Johor,Kluang,primary,male,2020-01-01,624
Johor,Kluang,primary,male,2021-01-01,615
Johor,Kluang,primary,male,2022-01-01,591
Johor,Kluang,primary,male,2023-06-30,597
Johor,Kluang,primary,male,2024-06-30,622
Johor,Kluang,primary,male,2025-06-30,635
Johor,Kluang,secondary,both,2017-01-01,1992
