arrest_types,date,sex,ethnicity,drug_arrests
supply,2021-01-01,both,chinese,2717
supply,2021-01-01,male,chinese,2485
supply,2021-01-01,female,chinese,232
posses,2021-01-01,both,chinese,3516
posses,2021-01-01,male,chinese,3296
posses,2021-01-01,female,chinese,220
urine_positive,2021-01-01,both,chinese,3685
urine_positive,2021-01-01,male,chinese,3483
urine_positive,2021-01-01,female,chinese,202
overall,2022-01-01,both,chinese,11634
overall,2022-01-01,male,chinese,10896
overall,2022-01-01,female,chinese,738
supply,2022-01-01,both,chinese,2565
supply,2022-01-01,male,chinese,2359
supply,2022-01-01,female,chinese,206
posses,2022-01-01,both,chinese,4243
posses,2022-01-01,male,chinese,4024
posses,2022-01-01,female,chinese,219
urine_positive,2022-01-01,both,chinese,4826
urine_positive,2022-01-01,male,chinese,4517
urine_positive,2022-01-01,female,chinese,309
overall,2023-01-01,both,chinese,13255
overall,2023-01-01,male,chinese,12261
overall,2023-01-01,female,chinese,994
supply,2023-01-01,both,chinese,2683
supply,2023-01-01,male,chinese,2463
supply,2023-01-01,female,chinese,220
posses,2023-01-01,both,chinese,4030
posses,2023-01-01,male,chinese,3804
posses,2023-01-01,female,chinese,226
urine_positive,2023-01-01,both,chinese,6542
urine_positive,2023-01-01,male,chinese,5994
urine_positive,2023-01-01,female,chinese,548
overall,2019-01-01,both,indians,31960
overall,2019-01-01,male,indians,29960
overall,2019-01-01,female,indians,2000
supply,2019-01-01,both,indians,3015
supply,2019-01-01,male,indians,2866
supply,2019-01-01,female,indians,149
posses,2019-01-01,both,indians,5573
posses,2019-01-01,male,indians,5337
posses,2019-01-01,female,indians,236
urine_positive,2019-01-01,both,indians,5109
urine_positive,2019-01-01,male,indians,4965
urine_positive,2019-01-01,female,indians,144
overall,2020-01-01,both,indians,26234
overall,2020-01-01,male,indians,24542
overall,2020-01-01,female,indians,1692
supply,2020-01-01,both,indians,2729
supply,2020-01-01,male,indians,2591
supply,2020-01-01,female,indians,138
posses,2020-01-01,both,indians,4658
posses,2020-01-01,male,indians,4460
posses,2020-01-01,female,indians,198
urine_positive,2020-01-01,both,indians,4218
urine_positive,2020-01-01,male,indians,4098
urine_positive,2020-01-01,female,indians,120
overall,2021-01-01,both,indians,11140
overall,2021-01-01,male,indians,10742
overall,2021-01-01,female,indians,398
supply,2021-01-01,both,indians,3012
supply,2021-01-01,male,indians,2899
supply,2021-01-01,female,indians,113
posses,2021-01-01,both,indians,4242
posses,2021-01-01,male,indians,4080
posses,2021-01-01,female,indians,162
urine_positive,2021-01-01,both,indians,3886
urine_positive,2021-01-01,male,indians,3763
urine_positive,2021-01-01,female,indians,123
overall,2022-01-01,both,indians,13373
overall,2022-01-01,male,indians,12894
overall,2022-01-01,female,indians,479
supply,2022-01-01,both,indians,3116
supply,2022-01-01,male,indians,2969
supply,2022-01-01,female,indians,147
posses,2022-01-01,both,indians,5909
posses,2022-01-01,male,indians,5688
posses,2022-01-01,female,indians,221
urine_positive,2022-01-01,both,indians,4348
urine_positive,2022-01-01,male,indians,4237
urine_positive,2022-01-01,female,indians,111
overall,2023-01-01,both,indians,14679
overall,2023-01-01,male,indians,14163
overall,2023-01-01,female,indians,516
supply,2023-01-01,both,indians,3059
supply,2023-01-01,male,indians,2936
supply,2023-01-01,female,indians,123
posses,2023-01-01,both,indians,5587
posses,2023-01-01,male,indians,5362
posses,2023-01-01,female,indians,225
urine_positive,2023-01-01,both,indians,6033
urine_positive,2023-01-01,male,indians,5865
urine_positive,2023-01-01,female,indians,168
overall,2019-01-01,both,others,29570
overall,2019-01-01,male,others,27651
overall,2019-01-01,female,others,1919
supply,2019-01-01,both,others,3011
supply,2019-01-01,male,others,2754
supply,2019-01-01,female,others,257
posses,2019-01-01,both,others,8957
posses,2019-01-01,male,others,8409
posses,2019-01-01,female,others,548
urine_positive,2019-01-01,both,others,16189
urine_positive,2019-01-01,male,others,15300
urine_positive,2019-01-01,female,others,889
overall,2020-01-01,both,others,23683
overall,2020-01-01,male,others,22083
overall,2020-01-01,female,others,1600
