series,date,domain,registrations
cumulative,2023-01-01,overall,73
cumulative,2023-02-01,overall,73
cumulative,2023-03-01,overall,75
cumulative,2023-04-01,overall,75
cumulative,2023-05-01,overall,76
cumulative,2023-06-01,overall,80
cumulative,2023-07-01,overall,77
cumulative,2023-08-01,overall,78
cumulative,2023-09-01,overall,79
cumulative,2023-10-01,overall,78
cumulative,2023-11-01,overall,77
cumulative,2023-12-01,overall,77
cumulative,2024-01-01,overall,114
cumulative,2024-02-01,overall,115
cumulative,2024-03-01,overall,114
cumulative,2024-04-01,overall,113
cumulative,2024-05-01,overall,112
cumulative,2024-06-01,overall,111
cumulative,2024-07-01,overall,113
cumulative,2024-08-01,overall,111
cumulative,2024-09-01,overall,113
cumulative,2024-10-01,overall,113
cumulative,2024-11-01,overall,113
cumulative,2024-12-01,overall,113
cumulative,2025-01-01,overall,115
new_net,2009-09-01,overall,4
new_net,2009-10-01,overall,1
new_net,2009-11-01,overall,3
new_net,2009-12-01,overall,9
new_net,2010-01-01,overall,0
new_net,2010-02-01,overall,7
new_net,2010-03-01,overall,-20
new_net,2010-04-01,overall,11
new_net,2010-05-01,overall,1
new_net,2010-06-01,overall,930
new_net,2010-07-01,overall,301
new_net,2010-08-01,overall,469
new_net,2010-09-01,overall,5
new_net,2010-10-01,overall,75
new_net,2010-11-01,overall,37
new_net,2010-12-01,overall,-15
new_net,2011-01-01,overall,53
new_net,2011-02-01,overall,-952
new_net,2011-03-01,overall,302
new_net,2011-04-01,overall,60
new_net,2011-05-01,overall,36
new_net,2011-06-01,overall,234
new_net,2011-07-01,overall,49
new_net,2011-08-01,overall,133
new_net,2011-09-01,overall,173
new_net,2011-10-01,overall,32
new_net,2011-11-01,overall,27
new_net,2011-12-01,overall,29
new_net,2012-01-01,overall,30
new_net,2012-02-01,overall,45
new_net,2012-03-01,overall,28
new_net,2012-04-01,overall,69
new_net,2012-05-01,overall,61
new_net,2012-06-01,overall,130
new_net,2012-07-01,overall,81
new_net,2012-08-01,overall,89
new_net,2012-09-01,overall,53
new_net,2012-10-01,overall,107
new_net,2012-11-01,overall,65
new_net,2012-12-01,overall,72
new_net,2013-01-01,overall,110
new_net,2013-02-01,overall,79
new_net,2013-03-01,overall,123
new_net,2013-04-01,overall,68
new_net,2013-05-01,overall,68
new_net,2013-06-01,overall,41
new_net,2013-07-01,overall,166
new_net,2013-08-01,overall,74
new_net,2013-09-01,overall,28
new_net,2013-10-01,overall,613
new_net,2013-11-01,overall,1542
new_net,2013-12-01,overall,3983
new_net,2014-01-01,overall,5179
new_net,2014-02-01,overall,3729
new_net,2014-03-01,overall,227
new_net,2014-04-01,overall,3784
new_net,2014-05-01,overall,119
new_net,2014-06-01,overall,262
new_net,2014-07-01,overall,40
new_net,2014-08-01,overall,102
new_net,2014-09-01,overall,197
new_net,2014-10-01,overall,-25
new_net,2014-11-01,overall,332
new_net,2014-12-01,overall,-885
new_net,2015-01-01,overall,-2032
new_net,2015-02-01,overall,-1261
new_net,2015-03-01,overall,-407
