date,volume,value
2022-06-09,40356,260291199.02
2022-06-10,220760,257499901.26
2022-06-13,35684,205250431.95
2022-06-14,13556,406621835.97
2022-06-15,46090,277016846.38
2022-06-16,16036,164960699.03
2022-06-17,13114,141053096.47
2022-06-20,18982,147088490.69
2022-06-21,12245,265054566.92
2022-06-22,42327,170909343.69
2022-06-23,14227,186998562.65
2022-06-24,14024,208064956.38
2022-06-27,114227,253787623.67
2022-06-28,74561,315366190.69
2022-06-29,47347,289572878.1
2022-06-30,10431,207744100.63
2022-07-01,95451,162488602.3
2022-07-04,67442,247130614.75
2022-07-05,59502,514696060.23
2022-07-06,62701,252345816.93
2022-07-07,17339,281639234.2
2022-07-08,18659,306797949.93
2022-07-12,244486,323042322.72
2022-07-13,28229,371759528.26
2022-07-14,27829,280423363.66
2022-07-15,30279,208299250.67
2022-07-18,25513,202497245.28
2022-07-19,9866,291278129.59
2022-07-20,28633,205359879.87
2022-07-21,15548,158300048.31
2022-07-22,19981,143903724.61
2022-07-25,48991,202803643.57
2022-07-26,12526,253578064.58
2022-07-27,121215,306314428.85
2022-07-28,59661,223864533.29
2022-07-29,25133,219579760.11
2022-08-01,86942,370791465.55
2022-08-02,49600,337833069.22
2022-08-03,42136,304159716.83
2022-08-04,32030,201614604.49
2022-08-05,71250,151056034.61
2022-08-08,46587,217920951.78
2022-08-09,16876,314619282.37
2022-08-10,231863,301235124.06
2022-08-11,31686,282105866.66
2022-08-12,10462,155075183.62
2022-08-15,32285,260435785.2
2022-08-16,25892,308958768.97
2022-08-17,26992,186425050.34
2022-08-18,9740,145269056.59
2022-08-19,5673,135194109.91
2022-08-22,30699,161552521.98
2022-08-23,16922,296501418.96
2022-08-24,36095,211668584.02
2022-08-25,66459,184641268.07
2022-08-26,71749,168100289.83
2022-08-29,85727,279819571.83
2022-08-30,9607,479950827.41
2022-09-01,109658,330527658.43
2022-09-02,53549,335868493.93
2022-09-05,44741,273960069.91
2022-09-06,60140,354171306.04
2022-09-07,47531,202856361.84
2022-09-08,30804,208643499.06
2022-09-09,19302,196893360.77
2022-09-12,211463,276542066.43
2022-09-13,31503,312336998.34
2022-09-14,28288,374310303.91
2022-09-15,30155,218477675.32
2022-09-19,32654,232572258.27
2022-09-20,13988,343832921.52
2022-09-21,37207,224700381.32
2022-09-22,23561,183761765.36
2022-09-23,16218,176468223.46
2022-09-26,40654,280888953.43
2022-09-27,107911,324462480.8
2022-09-28,93210,299446860.15
2022-09-29,19654,193297873.08
2022-09-30,6615,339399499.06
2022-10-03,123465,249775883.87
2022-10-04,41917,402650763.53
2022-10-05,96715,271982517.38
2022-10-06,20008,214569473.07
2022-10-07,24654,205051788.9
2022-10-11,234592,360415040.21
2022-10-12,56522,400300983.14
2022-10-13,16008,291718187.49
2022-10-14,14767,217700853.06
2022-10-17,47699,237266957.71
2022-10-18,13579,293682762.44
2022-10-19,7565,178151386.98
2022-10-20,33358,186630186.12
