date,state,parlimen,lf,lf_employed,lf_unemployed,lf_outside,u_rate,p_rate,ep_ratio
2021-01-01,Sarawak,P.192 Mas Gading,28.3,27.4,0.9,14.1,3.3,66.7,64.6
2022-01-01,Sarawak,P.192 Mas Gading,28.7,27.8,0.9,14.0,3.0,67.1,65.1
2023-01-01,Sarawak,P.192 Mas Gading,25.3,24.4,0.9,11.9,3.6,68.0,65.6
2021-01-01,Sarawak,P.193 Santubong,61.7,59.1,2.6,33.0,4.5,65.1,62.4
2022-01-01,Sarawak,P.193 Santubong,63.2,60.8,2.4,32.1,3.8,66.3,63.8
2023-01-01,Sarawak,P.193 Santubong,57.3,55.3,2.0,27.6,3.5,67.5,65.1
2021-01-01,Sarawak,P.194 Petra Jaya,80.3,76.9,3.5,43.1,4.5,65.1,62.3
2022-01-01,Sarawak,P.194 Petra Jaya,82.3,79.2,3.1,41.8,3.8,66.3,63.8
2023-01-01,Sarawak,P.194 Petra Jaya,74.9,72.5,2.4,35.6,3.2,67.8,65.6
2021-01-01,Sarawak,P.195 Bandar Kuching,59.1,56.4,2.7,31.8,4.7,65.0,62.0
2022-01-01,Sarawak,P.195 Bandar Kuching,60.2,58.0,2.2,31.2,3.7,65.9,63.5
2023-01-01,Sarawak,P.195 Bandar Kuching,55.3,53.2,2.1,27.0,3.8,67.2,64.6
2021-01-01,Sarawak,P.196 Stampin,114.0,107.7,6.3,56.2,4.9,67.0,63.3
2022-01-01,Sarawak,P.196 Stampin,115.7,110.3,5.4,55.5,4.7,67.6,64.4
2023-01-01,Sarawak,P.196 Stampin,107.3,102.6,4.7,48.1,4.4,69.1,66.0
2021-01-01,Sarawak,P.197 Kota Samarahan,83.0,79.0,4.0,44.4,4.7,65.1,62.0
2022-01-01,Sarawak,P.197 Kota Samarahan,85.1,81.6,3.4,43.1,4.0,66.4,63.7
2023-01-01,Sarawak,P.197 Kota Samarahan,79.6,76.8,2.8,38.8,3.5,67.2,64.9
2021-01-01,Sarawak,P.198 Puncak Borneo,43.0,40.4,2.5,23.1,5.0,65.0,61.1
2022-01-01,Sarawak,P.198 Puncak Borneo,43.4,41.1,2.3,23.1,5.3,65.3,61.8
2023-01-01,Sarawak,P.198 Puncak Borneo,38.2,36.4,1.8,19.3,4.7,66.5,63.3
2021-01-01,Sarawak,P.199 Serian,34.6,32.6,2.0,19.2,4.9,64.3,60.6
2022-01-01,Sarawak,P.199 Serian,35.0,33.4,1.7,19.0,4.8,64.9,61.9
2023-01-01,Sarawak,P.199 Serian,29.0,27.6,1.4,15.0,4.7,65.9,62.7
2021-01-01,Sarawak,P.200 Batang Sadong,18.9,18.1,0.8,8.1,4.4,69.9,67.0
2022-01-01,Sarawak,P.200 Batang Sadong,19.3,18.7,0.6,7.8,2.9,71.1,69.0
2023-01-01,Sarawak,P.200 Batang Sadong,16.6,16.2,0.4,6.9,2.5,70.7,68.9
2021-01-01,Sarawak,P.201 Batang Lupar,20.2,19.4,0.8,9.0,4.1,69.3,66.4
2022-01-01,Sarawak,P.201 Batang Lupar,19.6,18.8,0.9,8.6,4.4,69.5,66.7
2023-01-01,Sarawak,P.201 Batang Lupar,17.4,17.0,0.5,7.8,2.7,69.0,67.5
2021-01-01,Sarawak,P.202 Sri Aman,35.8,34.2,1.5,15.2,4.5,70.2,67.1
2022-01-01,Sarawak,P.202 Sri Aman,36.4,35.1,1.3,14.8,3.7,71.1,68.6
