year,state,jobs,addicts
2020-01-01,Perak,penuntut,5
2021-01-01,Perak,penuntut,6
2022-01-01,Perak,penuntut,4
2023-01-01,Perak,penuntut,12
2020-01-01,Perlis,penuntut,6
2021-01-01,Perlis,penuntut,
2022-01-01,Perlis,penuntut,2
2023-01-01,Perlis,penuntut,
2020-01-01,Pulau Pinang,penuntut,5
2021-01-01,Pulau Pinang,penuntut,8
2022-01-01,Pulau Pinang,penuntut,8
2023-01-01,Pulau Pinang,penuntut,5
2020-01-01,Sabah,penuntut,3
2021-01-01,Sabah,penuntut,2
2022-01-01,Sabah,penuntut,2
2023-01-01,Sabah,penuntut,3
2020-01-01,Sarawak,penuntut,6
2021-01-01,Sarawak,penuntut,4
2022-01-01,Sarawak,penuntut,3
2023-01-01,Sarawak,penuntut,2
2020-01-01,Selangor,penuntut,21
2021-01-01,Selangor,penuntut,18
2022-01-01,Selangor,penuntut,8
2023-01-01,Selangor,penuntut,10
2020-01-01,Terengganu,penuntut,5
2021-01-01,Terengganu,penuntut,9
2022-01-01,Terengganu,penuntut,13
2023-01-01,Terengganu,penuntut,4
2020-01-01,W.P. Kuala Lumpur,penuntut,12
2021-01-01,W.P. Kuala Lumpur,penuntut,9
2022-01-01,W.P. Kuala Lumpur,penuntut,12
2023-01-01,W.P. Kuala Lumpur,penuntut,15
2020-01-01,W.P. Labuan,penuntut,
2021-01-01,W.P. Labuan,penuntut,
2022-01-01,W.P. Labuan,penuntut,
2023-01-01,W.P. Labuan,penuntut,
2020-01-01,W.P. Putrajaya,penuntut,4
2021-01-01,W.P. Putrajaya,penuntut,2
2022-01-01,W.P. Putrajaya,penuntut,1
2023-01-01,W.P. Putrajaya,penuntut,2
2016-01-01,Malaysia,pengkeranian,66
2017-01-01,Malaysia,pengkeranian,66
2018-01-01,Malaysia,pengkeranian,58
2019-01-01,Malaysia,pengkeranian,62
2020-01-01,Malaysia,pengkeranian,36
2021-01-01,Malaysia,pengkeranian,33
2022-01-01,Malaysia,pengkeranian,48
2023-01-01,Malaysia,pengkeranian,
2020-01-01,Johor,pengkeranian,5
2021-01-01,Johor,pengkeranian,3
2022-01-01,Johor,pengkeranian,5
2023-01-01,Johor,pengkeranian,
2020-01-01,Kedah,pengkeranian,1
2021-01-01,Kedah,pengkeranian,1
2022-01-01,Kedah,pengkeranian,2
2023-01-01,Kedah,pengkeranian,
2020-01-01,Kelantan,pengkeranian,2
2021-01-01,Kelantan,pengkeranian,
2022-01-01,Kelantan,pengkeranian,1
2023-01-01,Kelantan,pengkeranian,
2020-01-01,Melaka,pengkeranian,1
2021-01-01,Melaka,pengkeranian,
2022-01-01,Melaka,pengkeranian,3
2023-01-01,Melaka,pengkeranian,
2020-01-01,Negeri Sembilan,pengkeranian,3
2021-01-01,Negeri Sembilan,pengkeranian,1
2022-01-01,Negeri Sembilan,pengkeranian,3
2023-01-01,Negeri Sembilan,pengkeranian,
2020-01-01,Pahang,pengkeranian,2
2021-01-01,Pahang,pengkeranian,2
2022-01-01,Pahang,pengkeranian,3
2023-01-01,Pahang,pengkeranian,
2020-01-01,Perak,pengkeranian,4
2021-01-01,Perak,pengkeranian,4
2022-01-01,Perak,pengkeranian,2
2023-01-01,Perak,pengkeranian,
2020-01-01,Perlis,pengkeranian,1
2021-01-01,Perlis,pengkeranian,
2022-01-01,Perlis,pengkeranian,
2023-01-01,Perlis,pengkeranian,
2020-01-01,Pulau Pinang,pengkeranian,2
2021-01-01,Pulau Pinang,pengkeranian,1
2022-01-01,Pulau Pinang,pengkeranian,6
2023-01-01,Pulau Pinang,pengkeranian,
2020-01-01,Sabah,pengkeranian,3
2021-01-01,Sabah,pengkeranian,
2022-01-01,Sabah,pengkeranian,2
2023-01-01,Sabah,pengkeranian,
2020-01-01,Sarawak,pengkeranian,
2021-01-01,Sarawak,pengkeranian,
2022-01-01,Sarawak,pengkeranian,2
2023-01-01,Sarawak,pengkeranian,
2020-01-01,Selangor,pengkeranian,6
2021-01-01,Selangor,pengkeranian,9
2022-01-01,Selangor,pengkeranian,14
2023-01-01,Selangor,pengkeranian,
2020-01-01,Terengganu,pengkeranian,
2021-01-01,Terengganu,pengkeranian,
2022-01-01,Terengganu,pengkeranian,2
2023-01-01,Terengganu,pengkeranian,
2020-01-01,W.P. Kuala Lumpur,pengkeranian,6
2021-01-01,W.P. Kuala Lumpur,pengkeranian,10
2022-01-01,W.P. Kuala Lumpur,pengkeranian,3
2023-01-01,W.P. Kuala Lumpur,pengkeranian,
2020-01-01,W.P. Labuan,pengkeranian,
2021-01-01,W.P. Labuan,pengkeranian,1
2022-01-01,W.P. Labuan,pengkeranian,
2023-01-01,W.P. Labuan,pengkeranian,
2020-01-01,W.P. Putrajaya,pengkeranian,
2021-01-01,W.P. Putrajaya,pengkeranian,1
2022-01-01,W.P. Putrajaya,pengkeranian,
2023-01-01,W.P. Putrajaya,pengkeranian,
2016-01-01,Malaysia,perkhidmatan,2299
2017-01-01,Malaysia,perkhidmatan,1744
2018-01-01,Malaysia,perkhidmatan,1822
2019-01-01,Malaysia,perkhidmatan,2470
2020-01-01,Malaysia,perkhidmatan,1989
2021-01-01,Malaysia,perkhidmatan,2066
2022-01-01,Malaysia,perkhidmatan,3033
2023-01-01,Malaysia,perkhidmatan,
2020-01-01,Johor,perkhidmatan,294
2021-01-01,Johor,perkhidmatan,372
2022-01-01,Johor,perkhidmatan,443
2023-01-01,Johor,perkhidmatan,
2020-01-01,Kedah,perkhidmatan,210
2021-01-01,Kedah,perkhidmatan,163
2022-01-01,Kedah,perkhidmatan,278
2023-01-01,Kedah,perkhidmatan,
2020-01-01,Kelantan,perkhidmatan,87
2021-01-01,Kelantan,perkhidmatan,94
2022-01-01,Kelantan,perkhidmatan,94
2023-01-01,Kelantan,perkhidmatan,
2020-01-01,Melaka,perkhidmatan,52
2021-01-01,Melaka,perkhidmatan,63
2022-01-01,Melaka,perkhidmatan,65
2023-01-01,Melaka,perkhidmatan,
2020-01-01,Negeri Sembilan,perkhidmatan,87
2021-01-01,Negeri Sembilan,perkhidmatan,81
2022-01-01,Negeri Sembilan,perkhidmatan,180
2023-01-01,Negeri Sembilan,perkhidmatan,
2020-01-01,Pahang,perkhidmatan,138
2021-01-01,Pahang,perkhidmatan,91
2022-01-01,Pahang,perkhidmatan,220
2023-01-01,Pahang,perkhidmatan,
2020-01-01,Perak,perkhidmatan,124
2021-01-01,Perak,perkhidmatan,110
2022-01-01,Perak,perkhidmatan,245
2023-01-01,Perak,perkhidmatan,
2020-01-01,Perlis,perkhidmatan,43
2021-01-01,Perlis,perkhidmatan,29
2022-01-01,Perlis,perkhidmatan,48
2023-01-01,Perlis,perkhidmatan,
2020-01-01,Pulau Pinang,perkhidmatan,187
2021-01-01,Pulau Pinang,perkhidmatan,187
2022-01-01,Pulau Pinang,perkhidmatan,371
2023-01-01,Pulau Pinang,perkhidmatan,
2020-01-01,Sabah,perkhidmatan,62
2021-01-01,Sabah,perkhidmatan,63
2022-01-01,Sabah,perkhidmatan,56
2023-01-01,Sabah,perkhidmatan,
2020-01-01,Sarawak,perkhidmatan,74
2021-01-01,Sarawak,perkhidmatan,76
2022-01-01,Sarawak,perkhidmatan,129
2023-01-01,Sarawak,perkhidmatan,
2020-01-01,Selangor,perkhidmatan,291
2021-01-01,Selangor,perkhidmatan,352
2022-01-01,Selangor,perkhidmatan,475
2023-01-01,Selangor,perkhidmatan,
2020-01-01,Terengganu,perkhidmatan,105
2021-01-01,Terengganu,perkhidmatan,122
2022-01-01,Terengganu,perkhidmatan,117
2023-01-01,Terengganu,perkhidmatan,
2020-01-01,W.P. Kuala Lumpur,perkhidmatan,216
2021-01-01,W.P. Kuala Lumpur,perkhidmatan,234
2022-01-01,W.P. Kuala Lumpur,perkhidmatan,276
2023-01-01,W.P. Kuala Lumpur,perkhidmatan,
2020-01-01,W.P. Labuan,perkhidmatan,9
2021-01-01,W.P. Labuan,perkhidmatan,6
2022-01-01,W.P. Labuan,perkhidmatan,18
2023-01-01,W.P. Labuan,perkhidmatan,
2020-01-01,W.P. Putrajaya,perkhidmatan,10
2021-01-01,W.P. Putrajaya,perkhidmatan,23
2022-01-01,W.P. Putrajaya,perkhidmatan,18
2023-01-01,W.P. Putrajaya,perkhidmatan,
2016-01-01,Malaysia,perkilangan,576
2017-01-01,Malaysia,perkilangan,465
2018-01-01,Malaysia,perkilangan,421
2019-01-01,Malaysia,perkilangan,548
2020-01-01,Malaysia,perkilangan,487
2021-01-01,Malaysia,perkilangan,532
2022-01-01,Malaysia,perkilangan,798
2023-01-01,Malaysia,perkilangan,
2020-01-01,Johor,perkilangan,105
2021-01-01,Johor,perkilangan,107
2022-01-01,Johor,perkilangan,132
2023-01-01,Johor,perkilangan,
2020-01-01,Kedah,perkilangan,58
2021-01-01,Kedah,perkilangan,43
2022-01-01,Kedah,perkilangan,139
2023-01-01,Kedah,perkilangan,
2020-01-01,Kelantan,perkilangan,14
2021-01-01,Kelantan,perkilangan,15
2022-01-01,Kelantan,perkilangan,34
2023-01-01,Kelantan,perkilangan,
2020-01-01,Melaka,perkilangan,38
2021-01-01,Melaka,perkilangan,25
2022-01-01,Melaka,perkilangan,31
2023-01-01,Melaka,perkilangan,
2020-01-01,Negeri Sembilan,perkilangan,29
2021-01-01,Negeri Sembilan,perkilangan,41
2022-01-01,Negeri Sembilan,perkilangan,36
2023-01-01,Negeri Sembilan,perkilangan,
2020-01-01,Pahang,perkilangan,37
2021-01-01,Pahang,perkilangan,22
2022-01-01,Pahang,perkilangan,29
2023-01-01,Pahang,perkilangan,
2020-01-01,Perak,perkilangan,47
2021-01-01,Perak,perkilangan,55
2022-01-01,Perak,perkilangan,66
2023-01-01,Perak,perkilangan,
2020-01-01,Perlis,perkilangan,7
2021-01-01,Perlis,perkilangan,2
2022-01-01,Perlis,perkilangan,13
2023-01-01,Perlis,perkilangan,
2020-01-01,Pulau Pinang,perkilangan,46
2021-01-01,Pulau Pinang,perkilangan,92
2022-01-01,Pulau Pinang,perkilangan,164
2023-01-01,Pulau Pinang,perkilangan,
2020-01-01,Sabah,perkilangan,6
2021-01-01,Sabah,perkilangan,5
2022-01-01,Sabah,perkilangan,6
2023-01-01,Sabah,perkilangan,
2020-01-01,Sarawak,perkilangan,6
2021-01-01,Sarawak,perkilangan,9
2022-01-01,Sarawak,perkilangan,13
2023-01-01,Sarawak,perkilangan,
2020-01-01,Selangor,perkilangan,58
2021-01-01,Selangor,perkilangan,74
2022-01-01,Selangor,perkilangan,100
2023-01-01,Selangor,perkilangan,
2020-01-01,Terengganu,perkilangan,20
2021-01-01,Terengganu,perkilangan,26
2022-01-01,Terengganu,perkilangan,23
2023-01-01,Terengganu,perkilangan,
2020-01-01,W.P. Kuala Lumpur,perkilangan,16
2021-01-01,W.P. Kuala Lumpur,perkilangan,16
2022-01-01,W.P. Kuala Lumpur,perkilangan,12
2023-01-01,W.P. Kuala Lumpur,perkilangan,
2020-01-01,W.P. Labuan,perkilangan,
2021-01-01,W.P. Labuan,perkilangan,
2022-01-01,W.P. Labuan,perkilangan,
2023-01-01,W.P. Labuan,perkilangan,
2020-01-01,W.P. Putrajaya,perkilangan,
2021-01-01,W.P. Putrajaya,perkilangan,
2022-01-01,W.P. Putrajaya,perkilangan,
2023-01-01,W.P. Putrajaya,perkilangan,
2016-01-01,Malaysia,pertanian/perikanan,1857
2017-01-01,Malaysia,pertanian/perikanan,1443
2018-01-01,Malaysia,pertanian/perikanan,1457
2019-01-01,Malaysia,pertanian/perikanan,1658
2020-01-01,Malaysia,pertanian/perikanan,1465
2021-01-01,Malaysia,pertanian/perikanan,1213
2022-01-01,Malaysia,pertanian/perikanan,1818
2023-01-01,Malaysia,pertanian/perikanan,
2020-01-01,Johor,pertanian/perikanan,123
2021-01-01,Johor,pertanian/perikanan,171
2022-01-01,Johor,pertanian/perikanan,246
2023-01-01,Johor,pertanian/perikanan,
2020-01-01,Kedah,pertanian/perikanan,355
2021-01-01,Kedah,pertanian/perikanan,246
2022-01-01,Kedah,pertanian/perikanan,434
2023-01-01,Kedah,pertanian/perikanan,
2020-01-01,Kelantan,pertanian/perikanan,102
2021-01-01,Kelantan,pertanian/perikanan,88
2022-01-01,Kelantan,pertanian/perikanan,184
2023-01-01,Kelantan,pertanian/perikanan,
2020-01-01,Melaka,pertanian/perikanan,29
2021-01-01,Melaka,pertanian/perikanan,23
2022-01-01,Melaka,pertanian/perikanan,22
2023-01-01,Melaka,pertanian/perikanan,
2020-01-01,Negeri Sembilan,pertanian/perikanan,48
2021-01-01,Negeri Sembilan,pertanian/perikanan,53
2022-01-01,Negeri Sembilan,pertanian/perikanan,53
2023-01-01,Negeri Sembilan,pertanian/perikanan,
2020-01-01,Pahang,pertanian/perikanan,166
2021-01-01,Pahang,pertanian/perikanan,94
2022-01-01,Pahang,pertanian/perikanan,140
2023-01-01,Pahang,pertanian/perikanan,
2020-01-01,Perak,pertanian/perikanan,207
2021-01-01,Perak,pertanian/perikanan,164
2022-01-01,Perak,pertanian/perikanan,201
2023-01-01,Perak,pertanian/perikanan,
2020-01-01,Perlis,pertanian/perikanan,42
2021-01-01,Perlis,pertanian/perikanan,32
2022-01-01,Perlis,pertanian/perikanan,83
2023-01-01,Perlis,pertanian/perikanan,
2020-01-01,Pulau Pinang,pertanian/perikanan,59
2021-01-01,Pulau Pinang,pertanian/perikanan,59
2022-01-01,Pulau Pinang,pertanian/perikanan,106
2023-01-01,Pulau Pinang,pertanian/perikanan,
2020-01-01,Sabah,pertanian/perikanan,92
2021-01-01,Sabah,pertanian/perikanan,39
2022-01-01,Sabah,pertanian/perikanan,51
2023-01-01,Sabah,pertanian/perikanan,
2020-01-01,Sarawak,pertanian/perikanan,23
2021-01-01,Sarawak,pertanian/perikanan,23
2022-01-01,Sarawak,pertanian/perikanan,72
2023-01-01,Sarawak,pertanian/perikanan,
2020-01-01,Selangor,pertanian/perikanan,52
2021-01-01,Selangor,pertanian/perikanan,78
2022-01-01,Selangor,pertanian/perikanan,67
2023-01-01,Selangor,pertanian/perikanan,
2020-01-01,Terengganu,pertanian/perikanan,156
2021-01-01,Terengganu,pertanian/perikanan,136
2022-01-01,Terengganu,pertanian/perikanan,150
2023-01-01,Terengganu,pertanian/perikanan,
2020-01-01,W.P. Kuala Lumpur,pertanian/perikanan,7
2021-01-01,W.P. Kuala Lumpur,pertanian/perikanan,3
2022-01-01,W.P. Kuala Lumpur,pertanian/perikanan,4
2023-01-01,W.P. Kuala Lumpur,pertanian/perikanan,
2020-01-01,W.P. Labuan,pertanian/perikanan,4
2021-01-01,W.P. Labuan,pertanian/perikanan,3
2022-01-01,W.P. Labuan,pertanian/perikanan,4
2023-01-01,W.P. Labuan,pertanian/perikanan,
2020-01-01,W.P. Putrajaya,pertanian/perikanan,
2021-01-01,W.P. Putrajaya,pertanian/perikanan,1
2022-01-01,W.P. Putrajaya,pertanian/perikanan,1
2023-01-01,W.P. Putrajaya,pertanian/perikanan,
2016-01-01,Malaysia,rencam/sambilan,10643
2017-01-01,Malaysia,rencam/sambilan,8173
2018-01-01,Malaysia,rencam/sambilan,8086
2019-01-01,Malaysia,rencam/sambilan,7012
2020-01-01,Malaysia,rencam/sambilan,5168
2021-01-01,Malaysia,rencam/sambilan,4328
2022-01-01,Malaysia,rencam/sambilan,5236
2023-01-01,Malaysia,rencam/sambilan,793
2020-01-01,Johor,rencam/sambilan,993
2021-01-01,Johor,rencam/sambilan,556
2022-01-01,Johor,rencam/sambilan,606
2023-01-01,Johor,rencam/sambilan,395
2020-01-01,Kedah,rencam/sambilan,486
2021-01-01,Kedah,rencam/sambilan,701
2022-01-01,Kedah,rencam/sambilan,451
2023-01-01,Kedah,rencam/sambilan,27
2020-01-01,Kelantan,rencam/sambilan,327
2021-01-01,Kelantan,rencam/sambilan,198
2022-01-01,Kelantan,rencam/sambilan,279
2023-01-01,Kelantan,rencam/sambilan,15
2020-01-01,Melaka,rencam/sambilan,169
2021-01-01,Melaka,rencam/sambilan,69
2022-01-01,Melaka,rencam/sambilan,65
2023-01-01,Melaka,rencam/sambilan,8
2020-01-01,Negeri Sembilan,rencam/sambilan,139
2021-01-01,Negeri Sembilan,rencam/sambilan,149
2022-01-01,Negeri Sembilan,rencam/sambilan,222
2023-01-01,Negeri Sembilan,rencam/sambilan,9
2020-01-01,Pahang,rencam/sambilan,171
2021-01-01,Pahang,rencam/sambilan,224
2022-01-01,Pahang,rencam/sambilan,275
2023-01-01,Pahang,rencam/sambilan,9
2020-01-01,Perak,rencam/sambilan,357
2021-01-01,Perak,rencam/sambilan,344
2022-01-01,Perak,rencam/sambilan,588
2023-01-01,Perak,rencam/sambilan,83
2020-01-01,Perlis,rencam/sambilan,29
2021-01-01,Perlis,rencam/sambilan,50
2022-01-01,Perlis,rencam/sambilan,108
2023-01-01,Perlis,rencam/sambilan,
2020-01-01,Pulau Pinang,rencam/sambilan,1004
2021-01-01,Pulau Pinang,rencam/sambilan,584
2022-01-01,Pulau Pinang,rencam/sambilan,820
2023-01-01,Pulau Pinang,rencam/sambilan,59
2020-01-01,Sabah,rencam/sambilan,223
2021-01-01,Sabah,rencam/sambilan,314
2022-01-01,Sabah,rencam/sambilan,388
2023-01-01,Sabah,rencam/sambilan,16
2020-01-01,Sarawak,rencam/sambilan,192
2021-01-01,Sarawak,rencam/sambilan,209
2022-01-01,Sarawak,rencam/sambilan,249
2023-01-01,Sarawak,rencam/sambilan,81
2020-01-01,Selangor,rencam/sambilan,409
2021-01-01,Selangor,rencam/sambilan,362
2022-01-01,Selangor,rencam/sambilan,602
2023-01-01,Selangor,rencam/sambilan,72
2020-01-01,Terengganu,rencam/sambilan,523
2021-01-01,Terengganu,rencam/sambilan,408
2022-01-01,Terengganu,rencam/sambilan,392
2023-01-01,Terengganu,rencam/sambilan,9
2020-01-01,W.P. Kuala Lumpur,rencam/sambilan,145
2021-01-01,W.P. Kuala Lumpur,rencam/sambilan,132
2022-01-01,W.P. Kuala Lumpur,rencam/sambilan,164
2023-01-01,W.P. Kuala Lumpur,rencam/sambilan,7
2020-01-01,W.P. Labuan,rencam/sambilan,
2021-01-01,W.P. Labuan,rencam/sambilan,14
2022-01-01,W.P. Labuan,rencam/sambilan,20
2023-01-01,W.P. Labuan,rencam/sambilan,3
2020-01-01,W.P. Putrajaya,rencam/sambilan,1
2021-01-01,W.P. Putrajaya,rencam/sambilan,14
2022-01-01,W.P. Putrajaya,rencam/sambilan,7
2023-01-01,W.P. Putrajaya,rencam/sambilan,
2016-01-01,Malaysia,teknikal,1314
2017-01-01,Malaysia,teknikal,966
2018-01-01,Malaysia,teknikal,890
2019-01-01,Malaysia,teknikal,1133
2020-01-01,Malaysia,teknikal,943
2021-01-01,Malaysia,teknikal,834
2022-01-01,Malaysia,teknikal,1168
2023-01-01,Malaysia,teknikal,
2020-01-01,Johor,teknikal,78
2021-01-01,Johor,teknikal,72
2022-01-01,Johor,teknikal,124
2023-01-01,Johor,teknikal,
2020-01-01,Kedah,teknikal,106
2021-01-01,Kedah,teknikal,84
2022-01-01,Kedah,teknikal,128
2023-01-01,Kedah,teknikal,
2020-01-01,Kelantan,teknikal,59
2021-01-01,Kelantan,teknikal,49
2022-01-01,Kelantan,teknikal,92
2023-01-01,Kelantan,teknikal,
2020-01-01,Melaka,teknikal,42
2021-01-01,Melaka,teknikal,32
2022-01-01,Melaka,teknikal,29
2023-01-01,Melaka,teknikal,
2020-01-01,Negeri Sembilan,teknikal,47
2021-01-01,Negeri Sembilan,teknikal,37
2022-01-01,Negeri Sembilan,teknikal,46
2023-01-01,Negeri Sembilan,teknikal,
2020-01-01,Pahang,teknikal,80
2021-01-01,Pahang,teknikal,61
2022-01-01,Pahang,teknikal,59
2023-01-01,Pahang,teknikal,
2020-01-01,Perak,teknikal,128
2021-01-01,Perak,teknikal,76
2022-01-01,Perak,teknikal,114
2023-01-01,Perak,teknikal,
2020-01-01,Perlis,teknikal,20
2021-01-01,Perlis,teknikal,5
2022-01-01,Perlis,teknikal,16
2023-01-01,Perlis,teknikal,
2020-01-01,Pulau Pinang,teknikal,48
2021-01-01,Pulau Pinang,teknikal,37
2022-01-01,Pulau Pinang,teknikal,107
2023-01-01,Pulau Pinang,teknikal,
2020-01-01,Sabah,teknikal,27
2021-01-01,Sabah,teknikal,14
2022-01-01,Sabah,teknikal,13
2023-01-01,Sabah,teknikal,
2020-01-01,Sarawak,teknikal,29
2021-01-01,Sarawak,teknikal,22
2022-01-01,Sarawak,teknikal,68
2023-01-01,Sarawak,teknikal,
2020-01-01,Selangor,teknikal,105
2021-01-01,Selangor,teknikal,163
2022-01-01,Selangor,teknikal,201
2023-01-01,Selangor,teknikal,
2020-01-01,Terengganu,teknikal,116
2021-01-01,Terengganu,teknikal,119
2022-01-01,Terengganu,teknikal,108
2023-01-01,Terengganu,teknikal,
2020-01-01,W.P. Kuala Lumpur,teknikal,52
2021-01-01,W.P. Kuala Lumpur,teknikal,49
2022-01-01,W.P. Kuala Lumpur,teknikal,57
2023-01-01,W.P. Kuala Lumpur,teknikal,
2020-01-01,W.P. Labuan,teknikal,4
2021-01-01,W.P. Labuan,teknikal,1
2022-01-01,W.P. Labuan,teknikal,4
2023-01-01,W.P. Labuan,teknikal,
2020-01-01,W.P. Putrajaya,teknikal,2
2021-01-01,W.P. Putrajaya,teknikal,13
2022-01-01,W.P. Putrajaya,teknikal,2
2023-01-01,W.P. Putrajaya,teknikal,
2016-01-01,Malaysia,swasta,
2017-01-01,Malaysia,swasta,
2018-01-01,Malaysia,swasta,
2019-01-01,Malaysia,swasta,
2020-01-01,Malaysia,swasta,
2021-01-01,Malaysia,swasta,7265
2022-01-01,Malaysia,swasta,10293
2023-01-01,Malaysia,swasta,11054
2020-01-01,Johor,swasta,
2021-01-01,Johor,swasta,1024
2022-01-01,Johor,swasta,1429
2023-01-01,Johor,swasta,1344
2020-01-01,Kedah,swasta,
2021-01-01,Kedah,swasta,761
2022-01-01,Kedah,swasta,1326
2023-01-01,Kedah,swasta,1413
2020-01-01,Kelantan,swasta,
2021-01-01,Kelantan,swasta,540
2022-01-01,Kelantan,swasta,745
2023-01-01,Kelantan,swasta,956
2020-01-01,Melaka,swasta,
2021-01-01,Melaka,swasta,228
2022-01-01,Melaka,swasta,250
2023-01-01,Melaka,swasta,206
2020-01-01,Negeri Sembilan,swasta,
2021-01-01,Negeri Sembilan,swasta,355
2022-01-01,Negeri Sembilan,swasta,486
2023-01-01,Negeri Sembilan,swasta,442
2020-01-01,Pahang,swasta,
2021-01-01,Pahang,swasta,437
2022-01-01,Pahang,swasta,629
2023-01-01,Pahang,swasta,919
2020-01-01,Perak,swasta,
2021-01-01,Perak,swasta,671
2022-01-01,Perak,swasta,973
2023-01-01,Perak,swasta,934
2020-01-01,Perlis,swasta,
2021-01-01,Perlis,swasta,105
2022-01-01,Perlis,swasta,220
2023-01-01,Perlis,swasta,278
2020-01-01,Pulau Pinang,swasta,
2021-01-01,Pulau Pinang,swasta,518
2022-01-01,Pulau Pinang,swasta,1017
2023-01-01,Pulau Pinang,swasta,1103
2020-01-01,Sabah,swasta,
2021-01-01,Sabah,swasta,159
2022-01-01,Sabah,swasta,172
2023-01-01,Sabah,swasta,243
2020-01-01,Sarawak,swasta,
2021-01-01,Sarawak,swasta,188
2022-01-01,Sarawak,swasta,439
2023-01-01,Sarawak,swasta,506
2020-01-01,Selangor,swasta,
2021-01-01,Selangor,swasta,1097
2022-01-01,Selangor,swasta,1445
2023-01-01,Selangor,swasta,1380
2020-01-01,Terengganu,swasta,
2021-01-01,Terengganu,swasta,593
2022-01-01,Terengganu,swasta,573
2023-01-01,Terengganu,swasta,588
2020-01-01,W.P. Kuala Lumpur,swasta,
2021-01-01,W.P. Kuala Lumpur,swasta,508
2022-01-01,W.P. Kuala Lumpur,swasta,573
2023-01-01,W.P. Kuala Lumpur,swasta,696
2020-01-01,W.P. Labuan,swasta,
2021-01-01,W.P. Labuan,swasta,13
2022-01-01,W.P. Labuan,swasta,31
2023-01-01,W.P. Labuan,swasta,20
2020-01-01,W.P. Putrajaya,swasta,
2021-01-01,W.P. Putrajaya,swasta,46
2022-01-01,W.P. Putrajaya,swasta,29
2023-01-01,W.P. Putrajaya,swasta,26
2016-01-01,Malaysia,bekerja_sendiri,
2017-01-01,Malaysia,bekerja_sendiri,
2018-01-01,Malaysia,bekerja_sendiri,
2019-01-01,Malaysia,bekerja_sendiri,
2020-01-01,Malaysia,bekerja_sendiri,
2021-01-01,Malaysia,bekerja_sendiri,1176
2022-01-01,Malaysia,bekerja_sendiri,1795
2023-01-01,Malaysia,bekerja_sendiri,1980
2020-01-01,Johor,bekerja_sendiri,
2021-01-01,Johor,bekerja_sendiri,96
2022-01-01,Johor,bekerja_sendiri,118
2023-01-01,Johor,bekerja_sendiri,148
2020-01-01,Kedah,bekerja_sendiri,
2021-01-01,Kedah,bekerja_sendiri,83
2022-01-01,Kedah,bekerja_sendiri,180
2023-01-01,Kedah,bekerja_sendiri,174
2020-01-01,Kelantan,bekerja_sendiri,
2021-01-01,Kelantan,bekerja_sendiri,59
2022-01-01,Kelantan,bekerja_sendiri,114
2023-01-01,Kelantan,bekerja_sendiri,169
2020-01-01,Melaka,bekerja_sendiri,
2021-01-01,Melaka,bekerja_sendiri,9
2022-01-01,Melaka,bekerja_sendiri,30
2023-01-01,Melaka,bekerja_sendiri,21
2020-01-01,Negeri Sembilan,bekerja_sendiri,
2021-01-01,Negeri Sembilan,bekerja_sendiri,80
2022-01-01,Negeri Sembilan,bekerja_sendiri,94
2023-01-01,Negeri Sembilan,bekerja_sendiri,114
2020-01-01,Pahang,bekerja_sendiri,
2021-01-01,Pahang,bekerja_sendiri,133
2022-01-01,Pahang,bekerja_sendiri,144
2023-01-01,Pahang,bekerja_sendiri,173
2020-01-01,Perak,bekerja_sendiri,
2021-01-01,Perak,bekerja_sendiri,119
2022-01-01,Perak,bekerja_sendiri,174
2023-01-01,Perak,bekerja_sendiri,190
2020-01-01,Perlis,bekerja_sendiri,
2021-01-01,Perlis,bekerja_sendiri,33
2022-01-01,Perlis,bekerja_sendiri,69
2023-01-01,Perlis,bekerja_sendiri,55
2020-01-01,Pulau Pinang,bekerja_sendiri,
2021-01-01,Pulau Pinang,bekerja_sendiri,72
2022-01-01,Pulau Pinang,bekerja_sendiri,130
2023-01-01,Pulau Pinang,bekerja_sendiri,290
2020-01-01,Sabah,bekerja_sendiri,
2021-01-01,Sabah,bekerja_sendiri,103
2022-01-01,Sabah,bekerja_sendiri,182
2023-01-01,Sabah,bekerja_sendiri,98
2020-01-01,Sarawak,bekerja_sendiri,
2021-01-01,Sarawak,bekerja_sendiri,53
2022-01-01,Sarawak,bekerja_sendiri,93
2023-01-01,Sarawak,bekerja_sendiri,94
2020-01-01,Selangor,bekerja_sendiri,
2021-01-01,Selangor,bekerja_sendiri,115
2022-01-01,Selangor,bekerja_sendiri,231
2023-01-01,Selangor,bekerja_sendiri,246
2020-01-01,Terengganu,bekerja_sendiri,
2021-01-01,Terengganu,bekerja_sendiri,167
2022-01-01,Terengganu,bekerja_sendiri,190
2023-01-01,Terengganu,bekerja_sendiri,173
2020-01-01,W.P. Kuala Lumpur,bekerja_sendiri,
2021-01-01,W.P. Kuala Lumpur,bekerja_sendiri,25
2022-01-01,W.P. Kuala Lumpur,bekerja_sendiri,47
2023-01-01,W.P. Kuala Lumpur,bekerja_sendiri,30
2020-01-01,W.P. Labuan,bekerja_sendiri,
2021-01-01,W.P. Labuan,bekerja_sendiri,7
2022-01-01,W.P. Labuan,bekerja_sendiri,5
2023-01-01,W.P. Labuan,bekerja_sendiri,4
2020-01-01,W.P. Putrajaya,bekerja_sendiri,
2021-01-01,W.P. Putrajaya,bekerja_sendiri,1
