state,sex,age,date,proportion
W.P. Labuan,female,15-24,2016-01-01,93.7
W.P. Labuan,female,15-24,2017-01-01,96.8
W.P. Labuan,female,15-24,2018-01-01,96.8
W.P. Labuan,female,15-24,2019-01-01,91.9
W.P. Labuan,female,15-24,2020-01-01,90.0
W.P. Labuan,female,15-24,2021-01-01,94.5
W.P. Labuan,female,15-24,2022-01-01,99.0
W.P. Labuan,male,15+,2016-01-01,96.4
W.P. Labuan,male,15+,2017-01-01,96.4
W.P. Labuan,male,15+,2018-01-01,96.9
W.P. Labuan,male,15+,2019-01-01,94.2
W.P. Labuan,male,15+,2020-01-01,97.2
W.P. Labuan,male,15+,2021-01-01,94.1
W.P. Labuan,male,15+,2022-01-01,94.8
W.P. Labuan,male,15-24,2016-01-01,97.2
W.P. Labuan,male,15-24,2017-01-01,93.4
W.P. Labuan,male,15-24,2018-01-01,95.9
W.P. Labuan,male,15-24,2019-01-01,95.58099458
W.P. Labuan,male,15-24,2020-01-01,99.5
W.P. Labuan,male,15-24,2021-01-01,94.8
W.P. Labuan,male,15-24,2022-01-01,98.8
W.P. Putrajaya,both,15+,2016-01-01,99.9
W.P. Putrajaya,both,15+,2017-01-01,99.7
W.P. Putrajaya,both,15+,2018-01-01,99.8
W.P. Putrajaya,both,15+,2019-01-01,99.9
W.P. Putrajaya,both,15+,2020-01-01,99.9
W.P. Putrajaya,both,15+,2021-01-01,100.0
W.P. Putrajaya,both,15+,2022-01-01,100.0
W.P. Putrajaya,both,15-24,2016-01-01,99.7
W.P. Putrajaya,both,15-24,2017-01-01,99.3
W.P. Putrajaya,both,15-24,2018-01-01,99.6
W.P. Putrajaya,both,15-24,2019-01-01,99.5
W.P. Putrajaya,both,15-24,2020-01-01,99.6
W.P. Putrajaya,both,15-24,2021-01-01,100.0
W.P. Putrajaya,both,15-24,2022-01-01,100.0
W.P. Putrajaya,female,15+,2016-01-01,99.8
W.P. Putrajaya,female,15+,2017-01-01,99.7
W.P. Putrajaya,female,15+,2018-01-01,99.8
W.P. Putrajaya,female,15+,2019-01-01,100.0
W.P. Putrajaya,female,15+,2020-01-01,100.0
W.P. Putrajaya,female,15+,2021-01-01,100.0
W.P. Putrajaya,female,15+,2022-01-01,100.0
W.P. Putrajaya,female,15-24,2016-01-01,99.5
W.P. Putrajaya,female,15-24,2017-01-01,99.0
W.P. Putrajaya,female,15-24,2018-01-01,100.0
W.P. Putrajaya,female,15-24,2019-01-01,100.0
W.P. Putrajaya,female,15-24,2020-01-01,100.0
W.P. Putrajaya,female,15-24,2021-01-01,100.0
W.P. Putrajaya,female,15-24,2022-01-01,100.0
W.P. Putrajaya,male,15+,2016-01-01,100.0
W.P. Putrajaya,male,15+,2017-01-01,99.8
W.P. Putrajaya,male,15+,2018-01-01,99.7
W.P. Putrajaya,male,15+,2019-01-01,99.8
W.P. Putrajaya,male,15+,2020-01-01,99.8
W.P. Putrajaya,male,15+,2021-01-01,100.0
W.P. Putrajaya,male,15+,2022-01-01,100.0
W.P. Putrajaya,male,15-24,2016-01-01,100.0
W.P. Putrajaya,male,15-24,2017-01-01,99.6
W.P. Putrajaya,male,15-24,2018-01-01,99.2
W.P. Putrajaya,male,15-24,2019-01-01,98.90398948
W.P. Putrajaya,male,15-24,2020-01-01,99.0
W.P. Putrajaya,male,15-24,2021-01-01,100.0
W.P. Putrajaya,male,15-24,2022-01-01,100.0
