date,state,parlimen,dun,poverty_absolute
2024-01-01,Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,4.2
2019-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,6.0
2022-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,2.2
2024-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,6.6
2019-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,3.9
2022-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,9.0
2024-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,3.5
2019-01-01,Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,0.0
2022-01-01,Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,15.4
2024-01-01,Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,4.2
2019-01-01,Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,6.6
2022-01-01,Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,3.9
2024-01-01,Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,6.7
2019-01-01,Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,3.3
2022-01-01,Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,9.0
2024-01-01,Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,3.0
2019-01-01,Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan,12.2
2022-01-01,Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan,3.1
2024-01-01,Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan,9.1
2019-01-01,Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor,6.1
2022-01-01,Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor,2.9
2024-01-01,Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor,6.2
2019-01-01,Kedah,P.011 Pendang,N.18 Tokai,5.3
2022-01-01,Kedah,P.011 Pendang,N.18 Tokai,5.8
2024-01-01,Kedah,P.011 Pendang,N.18 Tokai,4.7
2019-01-01,Kedah,P.011 Pendang,N.19 Sungai Tiang,11.5
2022-01-01,Kedah,P.011 Pendang,N.19 Sungai Tiang,8.4
2024-01-01,Kedah,P.011 Pendang,N.19 Sungai Tiang,10.4
2019-01-01,Kedah,P.012 Jerai,N.20 Sungai Limau,9.4
2022-01-01,Kedah,P.012 Jerai,N.20 Sungai Limau,4.0
2024-01-01,Kedah,P.012 Jerai,N.20 Sungai Limau,7.4
2019-01-01,Kedah,P.012 Jerai,N.21 Guar Chempedak,14.6
2022-01-01,Kedah,P.012 Jerai,N.21 Guar Chempedak,7.7
2024-01-01,Kedah,P.012 Jerai,N.21 Guar Chempedak,7.5
2019-01-01,Kedah,P.012 Jerai,N.22 Gurun,17.2
2022-01-01,Kedah,P.012 Jerai,N.22 Gurun,23.1
2024-01-01,Kedah,P.012 Jerai,N.22 Gurun,16.4
2019-01-01,Kedah,P.013 Sik,N.23 Belantek,12.8
2022-01-01,Kedah,P.013 Sik,N.23 Belantek,6.6
2024-01-01,Kedah,P.013 Sik,N.23 Belantek,9.3
2019-01-01,Kedah,P.013 Sik,N.24 Jeneri,2.9
2022-01-01,Kedah,P.013 Sik,N.24 Jeneri,1.6
2024-01-01,Kedah,P.013 Sik,N.24 Jeneri,8.1
2019-01-01,Kedah,P.014 Merbok,N.25 Bukit Selambau,7.7
2022-01-01,Kedah,P.014 Merbok,N.25 Bukit Selambau,10.1
2024-01-01,Kedah,P.014 Merbok,N.25 Bukit Selambau,7.3
2019-01-01,Kedah,P.014 Merbok,N.26 Tanjong Dawai,17.4
2022-01-01,Kedah,P.014 Merbok,N.26 Tanjong Dawai,26.5
2024-01-01,Kedah,P.014 Merbok,N.26 Tanjong Dawai,20.7
2019-01-01,Kedah,P.015 Sungai Petani,N.27 Pantai Merdeka,17.0
2022-01-01,Kedah,P.015 Sungai Petani,N.27 Pantai Merdeka,13.1
2024-01-01,Kedah,P.015 Sungai Petani,N.27 Pantai Merdeka,19.0
2019-01-01,Kedah,P.015 Sungai Petani,N.28 Bakar Arang,2.6
2022-01-01,Kedah,P.015 Sungai Petani,N.28 Bakar Arang,10.1
2024-01-01,Kedah,P.015 Sungai Petani,N.28 Bakar Arang,8.5
2019-01-01,Kedah,P.015 Sungai Petani,N.29 Sidam,10.8
2022-01-01,Kedah,P.015 Sungai Petani,N.29 Sidam,10.9
2024-01-01,Kedah,P.015 Sungai Petani,N.29 Sidam,8.1
2019-01-01,Kedah,P.016 Baling,N.30 Bayu,18.6
2022-01-01,Kedah,P.016 Baling,N.30 Bayu,11.3
2024-01-01,Kedah,P.016 Baling,N.30 Bayu,10.9
2019-01-01,Kedah,P.016 Baling,N.31 Kupang,15.7
2022-01-01,Kedah,P.016 Baling,N.31 Kupang,17.6
2024-01-01,Kedah,P.016 Baling,N.31 Kupang,14.6
2019-01-01,Kedah,P.016 Baling,N.32 Kuala Ketil,19.3
2022-01-01,Kedah,P.016 Baling,N.32 Kuala Ketil,13.4
2024-01-01,Kedah,P.016 Baling,N.32 Kuala Ketil,18.9
2019-01-01,Kedah,P.017 Padang Serai,N.33 Merbau Pulas,12.1
2022-01-01,Kedah,P.017 Padang Serai,N.33 Merbau Pulas,13.6
2024-01-01,Kedah,P.017 Padang Serai,N.33 Merbau Pulas,9.4
2019-01-01,Kedah,P.017 Padang Serai,N.34 Lunas,7.8
2022-01-01,Kedah,P.017 Padang Serai,N.34 Lunas,9.6
2024-01-01,Kedah,P.017 Padang Serai,N.34 Lunas,6.7
2019-01-01,Kedah,P.018 Kulim-Bandar Baharu,N.35 Kulim,11.4
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,N.35 Kulim,12.4
2024-01-01,Kedah,P.018 Kulim-Bandar Baharu,N.35 Kulim,10.5
2019-01-01,Kedah,P.018 Kulim-Bandar Baharu,N.36 Bandar Baharu,7.2
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,N.36 Bandar Baharu,3.9
2024-01-01,Kedah,P.018 Kulim-Bandar Baharu,N.36 Bandar Baharu,5.8
2019-01-01,Kelantan,P.019 Tumpat,N.01 Pengkalan Kubor,20.8
2022-01-01,Kelantan,P.019 Tumpat,N.01 Pengkalan Kubor,15.2
2024-01-01,Kelantan,P.019 Tumpat,N.01 Pengkalan Kubor,19.4
2019-01-01,Kelantan,P.019 Tumpat,N.02 Kelaboran,14.5
2022-01-01,Kelantan,P.019 Tumpat,N.02 Kelaboran,18.1
2024-01-01,Kelantan,P.019 Tumpat,N.02 Kelaboran,16.7
2019-01-01,Kelantan,P.019 Tumpat,N.03 Pasir Pekan,9.5
2022-01-01,Kelantan,P.019 Tumpat,N.03 Pasir Pekan,9.9
2024-01-01,Kelantan,P.019 Tumpat,N.03 Pasir Pekan,7.0
