date,state,parlimen,gini
2024-01-01,Sarawak,P.197 Kota Samarahan,0.333
2019-01-01,Sarawak,P.198 Puncak Borneo,0.348
2022-01-01,Sarawak,P.198 Puncak Borneo,0.362
2024-01-01,Sarawak,P.198 Puncak Borneo,0.352
2019-01-01,Sarawak,P.199 Serian,0.387
2022-01-01,Sarawak,P.199 Serian,0.374
2024-01-01,Sarawak,P.199 Serian,0.318
2019-01-01,Sarawak,P.200 Batang Sadong,0.377
2022-01-01,Sarawak,P.200 Batang Sadong,0.295
2024-01-01,Sarawak,P.200 Batang Sadong,0.352
2019-01-01,Sarawak,P.201 Batang Lupar,0.325
2022-01-01,Sarawak,P.201 Batang Lupar,0.287
2024-01-01,Sarawak,P.201 Batang Lupar,0.296
2019-01-01,Sarawak,P.202 Sri Aman,0.367
2022-01-01,Sarawak,P.202 Sri Aman,0.392
2024-01-01,Sarawak,P.202 Sri Aman,0.369
2019-01-01,Sarawak,P.203 Lubok Antu,0.361
2022-01-01,Sarawak,P.203 Lubok Antu,0.355
2024-01-01,Sarawak,P.203 Lubok Antu,0.311
2019-01-01,Sarawak,P.204 Betong,0.372
2022-01-01,Sarawak,P.204 Betong,0.298
2024-01-01,Sarawak,P.204 Betong,0.277
2019-01-01,Sarawak,P.205 Saratok,0.345
2022-01-01,Sarawak,P.205 Saratok,0.302
2024-01-01,Sarawak,P.205 Saratok,0.333
2019-01-01,Sarawak,P.206 Tanjong Manis,0.337
2022-01-01,Sarawak,P.206 Tanjong Manis,0.381
2024-01-01,Sarawak,P.206 Tanjong Manis,0.314
2019-01-01,Sarawak,P.207 Igan,0.37
2022-01-01,Sarawak,P.207 Igan,0.388
2024-01-01,Sarawak,P.207 Igan,0.328
2019-01-01,Sarawak,P.208 Sarikei,0.381
2022-01-01,Sarawak,P.208 Sarikei,0.44
2024-01-01,Sarawak,P.208 Sarikei,0.361
2019-01-01,Sarawak,P.209 Julau,0.343
2022-01-01,Sarawak,P.209 Julau,0.346
2024-01-01,Sarawak,P.209 Julau,0.333
2019-01-01,Sarawak,P.210 Kanowit,0.387
2022-01-01,Sarawak,P.210 Kanowit,0.386
2024-01-01,Sarawak,P.210 Kanowit,0.343
2019-01-01,Sarawak,P.211 Lanang,0.354
2022-01-01,Sarawak,P.211 Lanang,0.376
2024-01-01,Sarawak,P.211 Lanang,0.321
2019-01-01,Sarawak,P.212 Sibu,0.37
2022-01-01,Sarawak,P.212 Sibu,0.372
2024-01-01,Sarawak,P.212 Sibu,0.306
2019-01-01,Sarawak,P.213 Mukah,0.379
2022-01-01,Sarawak,P.213 Mukah,0.368
2024-01-01,Sarawak,P.213 Mukah,0.351
2019-01-01,Sarawak,P.214 Selangau,0.349
2022-01-01,Sarawak,P.214 Selangau,0.359
2024-01-01,Sarawak,P.214 Selangau,0.299
2019-01-01,Sarawak,P.215 Kapit,0.356
2022-01-01,Sarawak,P.215 Kapit,0.355
2024-01-01,Sarawak,P.215 Kapit,0.347
2019-01-01,Sarawak,P.216 Hulu Rajang,0.316
2022-01-01,Sarawak,P.216 Hulu Rajang,0.322
2024-01-01,Sarawak,P.216 Hulu Rajang,0.316
2019-01-01,Sarawak,P.217 Bintulu,0.34
2022-01-01,Sarawak,P.217 Bintulu,0.333
2024-01-01,Sarawak,P.217 Bintulu,0.375
2019-01-01,Sarawak,P.218 Sibuti,0.335
2022-01-01,Sarawak,P.218 Sibuti,0.348
2024-01-01,Sarawak,P.218 Sibuti,0.286
2019-01-01,Sarawak,P.219 Miri,0.355
2022-01-01,Sarawak,P.219 Miri,0.344
2024-01-01,Sarawak,P.219 Miri,0.308
2019-01-01,Sarawak,P.220 Baram,0.366
2022-01-01,Sarawak,P.220 Baram,0.329
2024-01-01,Sarawak,P.220 Baram,0.257
2019-01-01,Sarawak,P.221 Limbang,0.382
2022-01-01,Sarawak,P.221 Limbang,0.351
2024-01-01,Sarawak,P.221 Limbang,0.385
2019-01-01,Sarawak,P.222 Lawas,0.382
2022-01-01,Sarawak,P.222 Lawas,0.406
2024-01-01,Sarawak,P.222 Lawas,0.35
