date,state,prison,sex,prisoners
2017-01-01,Sarawak,Pusat Koreksional Bintulu,both,509
2018-01-01,Sarawak,Pusat Koreksional Bintulu,both,435
2019-01-01,Sarawak,Pusat Koreksional Bintulu,both,755
2020-01-01,Sarawak,Pusat Koreksional Bintulu,both,909
2021-01-01,Sarawak,Pusat Koreksional Bintulu,both,461
2022-01-01,Sarawak,Pusat Koreksional Bintulu,both,844
2017-01-01,Sarawak,Pusat Koreksional Bintulu,female,1
2018-01-01,Sarawak,Pusat Koreksional Bintulu,female,1
2019-01-01,Sarawak,Pusat Koreksional Bintulu,female,0
2020-01-01,Sarawak,Pusat Koreksional Bintulu,female,0
2021-01-01,Sarawak,Pusat Koreksional Bintulu,female,2
2022-01-01,Sarawak,Pusat Koreksional Bintulu,female,0
2017-01-01,Sarawak,Pusat Koreksional Bintulu,male,508
2018-01-01,Sarawak,Pusat Koreksional Bintulu,male,434
2019-01-01,Sarawak,Pusat Koreksional Bintulu,male,755
2020-01-01,Sarawak,Pusat Koreksional Bintulu,male,909
2021-01-01,Sarawak,Pusat Koreksional Bintulu,male,459
2022-01-01,Sarawak,Pusat Koreksional Bintulu,male,844
2017-01-01,Selangor,Penjara Kajang,both,35706
2018-01-01,Selangor,Penjara Kajang,both,26863
2019-01-01,Selangor,Penjara Kajang,both,31875
2020-01-01,Selangor,Penjara Kajang,both,24444
2021-01-01,Selangor,Penjara Kajang,both,24082
2022-01-01,Selangor,Penjara Kajang,both,27252
2017-01-01,Selangor,Penjara Kajang,female,7024
2018-01-01,Selangor,Penjara Kajang,female,4
2019-01-01,Selangor,Penjara Kajang,female,1
2020-01-01,Selangor,Penjara Kajang,female,3712
2021-01-01,Selangor,Penjara Kajang,female,3186
2022-01-01,Selangor,Penjara Kajang,female,3188
2017-01-01,Selangor,Penjara Kajang,male,28682
2018-01-01,Selangor,Penjara Kajang,male,26859
2019-01-01,Selangor,Penjara Kajang,male,31874
2020-01-01,Selangor,Penjara Kajang,male,20732
2021-01-01,Selangor,Penjara Kajang,male,20896
2022-01-01,Selangor,Penjara Kajang,male,24064
2017-01-01,Selangor,Penjara Sungai Buloh,both,2098
2018-01-01,Selangor,Penjara Sungai Buloh,both,1377
2019-01-01,Selangor,Penjara Sungai Buloh,both,1873
2020-01-01,Selangor,Penjara Sungai Buloh,both,312
2021-01-01,Selangor,Penjara Sungai Buloh,both,673
2022-01-01,Selangor,Penjara Sungai Buloh,both,306
2017-01-01,Selangor,Penjara Sungai Buloh,female,0
2018-01-01,Selangor,Penjara Sungai Buloh,female,0
2019-01-01,Selangor,Penjara Sungai Buloh,female,0
2020-01-01,Selangor,Penjara Sungai Buloh,female,0
2021-01-01,Selangor,Penjara Sungai Buloh,female,0
2022-01-01,Selangor,Penjara Sungai Buloh,female,0
2017-01-01,Selangor,Penjara Sungai Buloh,male,2098
2018-01-01,Selangor,Penjara Sungai Buloh,male,1377
2019-01-01,Selangor,Penjara Sungai Buloh,male,1873
2020-01-01,Selangor,Penjara Sungai Buloh,male,312
2021-01-01,Selangor,Penjara Sungai Buloh,male,673
2022-01-01,Selangor,Penjara Sungai Buloh,male,306
2017-01-01,Selangor,Pusat Koreksional Puncak Alam,both,58
2018-01-01,Selangor,Pusat Koreksional Puncak Alam,both,6715
2019-01-01,Selangor,Pusat Koreksional Puncak Alam,both,7137
2020-01-01,Selangor,Pusat Koreksional Puncak Alam,both,1020
2021-01-01,Selangor,Pusat Koreksional Puncak Alam,both,172
2022-01-01,Selangor,Pusat Koreksional Puncak Alam,both,207
2017-01-01,Selangor,Pusat Koreksional Puncak Alam,female,0
2018-01-01,Selangor,Pusat Koreksional Puncak Alam,female,6709
2019-01-01,Selangor,Pusat Koreksional Puncak Alam,female,7131
2020-01-01,Selangor,Pusat Koreksional Puncak Alam,female,0
2021-01-01,Selangor,Pusat Koreksional Puncak Alam,female,1
2022-01-01,Selangor,Pusat Koreksional Puncak Alam,female,0
2017-01-01,Selangor,Pusat Koreksional Puncak Alam,male,58
2018-01-01,Selangor,Pusat Koreksional Puncak Alam,male,6
2019-01-01,Selangor,Pusat Koreksional Puncak Alam,male,6
2020-01-01,Selangor,Pusat Koreksional Puncak Alam,male,1020
2021-01-01,Selangor,Pusat Koreksional Puncak Alam,male,171
2022-01-01,Selangor,Pusat Koreksional Puncak Alam,male,207
2017-01-01,Terengganu,Penjara Marang,both,3327
2018-01-01,Terengganu,Penjara Marang,both,3718
2019-01-01,Terengganu,Penjara Marang,both,3961
2020-01-01,Terengganu,Penjara Marang,both,3793
2021-01-01,Terengganu,Penjara Marang,both,2983
2022-01-01,Terengganu,Penjara Marang,both,4258
2017-01-01,Terengganu,Penjara Marang,female,2
2018-01-01,Terengganu,Penjara Marang,female,0
2019-01-01,Terengganu,Penjara Marang,female,0
2020-01-01,Terengganu,Penjara Marang,female,15
2021-01-01,Terengganu,Penjara Marang,female,40
2022-01-01,Terengganu,Penjara Marang,female,0
2017-01-01,Terengganu,Penjara Marang,male,3325
2018-01-01,Terengganu,Penjara Marang,male,3718
2019-01-01,Terengganu,Penjara Marang,male,3961
2020-01-01,Terengganu,Penjara Marang,male,3778
2021-01-01,Terengganu,Penjara Marang,male,2943
2022-01-01,Terengganu,Penjara Marang,male,4258
2017-01-01,Terengganu,Pusat Koreksional Dungun,both,1349
2018-01-01,Terengganu,Pusat Koreksional Dungun,both,1249
2019-01-01,Terengganu,Pusat Koreksional Dungun,both,1166
2020-01-01,Terengganu,Pusat Koreksional Dungun,both,758
2021-01-01,Terengganu,Pusat Koreksional Dungun,both,1101
2022-01-01,Terengganu,Pusat Koreksional Dungun,both,729
2017-01-01,Terengganu,Pusat Koreksional Dungun,female,0
2018-01-01,Terengganu,Pusat Koreksional Dungun,female,0
2019-01-01,Terengganu,Pusat Koreksional Dungun,female,0
2020-01-01,Terengganu,Pusat Koreksional Dungun,female,0
2021-01-01,Terengganu,Pusat Koreksional Dungun,female,0
2022-01-01,Terengganu,Pusat Koreksional Dungun,female,0
2017-01-01,Terengganu,Pusat Koreksional Dungun,male,1349
2018-01-01,Terengganu,Pusat Koreksional Dungun,male,1249
2019-01-01,Terengganu,Pusat Koreksional Dungun,male,1166
2020-01-01,Terengganu,Pusat Koreksional Dungun,male,758
2021-01-01,Terengganu,Pusat Koreksional Dungun,male,1101
2022-01-01,Terengganu,Pusat Koreksional Dungun,male,729
