series,date,sector,value
abs,2021-04-01,p2,24202.0
abs,2021-04-01,p3,83686.0
abs,2021-04-01,p4,13129.0
abs,2021-04-01,p5,197430.0
abs,2021-04-01,p6,4292.0
abs,2021-07-01,p0,337669.0
abs,2021-07-01,p1,24597.0
abs,2021-07-01,p2,22836.0
abs,2021-07-01,p3,81963.0
abs,2021-07-01,p4,11923.0
abs,2021-07-01,p5,192963.0
abs,2021-07-01,p6,3387.0
abs,2021-10-01,p0,356545.0
abs,2021-10-01,p1,24883.0
abs,2021-10-01,p2,22884.0
abs,2021-10-01,p3,87692.0
abs,2021-10-01,p4,12170.0
abs,2021-10-01,p5,205015.0
abs,2021-10-01,p6,3901.0
abs,2022-01-01,p0,366325.0
abs,2022-01-01,p1,24891.0
abs,2022-01-01,p2,23404.0
abs,2022-01-01,p3,88669.0
abs,2022-01-01,p4,12828.0
abs,2022-01-01,p5,212563.0
abs,2022-01-01,p6,3970.0
abs,2022-04-01,p0,379469.0
abs,2022-04-01,p1,24621.0
abs,2022-04-01,p2,23993.0
abs,2022-04-01,p3,91429.0
abs,2022-04-01,p4,13361.0
abs,2022-04-01,p5,221762.0
abs,2022-04-01,p6,4304.0
abs,2022-07-01,p0,386120.0
abs,2022-07-01,p1,25263.0
abs,2022-07-01,p2,25226.0
abs,2022-07-01,p3,92459.0
abs,2022-07-01,p4,13585.0
abs,2022-07-01,p5,225333.0
abs,2022-07-01,p6,4254.0
abs,2022-10-01,p0,384589.0
abs,2022-10-01,p1,25389.0
abs,2022-10-01,p2,24381.0
abs,2022-10-01,p3,91669.0
abs,2022-10-01,p4,13682.0
abs,2022-10-01,p5,225212.0
abs,2022-10-01,p6,4256.0
abs,2023-01-01,p0,387968.0
abs,2023-01-01,p1,25296.0
abs,2023-01-01,p2,24071.0
abs,2023-01-01,p3,91778.0
abs,2023-01-01,p4,13823.0
abs,2023-01-01,p5,228508.0
abs,2023-01-01,p6,4492.0
abs,2023-04-01,p0,388984.0
abs,2023-04-01,p1,24293.0
abs,2023-04-01,p2,23776.0
abs,2023-04-01,p3,91316.0
abs,2023-04-01,p4,14076.0
abs,2023-04-01,p5,230903.0
abs,2023-04-01,p6,4620.0
abs,2023-07-01,p0,396667.0
abs,2023-07-01,p1,25273.0
abs,2023-07-01,p2,24698.0
abs,2023-07-01,p3,91961.0
abs,2023-07-01,p4,14438.0
abs,2023-07-01,p5,235743.0
abs,2023-07-01,p6,4555.0
abs,2023-10-01,p0,397155.0
abs,2023-10-01,p1,25711.0
abs,2023-10-01,p2,24993.0
abs,2023-10-01,p3,91762.0
abs,2023-10-01,p4,14279.0
abs,2023-10-01,p5,235687.0
abs,2023-10-01,p6,4723.0
abs,2024-01-01,p0,404502.0
abs,2024-01-01,p1,25797.0
abs,2024-01-01,p2,25050.0
abs,2024-01-01,p3,93766.0
abs,2024-01-01,p4,15479.0
abs,2024-01-01,p5,239686.0
abs,2024-01-01,p6,4724.0
abs,2024-04-01,p0,411680.0
abs,2024-04-01,p1,26277.0
abs,2024-04-01,p2,24529.0
abs,2024-04-01,p3,95556.0
abs,2024-04-01,p4,16481.0
abs,2024-04-01,p5,244192.0
abs,2024-04-01,p6,4644.0
abs,2024-07-01,p0,417129.0
abs,2024-07-01,p1,26326.0
abs,2024-07-01,p2,24047.0
abs,2024-07-01,p3,96687.0
abs,2024-07-01,p4,17232.0
abs,2024-07-01,p5,247562.0
abs,2024-07-01,p6,5276.0
abs,2024-10-01,p0,418425.0
abs,2024-10-01,p1,25635.0
abs,2024-10-01,p2,24929.0
abs,2024-10-01,p3,96139.0
abs,2024-10-01,p4,17421.0
abs,2024-10-01,p5,249161.0
abs,2024-10-01,p6,5141.0
abs,2025-01-01,p0,422335.964
abs,2025-01-01,p1,25926.454
abs,2025-01-01,p2,24405.2
abs,2025-01-01,p3,97432.62
abs,2025-01-01,p4,17681.7
abs,2025-01-01,p5,251965.21
abs,2025-01-01,p6,4924.78
abs,2025-04-01,p0,430244.882
abs,2025-04-01,p1,26949.582
abs,2025-04-01,p2,23350.0
abs,2025-04-01,p3,99062.63
abs,2025-04-01,p4,18461.1
abs,2025-04-01,p5,256426.08
abs,2025-04-01,p6,5995.49
abs,2025-07-01,p0,438936.053
abs,2025-07-01,p1,26366.383
abs,2025-07-01,p2,26277.2
abs,2025-07-01,p3,100607.88
abs,2025-07-01,p4,19173.6
abs,2025-07-01,p5,260377.42
abs,2025-07-01,p6,6133.57
abs,2025-10-01,p0,444930.627
abs,2025-10-01,p1,26976.177
abs,2025-10-01,p2,25226.5
abs,2025-10-01,p3,102239.54
abs,2025-10-01,p4,19415.8
abs,2025-10-01,p5,264908.32
abs,2025-10-01,p6,6164.29
abs,2026-01-01,p0,444811.618
abs,2026-01-01,p1,26576.215
abs,2026-01-01,p2,23890.826
abs,2026-01-01,p3,102856.232
abs,2026-01-01,p4,19049.134
abs,2026-01-01,p5,266071.882
abs,2026-01-01,p6,6367.329
abs,2026-04-01,p0,456021.953
abs,2026-04-01,p1,25889.763
abs,2026-04-01,p2,25555.848
abs,2026-04-01,p3,106365.757
abs,2026-04-01,p4,19658.337
abs,2026-04-01,p5,271385.19
abs,2026-04-01,p6,7167.058
