series,date,type,value
abs,2022-04-01,e3,74004.0
abs,2022-04-01,e5,284221.0
abs,2022-04-01,e6,266003.0
abs,2022-07-01,e0,386120.0
abs,2022-07-01,e1,231001.0
abs,2022-07-01,e2,50474.0
abs,2022-07-01,e3,75646.0
abs,2022-07-01,e5,293536.0
abs,2022-07-01,e6,269805.0
abs,2022-10-01,e0,384589.0
abs,2022-10-01,e1,229277.0
abs,2022-10-01,e2,50355.0
abs,2022-10-01,e3,76456.0
abs,2022-10-01,e5,281249.0
abs,2022-10-01,e6,254247.0
abs,2023-01-01,e0,387968.0
abs,2023-01-01,e1,233655.0
abs,2023-01-01,e2,50152.0
abs,2023-01-01,e3,76361.0
abs,2023-01-01,e5,262055.0
abs,2023-01-01,e6,243789.0
abs,2023-04-01,e0,388984.0
abs,2023-04-01,e1,238072.0
abs,2023-04-01,e2,52128.0
abs,2023-04-01,e3,77935.0
abs,2023-04-01,e5,258379.0
abs,2023-04-01,e6,240517.0
abs,2023-07-01,e0,396667.0
abs,2023-07-01,e1,239887.0
abs,2023-07-01,e2,53096.0
abs,2023-07-01,e3,79081.0
abs,2023-07-01,e5,257027.0
abs,2023-07-01,e6,240655.0
abs,2023-10-01,e0,397155.0
abs,2023-10-01,e1,240216.0
abs,2023-10-01,e2,54267.0
abs,2023-10-01,e3,81116.0
abs,2023-10-01,e5,260624.0
abs,2023-10-01,e6,249046.0
abs,2024-01-01,e0,404502.0
abs,2024-01-01,e1,245229.0
abs,2024-01-01,e2,54329.0
abs,2024-01-01,e3,84299.0
abs,2024-01-01,e5,277170.0
abs,2024-01-01,e6,257182.0
abs,2024-04-01,e0,411680.0
abs,2024-04-01,e1,249681.0
abs,2024-04-01,e2,53582.0
abs,2024-04-01,e3,86586.0
abs,2024-04-01,e5,280037.0
abs,2024-04-01,e6,261792.0
abs,2024-07-01,e0,417129.0
abs,2024-07-01,e1,250030.0
abs,2024-07-01,e2,55746.0
abs,2024-07-01,e3,91094.0
abs,2024-07-01,e5,285393.0
abs,2024-07-01,e6,272653.0
abs,2024-10-01,e0,418425.0
abs,2024-10-01,e1,253039.0
abs,2024-10-01,e2,55275.0
abs,2024-10-01,e3,90652.0
abs,2024-10-01,e5,284498.0
abs,2024-10-01,e6,267166.0
abs,2025-01-01,e0,422335.964
abs,2025-01-01,e1,257090.0
abs,2025-01-01,e2,55838.0
abs,2025-01-01,e3,92712.4
abs,2025-01-01,e5,289045.0
abs,2025-01-01,e6,270629.0
abs,2025-04-01,e0,430244.882
abs,2025-04-01,e1,261706.0
abs,2025-04-01,e2,56746.3
abs,2025-04-01,e3,96865.0
abs,2025-04-01,e5,292785.0
abs,2025-04-01,e6,282063.0
abs,2025-07-01,e0,438936.053
abs,2025-07-01,e1,264621.0
abs,2025-07-01,e2,58848.5
abs,2025-07-01,e3,97727.3
abs,2025-07-01,e5,297887.0
abs,2025-07-01,e6,280806.0
abs,2025-10-01,e0,444930.627
abs,2025-10-01,e1,267535.0
abs,2025-10-01,e2,58923.7
abs,2025-10-01,e3,99270.6
abs,2025-10-01,e5,303177.0
abs,2025-10-01,e6,291425.0
abs,2026-01-01,e0,444811.618
abs,2026-01-01,e1,269083.356
abs,2026-01-01,e2,58134.608
abs,2026-01-01,e3,99560.219
abs,2026-01-01,e5,304034.897
abs,2026-01-01,e6,283147.149
abs,2026-04-01,e0,456021.953
abs,2026-04-01,e1,273743.415
abs,2026-04-01,e2,61142.388
abs,2026-04-01,e3,101352.737
abs,2026-04-01,e5,342707.295
abs,2026-04-01,e6,320945.892
