state,type,date,sex,abs,rate
Kelantan,infant,2017-01-01,both,302,7.719441746331987
Kelantan,infant,2017-01-01,female,142,7.458766677171972
Kelantan,infant,2017-01-01,male,160,7.966540529774946
Kelantan,infant,2018-01-01,both,288,7.5
Kelantan,infant,2018-01-01,female,115,6.3
Kelantan,infant,2018-01-01,male,173,8.7
Kelantan,infant,2019-01-01,both,266,7.240459469758833
Kelantan,infant,2019-01-01,female,113,8.02981001364543
Kelantan,infant,2019-01-01,male,153,6.389957023297897
Kelantan,infant,2020-01-01,both,214,5.908337934842629
Kelantan,infant,2020-01-01,female,87,4.96887315095094
Kelantan,infant,2020-01-01,male,127,6.787451231895676
Kelantan,infant,2021-01-01,both,249,7.162581981360027
Kelantan,infant,2021-01-01,female,104,6.15530303030303
Kelantan,infant,2021-01-01,male,145,8.115066039847774
Kelantan,infant,2022-01-01,both,264,7.8
Kelantan,infant,2022-01-01,female,106,6.5
Kelantan,infant,2022-01-01,male,158,9.0
Kelantan,infant,2024-01-01,both,202,6.3
Kelantan,infant,2024-01-01,female,89,5.8
Kelantan,infant,2024-01-01,male,113,6.8
Melaka,neonatal,2017-01-01,both,60,4.169851970255055
Melaka,neonatal,2017-01-01,female,29,4.18168709444845
Melaka,neonatal,2017-01-01,male,31,4.1588408907968875
Melaka,neonatal,2018-01-01,both,71,4.9
Melaka,neonatal,2018-01-01,female,28,4.0
Melaka,neonatal,2018-01-01,male,43,5.8
Melaka,neonatal,2019-01-01,both,64,4.543518387050972
Melaka,neonatal,2019-01-01,female,29,4.321263597079422
Melaka,neonatal,2019-01-01,male,35,4.745762711864407
Melaka,neonatal,2020-01-01,both,66,4.768441586590565
Melaka,neonatal,2020-01-01,female,26,3.874813710879285
Melaka,neonatal,2020-01-01,male,40,5.60931145701865
Melaka,neonatal,2021-01-01,both,62,4.6998180715585205
Melaka,neonatal,2021-01-01,female,31,4.858934169278997
Melaka,neonatal,2021-01-01,male,31,4.550792718731651
Melaka,neonatal,2022-01-01,both,64,4.9
Melaka,neonatal,2022-01-01,female,20,3.1
Melaka,neonatal,2022-01-01,male,44,6.5
Melaka,neonatal,2024-01-01,both,74,5.9
Melaka,neonatal,2024-01-01,female,42,6.9
Melaka,neonatal,2024-01-01,male,32,4.9
Melaka,infant,2017-01-01,both,95,6.602265619570505
Melaka,infant,2017-01-01,female,40,5.767844268204758
Melaka,infant,2017-01-01,male,55,7.378588677220284
Melaka,infant,2018-01-01,both,110,7.6
Melaka,infant,2018-01-01,female,39,5.6
Melaka,infant,2018-01-01,male,71,9.6
Melaka,infant,2019-01-01,both,89,6.318330256992759
Melaka,infant,2019-01-01,female,39,6.779661016949152
Melaka,infant,2019-01-01,male,50,5.811354492624051
Melaka,infant,2020-01-01,both,88,6.357922115454086
Melaka,infant,2020-01-01,female,38,5.663189269746646
Melaka,infant,2020-01-01,male,50,7.0116393212733135
Melaka,infant,2021-01-01,both,94,7.125530624620982
Melaka,infant,2021-01-01,female,44,6.896551724137931
Melaka,infant,2021-01-01,male,50,7.339988256018791
Melaka,infant,2022-01-01,both,88,6.7
Melaka,infant,2022-01-01,female,34,5.3
Melaka,infant,2022-01-01,male,54,8.0
Melaka,infant,2024-01-01,both,103,8.2
Melaka,infant,2024-01-01,female,57,9.4
