date,volume,value
2020-06-23,181005,111243354.96
2020-06-24,167976,114001052.67
2020-06-25,202061,127343356.71
2020-06-26,198655,156908151.04
2020-06-27,120061,43633759.22
2020-06-28,117654,37421916.4
2020-06-29,217583,184457950.61
2020-06-30,231416,177309069.39
2020-07-01,227093,110341348.42
2020-07-02,200540,94364315.03
2020-07-03,178313,94522077.43
2020-07-04,112019,40637476.08
2020-07-05,108852,36009407.92
2020-07-06,191284,98486618.34
2020-07-07,174914,96947806.65
2020-07-08,162911,94127865.02
2020-07-09,156915,99565657.07
2020-07-10,134993,107590792.84
2020-07-11,84897,36569956.55
2020-07-12,77081,32635912.92
2020-07-13,142845,91627457.06
2020-07-14,140603,92528514.98
2020-07-15,145050,123188123.49
2020-07-16,124651,97758340.74
2020-07-17,119422,100927678.38
2020-07-18,72725,31190175.19
2020-07-19,67432,25088125.06
2020-07-20,147998,103490714.62
2020-07-21,141715,104372811.58
2020-07-22,147372,94781354.06
2020-07-23,219435,124422783.65
2020-07-24,200254,130572840.75
2020-07-25,123712,44027175.27
2020-07-26,120620,35709761.28
2020-07-27,214432,146610502.68
2020-07-28,202325,162478678.09
2020-07-29,186792,179734004.63
2020-07-30,185468,204432974.17
2020-07-31,91872,42217880.14
2020-08-01,111154,39868820.6
2020-08-02,105677,35618863.9
2020-08-03,204697,112435019.42
2020-08-04,196154,114623782.49
2020-08-05,189220,105500374.54
2020-08-06,181066,107180476.51
2020-08-07,168021,113390674.94
2020-08-08,99924,40936324.01
2020-08-09,93040,36978779.47
2020-08-10,175463,110502055.34
2020-08-11,160100,110452139.08
2020-08-12,144339,107314080.94
2020-08-13,141929,105894572.35
2020-08-14,129946,116017232.93
2020-08-15,79238,37779791.4
2020-08-16,74668,31480392.81
2020-08-17,146063,109653009.14
2020-08-18,133540,114789652.01
2020-08-19,135232,127552347.36
2020-08-20,88325,46886058.63
2020-08-21,137074,131282378.81
2020-08-22,82771,37689718.3
2020-08-23,80782,31547608.67
2020-08-24,179055,150728469.08
2020-08-25,282477,172059283.0
2020-08-26,239173,179322577.73
2020-08-27,220608,233235647.4
2020-08-28,238013,276587395.17
