series,date,group,index
index,2016-07-01,851,118.5
index,2016-07-01,852,118.5
index,2016-07-01,853,108.2
index,2016-07-01,854,106.6
index,2016-07-01,861,101.6
index,2016-07-01,862,104.3
index,2016-07-01,869,102.2
index,2016-07-01,920,100.4
index,2016-07-01,931,104.7
index,2016-07-01,932,104.5
index,2016-10-01,492,107.2
index,2016-10-01,501,100.5
index,2016-10-01,511,98.1
index,2016-10-01,512,114.7
index,2016-10-01,531,111.1
index,2016-10-01,532,109.7
index,2016-10-01,551,102.0
index,2016-10-01,561,127.2
index,2016-10-01,562,118.9
index,2016-10-01,563,127.3
index,2016-10-01,611,99.2
index,2016-10-01,612,101.0
index,2016-10-01,620,102.2
index,2016-10-01,631,101.4
index,2016-10-01,682,121.1
index,2016-10-01,691,103.1
index,2016-10-01,692,105.6
index,2016-10-01,711,101.2
index,2016-10-01,851,118.5
index,2016-10-01,852,118.5
index,2016-10-01,853,108.3
index,2016-10-01,854,106.6
index,2016-10-01,861,101.8
index,2016-10-01,862,104.7
index,2016-10-01,869,102.8
index,2016-10-01,920,98.2
index,2016-10-01,931,104.9
index,2016-10-01,932,104.7
index,2017-01-01,492,107.3
index,2017-01-01,501,100.1
index,2017-01-01,511,97.6
index,2017-01-01,512,114.7
index,2017-01-01,531,111.1
index,2017-01-01,532,110.1
index,2017-01-01,551,102.7
index,2017-01-01,561,129.4
index,2017-01-01,562,119.5
index,2017-01-01,563,128.6
index,2017-01-01,611,99.2
index,2017-01-01,612,101.1
index,2017-01-01,620,102.2
index,2017-01-01,631,101.4
index,2017-01-01,682,121.2
index,2017-01-01,691,103.1
index,2017-01-01,692,106.1
index,2017-01-01,711,101.2
index,2017-01-01,851,120.7
index,2017-01-01,852,121.2
index,2017-01-01,853,109.6
index,2017-01-01,854,108.4
index,2017-01-01,861,104.0
index,2017-01-01,862,105.7
index,2017-01-01,869,104.6
index,2017-01-01,920,98.0
index,2017-01-01,931,105.4
index,2017-01-01,932,105.4
index,2017-04-01,492,107.3
index,2017-04-01,501,100.1
index,2017-04-01,511,97.4
index,2017-04-01,512,114.7
index,2017-04-01,531,111.1
index,2017-04-01,532,110.5
index,2017-04-01,551,103.0
index,2017-04-01,561,131.2
index,2017-04-01,562,120.0
index,2017-04-01,563,129.6
index,2017-04-01,611,99.2
index,2017-04-01,612,101.1
index,2017-04-01,620,102.3
index,2017-04-01,631,101.4
index,2017-04-01,682,122.7
index,2017-04-01,691,103.1
index,2017-04-01,692,106.1
index,2017-04-01,711,101.7
index,2017-04-01,851,120.7
index,2017-04-01,852,121.2
index,2017-04-01,853,110.2
index,2017-04-01,854,108.4
index,2017-04-01,861,104.1
index,2017-04-01,862,106.2
index,2017-04-01,869,104.7
index,2017-04-01,920,98.5
index,2017-04-01,931,105.7
index,2017-04-01,932,105.7
index,2017-07-01,492,107.4
index,2017-07-01,501,100.1
index,2017-07-01,511,98.5
index,2017-07-01,512,114.7
index,2017-07-01,531,111.1
index,2017-07-01,532,110.5
index,2017-07-01,551,103.0
index,2017-07-01,561,132.3
index,2017-07-01,562,120.4
index,2017-07-01,563,130.6
index,2017-07-01,611,99.2
index,2017-07-01,612,101.1
index,2017-07-01,620,102.5
index,2017-07-01,631,101.4
index,2017-07-01,682,122.9
index,2017-07-01,691,103.1
index,2017-07-01,692,106.1
index,2017-07-01,711,101.7
index,2017-07-01,851,120.7
index,2017-07-01,852,125.7
index,2017-07-01,853,110.3
index,2017-07-01,854,108.4
index,2017-07-01,861,104.2
index,2017-07-01,862,106.4
index,2017-07-01,869,105.0
index,2017-07-01,920,98.0
index,2017-07-01,931,105.7
index,2017-07-01,932,105.8
index,2017-10-01,492,107.6
index,2017-10-01,501,100.1
index,2017-10-01,511,99.1
index,2017-10-01,512,114.7
index,2017-10-01,531,111.1
index,2017-10-01,532,110.5
index,2017-10-01,551,103.3
index,2017-10-01,561,133.5
index,2017-10-01,562,120.6
index,2017-10-01,563,131.5
index,2017-10-01,611,99.2
index,2017-10-01,612,101.1
index,2017-10-01,620,102.6
index,2017-10-01,631,101.4
index,2017-10-01,682,123.0
index,2017-10-01,691,103.9
index,2017-10-01,692,106.2
index,2017-10-01,711,101.8
index,2017-10-01,851,120.7
index,2017-10-01,852,125.7
index,2017-10-01,853,110.3
index,2017-10-01,854,108.4
index,2017-10-01,861,104.2
index,2017-10-01,862,106.5
index,2017-10-01,869,105.4
index,2017-10-01,920,99.1
index,2017-10-01,931,105.8
index,2017-10-01,932,105.9
index,2018-01-01,492,107.3
index,2018-01-01,501,100.2
index,2018-01-01,511,99.0
index,2018-01-01,512,114.5
index,2018-01-01,522,103.4
index,2018-01-01,531,110.9
index,2018-01-01,532,110.5
index,2018-01-01,551,102.7
index,2018-01-01,561,134.9
index,2018-01-01,562,120.7
index,2018-01-01,563,132.8
index,2018-01-01,611,99.0
index,2018-01-01,612,101.0
index,2018-01-01,620,103.1
