date,state,office,passports
2024-02-01,Kedah,All,14557
2024-03-01,Kedah,All,11809
2024-04-01,Kedah,All,11370
2024-05-01,Kedah,All,12289
2024-06-01,Kedah,All,10922
2024-07-01,Kedah,All,12720
2024-08-01,Kedah,All,11839
2024-09-01,Kedah,All,12210
2024-10-01,Kedah,All,11411
2020-01-01,Kelantan,All,4282
2020-02-01,Kelantan,All,
2020-03-01,Kelantan,All,875
2020-04-01,Kelantan,All,0
2020-05-01,Kelantan,All,10
2020-06-01,Kelantan,All,140
2020-07-01,Kelantan,All,241
2020-08-01,Kelantan,All,233
2020-09-01,Kelantan,All,192
2020-10-01,Kelantan,All,186
2020-11-01,Kelantan,All,148
2020-12-01,Kelantan,All,174
2021-01-01,Kelantan,All,145
2021-02-01,Kelantan,All,157
2021-03-01,Kelantan,All,211
2021-04-01,Kelantan,All,171
2021-05-01,Kelantan,All,333
2021-06-01,Kelantan,All,60
2021-07-01,Kelantan,All,323
2021-08-01,Kelantan,All,253
2021-09-01,Kelantan,All,284
2021-10-01,Kelantan,All,699
2021-11-01,Kelantan,All,1516
2021-12-01,Kelantan,All,1777
2022-01-01,Kelantan,All,1205
2022-02-01,Kelantan,All,1244
2022-03-01,Kelantan,All,1845
2022-04-01,Kelantan,All,1894
2022-05-01,Kelantan,All,4053
2022-06-01,Kelantan,All,5035
2022-07-01,Kelantan,All,5261
2022-08-01,Kelantan,All,6095
2022-09-01,Kelantan,All,6947
2022-10-01,Kelantan,All,6026
2022-11-01,Kelantan,All,4245
2022-12-01,Kelantan,All,5933
2023-01-01,Kelantan,All,6522
2023-02-01,Kelantan,All,5538
2023-03-01,Kelantan,All,4726
2023-04-01,Kelantan,All,4081
2023-05-01,Kelantan,All,5556
2023-06-01,Kelantan,All,4548
2023-07-01,Kelantan,All,8151
2023-08-01,Kelantan,All,5711
2023-09-01,Kelantan,All,5532
2023-10-01,Kelantan,All,5346
2023-11-01,Kelantan,All,4191
2023-12-01,Kelantan,All,5356
2024-01-01,Kelantan,All,5842
2024-02-01,Kelantan,All,5281
2024-03-01,Kelantan,All,3618
2024-04-01,Kelantan,All,3841
2024-05-01,Kelantan,All,4192
2024-06-01,Kelantan,All,3973
2024-07-01,Kelantan,All,4729
2024-08-01,Kelantan,All,4655
2024-09-01,Kelantan,All,4347
2024-10-01,Kelantan,All,4486
2020-01-01,Melaka,All,6437
2020-02-01,Melaka,All,
2020-03-01,Melaka,All,1480
2020-04-01,Melaka,All,2
2020-05-01,Melaka,All,159
2020-06-01,Melaka,All,251
2020-07-01,Melaka,All,553
2020-08-01,Melaka,All,432
2020-09-01,Melaka,All,476
2020-10-01,Melaka,All,356
2020-11-01,Melaka,All,303
2020-12-01,Melaka,All,387
2021-01-01,Melaka,All,295
2021-02-01,Melaka,All,350
2021-03-01,Melaka,All,512
2021-04-01,Melaka,All,407
2021-05-01,Melaka,All,377
2021-06-01,Melaka,All,105
2021-07-01,Melaka,All,369
2021-08-01,Melaka,All,263
2021-09-01,Melaka,All,638
2021-10-01,Melaka,All,1222
2021-11-01,Melaka,All,1941
2021-12-01,Melaka,All,2364
2022-01-01,Melaka,All,1821
2022-02-01,Melaka,All,2194
2022-03-01,Melaka,All,3273
2022-04-01,Melaka,All,5614
2022-05-01,Melaka,All,8742
2022-06-01,Melaka,All,10530
2022-07-01,Melaka,All,9166
2022-08-01,Melaka,All,9866
2022-09-01,Melaka,All,9629
2022-10-01,Melaka,All,9895
2022-11-01,Melaka,All,9026
2022-12-01,Melaka,All,10838
2023-01-01,Melaka,All,9206
2023-02-01,Melaka,All,10759
2023-03-01,Melaka,All,9110
2023-04-01,Melaka,All,7876
2023-05-01,Melaka,All,9789
2023-06-01,Melaka,All,8492
2023-07-01,Melaka,All,8766
2023-08-01,Melaka,All,8692
2023-09-01,Melaka,All,8371
2023-10-01,Melaka,All,8239
2023-11-01,Melaka,All,8576
2023-12-01,Melaka,All,9418
2024-01-01,Melaka,All,9607
2024-02-01,Melaka,All,8954
2024-03-01,Melaka,All,7691
2024-04-01,Melaka,All,7292
2024-05-01,Melaka,All,8221
2024-06-01,Melaka,All,7568
2024-07-01,Melaka,All,7666
2024-08-01,Melaka,All,7727
2024-09-01,Melaka,All,8326
2024-10-01,Melaka,All,7699
2020-01-01,Negeri Sembilan,All,6313
2020-02-01,Negeri Sembilan,All,
2020-03-01,Negeri Sembilan,All,1545
2020-04-01,Negeri Sembilan,All,0
2020-05-01,Negeri Sembilan,All,57
2020-06-01,Negeri Sembilan,All,515
2020-07-01,Negeri Sembilan,All,552
2020-08-01,Negeri Sembilan,All,462
2020-09-01,Negeri Sembilan,All,394
2020-10-01,Negeri Sembilan,All,452
2020-11-01,Negeri Sembilan,All,161
2020-12-01,Negeri Sembilan,All,349
2021-01-01,Negeri Sembilan,All,352
2021-02-01,Negeri Sembilan,All,420
2021-03-01,Negeri Sembilan,All,607
2021-04-01,Negeri Sembilan,All,498
2021-05-01,Negeri Sembilan,All,382
2021-06-01,Negeri Sembilan,All,143
2021-07-01,Negeri Sembilan,All,557
2021-08-01,Negeri Sembilan,All,422
2021-09-01,Negeri Sembilan,All,885
2021-10-01,Negeri Sembilan,All,1366
2021-11-01,Negeri Sembilan,All,2154
2021-12-01,Negeri Sembilan,All,2418
2022-01-01,Negeri Sembilan,All,1705
2022-02-01,Negeri Sembilan,All,1883
2022-03-01,Negeri Sembilan,All,3323
2022-04-01,Negeri Sembilan,All,6488
2022-05-01,Negeri Sembilan,All,8429
2022-06-01,Negeri Sembilan,All,10491
2022-07-01,Negeri Sembilan,All,9291
2022-08-01,Negeri Sembilan,All,10567
2022-09-01,Negeri Sembilan,All,10931
2022-10-01,Negeri Sembilan,All,10539
2022-11-01,Negeri Sembilan,All,9942
2022-12-01,Negeri Sembilan,All,12282
2023-01-01,Negeri Sembilan,All,10004
2023-02-01,Negeri Sembilan,All,11105
2023-03-01,Negeri Sembilan,All,10193
2023-04-01,Negeri Sembilan,All,8116
2023-05-01,Negeri Sembilan,All,9772
2023-06-01,Negeri Sembilan,All,8654
2023-07-01,Negeri Sembilan,All,9505
2023-08-01,Negeri Sembilan,All,9031
2023-09-01,Negeri Sembilan,All,8662
2023-10-01,Negeri Sembilan,All,9560
2023-11-01,Negeri Sembilan,All,8562
2023-12-01,Negeri Sembilan,All,10881
2024-01-01,Negeri Sembilan,All,10092
2024-02-01,Negeri Sembilan,All,10123
2024-03-01,Negeri Sembilan,All,8512
2024-04-01,Negeri Sembilan,All,7668
2024-05-01,Negeri Sembilan,All,9012
2024-06-01,Negeri Sembilan,All,8181
2024-07-01,Negeri Sembilan,All,8548
2024-08-01,Negeri Sembilan,All,8847
2024-09-01,Negeri Sembilan,All,9184
2024-10-01,Negeri Sembilan,All,8361
2020-01-01,Overseas,All,3863
2020-02-01,Overseas,All,
2020-03-01,Overseas,All,2865
2020-04-01,Overseas,All,1104
2020-05-01,Overseas,All,1218
2020-06-01,Overseas,All,3549
2020-07-01,Overseas,All,5378
2020-08-01,Overseas,All,5914
2020-09-01,Overseas,All,5872
2020-10-01,Overseas,All,4827
2020-11-01,Overseas,All,5371
2020-12-01,Overseas,All,6532
2021-01-01,Overseas,All,5404
2021-02-01,Overseas,All,5113
2021-03-01,Overseas,All,6478
2021-04-01,Overseas,All,5413
2021-05-01,Overseas,All,4226
2021-06-01,Overseas,All,5279
2021-07-01,Overseas,All,4867
2021-08-01,Overseas,All,4330
2021-09-01,Overseas,All,4425
2021-10-01,Overseas,All,5104
2021-11-01,Overseas,All,6113
2021-12-01,Overseas,All,5782
2022-01-01,Overseas,All,4413
2022-02-01,Overseas,All,4417
2022-03-01,Overseas,All,6160
2022-04-01,Overseas,All,4826
2022-05-01,Overseas,All,4440
2022-06-01,Overseas,All,5327
2022-07-01,Overseas,All,6538
2022-08-01,Overseas,All,6748
2022-09-01,Overseas,All,4933
2022-10-01,Overseas,All,3878
2022-11-01,Overseas,All,3833
2022-12-01,Overseas,All,3350
2023-01-01,Overseas,All,3539
2023-02-01,Overseas,All,4034
2023-03-01,Overseas,All,4073
2023-04-01,Overseas,All,3115
2023-05-01,Overseas,All,3587
2023-06-01,Overseas,All,3022
2023-07-01,Overseas,All,3359
2023-08-01,Overseas,All,3373
2023-09-01,Overseas,All,2690
2023-10-01,Overseas,All,3082
2023-11-01,Overseas,All,3108
2023-12-01,Overseas,All,2730
2024-01-01,Overseas,All,3813
2024-02-01,Overseas,All,3508
2024-03-01,Overseas,All,3992
2024-04-01,Overseas,All,3610
2024-05-01,Overseas,All,4006
2024-06-01,Overseas,All,2861
2024-07-01,Overseas,All,3555
2024-08-01,Overseas,All,3143
2024-09-01,Overseas,All,2785
2024-10-01,Overseas,All,3119
2020-01-01,Pahang,All,6149
2020-02-01,Pahang,All,
2020-03-01,Pahang,All,1186
2020-04-01,Pahang,All,0
2020-05-01,Pahang,All,17
2020-06-01,Pahang,All,215
2020-07-01,Pahang,All,339
2020-08-01,Pahang,All,261
2020-09-01,Pahang,All,297
2020-10-01,Pahang,All,272
2020-11-01,Pahang,All,239
2020-12-01,Pahang,All,290
2021-01-01,Pahang,All,144
2021-02-01,Pahang,All,194
2021-03-01,Pahang,All,428
2021-04-01,Pahang,All,341
2021-05-01,Pahang,All,166
2021-06-01,Pahang,All,92
2021-07-01,Pahang,All,360
2021-08-01,Pahang,All,333
2021-09-01,Pahang,All,396
2021-10-01,Pahang,All,970
2021-11-01,Pahang,All,1779
2021-12-01,Pahang,All,1814
2022-01-01,Pahang,All,1545
2022-02-01,Pahang,All,1368
2022-03-01,Pahang,All,2617
2022-04-01,Pahang,All,4643
2022-05-01,Pahang,All,6461
2022-06-01,Pahang,All,8716
2022-07-01,Pahang,All,8076
2022-08-01,Pahang,All,9051
2022-09-01,Pahang,All,9658
2022-10-01,Pahang,All,8411
2022-11-01,Pahang,All,7169
2022-12-01,Pahang,All,9665
2023-01-01,Pahang,All,9122
2023-02-01,Pahang,All,10323
2023-03-01,Pahang,All,9152
2023-04-01,Pahang,All,7850
2023-05-01,Pahang,All,8241
2023-06-01,Pahang,All,8326
2023-07-01,Pahang,All,8055
2023-08-01,Pahang,All,8673
2023-09-01,Pahang,All,7421
2023-10-01,Pahang,All,7555
2023-11-01,Pahang,All,7137
2023-12-01,Pahang,All,8167
2024-01-01,Pahang,All,8802
2024-02-01,Pahang,All,9162
2024-03-01,Pahang,All,6767
2024-04-01,Pahang,All,6708
2024-05-01,Pahang,All,7497
2024-06-01,Pahang,All,6629
2024-07-01,Pahang,All,7159
2024-08-01,Pahang,All,7297
2024-09-01,Pahang,All,7572
2024-10-01,Pahang,All,6791
2020-01-01,Perak,All,13366
2020-02-01,Perak,All,
2020-03-01,Perak,All,2994
2020-04-01,Perak,All,1
2020-05-01,Perak,All,139
2020-06-01,Perak,All,501
2020-07-01,Perak,All,963
2020-08-01,Perak,All,746
2020-09-01,Perak,All,667
2020-10-01,Perak,All,625
2020-11-01,Perak,All,318
2020-12-01,Perak,All,794
2021-01-01,Perak,All,519
2021-02-01,Perak,All,514
2021-03-01,Perak,All,1240
2021-04-01,Perak,All,987
2021-05-01,Perak,All,523
2021-06-01,Perak,All,103
2021-07-01,Perak,All,526
2021-08-01,Perak,All,717
2021-09-01,Perak,All,935
2021-10-01,Perak,All,2060
2021-11-01,Perak,All,3670
2021-12-01,Perak,All,4815
2022-01-01,Perak,All,3486
2022-02-01,Perak,All,3480
2022-03-01,Perak,All,5610
2022-04-01,Perak,All,8857
2022-05-01,Perak,All,13912
2022-06-01,Perak,All,19799
2022-07-01,Perak,All,18036
2022-08-01,Perak,All,20986
2022-09-01,Perak,All,21259
2022-10-01,Perak,All,20487
2022-11-01,Perak,All,17729
2022-12-01,Perak,All,21711
2023-01-01,Perak,All,18925
2023-02-01,Perak,All,22786
2023-03-01,Perak,All,22273
2023-04-01,Perak,All,17592
2023-05-01,Perak,All,19864
2023-06-01,Perak,All,17237
2023-07-01,Perak,All,18537
2023-08-01,Perak,All,18051
2023-09-01,Perak,All,16740
2023-10-01,Perak,All,16633
2023-11-01,Perak,All,15987
2023-12-01,Perak,All,18749
2024-01-01,Perak,All,18308
2024-02-01,Perak,All,19171
2024-03-01,Perak,All,15898
2024-04-01,Perak,All,15330
2024-05-01,Perak,All,17008
2024-06-01,Perak,All,14892
2024-07-01,Perak,All,16127
2024-08-01,Perak,All,15989
2024-09-01,Perak,All,15681
2024-10-01,Perak,All,14915
2020-01-01,Perlis,All,1405
2020-02-01,Perlis,All,
2020-03-01,Perlis,All,265
2020-04-01,Perlis,All,3
2020-05-01,Perlis,All,19
2020-06-01,Perlis,All,47
2020-07-01,Perlis,All,63
2020-08-01,Perlis,All,53
2020-09-01,Perlis,All,69
2020-10-01,Perlis,All,71
2020-11-01,Perlis,All,106
2020-12-01,Perlis,All,60
2021-01-01,Perlis,All,53
2021-02-01,Perlis,All,26
2021-03-01,Perlis,All,49
2021-04-01,Perlis,All,49
2021-05-01,Perlis,All,61
2021-06-01,Perlis,All,19
2021-07-01,Perlis,All,41
2021-08-01,Perlis,All,47
2021-09-01,Perlis,All,57
2021-10-01,Perlis,All,184
2021-11-01,Perlis,All,368
2021-12-01,Perlis,All,408
2022-01-01,Perlis,All,235
2022-02-01,Perlis,All,254
2022-03-01,Perlis,All,390
2022-04-01,Perlis,All,728
2022-05-01,Perlis,All,1556
2022-06-01,Perlis,All,1810
2022-07-01,Perlis,All,1842
2022-08-01,Perlis,All,1833
2022-09-01,Perlis,All,2286
2022-10-01,Perlis,All,1856
2022-11-01,Perlis,All,1574
2022-12-01,Perlis,All,2485
2023-01-01,Perlis,All,2318
2023-02-01,Perlis,All,2835
2023-03-01,Perlis,All,2351
2023-04-01,Perlis,All,2023
2023-05-01,Perlis,All,1850
2023-06-01,Perlis,All,1785
2023-07-01,Perlis,All,2605
2023-08-01,Perlis,All,2104
2023-09-01,Perlis,All,1721
2023-10-01,Perlis,All,1999
2023-11-01,Perlis,All,2058
2023-12-01,Perlis,All,2395
2024-01-01,Perlis,All,2442
2024-02-01,Perlis,All,2596
2024-03-01,Perlis,All,1367
2024-04-01,Perlis,All,1802
2024-05-01,Perlis,All,2134
2024-06-01,Perlis,All,1912
2024-07-01,Perlis,All,1851
2024-08-01,Perlis,All,1824
2024-09-01,Perlis,All,1755
2024-10-01,Perlis,All,1744
2020-01-01,Pulau Pinang,All,11206
2020-02-01,Pulau Pinang,All,
2020-03-01,Pulau Pinang,All,2273
2020-04-01,Pulau Pinang,All,0
2020-05-01,Pulau Pinang,All,161
2020-06-01,Pulau Pinang,All,429
2020-07-01,Pulau Pinang,All,766
2020-08-01,Pulau Pinang,All,596
2020-09-01,Pulau Pinang,All,622
2020-10-01,Pulau Pinang,All,638
2020-11-01,Pulau Pinang,All,309
2020-12-01,Pulau Pinang,All,681
2021-01-01,Pulau Pinang,All,493
2021-02-01,Pulau Pinang,All,377
2021-03-01,Pulau Pinang,All,1035
2021-04-01,Pulau Pinang,All,1029
2021-05-01,Pulau Pinang,All,595
2021-06-01,Pulau Pinang,All,125
2021-07-01,Pulau Pinang,All,721
2021-08-01,Pulau Pinang,All,704
2021-09-01,Pulau Pinang,All,939
2021-10-01,Pulau Pinang,All,2468
2021-11-01,Pulau Pinang,All,3578
2021-12-01,Pulau Pinang,All,3618
2022-01-01,Pulau Pinang,All,2725
2022-02-01,Pulau Pinang,All,3184
2022-03-01,Pulau Pinang,All,4498
2022-04-01,Pulau Pinang,All,9394
2022-05-01,Pulau Pinang,All,13445
2022-06-01,Pulau Pinang,All,18037
2022-07-01,Pulau Pinang,All,16354
2022-08-01,Pulau Pinang,All,20221
2022-09-01,Pulau Pinang,All,19699
2022-10-01,Pulau Pinang,All,20509
2022-11-01,Pulau Pinang,All,17974
2022-12-01,Pulau Pinang,All,20988
2023-01-01,Pulau Pinang,All,18882
2023-02-01,Pulau Pinang,All,21137
2023-03-01,Pulau Pinang,All,20465
2023-04-01,Pulau Pinang,All,16737
2023-05-01,Pulau Pinang,All,18654
2023-06-01,Pulau Pinang,All,17046
2023-07-01,Pulau Pinang,All,17339
2023-08-01,Pulau Pinang,All,16917
2023-09-01,Pulau Pinang,All,15395
2023-10-01,Pulau Pinang,All,16196
2023-11-01,Pulau Pinang,All,15196
2023-12-01,Pulau Pinang,All,16407
2024-01-01,Pulau Pinang,All,16859
2024-02-01,Pulau Pinang,All,16587
2024-03-01,Pulau Pinang,All,15620
2024-04-01,Pulau Pinang,All,13622
2024-05-01,Pulau Pinang,All,14900
2024-06-01,Pulau Pinang,All,13824
2024-07-01,Pulau Pinang,All,15134
2024-08-01,Pulau Pinang,All,14336
2024-09-01,Pulau Pinang,All,13695
2024-10-01,Pulau Pinang,All,13173
2020-01-01,Sabah,All,7900
2020-02-01,Sabah,All,
2020-03-01,Sabah,All,2045
2020-04-01,Sabah,All,0
2020-05-01,Sabah,All,159
2020-06-01,Sabah,All,620
2020-07-01,Sabah,All,946
2020-08-01,Sabah,All,701
2020-09-01,Sabah,All,642
2020-10-01,Sabah,All,73
2020-11-01,Sabah,All,44
2020-12-01,Sabah,All,762
2021-01-01,Sabah,All,453
2021-02-01,Sabah,All,516
2021-03-01,Sabah,All,1133
2021-04-01,Sabah,All,912
2021-05-01,Sabah,All,514
2021-06-01,Sabah,All,90
2021-07-01,Sabah,All,503
2021-08-01,Sabah,All,727
2021-09-01,Sabah,All,752
2021-10-01,Sabah,All,1688
2021-11-01,Sabah,All,2968
2021-12-01,Sabah,All,3272
2022-01-01,Sabah,All,2623
2022-02-01,Sabah,All,2038
2022-03-01,Sabah,All,4075
2022-04-01,Sabah,All,5521
2022-05-01,Sabah,All,7544
2022-06-01,Sabah,All,10478
2022-07-01,Sabah,All,8178
2022-08-01,Sabah,All,8925
2022-09-01,Sabah,All,9299
2022-10-01,Sabah,All,9004
2022-11-01,Sabah,All,8161
2022-12-01,Sabah,All,10662
2023-01-01,Sabah,All,10469
2023-02-01,Sabah,All,12215
2023-03-01,Sabah,All,10725
2023-04-01,Sabah,All,8766
2023-05-01,Sabah,All,9971
2023-06-01,Sabah,All,9584
2023-07-01,Sabah,All,9255
2023-08-01,Sabah,All,9032
2023-09-01,Sabah,All,8609
2023-10-01,Sabah,All,9778
2023-11-01,Sabah,All,8666
2023-12-01,Sabah,All,10179
2024-01-01,Sabah,All,11798
2024-02-01,Sabah,All,11317
2024-03-01,Sabah,All,8915
2024-04-01,Sabah,All,8753
2024-05-01,Sabah,All,8874
2024-06-01,Sabah,All,8790
2024-07-01,Sabah,All,8710
2024-08-01,Sabah,All,8973
2024-09-01,Sabah,All,9601
2024-10-01,Sabah,All,8758
2020-01-01,Sarawak,All,12289
2020-02-01,Sarawak,All,
2020-03-01,Sarawak,All,2762
2020-04-01,Sarawak,All,9
2020-05-01,Sarawak,All,287
2020-06-01,Sarawak,All,1369
2020-07-01,Sarawak,All,1407
2020-08-01,Sarawak,All,1149
2020-09-01,Sarawak,All,1341
2020-10-01,Sarawak,All,795
2020-11-01,Sarawak,All,643
2020-12-01,Sarawak,All,1163
2021-01-01,Sarawak,All,803
2021-02-01,Sarawak,All,606
2021-03-01,Sarawak,All,1687
2021-04-01,Sarawak,All,1363
2021-05-01,Sarawak,All,871
2021-06-01,Sarawak,All,168
2021-07-01,Sarawak,All,1470
2021-08-01,Sarawak,All,1279
2021-09-01,Sarawak,All,1207
2021-10-01,Sarawak,All,2161
2021-11-01,Sarawak,All,3073
2021-12-01,Sarawak,All,3331
2022-01-01,Sarawak,All,3066
2022-02-01,Sarawak,All,3881
2022-03-01,Sarawak,All,5688
