series,state,district,date,sector,value
abs,Johor,Kluang,2018-01-01,p3,1816.6556
abs,Johor,Kluang,2018-01-01,p4,61.9925
abs,Johor,Kluang,2018-01-01,p5,3489.7565
abs,Johor,Kluang,2019-01-01,p0,8988.3391
abs,Johor,Kluang,2019-01-01,p1,3340.148
abs,Johor,Kluang,2019-01-01,p2,12.5462
abs,Johor,Kluang,2019-01-01,p3,1857.727
abs,Johor,Kluang,2019-01-01,p4,49.8013
abs,Johor,Kluang,2019-01-01,p5,3651.2928
abs,Johor,Kluang,2020-01-01,p0,9133.62
abs,Johor,Kluang,2020-01-01,p1,3574.71
abs,Johor,Kluang,2020-01-01,p2,10.0725
abs,Johor,Kluang,2020-01-01,p3,1807.6778
abs,Johor,Kluang,2020-01-01,p4,49.7283
abs,Johor,Kluang,2020-01-01,p5,3626.8045
abs,Johor,Kota Tinggi,2015-01-01,p0,5906.7958
abs,Johor,Kota Tinggi,2015-01-01,p1,2066.9342
abs,Johor,Kota Tinggi,2015-01-01,p2,120.3248
abs,Johor,Kota Tinggi,2015-01-01,p3,271.1284
abs,Johor,Kota Tinggi,2015-01-01,p4,1665.4862
abs,Johor,Kota Tinggi,2015-01-01,p5,1767.1483
abs,Johor,Kota Tinggi,2016-01-01,p0,8151.9831
abs,Johor,Kota Tinggi,2016-01-01,p1,1856.8442
abs,Johor,Kota Tinggi,2016-01-01,p2,150.2321
abs,Johor,Kota Tinggi,2016-01-01,p3,272.7964
abs,Johor,Kota Tinggi,2016-01-01,p4,4000.3697
abs,Johor,Kota Tinggi,2016-01-01,p5,1850.1196
abs,Johor,Kota Tinggi,2017-01-01,p0,8244.496
abs,Johor,Kota Tinggi,2017-01-01,p1,2022.4979
abs,Johor,Kota Tinggi,2017-01-01,p2,171.3766
abs,Johor,Kota Tinggi,2017-01-01,p3,283.2697
abs,Johor,Kota Tinggi,2017-01-01,p4,3810.6748
abs,Johor,Kota Tinggi,2017-01-01,p5,1933.5184
abs,Johor,Kota Tinggi,2018-01-01,p0,8999.904
abs,Johor,Kota Tinggi,2018-01-01,p1,2075.8116
abs,Johor,Kota Tinggi,2018-01-01,p2,187.3479
abs,Johor,Kota Tinggi,2018-01-01,p3,285.4652
abs,Johor,Kota Tinggi,2018-01-01,p4,4201.397
abs,Johor,Kota Tinggi,2018-01-01,p5,2229.4597
abs,Johor,Kota Tinggi,2019-01-01,p0,7662.7418
abs,Johor,Kota Tinggi,2019-01-01,p1,1955.6147
abs,Johor,Kota Tinggi,2019-01-01,p2,215.1371
abs,Johor,Kota Tinggi,2019-01-01,p3,399.5827
abs,Johor,Kota Tinggi,2019-01-01,p4,2631.6184
abs,Johor,Kota Tinggi,2019-01-01,p5,2437.737
abs,Johor,Kota Tinggi,2020-01-01,p0,6356.232
abs,Johor,Kota Tinggi,2020-01-01,p1,1951.7939
abs,Johor,Kota Tinggi,2020-01-01,p2,177.8495
abs,Johor,Kota Tinggi,2020-01-01,p3,673.565
abs,Johor,Kota Tinggi,2020-01-01,p4,1132.9472
abs,Johor,Kota Tinggi,2020-01-01,p5,2393.3618
abs,Johor,Kulai,2015-01-01,p0,9052.8778
abs,Johor,Kulai,2015-01-01,p1,401.5746
abs,Johor,Kulai,2015-01-01,p2,107.2741
abs,Johor,Kulai,2015-01-01,p3,4341.6416
abs,Johor,Kulai,2015-01-01,p4,187.6128
abs,Johor,Kulai,2015-01-01,p5,3869.6266
abs,Johor,Kulai,2016-01-01,p0,9558.7071
abs,Johor,Kulai,2016-01-01,p1,415.1138
abs,Johor,Kulai,2016-01-01,p2,127.4231
abs,Johor,Kulai,2016-01-01,p3,4569.558
abs,Johor,Kulai,2016-01-01,p4,176.6673
abs,Johor,Kulai,2016-01-01,p5,4067.0082
abs,Johor,Kulai,2017-01-01,p0,10017.2412
abs,Johor,Kulai,2017-01-01,p1,455.9819
abs,Johor,Kulai,2017-01-01,p2,144.6724
abs,Johor,Kulai,2017-01-01,p3,4783.6828
abs,Johor,Kulai,2017-01-01,p4,129.2658
abs,Johor,Kulai,2017-01-01,p5,4291.0392
abs,Johor,Kulai,2018-01-01,p0,10514.3347
abs,Johor,Kulai,2018-01-01,p1,477.1055
