series,date,sector,value
abs,2016-01-01,p1.4,12432.661
abs,2016-01-01,p1.4.1,8380.134
abs,2016-01-01,p1.4.2,4052.527
abs,2016-01-01,p2,105367.659
abs,2016-01-01,p2.1,46821.04
abs,2016-01-01,p2.2,50606.68
abs,2016-01-01,p2.3,7939.94
abs,2016-01-01,p3,273898.543
abs,2016-01-01,p3.1,33677.994
abs,2016-01-01,p3.1.1,11335.646
abs,2016-01-01,p3.1.2,14232.548
abs,2016-01-01,p3.1.3,4556.905
abs,2016-01-01,p3.1.4,3552.895
abs,2016-01-01,p3.2,5263.85
abs,2016-01-01,p3.2.1,4584.238
abs,2016-01-01,p3.2.2,679.612
abs,2016-01-01,p3.3,14451.486
abs,2016-01-01,p3.3.1,6698.793
abs,2016-01-01,p3.3.2,4066.046
abs,2016-01-01,p3.3.3,3686.647
abs,2016-01-01,p3.4,81717.371
abs,2016-01-01,p3.4.1,35522.323
abs,2016-01-01,p3.4.2,30239.387
abs,2016-01-01,p3.4.3,6642.008
abs,2016-01-01,p3.4.4,9313.653
abs,2016-01-01,p3.5,32906.903
abs,2016-01-01,p3.5.1,10778.355
abs,2016-01-01,p3.5.2,7475.544
abs,2016-01-01,p3.5.3,14653.004
abs,2016-01-01,p3.6,75555.47099999999
abs,2016-01-01,p3.6.1,8752.715
abs,2016-01-01,p3.6.2,5625.473
abs,2016-01-01,p3.6.3,5599.629
abs,2016-01-01,p3.6.4,50640.772
abs,2016-01-01,p3.6.5,4936.882
abs,2016-01-01,p3.7,30325.466999999997
abs,2016-01-01,p3.7.1,22120.123
abs,2016-01-01,p3.7.2,4318.065
abs,2016-01-01,p3.7.3,3887.279
abs,2016-01-01,p4,59507.909
abs,2016-01-01,p4.1,31745.282
abs,2016-01-01,p4.1.1,16548.52
abs,2016-01-01,p4.1.2,15196.762
abs,2016-01-01,p4.2,17790.707
abs,2016-01-01,p4.3,9971.921
abs,2016-01-01,p5,680561.319
abs,2016-01-01,p5.1,145175.961
abs,2016-01-01,p5.1.1,27075.254
abs,2016-01-01,p5.1.2,6336.801
abs,2016-01-01,p5.1.3,44463.084
abs,2016-01-01,p5.1.3.1,10936.3
abs,2016-01-01,p5.1.3.2,6168.882
abs,2016-01-01,p5.1.3.3,5904.324
abs,2016-01-01,p5.1.3.4,6230.375
abs,2016-01-01,p5.1.3.5,6620.978
abs,2016-01-01,p5.1.3.6,6733.393
abs,2016-01-01,p5.1.3.7,1868.831
abs,2016-01-01,p5.1.4,67300.822
abs,2016-01-01,p5.1.4.1,6874.688
abs,2016-01-01,p5.1.4.2,44870.171
abs,2016-01-01,p5.1.4.3,15555.962
abs,2016-01-01,p5.2,234538.51299999998
abs,2016-01-01,p5.2.1,195707.441
abs,2016-01-01,p5.2.1.1,89006.651
abs,2016-01-01,p5.2.1.2,84103.018
abs,2016-01-01,p5.2.1.3,22597.772
abs,2016-01-01,p5.2.2,30575.367
abs,2016-01-01,p5.2.3,8255.705
abs,2016-01-01,p5.3,135687.043
abs,2016-01-01,p5.3.1,60887.553
abs,2016-01-01,p5.3.1.1,51534.361
abs,2016-01-01,p5.3.1.2,9353.192
abs,2016-01-01,p5.3.2,19834.822
abs,2016-01-01,p5.3.2.1,19231.778
abs,2016-01-01,p5.3.2.2,603.044
abs,2016-01-01,p5.3.3,18411.7
abs,2016-01-01,p5.3.4,36552.968
abs,2016-01-01,p5.3.4.1,24829.192
abs,2016-01-01,p5.3.4.2,11723.776
abs,2016-01-01,p5.4,60539.449
abs,2016-01-01,p5.4.1,8472.751
abs,2016-01-01,p5.4.2,9856.236
abs,2016-01-01,p5.4.3,27491.422
abs,2016-01-01,p5.4.4,329.487
abs,2016-01-01,p5.4.5,1181.161
abs,2016-01-01,p5.4.6,13208.392
abs,2016-01-01,p5.5,104620.355
abs,2016-01-01,p5.5.01,16725.314
abs,2016-01-01,p5.5.02,8743.169
abs,2016-01-01,p5.5.03,9937.208
abs,2016-01-01,p5.5.04,8666.186
abs,2016-01-01,p5.5.05,366.714
abs,2016-01-01,p5.5.06,1484.607
abs,2016-01-01,p5.5.07,14647.0
abs,2016-01-01,p5.5.08,1811.191
abs,2016-01-01,p5.5.09,41094.898
abs,2016-01-01,p5.5.10,1144.068
abs,2016-01-01,p6,15999.622
abs,2017-01-01,p0,1300769.02
abs,2017-01-01,p1,99508.778
abs,2017-01-01,p1.1,66090.984
abs,2017-01-01,p1.1.1,3431.524
abs,2017-01-01,p1.1.2,38365.97
abs,2017-01-01,p1.1.3,2224.702
abs,2017-01-01,p1.1.4,10399.856
abs,2017-01-01,p1.1.5,4414.246
abs,2017-01-01,p1.1.6,6142.992
abs,2017-01-01,p1.1.7,1111.694
abs,2017-01-01,p1.2,13827.037
abs,2017-01-01,p1.2.1,8330.447
abs,2017-01-01,p1.2.2 ,1028.634
abs,2017-01-01,p1.2.3,4467.956
abs,2017-01-01,p1.3,7266.121
abs,2017-01-01,p1.4,12324.637
abs,2017-01-01,p1.4.1,8093.17
abs,2017-01-01,p1.4.2,4231.467
abs,2017-01-01,p2,105837.798
abs,2017-01-01,p2.1,45806.848
abs,2017-01-01,p2.2,51491.797
abs,2017-01-01,p2.3,8539.153
abs,2017-01-01,p3,290463.685
abs,2017-01-01,p3.1,37017.667
abs,2017-01-01,p3.1.1,13325.959
abs,2017-01-01,p3.1.2,15093.643
abs,2017-01-01,p3.1.3,4974.533
abs,2017-01-01,p3.1.4,3623.532
abs,2017-01-01,p3.2,5682.066
abs,2017-01-01,p3.2.1,4960.088
abs,2017-01-01,p3.2.2,721.978
abs,2017-01-01,p3.3,15088.514000000001
abs,2017-01-01,p3.3.1,6938.263
abs,2017-01-01,p3.3.2,4287.331
abs,2017-01-01,p3.3.3,3862.92
abs,2017-01-01,p3.4,84998.41
abs,2017-01-01,p3.4.1,36750.173
abs,2017-01-01,p3.4.2,31611.79
abs,2017-01-01,p3.4.3,7061.682
abs,2017-01-01,p3.4.4,9574.765
abs,2017-01-01,p3.5,34516.416
abs,2017-01-01,p3.5.1,11264.696
abs,2017-01-01,p3.5.2,7864.976
abs,2017-01-01,p3.5.3,15386.744
abs,2017-01-01,p3.6,81217.888
abs,2017-01-01,p3.6.1,9203.499
abs,2017-01-01,p3.6.2,5240.391
abs,2017-01-01,p3.6.3,6059.679
abs,2017-01-01,p3.6.4,55731.288
abs,2017-01-01,p3.6.5,4983.031
abs,2017-01-01,p3.7,31942.724000000002
abs,2017-01-01,p3.7.1,23139.392
abs,2017-01-01,p3.7.2,4568.97
abs,2017-01-01,p3.7.3,4234.362
abs,2017-01-01,p4,63521.684
abs,2017-01-01,p4.1,32525.471
abs,2017-01-01,p4.1.1,16988.182
abs,2017-01-01,p4.1.2,15537.289
abs,2017-01-01,p4.2,20253.299
abs,2017-01-01,p4.3,10742.914
abs,2017-01-01,p5,723360.73
abs,2017-01-01,p5.1,154721.80099999998
abs,2017-01-01,p5.1.1,27670.783
abs,2017-01-01,p5.1.2,6725.262
abs,2017-01-01,p5.1.3,47212.481
abs,2017-01-01,p5.1.3.1,11694.72
abs,2017-01-01,p5.1.3.2,6304.436
abs,2017-01-01,p5.1.3.3,6093.131
abs,2017-01-01,p5.1.3.4,6734.909
abs,2017-01-01,p5.1.3.5,7145.505
abs,2017-01-01,p5.1.3.6,7230.295
abs,2017-01-01,p5.1.3.7,2009.484
abs,2017-01-01,p5.1.4,73113.275
abs,2017-01-01,p5.1.4.1,7374.213
abs,2017-01-01,p5.1.4.2,49057.562
abs,2017-01-01,p5.1.4.3,16681.501
abs,2017-01-01,p5.2,251632.943
abs,2017-01-01,p5.2.1,209885.35
abs,2017-01-01,p5.2.1.1,94906.445
abs,2017-01-01,p5.2.1.2,92077.25
abs,2017-01-01,p5.2.1.3,22901.654
abs,2017-01-01,p5.2.2,33043.41
abs,2017-01-01,p5.2.3,8704.183
abs,2017-01-01,p5.3,143663.119
abs,2017-01-01,p5.3.1,63972.727
abs,2017-01-01,p5.3.1.1,53835.313
abs,2017-01-01,p5.3.1.2,10137.414
abs,2017-01-01,p5.3.2,20558.781
abs,2017-01-01,p5.3.2.1,19947.719
abs,2017-01-01,p5.3.2.2,611.062
abs,2017-01-01,p5.3.3,19392.933
abs,2017-01-01,p5.3.4,39738.678
abs,2017-01-01,p5.3.4.1,27158.49
abs,2017-01-01,p5.3.4.2,12580.188
abs,2017-01-01,p5.4,63648.761
abs,2017-01-01,p5.4.1,8965.017
abs,2017-01-01,p5.4.2,10501.243
abs,2017-01-01,p5.4.3,28796.0
abs,2017-01-01,p5.4.4,341.465
abs,2017-01-01,p5.4.5,1198.767
abs,2017-01-01,p5.4.6,13846.269
abs,2017-01-01,p5.5,109694.105
abs,2017-01-01,p5.5.01,15881.029
abs,2017-01-01,p5.5.02,9024.86
abs,2017-01-01,p5.5.03,10334.648
abs,2017-01-01,p5.5.04,9355.534
abs,2017-01-01,p5.5.05,395.421
abs,2017-01-01,p5.5.06,1858.607
abs,2017-01-01,p5.5.07,15816.165
abs,2017-01-01,p5.5.08,2063.627
abs,2017-01-01,p5.5.09,43626.797
abs,2017-01-01,p5.5.10,1337.416
abs,2017-01-01,p6,18076.345
abs,2018-01-01,p0,1363766.395
abs,2018-01-01,p1,99637.079
abs,2018-01-01,p1.1,65842.17099999999
abs,2018-01-01,p1.1.1,2828.774
abs,2018-01-01,p1.1.2,37664.318
abs,2018-01-01,p1.1.3,2361.56
abs,2018-01-01,p1.1.4,10837.085
abs,2018-01-01,p1.1.5,4612.838
abs,2018-01-01,p1.1.6,6395.465
abs,2018-01-01,p1.1.7,1142.131
abs,2018-01-01,p1.2,14583.972
abs,2018-01-01,p1.2.1,8668.663
abs,2018-01-01,p1.2.2 ,1037.274
abs,2018-01-01,p1.2.3,4878.034
abs,2018-01-01,p1.3,6986.012
abs,2018-01-01,p1.4,12224.924
abs,2018-01-01,p1.4.1,8080.626
abs,2018-01-01,p1.4.2,4144.298
abs,2018-01-01,p2,103557.006
abs,2018-01-01,p2.1,45429.777
abs,2018-01-01,p2.2,49321.502
abs,2018-01-01,p2.3,8805.727
abs,2018-01-01,p3,304842.657
abs,2018-01-01,p3.1,38287.73
abs,2018-01-01,p3.1.1,13318.878
abs,2018-01-01,p3.1.2,16149.379
abs,2018-01-01,p3.1.3,5133.49
abs,2018-01-01,p3.1.4,3685.983
abs,2018-01-01,p3.2,5926.613
abs,2018-01-01,p3.2.1,5178.42
abs,2018-01-01,p3.2.2,748.193
abs,2018-01-01,p3.3,15809.436999999998
abs,2018-01-01,p3.3.1,7323.292
abs,2018-01-01,p3.3.2,4472.954
abs,2018-01-01,p3.3.3,4013.191
abs,2018-01-01,p3.4,88418.87400000001
abs,2018-01-01,p3.4.1,37962.031
abs,2018-01-01,p3.4.2,33071.251
abs,2018-01-01,p3.4.3,7419.335
abs,2018-01-01,p3.4.4,9966.257
abs,2018-01-01,p3.5,36223.736
abs,2018-01-01,p3.5.1,11886.529
abs,2018-01-01,p3.5.2,8176.037
abs,2018-01-01,p3.5.3,16161.17
abs,2018-01-01,p3.6,86317.205
abs,2018-01-01,p3.6.1,9690.224
abs,2018-01-01,p3.6.2,5455.878
abs,2018-01-01,p3.6.3,6114.961
abs,2018-01-01,p3.6.4,59698.735
abs,2018-01-01,p3.6.5,5357.407
abs,2018-01-01,p3.7,33859.063
abs,2018-01-01,p3.7.1,24582.312
abs,2018-01-01,p3.7.2,4760.86
abs,2018-01-01,p3.7.3,4515.891
abs,2018-01-01,p4,66194.272
abs,2018-01-01,p4.1,31159.632
abs,2018-01-01,p4.1.1,15811.799
abs,2018-01-01,p4.1.2,15347.833
abs,2018-01-01,p4.2,23353.567
abs,2018-01-01,p4.3,11681.073
abs,2018-01-01,p5,772989.861
abs,2018-01-01,p5.1,165427.832
abs,2018-01-01,p5.1.1,28931.512
abs,2018-01-01,p5.1.2,7177.484
abs,2018-01-01,p5.1.3,50208.37
abs,2018-01-01,p5.1.3.1,12517.893
abs,2018-01-01,p5.1.3.2,6463.991
abs,2018-01-01,p5.1.3.3,6210.057
abs,2018-01-01,p5.1.3.4,7307.596
abs,2018-01-01,p5.1.3.5,7719.452
abs,2018-01-01,p5.1.3.6,7786.531
abs,2018-01-01,p5.1.3.7,2202.851
abs,2018-01-01,p5.1.4,79110.466
abs,2018-01-01,p5.1.4.1,7784.842
abs,2018-01-01,p5.1.4.2,53346.227
abs,2018-01-01,p5.1.4.3,17979.397
abs,2018-01-01,p5.2,272668.167
abs,2018-01-01,p5.2.1,227166.126
abs,2018-01-01,p5.2.1.1,101926.661
abs,2018-01-01,p5.2.1.2,101470.919
abs,2018-01-01,p5.2.1.3,23768.546
abs,2018-01-01,p5.2.2,36263.411
abs,2018-01-01,p5.2.3,9238.63
abs,2018-01-01,p5.3,152833.266
abs,2018-01-01,p5.3.1,66484.753
abs,2018-01-01,p5.3.1.1,56116.026
abs,2018-01-01,p5.3.1.2,10368.727
abs,2018-01-01,p5.3.2,22603.518
abs,2018-01-01,p5.3.2.1,21974.05
abs,2018-01-01,p5.3.2.2,629.467
abs,2018-01-01,p5.3.3,20380.726
abs,2018-01-01,p5.3.4,43364.269
abs,2018-01-01,p5.3.4.1,29799.948
abs,2018-01-01,p5.3.4.2,13564.321
abs,2018-01-01,p5.4,67169.54599999999
abs,2018-01-01,p5.4.1,9504.484
abs,2018-01-01,p5.4.2,11155.524
abs,2018-01-01,p5.4.3,30131.0
abs,2018-01-01,p5.4.4,354.284
abs,2018-01-01,p5.4.5,1226.7
abs,2018-01-01,p5.4.6,14797.554
abs,2018-01-01,p5.5,114891.052
abs,2018-01-01,p5.5.01,14724.055
abs,2018-01-01,p5.5.02,7909.894
abs,2018-01-01,p5.5.03,10437.999
abs,2018-01-01,p5.5.04,14401.378
abs,2018-01-01,p5.5.05,321.628
abs,2018-01-01,p5.5.06,2410.338
abs,2018-01-01,p5.5.07,16576.966
abs,2018-01-01,p5.5.08,1710.55
abs,2018-01-01,p5.5.09,44296.333
abs,2018-01-01,p5.5.10,2101.91
abs,2018-01-01,p6,16545.52
abs,2019-01-01,p0,1423951.962
abs,2019-01-01,p1,101573.328
abs,2019-01-01,p1.1,67610.13900000001
abs,2019-01-01,p1.1.1,3001.978
abs,2019-01-01,p1.1.2,38239.465
abs,2019-01-01,p1.1.3,2363.35
abs,2019-01-01,p1.1.4,11373.654
abs,2019-01-01,p1.1.5,4760.205
abs,2019-01-01,p1.1.6,6693.686
abs,2019-01-01,p1.1.7,1177.801
abs,2019-01-01,p1.2,15458.767
abs,2019-01-01,p1.2.1,9266.801
abs,2019-01-01,p1.2.2 ,1100.696
abs,2019-01-01,p1.2.3,5091.27
abs,2019-01-01,p1.3,6382.42
abs,2019-01-01,p1.4,12122.002
abs,2019-01-01,p1.4.1,8053.959
abs,2019-01-01,p1.4.2,4068.043
abs,2019-01-01,p2,102887.372
abs,2019-01-01,p2.1,42460.449
abs,2019-01-01,p2.2,50643.41
abs,2019-01-01,p2.3,9783.514
abs,2019-01-01,p3,316282.973
abs,2019-01-01,p3.1,39628.78399999999
abs,2019-01-01,p3.1.1,13177.849
abs,2019-01-01,p3.1.2,17269.781
abs,2019-01-01,p3.1.3,5281.702
abs,2019-01-01,p3.1.4,3899.452
abs,2019-01-01,p3.2,6251.115
abs,2019-01-01,p3.2.1,5465.593
abs,2019-01-01,p3.2.2,785.522
