date,rate_type,USD,EUR,JPY,GBP,SGD,AUD,CAD
2003-07-07,buying,3.77,,0.03181,6.2854,2.1515,,
2003-07-07,selling,3.83,,0.03246,6.3694,2.1935,,
2003-07-08,buying,3.77,,0.03182,6.2189,2.1441,,
2003-07-08,selling,3.83,,0.03248,6.3131,2.1834,,
2003-07-09,buying,3.77,,0.0318,6.169,2.1432,,
2003-07-09,selling,3.83,,0.03241,6.2617,2.1839,,
2003-07-10,buying,3.77,,0.03189,6.1614,2.1432,,
2003-07-10,selling,3.83,,0.03257,6.2539,2.1782,,
2003-07-11,buying,3.77,,0.03192,6.1728,2.1482,,
2003-07-11,selling,3.83,,0.03259,6.2657,2.1901,,
2003-07-14,buying,3.77,,0.03192,6.135,2.145,,
2003-07-14,selling,3.83,,0.03259,6.2305,2.1858,,
2003-07-15,buying,3.77,,0.03193,6.079,2.1432,,
2003-07-15,selling,3.83,,0.03259,6.1728,2.1839,,
2003-07-16,buying,3.77,,0.03172,5.988,2.1345,,
2003-07-16,selling,3.83,,0.0324,6.079,2.1758,,
2003-07-17,buying,3.77,,0.03186,6.0241,2.1386,,
2003-07-17,selling,3.83,,0.03252,6.12,2.1801,,
2003-07-18,buying,3.77,,0.03162,6.0205,2.1345,,
2003-07-18,selling,3.83,,0.03228,6.1087,2.1772,,
2003-07-21,buying,3.77,,0.03173,5.9595,2.1418,,
2003-07-21,selling,3.83,,0.03241,6.0533,2.1834,,
2003-07-22,buying,3.77,,0.03158,6.0168,2.1363,,
2003-07-22,selling,3.83,,0.03228,6.1125,2.1805,,
2003-07-23,buying,3.77,,0.03162,6.0132,2.1409,,
2003-07-23,selling,3.83,,0.03226,6.105,2.181,,
2003-07-24,buying,3.77,,0.03164,6.0606,2.1432,,
2003-07-24,selling,3.83,,0.0323,6.1125,2.1829,,
2003-07-25,buying,3.77,,0.03154,6.0864,2.1515,,
2003-07-25,selling,3.83,,0.03218,6.1125,2.1891,,
2003-07-28,buying,3.77,,0.0316,6.105,2.1542,,
2003-07-28,selling,3.83,,0.03225,6.1125,2.1939,,
2003-07-29,buying,3.77,,0.03145,6.1275,2.1468,,
2003-07-29,selling,3.83,,0.03211,6.2228,2.1891,,
2003-07-30,buying,3.77,,0.03134,6.1237,2.1436,,
2003-07-30,selling,3.83,,0.03202,6.2189,2.182,,
2003-07-31,buying,3.77,,0.03125,6.0938,2.1409,,
2003-07-31,selling,3.83,,0.03192,6.1881,2.1791,,
2003-08-01,buying,3.77,,0.03119,6.0716,2.1377,,
2003-08-01,selling,3.83,,0.03184,6.1652,2.1772,,
2003-08-04,buying,3.77,,0.03129,6.0753,2.1395,,
2003-08-04,selling,3.83,,0.03202,6.169,2.1758,,
