series,date,type,value
abs,2016-04-01,e3.2.2,59510.0
abs,2016-04-01,e4,-1285.0
abs,2016-04-01,e5,199813.0
abs,2016-04-01,e5.1,163215.0
abs,2016-04-01,e5.2,36598.0
abs,2016-04-01,e6,180168.0
abs,2016-04-01,e6.1,141683.0
abs,2016-04-01,e6.2,38485.0
abs,2016-07-01,e0,311510.0
abs,2016-07-01,e1,174771.0
abs,2016-07-01,e1.1.01,39143.0
abs,2016-07-01,e1.1.03,6343.0
abs,2016-07-01,e1.1.04,26440.0
abs,2016-07-01,e1.1.05,9360.0
abs,2016-07-01,e1.1.07,24283.0
abs,2016-07-01,e1.1.08,13544.0
abs,2016-07-01,e1.1.09,11302.0
abs,2016-07-01,e1.1.11,17528.0
abs,2016-07-01,e1.1.12,26827.0
abs,2016-07-01,e2,36718.0
abs,2016-07-01,e3,77891.0
abs,2016-07-01,e3.1,77891.0
abs,2016-07-01,e3.1.1,46227.0
abs,2016-07-01,e3.1.2,25537.0
abs,2016-07-01,e3.1.3,6127.0
abs,2016-07-01,e3.2,77890.0
abs,2016-07-01,e3.2.1,23227.0
abs,2016-07-01,e3.2.2,54663.0
abs,2016-07-01,e4,-3149.0
abs,2016-07-01,e5,209054.0
abs,2016-07-01,e5.1,174627.0
abs,2016-07-01,e5.2,34427.0
abs,2016-07-01,e6,183775.0
abs,2016-07-01,e6.1,143654.0
abs,2016-07-01,e6.2,40121.0
abs,2016-10-01,e0,322458.0
abs,2016-10-01,e1,171404.0
abs,2016-10-01,e1.1.01,36661.0
abs,2016-10-01,e1.1.03,5930.0
abs,2016-10-01,e1.1.04,25506.0
abs,2016-10-01,e1.1.05,9042.0
abs,2016-10-01,e1.1.07,23880.0
abs,2016-10-01,e1.1.08,13673.0
abs,2016-10-01,e1.1.09,12312.0
abs,2016-10-01,e1.1.11,18923.0
abs,2016-10-01,e1.1.12,25476.0
abs,2016-10-01,e2,48367.0
abs,2016-10-01,e3,76999.0
abs,2016-10-01,e3.1,76999.0
abs,2016-10-01,e3.1.1,43998.0
abs,2016-10-01,e3.1.2,26430.0
abs,2016-10-01,e3.1.3,6571.0
abs,2016-10-01,e3.2,76998.0
abs,2016-10-01,e3.2.1,36066.0
abs,2016-10-01,e3.2.2,40932.0
abs,2016-10-01,e4,2212.0
abs,2016-10-01,e5,220354.0
abs,2016-10-01,e5.1,184004.0
abs,2016-10-01,e5.2,36351.0
abs,2016-10-01,e6,196878.0
abs,2016-10-01,e6.1,155445.0
abs,2016-10-01,e6.2,41433.0
abs,2017-01-01,e0,310744.0
abs,2017-01-01,e1,173330.0
abs,2017-01-01,e1.1.01,38925.0
abs,2017-01-01,e1.1.03,5242.0
abs,2017-01-01,e1.1.04,28153.0
abs,2017-01-01,e1.1.05,9424.0
abs,2017-01-01,e1.1.07,22539.0
abs,2017-01-01,e1.1.08,14823.0
abs,2017-01-01,e1.1.09,11125.0
abs,2017-01-01,e1.1.11,18378.0
abs,2017-01-01,e1.1.12,24721.0
abs,2017-01-01,e2,36245.0
abs,2017-01-01,e3,82183.0
abs,2017-01-01,e3.1,82184.0
abs,2017-01-01,e3.1.1,45855.0
abs,2017-01-01,e3.1.2,30090.0
abs,2017-01-01,e3.1.3,6239.0
abs,2017-01-01,e3.2,82183.0
abs,2017-01-01,e3.2.1,23880.0
abs,2017-01-01,e3.2.2,58303.0
abs,2017-01-01,e4,1985.0
abs,2017-01-01,e5,218683.0
abs,2017-01-01,e5.1,183297.0
abs,2017-01-01,e5.2,35386.0
abs,2017-01-01,e6,201682.0
abs,2017-01-01,e6.1,161128.0
abs,2017-01-01,e6.2,40554.0
abs,2017-04-01,e0,318231.0
abs,2017-04-01,e1,174884.0
abs,2017-04-01,e1.1.01,38357.0
abs,2017-04-01,e1.1.03,5723.0
abs,2017-04-01,e1.1.04,28126.0
abs,2017-04-01,e1.1.05,9343.0
abs,2017-04-01,e1.1.07,22189.0
abs,2017-04-01,e1.1.08,15028.0
abs,2017-04-01,e1.1.09,11513.0
abs,2017-04-01,e1.1.11,18399.0
abs,2017-04-01,e1.1.12,26206.0
abs,2017-04-01,e2,38211.0
abs,2017-04-01,e3,85477.0
abs,2017-04-01,e3.1,85476.0
abs,2017-04-01,e3.1.1,50165.0
abs,2017-04-01,e3.1.2,28035.0
abs,2017-04-01,e3.1.3,7276.0
abs,2017-04-01,e3.2,85477.0
abs,2017-04-01,e3.2.1,21764.0
abs,2017-04-01,e3.2.2,63713.0
abs,2017-04-01,e4,-1283.0
abs,2017-04-01,e5,218491.0
abs,2017-04-01,e5.1,179854.0
abs,2017-04-01,e5.2,38637.0
abs,2017-04-01,e6,197549.0
abs,2017-04-01,e6.1,156274.0
abs,2017-04-01,e6.2,41275.0
abs,2017-07-01,e0,330664.0
abs,2017-07-01,e1,187229.0
abs,2017-07-01,e1.1.01,42230.0
abs,2017-07-01,e1.1.03,7153.0
abs,2017-07-01,e1.1.04,27880.0
abs,2017-07-01,e1.1.05,10007.0
abs,2017-07-01,e1.1.07,25426.0
abs,2017-07-01,e1.1.08,15012.0
abs,2017-07-01,e1.1.09,11992.0
abs,2017-07-01,e1.1.11,18880.0
abs,2017-07-01,e1.1.12,28649.0
abs,2017-07-01,e2,38257.0
abs,2017-07-01,e3,83028.0
abs,2017-07-01,e3.1,83027.0
abs,2017-07-01,e3.1.1,48068.0
abs,2017-07-01,e3.1.2,28467.0
abs,2017-07-01,e3.1.3,6492.0
abs,2017-07-01,e3.2,83028.0
abs,2017-07-01,e3.2.1,24318.0
abs,2017-07-01,e3.2.2,58710.0
abs,2017-07-01,e4,-2914.0
abs,2017-07-01,e5,231256.0
abs,2017-07-01,e5.1,193663.0
abs,2017-07-01,e5.2,37593.0
abs,2017-07-01,e6,206192.0
