series,date,section,index
index,2020-10-01,H,104.6
index,2020-10-01,I,134.8
index,2020-10-01,J,101.1
index,2020-10-01,L,126.1
index,2020-10-01,M,103.7
index,2020-10-01,P,115.3
index,2020-10-01,Q,107.1
index,2020-10-01,R,97.9
index,2021-01-01,H,104.1
index,2021-01-01,I,135.2
index,2021-01-01,J,101.1
index,2021-01-01,L,126.6
index,2021-01-01,M,103.7
index,2021-01-01,P,115.8
index,2021-01-01,Q,107.2
index,2021-01-01,R,98.9
index,2021-04-01,H,104.2
index,2021-04-01,I,135.7
index,2021-04-01,J,101.1
index,2021-04-01,L,126.6
index,2021-04-01,M,103.7
index,2021-04-01,P,115.8
index,2021-04-01,Q,107.2
index,2021-04-01,R,100.0
index,2021-07-01,H,104.5
index,2021-07-01,I,135.9
index,2021-07-01,J,101.1
index,2021-07-01,L,126.6
index,2021-07-01,M,103.7
index,2021-07-01,P,115.8
index,2021-07-01,Q,107.2
index,2021-07-01,R,99.9
index,2021-10-01,H,105.3
index,2021-10-01,I,136.8
index,2021-10-01,J,101.1
index,2021-10-01,L,126.9
index,2021-10-01,M,103.8
index,2021-10-01,P,115.9
index,2021-10-01,Q,107.3
index,2021-10-01,R,97.7
index,2022-01-01,H,104.4
index,2022-01-01,I,138.1
index,2022-01-01,J,101.1
index,2022-01-01,L,126.9
index,2022-01-01,M,103.9
index,2022-01-01,P,116.5
index,2022-01-01,Q,107.4
index,2022-01-01,R,100.1
index,2022-04-01,H,105.4
index,2022-04-01,I,141.8
index,2022-04-01,J,101.1
index,2022-04-01,L,127.0
index,2022-04-01,M,104.0
index,2022-04-01,P,116.8
index,2022-04-01,Q,107.5
index,2022-04-01,R,103.0
index,2022-07-01,H,109.7
index,2022-07-01,I,145.4
index,2022-07-01,J,101.1
index,2022-07-01,L,127.0
index,2022-07-01,M,104.1
index,2022-07-01,P,117.1
index,2022-07-01,Q,107.6
index,2022-07-01,R,107.4
index,2022-10-01,H,110.9
index,2022-10-01,I,147.7
index,2022-10-01,J,101.1
index,2022-10-01,L,126.9
index,2022-10-01,M,104.3
index,2022-10-01,P,117.2
index,2022-10-01,Q,107.6
index,2022-10-01,R,102.9
index,2023-01-01,H,111.2
index,2023-01-01,I,149.6
index,2023-01-01,J,101.1
index,2023-01-01,L,126.9
index,2023-01-01,M,104.4
index,2023-01-01,P,117.8
index,2023-01-01,Q,107.8
index,2023-01-01,R,101.2
index,2023-04-01,H,110.5
index,2023-04-01,I,150.7
index,2023-04-01,J,101.1
index,2023-04-01,L,126.9
index,2023-04-01,M,104.5
index,2023-04-01,P,118.0
index,2023-04-01,Q,107.8
index,2023-04-01,R,105.1
index,2023-07-01,H,110.5
index,2023-07-01,I,152.1
index,2023-07-01,J,101.1
index,2023-07-01,L,127.2
index,2023-07-01,M,104.5
index,2023-07-01,P,118.3
index,2023-07-01,Q,107.8
index,2023-07-01,R,108.3
index,2023-10-01,H,110.4
index,2023-10-01,I,152.7
index,2023-10-01,J,101.1
index,2023-10-01,L,127.6
index,2023-10-01,M,104.5
index,2023-10-01,P,118.4
index,2023-10-01,Q,107.9
index,2023-10-01,R,108.6
index,2024-01-01,H,111.2
index,2024-01-01,I,153.4
index,2024-01-01,J,101.2
index,2024-01-01,L,127.7
index,2024-01-01,M,104.6
index,2024-01-01,P,118.7
index,2024-01-01,Q,108.0
index,2024-01-01,R,108.8
index,2024-04-01,H,109.0
index,2024-04-01,I,154.3
index,2024-04-01,J,101.0
index,2024-04-01,L,127.9
index,2024-04-01,M,104.7
index,2024-04-01,P,119.0
index,2024-04-01,Q,108.1
index,2024-04-01,R,113.2
index,2024-07-01,H,108.3
index,2024-07-01,I,155.7
index,2024-07-01,J,101.0
index,2024-07-01,L,127.3
index,2024-07-01,M,104.7
index,2024-07-01,P,119.2
index,2024-07-01,Q,108.1
index,2024-07-01,R,114.2
index,2024-10-01,H,107.7
index,2024-10-01,I,157.4
index,2024-10-01,J,101.0
index,2024-10-01,L,127.3
index,2024-10-01,M,104.9
index,2024-10-01,P,119.3
index,2024-10-01,Q,108.3
index,2024-10-01,R,115.2
index,2025-01-01,H,107.8
index,2025-01-01,I,158.9
index,2025-01-01,J,101.0
index,2025-01-01,L,127.8
index,2025-01-01,M,105.1
index,2025-01-01,P,120.1
index,2025-01-01,Q,108.6
index,2025-01-01,R,116.0
index,2025-04-01,H,108.1
index,2025-04-01,I,159.9
index,2025-04-01,J,101.0
index,2025-04-01,L,127.8
index,2025-04-01,M,105.2
index,2025-04-01,P,120.5
index,2025-04-01,Q,108.8
index,2025-04-01,R,118.3
index,2025-07-01,H,108.8
index,2025-07-01,I,161.0
index,2025-07-01,J,100.9
index,2025-07-01,L,127.9
index,2025-07-01,M,105.3
index,2025-07-01,P,120.9
index,2025-07-01,Q,108.9
index,2025-07-01,R,114.6
index,2025-10-01,H,110.1
index,2025-10-01,I,162.3
index,2025-10-01,J,100.9
index,2025-10-01,L,128.1
index,2025-10-01,M,105.4
index,2025-10-01,P,121.1
index,2025-10-01,Q,109.1
index,2025-10-01,R,110.8
index,2026-01-01,H,111.9
index,2026-01-01,I,167.9
index,2026-01-01,J,101.1
index,2026-01-01,L,128.6
index,2026-01-01,M,106.2
index,2026-01-01,P,122.4
index,2026-01-01,Q,110.2
index,2026-01-01,R,117.8
growth_yoy,2016-01-01,H,2.1
growth_yoy,2016-01-01,I,4.1
growth_yoy,2016-01-01,J,0.1
growth_yoy,2016-01-01,L,1.4
growth_yoy,2016-01-01,M,0.9
growth_yoy,2016-01-01,P,1.9
growth_yoy,2016-01-01,Q,1.2
growth_yoy,2016-01-01,R,1.1
growth_yoy,2016-04-01,H,0.7
growth_yoy,2016-04-01,I,3.2
growth_yoy,2016-04-01,J,0.1
growth_yoy,2016-04-01,L,2.0
growth_yoy,2016-04-01,M,0.9
growth_yoy,2016-04-01,P,1.4
growth_yoy,2016-04-01,Q,1.3
growth_yoy,2016-04-01,R,0.3
growth_yoy,2016-07-01,H,-0.3
growth_yoy,2016-07-01,I,2.8
growth_yoy,2016-07-01,J,0.1
growth_yoy,2016-07-01,L,1.3
growth_yoy,2016-07-01,M,0.9
growth_yoy,2016-07-01,P,2.2
growth_yoy,2016-07-01,Q,1.7
growth_yoy,2016-07-01,R,-1.2
growth_yoy,2016-10-01,H,-1.2
growth_yoy,2016-10-01,I,2.8
growth_yoy,2016-10-01,J,0.0
growth_yoy,2016-10-01,L,1.8
growth_yoy,2016-10-01,M,0.7
growth_yoy,2016-10-01,P,2.3
growth_yoy,2016-10-01,Q,1.6
growth_yoy,2016-10-01,R,-3.3
growth_yoy,2017-01-01,H,-1.9
growth_yoy,2017-01-01,I,3.3
