origin,destination,date,ridership
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-01,623
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-02,990
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-03,990
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-04,582
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-05,467
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-06,1143
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-07,1164
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-08,1159
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-09,1255
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-10,1132
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-11,740
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-12,536
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-13,1504
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-14,1459
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-15,1548
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-16,1532
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-17,1411
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-18,855
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-19,545
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-20,1525
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-21,1429
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-22,1505
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-23,1528
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-24,1447
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-25,724
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-26,483
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-27,885
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-28,826
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-29,521
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-30,523
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-01-31,712
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-01,560
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-02,535
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-03,1301
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-04,1395
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-05,1354
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-06,1426
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-07,1541
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-08,767
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-09,565
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-10,1499
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-11,721
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-12,1532
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-13,1622
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-14,1647
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-15,789
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-16,574
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-17,1539
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-18,1513
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-19,1534
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-20,1536
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-21,1504
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-22,822
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-23,608
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-24,1474
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-25,1529
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-26,1490
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-27,1582
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-02-28,1588
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-01,797
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-02,542
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-03,1459
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-04,1444
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-05,1533
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-06,1517
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-07,1501
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-08,720
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-09,508
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-10,1325
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-11,1285
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-12,1381
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-13,1317
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-14,1257
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-15,763
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-16,536
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-17,1354
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-18,652
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-19,1459
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-20,1466
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-21,1410
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-22,737
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-23,502
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-24,1405
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-25,1417
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-26,1387
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-27,1391
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-28,1333
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-29,630
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-30,544
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-03-31,579
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-01,494
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-02,926
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-03,1065
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-04,1060
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-05,599
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-06,512
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-07,1399
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-08,1333
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-09,1318
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-10,1433
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-11,1384
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-12,734
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-13,566
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-14,1338
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-15,1421
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-16,1471
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-17,1523
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-18,1381
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-19,827
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-20,582
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-21,1304
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-22,1322
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-23,1258
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-24,1292
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-25,1210
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-26,764
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-27,597
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-28,1310
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-29,1306
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-04-30,1394
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-05-01,710
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-05-02,1136
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-05-03,143
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-05-04,576
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-05-05,1232
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-05-06,1358
A0: All Stations,BRT01: Sunway-Setia Jaya,2025-05-07,1254
