origin,destination,date,ridership
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-01,581
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-02,467
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-03,1212
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-04,1245
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-05,1251
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-06,1283
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-07,1253
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-08,598
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-09,528
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-10,1246
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-11,1254
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-12,1265
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-13,1140
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-14,1138
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-15,662
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-16,498
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-17,1168
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-18,1275
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-19,1265
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-20,1119
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-21,559
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-22,505
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-23,516
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-24,511
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-25,799
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-26,926
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-27,1049
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-28,913
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-29,610
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-04-30,504
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-05-01,530
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-05-02,1134
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-05-03,1128
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-05-04,624
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-05-05,1037
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-05-06,582
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-05-07,502
A0: All Stations,BRT01: Sunway-Setia Jaya,2023-05-08,1138
