date,state,age_group,addicts
2022-01-01,W.P. Putrajaya,<13,0
2023-01-01,W.P. Putrajaya,<13,0
2015-01-01,Malaysia,13-15,45
2016-01-01,Malaysia,13-15,85
2017-01-01,Malaysia,13-15,72
2018-01-01,Malaysia,13-15,42
2019-01-01,Malaysia,13-15,26
2020-01-01,Malaysia,13-15,7
2021-01-01,Malaysia,13-15,17
2022-01-01,Malaysia,13-15,15
2023-01-01,Malaysia,13-15,6
2019-01-01,Johor,13-15,1
2020-01-01,Johor,13-15,1
2021-01-01,Johor,13-15,1
2022-01-01,Johor,13-15,1
2023-01-01,Johor,13-15,0
2019-01-01,Kedah,13-15,4
2020-01-01,Kedah,13-15,1
2021-01-01,Kedah,13-15,0
2022-01-01,Kedah,13-15,0
2023-01-01,Kedah,13-15,0
2019-01-01,Kelantan,13-15,5
2020-01-01,Kelantan,13-15,0
2021-01-01,Kelantan,13-15,5
2022-01-01,Kelantan,13-15,9
2023-01-01,Kelantan,13-15,4
2019-01-01,Melaka,13-15,0
2020-01-01,Melaka,13-15,0
2021-01-01,Melaka,13-15,0
2022-01-01,Melaka,13-15,0
2023-01-01,Melaka,13-15,0
2019-01-01,Negeri Sembilan,13-15,0
2020-01-01,Negeri Sembilan,13-15,1
2021-01-01,Negeri Sembilan,13-15,1
2022-01-01,Negeri Sembilan,13-15,0
2023-01-01,Negeri Sembilan,13-15,0
2019-01-01,Pahang,13-15,0
2020-01-01,Pahang,13-15,0
2021-01-01,Pahang,13-15,0
2022-01-01,Pahang,13-15,0
2023-01-01,Pahang,13-15,0
2019-01-01,Perak,13-15,2
2020-01-01,Perak,13-15,1
2021-01-01,Perak,13-15,3
2022-01-01,Perak,13-15,2
2023-01-01,Perak,13-15,2
2019-01-01,Perlis,13-15,1
2020-01-01,Perlis,13-15,2
2021-01-01,Perlis,13-15,0
2022-01-01,Perlis,13-15,0
2023-01-01,Perlis,13-15,0
2019-01-01,Pulau Pinang,13-15,0
2020-01-01,Pulau Pinang,13-15,0
2021-01-01,Pulau Pinang,13-15,1
2022-01-01,Pulau Pinang,13-15,0
2023-01-01,Pulau Pinang,13-15,0
2019-01-01,Sabah,13-15,1
2020-01-01,Sabah,13-15,0
2021-01-01,Sabah,13-15,0
2022-01-01,Sabah,13-15,0
2023-01-01,Sabah,13-15,0
2019-01-01,Sarawak,13-15,0
2020-01-01,Sarawak,13-15,0
2021-01-01,Sarawak,13-15,2
2022-01-01,Sarawak,13-15,2
2023-01-01,Sarawak,13-15,0
2019-01-01,Selangor,13-15,3
2020-01-01,Selangor,13-15,0
2021-01-01,Selangor,13-15,3
2022-01-01,Selangor,13-15,1
2023-01-01,Selangor,13-15,0
2019-01-01,Terengganu,13-15,6
2020-01-01,Terengganu,13-15,0
2021-01-01,Terengganu,13-15,0
2022-01-01,Terengganu,13-15,0
2023-01-01,Terengganu,13-15,0
2019-01-01,W.P. Kuala Lumpur,13-15,3
2020-01-01,W.P. Kuala Lumpur,13-15,1
2021-01-01,W.P. Kuala Lumpur,13-15,1
2022-01-01,W.P. Kuala Lumpur,13-15,0
2023-01-01,W.P. Kuala Lumpur,13-15,0
2019-01-01,W.P. Labuan,13-15,0
2020-01-01,W.P. Labuan,13-15,0
2021-01-01,W.P. Labuan,13-15,0
2019-01-01,W.P. Putrajaya,13-15,0
2020-01-01,W.P. Putrajaya,13-15,0
2021-01-01,W.P. Putrajaya,13-15,0
2022-01-01,W.P. Putrajaya,13-15,0
2023-01-01,W.P. Putrajaya,13-15,0
2015-01-01,Malaysia,16-19,1375
2016-01-01,Malaysia,16-19,1595
2017-01-01,Malaysia,16-19,1300
2018-01-01,Malaysia,16-19,1093
2019-01-01,Malaysia,16-19,975
2020-01-01,Malaysia,16-19,787
2021-01-01,Malaysia,16-19,540
2022-01-01,Malaysia,16-19,526
2023-01-01,Malaysia,16-19,360
2019-01-01,Johor,16-19,90
2020-01-01,Johor,16-19,80
2021-01-01,Johor,16-19,46
2022-01-01,Johor,16-19,43
2023-01-01,Johor,16-19,29
2019-01-01,Kedah,16-19,142
2020-01-01,Kedah,16-19,116
2021-01-01,Kedah,16-19,59
2022-01-01,Kedah,16-19,61
2023-01-01,Kedah,16-19,31
2019-01-01,Kelantan,16-19,112
2020-01-01,Kelantan,16-19,70
2021-01-01,Kelantan,16-19,91
2022-01-01,Kelantan,16-19,108
2023-01-01,Kelantan,16-19,90
2019-01-01,Melaka,16-19,14
2020-01-01,Melaka,16-19,27
2021-01-01,Melaka,16-19,12
2022-01-01,Melaka,16-19,12
2023-01-01,Melaka,16-19,0
2019-01-01,Negeri Sembilan,16-19,43
2020-01-01,Negeri Sembilan,16-19,30
2021-01-01,Negeri Sembilan,16-19,18
2022-01-01,Negeri Sembilan,16-19,8
2023-01-01,Negeri Sembilan,16-19,7
2019-01-01,Pahang,16-19,55
2020-01-01,Pahang,16-19,39
2021-01-01,Pahang,16-19,27
2022-01-01,Pahang,16-19,20
2023-01-01,Pahang,16-19,30
2019-01-01,Perak,16-19,82
2020-01-01,Perak,16-19,51
2021-01-01,Perak,16-19,47
2022-01-01,Perak,16-19,47
2023-01-01,Perak,16-19,31
2019-01-01,Perlis,16-19,18
2020-01-01,Perlis,16-19,22
2021-01-01,Perlis,16-19,7
2022-01-01,Perlis,16-19,12
2023-01-01,Perlis,16-19,6
2019-01-01,Pulau Pinang,16-19,69
2020-01-01,Pulau Pinang,16-19,59
2021-01-01,Pulau Pinang,16-19,48
2022-01-01,Pulau Pinang,16-19,46
2023-01-01,Pulau Pinang,16-19,29
2019-01-01,Sabah,16-19,62
2020-01-01,Sabah,16-19,39
2021-01-01,Sabah,16-19,12
2022-01-01,Sabah,16-19,17
2023-01-01,Sabah,16-19,18
2019-01-01,Sarawak,16-19,34
2020-01-01,Sarawak,16-19,36
2021-01-01,Sarawak,16-19,32
2022-01-01,Sarawak,16-19,40
2023-01-01,Sarawak,16-19,18
2019-01-01,Selangor,16-19,103
2020-01-01,Selangor,16-19,86
2021-01-01,Selangor,16-19,58
2022-01-01,Selangor,16-19,56
2023-01-01,Selangor,16-19,26
2019-01-01,Terengganu,16-19,96
2020-01-01,Terengganu,16-19,59
2021-01-01,Terengganu,16-19,45
2022-01-01,Terengganu,16-19,38
2023-01-01,Terengganu,16-19,31
2019-01-01,W.P. Kuala Lumpur,16-19,51
2020-01-01,W.P. Kuala Lumpur,16-19,69
2021-01-01,W.P. Kuala Lumpur,16-19,34
2022-01-01,W.P. Kuala Lumpur,16-19,17
2023-01-01,W.P. Kuala Lumpur,16-19,13
2019-01-01,W.P. Labuan,16-19,3
2020-01-01,W.P. Labuan,16-19,2
2021-01-01,W.P. Labuan,16-19,1
2019-01-01,W.P. Putrajaya,16-19,1
