date,time,origin,destination,ridership
2022-06-22,11:00,Woodlands CIQ,JB Sentral,246
2022-06-22,12:00,JB Sentral,Woodlands CIQ,103
2022-06-22,12:00,Woodlands CIQ,JB Sentral,240
2022-06-22,13:00,Woodlands CIQ,JB Sentral,98
2022-06-22,14:00,JB Sentral,Woodlands CIQ,118
2022-06-22,15:00,JB Sentral,Woodlands CIQ,201
2022-06-22,15:00,Woodlands CIQ,JB Sentral,71
2022-06-22,16:00,JB Sentral,Woodlands CIQ,242
2022-06-22,16:00,Woodlands CIQ,JB Sentral,51
2022-06-22,17:00,JB Sentral,Woodlands CIQ,240
2022-06-22,17:00,Woodlands CIQ,JB Sentral,79
2022-06-22,18:00,Woodlands CIQ,JB Sentral,194
2022-06-22,19:00,JB Sentral,Woodlands CIQ,242
2022-06-22,20:00,JB Sentral,Woodlands CIQ,240
2022-06-22,20:00,Woodlands CIQ,JB Sentral,155
2022-06-22,21:00,JB Sentral,Woodlands CIQ,241
2022-06-22,21:00,Woodlands CIQ,JB Sentral,117
2022-06-22,22:00,JB Sentral,Woodlands CIQ,218
2022-06-22,22:00,Woodlands CIQ,JB Sentral,55
2022-06-22,23:00,Woodlands CIQ,JB Sentral,15
2022-06-23,05:00,JB Sentral,Woodlands CIQ,215
2022-06-23,06:00,JB Sentral,Woodlands CIQ,419
2022-06-23,07:00,JB Sentral,Woodlands CIQ,447
2022-06-23,08:00,JB Sentral,Woodlands CIQ,146
2022-06-23,08:00,Woodlands CIQ,JB Sentral,241
2022-06-23,09:00,Woodlands CIQ,JB Sentral,240
2022-06-23,10:00,JB Sentral,Woodlands CIQ,78
2022-06-23,11:00,JB Sentral,Woodlands CIQ,89
2022-06-23,11:00,Woodlands CIQ,JB Sentral,242
2022-06-23,12:00,JB Sentral,Woodlands CIQ,89
2022-06-23,12:00,Woodlands CIQ,JB Sentral,246
2022-06-23,13:00,Woodlands CIQ,JB Sentral,188
2022-06-23,14:00,JB Sentral,Woodlands CIQ,89
2022-06-23,15:00,JB Sentral,Woodlands CIQ,172
2022-06-23,15:00,Woodlands CIQ,JB Sentral,80
2022-06-23,16:00,JB Sentral,Woodlands CIQ,243
2022-06-23,16:00,Woodlands CIQ,JB Sentral,84
