date,category,variable,value
2017-10-01,tax_direct,other,1461
2018-01-01,tax_direct,other,819
2018-04-01,tax_direct,other,1352
2018-07-01,tax_direct,other,1172
2018-10-01,tax_direct,other,1607
2019-01-01,tax_direct,other,1241
2019-04-01,tax_direct,other,1357
2019-07-01,tax_direct,other,1235
2019-10-01,tax_direct,other,1463
2020-01-01,tax_direct,other,1203
2020-04-01,tax_direct,other,990
2020-07-01,tax_direct,other,1444
2020-10-01,tax_direct,other,1578
2021-01-01,tax_direct,other,1307
2021-04-01,tax_direct,other,1136
2021-07-01,tax_direct,other,1472
2021-10-01,tax_direct,other,1412
2022-01-01,tax_direct,other,1403
2022-04-01,tax_direct,other,1387
2022-07-01,tax_direct,other,1774
2022-10-01,tax_direct,other,1544
2023-01-01,tax_direct,other,1696
2023-04-01,tax_direct,other,1136
2023-07-01,tax_direct,other,1849
2023-10-01,tax_direct,other,934
2024-01-01,tax_direct,other,1579
1996-01-01,tax_indirect,total,5186
1996-04-01,tax_indirect,total,4951
1996-07-01,tax_indirect,total,5717
1996-10-01,tax_indirect,total,5567
1997-01-01,tax_indirect,total,5529
1997-04-01,tax_indirect,total,5436
1997-07-01,tax_indirect,total,6298
1997-10-01,tax_indirect,total,5932
1998-01-01,tax_indirect,total,4217
1998-04-01,tax_indirect,total,3419
1998-07-01,tax_indirect,total,3877
1998-10-01,tax_indirect,total,3808
1999-01-01,tax_indirect,total,3774
1999-04-01,tax_indirect,total,4760
1999-07-01,tax_indirect,total,4394
1999-10-01,tax_indirect,total,5172
2000-01-01,tax_indirect,total,3655
2000-04-01,tax_indirect,total,4634
2000-07-01,tax_indirect,total,4281
2000-10-01,tax_indirect,total,5447
2001-01-01,tax_indirect,total,3697
2001-04-01,tax_indirect,total,5122
2001-07-01,tax_indirect,total,4641
2001-10-01,tax_indirect,total,5935
2002-01-01,tax_indirect,total,4618
2002-04-01,tax_indirect,total,5830
2002-07-01,tax_indirect,total,5225
2002-10-01,tax_indirect,total,6836
2003-01-01,tax_indirect,total,4084
2003-04-01,tax_indirect,total,5414
2003-07-01,tax_indirect,total,5857
2003-10-01,tax_indirect,total,6521
2004-01-01,tax_indirect,total,4133
2004-04-01,tax_indirect,total,5749
2004-07-01,tax_indirect,total,6246
2004-10-01,tax_indirect,total,7220
2005-01-01,tax_indirect,total,5385
2005-04-01,tax_indirect,total,6864
2005-07-01,tax_indirect,total,6610
2005-10-01,tax_indirect,total,8192
2006-01-01,tax_indirect,total,4898
2006-04-01,tax_indirect,total,6421
2006-07-01,tax_indirect,total,6793
2006-10-01,tax_indirect,total,6946
2007-01-01,tax_indirect,total,5181
2007-04-01,tax_indirect,total,6147
2007-07-01,tax_indirect,total,6327
2007-10-01,tax_indirect,total,8117
2008-01-01,tax_indirect,total,5301
2008-04-01,tax_indirect,total,8211
2008-07-01,tax_indirect,total,8538
2008-10-01,tax_indirect,total,8710
2009-01-01,tax_indirect,total,6571
2009-04-01,tax_indirect,total,7140
2009-07-01,tax_indirect,total,6500
2009-10-01,tax_indirect,total,7918
2010-01-01,tax_indirect,total,6652
2010-04-01,tax_indirect,total,7761
2010-07-01,tax_indirect,total,7530
2010-10-01,tax_indirect,total,8564
2011-01-01,tax_indirect,total,7470
2011-04-01,tax_indirect,total,8109
2011-07-01,tax_indirect,total,8333
2011-10-01,tax_indirect,total,8732
2012-01-01,tax_indirect,total,7735
2012-04-01,tax_indirect,total,8476
2012-07-01,tax_indirect,total,8984
2012-10-01,tax_indirect,total,9511
2013-01-01,tax_indirect,total,7908
2013-04-01,tax_indirect,total,8766
2013-07-01,tax_indirect,total,8730
2013-10-01,tax_indirect,total,10025
2014-01-01,tax_indirect,total,8046
2014-04-01,tax_indirect,total,9186
2014-07-01,tax_indirect,total,10172
2014-10-01,tax_indirect,total,10058
2015-01-01,tax_indirect,total,9474
2015-04-01,tax_indirect,total,14722
2015-07-01,tax_indirect,total,13760
2015-10-01,tax_indirect,total,15715
2016-01-01,tax_indirect,total,14346
2016-04-01,tax_indirect,total,11796
2016-07-01,tax_indirect,total,15708
2016-10-01,tax_indirect,total,17885
2017-01-01,tax_indirect,total,13428
2017-04-01,tax_indirect,total,14654
2017-07-01,tax_indirect,total,14555
2017-10-01,tax_indirect,total,18998
2018-01-01,tax_indirect,total,13186
2018-04-01,tax_indirect,total,14699
2018-07-01,tax_indirect,total,9441
2018-10-01,tax_indirect,total,6700
2019-01-01,tax_indirect,total,10976
2019-04-01,tax_indirect,total,11915
2019-07-01,tax_indirect,total,11094
2019-10-01,tax_indirect,total,11859
2020-01-01,tax_indirect,total,10264
2020-04-01,tax_indirect,total,8238
2020-07-01,tax_indirect,total,10949
2020-10-01,tax_indirect,total,12435
2021-01-01,tax_indirect,total,11223
2021-04-01,tax_indirect,total,10611
2021-07-01,tax_indirect,total,9327
2021-10-01,tax_indirect,total,12428
2022-01-01,tax_indirect,total,13119
2022-04-01,tax_indirect,total,14127
2022-07-01,tax_indirect,total,14365
2022-10-01,tax_indirect,total,13678
2023-01-01,tax_indirect,total,14598
2023-04-01,tax_indirect,total,13225
2023-07-01,tax_indirect,total,14943
2023-10-01,tax_indirect,total,15083
2024-01-01,tax_indirect,total,15682
1996-01-01,tax_indirect,export,246
1996-04-01,tax_indirect,export,261
1996-07-01,tax_indirect,export,240
1996-10-01,tax_indirect,export,294
1997-01-01,tax_indirect,export,308
1997-04-01,tax_indirect,export,223
1997-07-01,tax_indirect,export,195
1997-10-01,tax_indirect,export,327
1998-01-01,tax_indirect,export,186
1998-04-01,tax_indirect,export,142
1998-07-01,tax_indirect,export,157
1998-10-01,tax_indirect,export,138
1999-01-01,tax_indirect,export,106
1999-04-01,tax_indirect,export,138
1999-07-01,tax_indirect,export,179
1999-10-01,tax_indirect,export,247
2000-01-01,tax_indirect,export,208
2000-04-01,tax_indirect,export,230
2000-07-01,tax_indirect,export,238
2000-10-01,tax_indirect,export,355
2001-01-01,tax_indirect,export,220
2001-04-01,tax_indirect,export,234
2001-07-01,tax_indirect,export,211
2001-10-01,tax_indirect,export,202
2002-01-01,tax_indirect,export,149
2002-04-01,tax_indirect,export,191
2002-07-01,tax_indirect,export,179
2002-10-01,tax_indirect,export,285
2003-01-01,tax_indirect,export,223
2003-04-01,tax_indirect,export,281
2003-07-01,tax_indirect,export,293
2003-10-01,tax_indirect,export,359
2004-01-01,tax_indirect,export,272
2004-04-01,tax_indirect,export,357
2004-07-01,tax_indirect,export,397
2004-10-01,tax_indirect,export,574
2005-01-01,tax_indirect,export,381
2005-04-01,tax_indirect,export,495
2005-07-01,tax_indirect,export,436
2005-10-01,tax_indirect,export,772
2006-01-01,tax_indirect,export,431
2006-04-01,tax_indirect,export,556
2006-07-01,tax_indirect,export,625
2006-10-01,tax_indirect,export,750
2007-01-01,tax_indirect,export,553
2007-04-01,tax_indirect,export,462
2007-07-01,tax_indirect,export,616
2007-10-01,tax_indirect,export,691
2008-01-01,tax_indirect,export,620
2008-04-01,tax_indirect,export,623
2008-07-01,tax_indirect,export,787
2008-10-01,tax_indirect,export,749
2009-01-01,tax_indirect,export,259
2009-04-01,tax_indirect,export,305
2009-07-01,tax_indirect,export,276
2009-10-01,tax_indirect,export,313
2010-01-01,tax_indirect,export,373
2010-04-01,tax_indirect,export,538
2010-07-01,tax_indirect,export,443
2010-10-01,tax_indirect,export,456
2011-01-01,tax_indirect,export,433
2011-04-01,tax_indirect,export,537
2011-07-01,tax_indirect,export,565
2011-10-01,tax_indirect,export,546
2012-01-01,tax_indirect,export,531
2012-04-01,tax_indirect,export,509
2012-07-01,tax_indirect,export,390
2012-10-01,tax_indirect,export,539
2013-01-01,tax_indirect,export,467
2013-04-01,tax_indirect,export,416
2013-07-01,tax_indirect,export,456
2013-10-01,tax_indirect,export,591
2014-01-01,tax_indirect,export,454
2014-04-01,tax_indirect,export,564
2014-07-01,tax_indirect,export,520
2014-10-01,tax_indirect,export,355
2015-01-01,tax_indirect,export,337
2015-04-01,tax_indirect,export,265
2015-07-01,tax_indirect,export,210
2015-10-01,tax_indirect,export,227
2016-01-01,tax_indirect,export,171
2016-04-01,tax_indirect,export,216
2016-07-01,tax_indirect,export,314
2016-10-01,tax_indirect,export,279
2017-01-01,tax_indirect,export,352
2017-04-01,tax_indirect,export,321
2017-07-01,tax_indirect,export,283
2017-10-01,tax_indirect,export,399
2018-01-01,tax_indirect,export,1144
2018-04-01,tax_indirect,export,170
2018-07-01,tax_indirect,export,110
2018-10-01,tax_indirect,export,301
2019-01-01,tax_indirect,export,386
2019-04-01,tax_indirect,export,323
2019-07-01,tax_indirect,export,197
2019-10-01,tax_indirect,export,220
2020-01-01,tax_indirect,export,317
2020-04-01,tax_indirect,export,157
2020-07-01,tax_indirect,export,219
2020-10-01,tax_indirect,export,53
2021-01-01,tax_indirect,export,365
2021-04-01,tax_indirect,export,621
2021-07-01,tax_indirect,export,468
2021-10-01,tax_indirect,export,604
2022-01-01,tax_indirect,export,621
2022-04-01,tax_indirect,export,773
2022-07-01,tax_indirect,export,625
2022-10-01,tax_indirect,export,602
2023-01-01,tax_indirect,export,591
2023-04-01,tax_indirect,export,471
2023-07-01,tax_indirect,export,450
2023-10-01,tax_indirect,export,527
2024-01-01,tax_indirect,export,590
1996-01-01,tax_indirect,import,1482
1996-04-01,tax_indirect,import,1469
1996-07-01,tax_indirect,import,1570
1996-10-01,tax_indirect,import,1611
1997-01-01,tax_indirect,import,1527
1997-04-01,tax_indirect,import,1575
1997-07-01,tax_indirect,import,1728
1997-10-01,tax_indirect,import,1694
1998-01-01,tax_indirect,import,1054
1998-04-01,tax_indirect,import,970
1998-07-01,tax_indirect,import,896
1998-10-01,tax_indirect,import,948
1999-01-01,tax_indirect,import,778
1999-04-01,tax_indirect,import,1467
1999-07-01,tax_indirect,import,1146
1999-10-01,tax_indirect,import,1328
2000-01-01,tax_indirect,import,698
2000-04-01,tax_indirect,import,1082
2000-07-01,tax_indirect,import,881
2000-10-01,tax_indirect,import,938
2001-01-01,tax_indirect,import,653
2001-04-01,tax_indirect,import,830
2001-07-01,tax_indirect,import,774
2001-10-01,tax_indirect,import,936
2002-01-01,tax_indirect,import,709
2002-04-01,tax_indirect,import,920
2002-07-01,tax_indirect,import,1001
2002-10-01,tax_indirect,import,1037
2003-01-01,tax_indirect,import,691
2003-04-01,tax_indirect,import,944
2003-07-01,tax_indirect,import,1093
2003-10-01,tax_indirect,import,1192
2004-01-01,tax_indirect,import,722
2004-04-01,tax_indirect,import,968
2004-07-01,tax_indirect,import,1117
2004-10-01,tax_indirect,import,1067
2005-01-01,tax_indirect,import,664
2005-04-01,tax_indirect,import,933
2005-07-01,tax_indirect,import,888
2005-10-01,tax_indirect,import,900
2006-01-01,tax_indirect,import,629
2006-04-01,tax_indirect,import,607
2006-07-01,tax_indirect,import,774
2006-10-01,tax_indirect,import,668
2007-01-01,tax_indirect,import,481
2007-04-01,tax_indirect,import,573
2007-07-01,tax_indirect,import,669
2007-10-01,tax_indirect,import,701
2008-01-01,tax_indirect,import,482
2008-04-01,tax_indirect,import,734
2008-07-01,tax_indirect,import,770
2008-10-01,tax_indirect,import,649
2009-01-01,tax_indirect,import,413
2009-04-01,tax_indirect,import,520
2009-07-01,tax_indirect,import,553
2009-10-01,tax_indirect,import,628
2010-01-01,tax_indirect,import,418
2010-04-01,tax_indirect,import,519
2010-07-01,tax_indirect,import,480
2010-10-01,tax_indirect,import,549
2011-01-01,tax_indirect,import,391
2011-04-01,tax_indirect,import,524
2011-07-01,tax_indirect,import,522
2011-10-01,tax_indirect,import,589
2012-01-01,tax_indirect,import,457
2012-04-01,tax_indirect,import,581
2012-07-01,tax_indirect,import,596
2012-10-01,tax_indirect,import,649
2013-01-01,tax_indirect,import,512
2013-04-01,tax_indirect,import,604
2013-07-01,tax_indirect,import,684
2013-10-01,tax_indirect,import,723
2014-01-01,tax_indirect,import,546
2014-04-01,tax_indirect,import,617
2014-07-01,tax_indirect,import,744
2014-10-01,tax_indirect,import,763
2015-01-01,tax_indirect,import,562
2015-04-01,tax_indirect,import,689
2015-07-01,tax_indirect,import,679
2015-10-01,tax_indirect,import,802
2016-01-01,tax_indirect,import,603
2016-04-01,tax_indirect,import,757
2016-07-01,tax_indirect,import,755
2016-10-01,tax_indirect,import,790
2017-01-01,tax_indirect,import,607
2017-04-01,tax_indirect,import,693
2017-07-01,tax_indirect,import,692
2017-10-01,tax_indirect,import,792
2018-01-01,tax_indirect,import,551
2018-04-01,tax_indirect,import,729
2018-07-01,tax_indirect,import,891
2018-10-01,tax_indirect,import,725
2019-01-01,tax_indirect,import,588
2019-04-01,tax_indirect,import,724
2019-07-01,tax_indirect,import,723
2019-10-01,tax_indirect,import,698
2020-01-01,tax_indirect,import,511
2020-04-01,tax_indirect,import,419
2020-07-01,tax_indirect,import,668
2020-10-01,tax_indirect,import,749
2021-01-01,tax_indirect,import,607
2021-04-01,tax_indirect,import,676
2021-07-01,tax_indirect,import,617
2021-10-01,tax_indirect,import,745
2022-01-01,tax_indirect,import,686
2022-04-01,tax_indirect,import,884
2022-07-01,tax_indirect,import,825
2022-10-01,tax_indirect,import,798
2023-01-01,tax_indirect,import,695
2023-04-01,tax_indirect,import,757
2023-07-01,tax_indirect,import,777
2023-10-01,tax_indirect,import,807
2024-01-01,tax_indirect,import,695
1996-01-01,tax_indirect,excise,1376
1996-04-01,tax_indirect,excise,1403
1996-07-01,tax_indirect,excise,1450
1996-10-01,tax_indirect,excise,1561
1997-01-01,tax_indirect,excise,1430
1997-04-01,tax_indirect,excise,1490
1997-07-01,tax_indirect,excise,1694
1997-10-01,tax_indirect,excise,1440
1998-01-01,tax_indirect,excise,763
1998-04-01,tax_indirect,excise,782
1998-07-01,tax_indirect,excise,933
1998-10-01,tax_indirect,excise,1108
1999-01-01,tax_indirect,excise,988
1999-04-01,tax_indirect,excise,1253
1999-07-01,tax_indirect,excise,1192
1999-10-01,tax_indirect,excise,1291
2000-01-01,tax_indirect,excise,671
2000-04-01,tax_indirect,excise,883
2000-07-01,tax_indirect,excise,939
2000-10-01,tax_indirect,excise,1311
2001-01-01,tax_indirect,excise,709
2001-04-01,tax_indirect,excise,942
2001-07-01,tax_indirect,excise,1105
2001-10-01,tax_indirect,excise,1374
2002-01-01,tax_indirect,excise,1057
2002-04-01,tax_indirect,excise,1127
2002-07-01,tax_indirect,excise,1262
2002-10-01,tax_indirect,excise,1299
2003-01-01,tax_indirect,excise,1005
2003-04-01,tax_indirect,excise,1070
2003-07-01,tax_indirect,excise,1428
2003-10-01,tax_indirect,excise,1528
2004-01-01,tax_indirect,excise,1102
2004-04-01,tax_indirect,excise,1316
2004-07-01,tax_indirect,excise,1987
2004-10-01,tax_indirect,excise,2023
2005-01-01,tax_indirect,excise,1489
2005-04-01,tax_indirect,excise,2074
2005-07-01,tax_indirect,excise,2402
2005-10-01,tax_indirect,excise,2676
2006-01-01,tax_indirect,excise,1733
2006-04-01,tax_indirect,excise,2106
2006-07-01,tax_indirect,excise,2695
2006-10-01,tax_indirect,excise,2042
2007-01-01,tax_indirect,excise,1720
2007-04-01,tax_indirect,excise,2045
2007-07-01,tax_indirect,excise,2258
2007-10-01,tax_indirect,excise,2968
2008-01-01,tax_indirect,excise,2041
2008-04-01,tax_indirect,excise,3008
2008-07-01,tax_indirect,excise,3111
2008-10-01,tax_indirect,excise,2523
2009-01-01,tax_indirect,excise,2045
2009-04-01,tax_indirect,excise,2594
2009-07-01,tax_indirect,excise,2467
2009-10-01,tax_indirect,excise,2962
2010-01-01,tax_indirect,excise,2654
2010-04-01,tax_indirect,excise,2992
2010-07-01,tax_indirect,excise,2923
2010-10-01,tax_indirect,excise,3201
2011-01-01,tax_indirect,excise,2807
2011-04-01,tax_indirect,excise,2835
2011-07-01,tax_indirect,excise,2998
2011-10-01,tax_indirect,excise,2877
2012-01-01,tax_indirect,excise,2663
2012-04-01,tax_indirect,excise,3052
2012-07-01,tax_indirect,excise,3247
2012-10-01,tax_indirect,excise,3225
2013-01-01,tax_indirect,excise,2914
2013-04-01,tax_indirect,excise,3016
2013-07-01,tax_indirect,excise,3080
2013-10-01,tax_indirect,excise,3183
2014-01-01,tax_indirect,excise,2761
2014-04-01,tax_indirect,excise,3229
2014-07-01,tax_indirect,excise,3537
2014-10-01,tax_indirect,excise,3398
2015-01-01,tax_indirect,excise,2751
2015-04-01,tax_indirect,excise,2962
2015-07-01,tax_indirect,excise,2886
2015-10-01,tax_indirect,excise,3291
2016-01-01,tax_indirect,excise,2648
2016-04-01,tax_indirect,excise,3010
2016-07-01,tax_indirect,excise,3131
2016-10-01,tax_indirect,excise,2916
2017-01-01,tax_indirect,excise,2451
2017-04-01,tax_indirect,excise,2810
2017-07-01,tax_indirect,excise,2304
2017-10-01,tax_indirect,excise,2547
2018-01-01,tax_indirect,excise,2427
2018-04-01,tax_indirect,excise,2559
2018-07-01,tax_indirect,excise,3161
2018-10-01,tax_indirect,excise,2633
2019-01-01,tax_indirect,excise,2493
2019-04-01,tax_indirect,excise,2703
2019-07-01,tax_indirect,excise,2686
2019-10-01,tax_indirect,excise,2629
2020-01-01,tax_indirect,excise,2385
2020-04-01,tax_indirect,excise,1319
2020-07-01,tax_indirect,excise,3204
2020-10-01,tax_indirect,excise,2947
2021-01-01,tax_indirect,excise,2552
2021-04-01,tax_indirect,excise,2496
2021-07-01,tax_indirect,excise,1905
2021-10-01,tax_indirect,excise,3288
2022-01-01,tax_indirect,excise,2902
2022-04-01,tax_indirect,excise,3286
2022-07-01,tax_indirect,excise,3059
2022-10-01,tax_indirect,excise,3308
2023-01-01,tax_indirect,excise,3210
2023-04-01,tax_indirect,excise,3336
2023-07-01,tax_indirect,excise,3150
2023-10-01,tax_indirect,excise,3448
2024-01-01,tax_indirect,excise,3394
1996-01-01,tax_indirect,gst,0
1996-04-01,tax_indirect,gst,0
1996-07-01,tax_indirect,gst,0
1996-10-01,tax_indirect,gst,0
1997-01-01,tax_indirect,gst,0
1997-04-01,tax_indirect,gst,0
1997-07-01,tax_indirect,gst,0
1997-10-01,tax_indirect,gst,0
1998-01-01,tax_indirect,gst,0
1998-04-01,tax_indirect,gst,0
1998-07-01,tax_indirect,gst,0
1998-10-01,tax_indirect,gst,0
1999-01-01,tax_indirect,gst,0
1999-04-01,tax_indirect,gst,0
1999-07-01,tax_indirect,gst,0
1999-10-01,tax_indirect,gst,0
2000-01-01,tax_indirect,gst,0
2000-04-01,tax_indirect,gst,0
2000-07-01,tax_indirect,gst,0
2000-10-01,tax_indirect,gst,0
2001-01-01,tax_indirect,gst,0
2001-04-01,tax_indirect,gst,0
2001-07-01,tax_indirect,gst,0
2001-10-01,tax_indirect,gst,0
2002-01-01,tax_indirect,gst,0
2002-04-01,tax_indirect,gst,0
2002-07-01,tax_indirect,gst,0
2002-10-01,tax_indirect,gst,0
2003-01-01,tax_indirect,gst,0
2003-04-01,tax_indirect,gst,0
2003-07-01,tax_indirect,gst,0
2003-10-01,tax_indirect,gst,0
2004-01-01,tax_indirect,gst,0
2004-04-01,tax_indirect,gst,0
2004-07-01,tax_indirect,gst,0
2004-10-01,tax_indirect,gst,0
2005-01-01,tax_indirect,gst,0
2005-04-01,tax_indirect,gst,0
2005-07-01,tax_indirect,gst,0
2005-10-01,tax_indirect,gst,0
2006-01-01,tax_indirect,gst,0
2006-04-01,tax_indirect,gst,0
2006-07-01,tax_indirect,gst,0
2006-10-01,tax_indirect,gst,0
2007-01-01,tax_indirect,gst,0
2007-04-01,tax_indirect,gst,0
2007-07-01,tax_indirect,gst,0
2007-10-01,tax_indirect,gst,0
2008-01-01,tax_indirect,gst,0
2008-04-01,tax_indirect,gst,0
2008-07-01,tax_indirect,gst,0
2008-10-01,tax_indirect,gst,0
2009-01-01,tax_indirect,gst,0
2009-04-01,tax_indirect,gst,0
2009-07-01,tax_indirect,gst,0
2009-10-01,tax_indirect,gst,0
2010-01-01,tax_indirect,gst,0
2010-04-01,tax_indirect,gst,0
2010-07-01,tax_indirect,gst,0
2010-10-01,tax_indirect,gst,0
2011-01-01,tax_indirect,gst,0
2011-04-01,tax_indirect,gst,0
2011-07-01,tax_indirect,gst,0
2011-10-01,tax_indirect,gst,0
2012-01-01,tax_indirect,gst,0
2012-04-01,tax_indirect,gst,0
2012-07-01,tax_indirect,gst,0
2012-10-01,tax_indirect,gst,0
2013-01-01,tax_indirect,gst,0
2013-04-01,tax_indirect,gst,0
2013-07-01,tax_indirect,gst,0
2013-10-01,tax_indirect,gst,0
2014-01-01,tax_indirect,gst,0
2014-04-01,tax_indirect,gst,0
2014-07-01,tax_indirect,gst,0
2014-10-01,tax_indirect,gst,0
2015-01-01,tax_indirect,gst,0
2015-04-01,tax_indirect,gst,7572
2015-07-01,tax_indirect,gst,8946
2015-10-01,tax_indirect,gst,10495
2016-01-01,tax_indirect,gst,10161
2016-04-01,tax_indirect,gst,7081
2016-07-01,tax_indirect,gst,10813
2016-10-01,tax_indirect,gst,13151
2017-01-01,tax_indirect,gst,9200
2017-04-01,tax_indirect,gst,10111
2017-07-01,tax_indirect,gst,10496
2017-10-01,tax_indirect,gst,14484
2018-01-01,tax_indirect,gst,8312
2018-04-01,tax_indirect,gst,10469
2018-07-01,tax_indirect,gst,4157
2018-10-01,tax_indirect,gst,-2702
2019-01-01,tax_indirect,gst,509
2019-04-01,tax_indirect,gst,151
2019-07-01,tax_indirect,gst,-660
2019-10-01,tax_indirect,gst,0
2020-01-01,tax_indirect,gst,0
2020-04-01,tax_indirect,gst,0
2020-07-01,tax_indirect,gst,0
2020-10-01,tax_indirect,gst,0
2021-01-01,tax_indirect,gst,0
2021-04-01,tax_indirect,gst,0
2021-07-01,tax_indirect,gst,0
2021-10-01,tax_indirect,gst,0
2022-01-01,tax_indirect,gst,0
2022-04-01,tax_indirect,gst,0
2022-07-01,tax_indirect,gst,0
2022-10-01,tax_indirect,gst,0
2023-01-01,tax_indirect,gst,0
2023-04-01,tax_indirect,gst,0
2023-07-01,tax_indirect,gst,0
2023-10-01,tax_indirect,gst,0
2024-01-01,tax_indirect,gst,0
1996-01-01,tax_indirect,sales,1371
1996-04-01,tax_indirect,sales,1117
1996-07-01,tax_indirect,sales,1631
1996-10-01,tax_indirect,sales,1354
1997-01-01,tax_indirect,sales,1579
1997-04-01,tax_indirect,sales,1240
1997-07-01,tax_indirect,sales,1804
1997-10-01,tax_indirect,sales,1544
1998-01-01,tax_indirect,sales,1259
1998-04-01,tax_indirect,sales,755
1998-07-01,tax_indirect,sales,1010
1998-10-01,tax_indirect,sales,821
1999-01-01,tax_indirect,sales,549
1999-04-01,tax_indirect,sales,1313
1999-07-01,tax_indirect,sales,977
1999-10-01,tax_indirect,sales,1650
2000-01-01,tax_indirect,sales,877
2000-04-01,tax_indirect,sales,1784
2000-07-01,tax_indirect,sales,1421
2000-10-01,tax_indirect,sales,1886
2001-01-01,tax_indirect,sales,1086
2001-04-01,tax_indirect,sales,2057
2001-07-01,tax_indirect,sales,1430
2001-10-01,tax_indirect,sales,2783
2002-01-01,tax_indirect,sales,1896
2002-04-01,tax_indirect,sales,2470
2002-07-01,tax_indirect,sales,1974
2002-10-01,tax_indirect,sales,2903
2003-01-01,tax_indirect,sales,1483
2003-04-01,tax_indirect,sales,2117
2003-07-01,tax_indirect,sales,1997
2003-10-01,tax_indirect,sales,2368
2004-01-01,tax_indirect,sales,1160
2004-04-01,tax_indirect,sales,1825
2004-07-01,tax_indirect,sales,1627
2004-10-01,tax_indirect,sales,2204
2005-01-01,tax_indirect,sales,1801
2005-04-01,tax_indirect,sales,1991
2005-07-01,tax_indirect,sales,1597
2005-10-01,tax_indirect,sales,2320
2006-01-01,tax_indirect,sales,1188
2006-04-01,tax_indirect,sales,1799
2006-07-01,tax_indirect,sales,1485
2006-10-01,tax_indirect,sales,2061
2007-01-01,tax_indirect,sales,1393
2007-04-01,tax_indirect,sales,1597
2007-07-01,tax_indirect,sales,1538
2007-10-01,tax_indirect,sales,2114
2008-01-01,tax_indirect,sales,1204
2008-04-01,tax_indirect,sales,2203
2008-07-01,tax_indirect,sales,1906
2008-10-01,tax_indirect,sales,3061
2009-01-01,tax_indirect,sales,2467
2009-04-01,tax_indirect,sales,2109
2009-07-01,tax_indirect,sales,1738
2009-10-01,tax_indirect,sales,2289
2010-01-01,tax_indirect,sales,1731
2010-04-01,tax_indirect,sales,2065
2010-07-01,tax_indirect,sales,2003
2010-10-01,tax_indirect,sales,2373
2011-01-01,tax_indirect,sales,1907
2011-04-01,tax_indirect,sales,2078
2011-07-01,tax_indirect,sales,2140
2011-10-01,tax_indirect,sales,2453
2012-01-01,tax_indirect,sales,1925
2012-04-01,tax_indirect,sales,2291
2012-07-01,tax_indirect,sales,2411
2012-10-01,tax_indirect,sales,2869
2013-01-01,tax_indirect,sales,2017
2013-04-01,tax_indirect,sales,2570
2013-07-01,tax_indirect,sales,2377
2013-10-01,tax_indirect,sales,3104
2014-01-01,tax_indirect,sales,2180
2014-04-01,tax_indirect,sales,2562
2014-07-01,tax_indirect,sales,3021
2014-10-01,tax_indirect,sales,3177
2015-01-01,tax_indirect,sales,3627
2015-04-01,tax_indirect,sales,1257
2015-07-01,tax_indirect,sales,195
2015-10-01,tax_indirect,sales,145
2016-01-01,tax_indirect,sales,53
2016-04-01,tax_indirect,sales,23
2016-07-01,tax_indirect,sales,12
2016-10-01,tax_indirect,sales,14
2017-01-01,tax_indirect,sales,9
2017-04-01,tax_indirect,sales,13
2017-07-01,tax_indirect,sales,19
2017-10-01,tax_indirect,sales,6
2018-01-01,tax_indirect,sales,9
2018-04-01,tax_indirect,sales,17
2018-07-01,tax_indirect,sales,408
2018-10-01,tax_indirect,sales,3536
2019-01-01,tax_indirect,sales,3593
2019-04-01,tax_indirect,sales,3940
2019-07-01,tax_indirect,sales,3946
2019-10-01,tax_indirect,sales,3907
2020-01-01,tax_indirect,sales,3170
2020-04-01,tax_indirect,sales,3184
2020-07-01,tax_indirect,sales,3146
2020-10-01,tax_indirect,sales,5267
2021-01-01,tax_indirect,sales,3720
2021-04-01,tax_indirect,sales,3464
2021-07-01,tax_indirect,sales,2765
2021-10-01,tax_indirect,sales,3649
2022-01-01,tax_indirect,sales,3722
2022-04-01,tax_indirect,sales,3864
2022-07-01,tax_indirect,sales,4348
2022-10-01,tax_indirect,sales,4321
2023-01-01,tax_indirect,sales,4441
2023-04-01,tax_indirect,sales,4146
2023-07-01,tax_indirect,sales,4807
2023-10-01,tax_indirect,sales,4980
2024-01-01,tax_indirect,sales,4817
1996-01-01,tax_indirect,service,317
1996-04-01,tax_indirect,service,261
1996-07-01,tax_indirect,service,352
1996-10-01,tax_indirect,service,301
1997-01-01,tax_indirect,service,385
1997-04-01,tax_indirect,service,310
1997-07-01,tax_indirect,service,473
1997-10-01,tax_indirect,service,307
1998-01-01,tax_indirect,service,463
1998-04-01,tax_indirect,service,269
1998-07-01,tax_indirect,service,406
1998-10-01,tax_indirect,service,309
1999-01-01,tax_indirect,service,220
1999-04-01,tax_indirect,service,428
1999-07-01,tax_indirect,service,306
1999-10-01,tax_indirect,service,504
2000-01-01,tax_indirect,service,294
2000-04-01,tax_indirect,service,505
2000-07-01,tax_indirect,service,337
2000-10-01,tax_indirect,service,565
2001-01-01,tax_indirect,service,299
2001-04-01,tax_indirect,service,552
2001-07-01,tax_indirect,service,406
2001-10-01,tax_indirect,service,670
2002-01-01,tax_indirect,service,390
2002-04-01,tax_indirect,service,631
2002-07-01,tax_indirect,service,441
2002-10-01,tax_indirect,service,752
2003-01-01,tax_indirect,service,378
2003-04-01,tax_indirect,service,659
2003-07-01,tax_indirect,service,400
2003-10-01,tax_indirect,service,601
2004-01-01,tax_indirect,service,345
2004-04-01,tax_indirect,service,706
2004-07-01,tax_indirect,service,512
