date,category,variable,value
2012-10-01,tax_direct,total,37195
2013-01-01,tax_direct,total,27365
2013-04-01,tax_direct,total,28686
2013-07-01,tax_direct,total,31930
2013-10-01,tax_direct,total,32542
2014-01-01,tax_direct,total,27249
2014-04-01,tax_direct,total,30416
2014-07-01,tax_direct,total,31774
2014-10-01,tax_direct,total,37303
2015-01-01,tax_direct,total,27585
2015-04-01,tax_direct,total,27246
2015-07-01,tax_direct,total,28511
2015-10-01,tax_direct,total,28428
2016-01-01,tax_direct,total,25494
2016-04-01,tax_direct,total,24803
2016-07-01,tax_direct,total,28428
2016-10-01,tax_direct,total,30882
2017-01-01,tax_direct,total,24194
2017-04-01,tax_direct,total,24887
2017-07-01,tax_direct,total,29250
2017-10-01,tax_direct,total,37693
2018-01-01,tax_direct,total,29291
2018-04-01,tax_direct,total,28248
2018-07-01,tax_direct,total,32613
2018-10-01,tax_direct,total,39882
2019-01-01,tax_direct,total,30798
2019-04-01,tax_direct,total,31442
2019-07-01,tax_direct,total,35048
2019-10-01,tax_direct,total,37435
2020-01-01,tax_direct,total,28158
2020-04-01,tax_direct,total,18575
2020-07-01,tax_direct,total,19742
2020-10-01,tax_direct,total,46036
2021-01-01,tax_direct,total,28997
2021-04-01,tax_direct,total,29340
2021-07-01,tax_direct,total,27201
2021-10-01,tax_direct,total,44577
2022-01-01,tax_direct,total,35133
2022-04-01,tax_direct,total,32450
2022-07-01,tax_direct,total,44391
2022-10-01,tax_direct,total,41502
2023-01-01,tax_direct,total,45639
2023-04-01,tax_direct,total,41463
2023-07-01,tax_direct,total,42115
2023-10-01,tax_direct,total,42120
2024-01-01,tax_direct,total,36897
1996-01-01,tax_direct,cita,3213
1996-04-01,tax_direct,cita,3218
1996-07-01,tax_direct,cita,3385
1996-10-01,tax_direct,cita,4350
1997-01-01,tax_direct,cita,3754
1997-04-01,tax_direct,cita,3713
1997-07-01,tax_direct,cita,4054
1997-10-01,tax_direct,cita,5167
1998-01-01,tax_direct,cita,4523
1998-04-01,tax_direct,cita,4346
1998-07-01,tax_direct,cita,4215
1998-10-01,tax_direct,cita,4210
1999-01-01,tax_direct,cita,2468
1999-04-01,tax_direct,cita,4289
1999-07-01,tax_direct,cita,3928
1999-10-01,tax_direct,cita,5057
2000-01-01,tax_direct,cita,2027
2000-04-01,tax_direct,cita,5188
2000-07-01,tax_direct,cita,2427
2000-10-01,tax_direct,cita,4262
2001-01-01,tax_direct,cita,2571
2001-04-01,tax_direct,cita,4824
2001-07-01,tax_direct,cita,4973
2001-10-01,tax_direct,cita,8403
2002-01-01,tax_direct,cita,5108
2002-04-01,tax_direct,cita,5380
2002-07-01,tax_direct,cita,5248
2002-10-01,tax_direct,cita,8907
2003-01-01,tax_direct,cita,3551
2003-04-01,tax_direct,cita,2828
2003-07-01,tax_direct,cita,3578
2003-10-01,tax_direct,cita,14033
2004-01-01,tax_direct,cita,2312
2004-04-01,tax_direct,cita,4984
2004-07-01,tax_direct,cita,6719
2004-10-01,tax_direct,cita,10372
2005-01-01,tax_direct,cita,1905
2005-04-01,tax_direct,cita,5090
2005-07-01,tax_direct,cita,6511
2005-10-01,tax_direct,cita,12874
2006-01-01,tax_direct,cita,1502
2006-04-01,tax_direct,cita,8282
2006-07-01,tax_direct,cita,2275
2006-10-01,tax_direct,cita,14418
2007-01-01,tax_direct,cita,2690
2007-04-01,tax_direct,cita,14677
2007-07-01,tax_direct,cita,1766
2007-10-01,tax_direct,cita,13016
2008-01-01,tax_direct,cita,-1077
2008-04-01,tax_direct,cita,12184
2008-07-01,tax_direct,cita,12703
2008-10-01,tax_direct,cita,13931
2009-01-01,tax_direct,cita,-807
2009-04-01,tax_direct,cita,15222
2009-07-01,tax_direct,cita,4602
2009-10-01,tax_direct,cita,11183
2010-01-01,tax_direct,cita,2708
2010-04-01,tax_direct,cita,7414
2010-07-01,tax_direct,cita,8819
2010-10-01,tax_direct,cita,17325
2011-01-01,tax_direct,cita,6843
2011-04-01,tax_direct,cita,7250
2011-07-01,tax_direct,cita,16540
2011-10-01,tax_direct,cita,16255
2012-01-01,tax_direct,cita,8151
2012-04-01,tax_direct,cita,10286
2012-07-01,tax_direct,cita,13962
2012-10-01,tax_direct,cita,18889
2013-01-01,tax_direct,cita,11899
2013-04-01,tax_direct,cita,8995
2013-07-01,tax_direct,cita,10064
2013-10-01,tax_direct,cita,27218
2014-01-01,tax_direct,cita,8883
2014-04-01,tax_direct,cita,12120
2014-07-01,tax_direct,cita,22558
2014-10-01,tax_direct,cita,21679
2015-01-01,tax_direct,cita,14182
2015-04-01,tax_direct,cita,15902
2015-07-01,tax_direct,cita,17036
2015-10-01,tax_direct,cita,16559
2016-01-01,tax_direct,cita,10990
2016-04-01,tax_direct,cita,18469
2016-07-01,tax_direct,cita,12131
2016-10-01,tax_direct,cita,22035
2017-01-01,tax_direct,cita,13045
2017-04-01,tax_direct,cita,13367
2017-07-01,tax_direct,cita,16686
2017-10-01,tax_direct,cita,21368
2018-01-01,tax_direct,cita,10645
2018-04-01,tax_direct,cita,16112
2018-07-01,tax_direct,cita,19542
2018-10-01,tax_direct,cita,20175
2019-01-01,tax_direct,cita,15928
2019-04-01,tax_direct,cita,16073
2019-07-01,tax_direct,cita,14471
2019-10-01,tax_direct,cita,17279
2020-01-01,tax_direct,cita,13583
2020-04-01,tax_direct,cita,6863
2020-07-01,tax_direct,cita,6292
2020-10-01,tax_direct,cita,23327
2021-01-01,tax_direct,cita,17451
2021-04-01,tax_direct,cita,11653
2021-07-01,tax_direct,cita,9229
2021-10-01,tax_direct,cita,41495
2022-01-01,tax_direct,cita,19997
2022-04-01,tax_direct,cita,16243
2022-07-01,tax_direct,cita,23419
2022-10-01,tax_direct,cita,22474
2023-01-01,tax_direct,cita,26166
2023-04-01,tax_direct,cita,18604
2023-07-01,tax_direct,cita,23485
2023-10-01,tax_direct,cita,25596
2024-01-01,tax_direct,cita,20992
1996-01-01,tax_direct,pita,334
1996-04-01,tax_direct,pita,935
1996-07-01,tax_direct,pita,391
1996-10-01,tax_direct,pita,543
1997-01-01,tax_direct,pita,415
1997-04-01,tax_direct,pita,1981
1997-07-01,tax_direct,pita,710
1997-10-01,tax_direct,pita,755
1998-01-01,tax_direct,pita,597
1998-04-01,tax_direct,pita,1603
1998-07-01,tax_direct,pita,937
1998-10-01,tax_direct,pita,909
1999-01-01,tax_direct,pita,227
1999-04-01,tax_direct,pita,1257
1999-07-01,tax_direct,pita,454
1999-10-01,tax_direct,pita,918
2000-01-01,tax_direct,pita,349
2000-04-01,tax_direct,pita,1047
2000-07-01,tax_direct,pita,1077
2000-10-01,tax_direct,pita,3537
2001-01-01,tax_direct,pita,922
2001-04-01,tax_direct,pita,990
2001-07-01,tax_direct,pita,4814
2001-10-01,tax_direct,pita,3132
2002-01-01,tax_direct,pita,500
2002-04-01,tax_direct,pita,3144
2002-07-01,tax_direct,pita,1668
2002-10-01,tax_direct,pita,2324
2003-01-01,tax_direct,pita,707
2003-04-01,tax_direct,pita,1197
2003-07-01,tax_direct,pita,3121
2003-10-01,tax_direct,pita,3441
2004-01-01,tax_direct,pita,1217
2004-04-01,tax_direct,pita,3751
2004-07-01,tax_direct,pita,5807
2004-10-01,tax_direct,pita,705
2005-01-01,tax_direct,pita,2092
2005-04-01,tax_direct,pita,6476
2005-07-01,tax_direct,pita,2849
2005-10-01,tax_direct,pita,3150
2006-01-01,tax_direct,pita,2451
2006-04-01,tax_direct,pita,8269
2006-07-01,tax_direct,pita,3984
2006-10-01,tax_direct,pita,5969
2007-01-01,tax_direct,pita,1282
2007-04-01,tax_direct,pita,11817
2007-07-01,tax_direct,pita,2610
2007-10-01,tax_direct,pita,4744
2008-01-01,tax_direct,pita,3110
2008-04-01,tax_direct,pita,6325
2008-07-01,tax_direct,pita,8436
2008-10-01,tax_direct,pita,6320
2009-01-01,tax_direct,pita,3606
2009-04-01,tax_direct,pita,9607
2009-07-01,tax_direct,pita,6012
2009-10-01,tax_direct,pita,8007
2010-01-01,tax_direct,pita,781
2010-04-01,tax_direct,pita,3789
2010-07-01,tax_direct,pita,5088
2010-10-01,tax_direct,pita,9055
2011-01-01,tax_direct,pita,6579
2011-04-01,tax_direct,pita,6343
2011-07-01,tax_direct,pita,6271
2011-10-01,tax_direct,pita,8555
2012-01-01,tax_direct,pita,4588
2012-04-01,tax_direct,pita,7229
2012-07-01,tax_direct,pita,6207
2012-10-01,tax_direct,pita,15911
2013-01-01,tax_direct,pita,4710
2013-04-01,tax_direct,pita,7770
2013-07-01,tax_direct,pita,5307
2013-10-01,tax_direct,pita,11966
2014-01-01,tax_direct,pita,5211
2014-04-01,tax_direct,pita,6742
2014-07-01,tax_direct,pita,6760
2014-10-01,tax_direct,pita,8243
2015-01-01,tax_direct,pita,3006
2015-04-01,tax_direct,pita,3040
2015-07-01,tax_direct,pita,2870
2015-10-01,tax_direct,pita,2642
2016-01-01,tax_direct,pita,1951
2016-04-01,tax_direct,pita,916
2016-07-01,tax_direct,pita,1932
2016-10-01,tax_direct,pita,3623
2017-01-01,tax_direct,pita,758
2017-04-01,tax_direct,pita,1696
2017-07-01,tax_direct,pita,1648
2017-10-01,tax_direct,pita,7659
2018-01-01,tax_direct,pita,3439
2018-04-01,tax_direct,pita,3809
2018-07-01,tax_direct,pita,2789
2018-10-01,tax_direct,pita,10045
2019-01-01,tax_direct,pita,4099
2019-04-01,tax_direct,pita,4453
2019-07-01,tax_direct,pita,4265
2019-10-01,tax_direct,pita,7966
2020-01-01,tax_direct,pita,2328
2020-04-01,tax_direct,pita,2371
