date,category,variable,value
1983-01-01,non_tax,total,3012
1984-01-01,non_tax,total,3791
1985-01-01,non_tax,total,3975
1986-01-01,non_tax,total,4356
1987-01-01,non_tax,total,5134
1988-01-01,non_tax,total,6623
1989-01-01,non_tax,total,7496
1990-01-01,non_tax,total,6946
1991-01-01,non_tax,total,7456
1992-01-01,non_tax,total,9603
1993-01-01,non_tax,total,9274
1994-01-01,non_tax,total,11338
1995-01-01,non_tax,total,8469
1996-01-01,non_tax,total,10330
1997-01-01,non_tax,total,11421
1998-01-01,non_tax,total,10883
1999-01-01,non_tax,total,12674
2000-01-01,non_tax,total,14093
2001-01-01,non_tax,total,17304
2002-01-01,non_tax,total,15759
2003-01-01,non_tax,total,23131
2004-01-01,non_tax,total,26511
2005-01-01,non_tax,total,25052
2006-01-01,non_tax,total,36005
2007-01-01,non_tax,total,43950
2008-01-01,non_tax,total,45911
2009-01-01,non_tax,total,50789
2010-01-01,non_tax,total,48867
2011-01-01,non_tax,total,49423
2012-01-01,non_tax,total,54909
2013-01-01,non_tax,total,54450
2014-01-01,non_tax,total,53899
2015-01-01,non_tax,total,51467
2016-01-01,non_tax,total,40006
2017-01-01,non_tax,total,39520
2018-01-01,non_tax,total,51118
2019-01-01,non_tax,total,79825
2020-01-01,non_tax,total,62047
2021-01-01,non_tax,total,51122
2022-01-01,non_tax,total,79609
2023-01-01,non_tax,total,79032
1970-01-01,non_tax,permit,181
1971-01-01,non_tax,permit,192
1972-01-01,non_tax,permit,215
1973-01-01,non_tax,permit,249
1974-01-01,non_tax,permit,289
1975-01-01,non_tax,permit,290
1976-01-01,non_tax,permit,351
1977-01-01,non_tax,permit,409
1978-01-01,non_tax,permit,447
1979-01-01,non_tax,permit,481
1980-01-01,non_tax,permit,551
1981-01-01,non_tax,permit,592
1982-01-01,non_tax,permit,669
1983-01-01,non_tax,permit,781
1984-01-01,non_tax,permit,875
1985-01-01,non_tax,permit,914
1986-01-01,non_tax,permit,911
1987-01-01,non_tax,permit,929
1988-01-01,non_tax,permit,1028
1989-01-01,non_tax,permit,1143
1990-01-01,non_tax,permit,1255
1991-01-01,non_tax,permit,1443
1992-01-01,non_tax,permit,1592
1993-01-01,non_tax,permit,1947
1994-01-01,non_tax,permit,2855
1995-01-01,non_tax,permit,2516
1996-01-01,non_tax,permit,3536
1997-01-01,non_tax,permit,4483
1998-01-01,non_tax,permit,3756
1999-01-01,non_tax,permit,3637
2000-01-01,non_tax,permit,3785
2001-01-01,non_tax,permit,3994
2002-01-01,non_tax,permit,4282
2003-01-01,non_tax,permit,4492
2004-01-01,non_tax,permit,4608
2005-01-01,non_tax,permit,5039
2006-01-01,non_tax,permit,4972
2007-01-01,non_tax,permit,5282
2008-01-01,non_tax,permit,5193
2009-01-01,non_tax,permit,5881
2010-01-01,non_tax,permit,5476
2011-01-01,non_tax,permit,6043
2012-01-01,non_tax,permit,7147
2013-01-01,non_tax,permit,7232
2014-01-01,non_tax,permit,7722
2015-01-01,non_tax,permit,7397
2016-01-01,non_tax,permit,8646
2017-01-01,non_tax,permit,8362
2018-01-01,non_tax,permit,8842
2019-01-01,non_tax,permit,8712
2020-01-01,non_tax,permit,6729
2021-01-01,non_tax,permit,6879
2022-01-01,non_tax,permit,9651
2023-01-01,non_tax,permit,9893
1970-01-01,non_tax,petroleum,0
1971-01-01,non_tax,petroleum,0
1972-01-01,non_tax,petroleum,22
1973-01-01,non_tax,petroleum,25
1974-01-01,non_tax,petroleum,46
1975-01-01,non_tax,petroleum,78
1976-01-01,non_tax,petroleum,84
1977-01-01,non_tax,petroleum,111
1978-01-01,non_tax,petroleum,116
1979-01-01,non_tax,petroleum,166
1980-01-01,non_tax,petroleum,345
1981-01-01,non_tax,petroleum,417
1982-01-01,non_tax,petroleum,425
1983-01-01,non_tax,petroleum,491
1984-01-01,non_tax,petroleum,581
1985-01-01,non_tax,petroleum,619
1986-01-01,non_tax,petroleum,549
1987-01-01,non_tax,petroleum,410
1988-01-01,non_tax,petroleum,499
1989-01-01,non_tax,petroleum,509
1990-01-01,non_tax,petroleum,627
1991-01-01,non_tax,petroleum,875
1992-01-01,non_tax,petroleum,774
1993-01-01,non_tax,petroleum,741
1994-01-01,non_tax,petroleum,626
1995-01-01,non_tax,petroleum,710
1996-01-01,non_tax,petroleum,848
1997-01-01,non_tax,petroleum,991
1998-01-01,non_tax,petroleum,1102
1999-01-01,non_tax,petroleum,974
2000-01-01,non_tax,petroleum,1763
2001-01-01,non_tax,petroleum,2000
2002-01-01,non_tax,petroleum,1600
2003-01-01,non_tax,petroleum,2142
2004-01-01,non_tax,petroleum,2498
2005-01-01,non_tax,petroleum,3293
2006-01-01,non_tax,petroleum,4240
2007-01-01,non_tax,petroleum,4152
2008-01-01,non_tax,petroleum,5908
2009-01-01,non_tax,petroleum,4805
2010-01-01,non_tax,petroleum,4855
2011-01-01,non_tax,petroleum,5148
2012-01-01,non_tax,petroleum,6423
2013-01-01,non_tax,petroleum,6186
2014-01-01,non_tax,petroleum,6532
2015-01-01,non_tax,petroleum,5142
2016-01-01,non_tax,petroleum,3661
2017-01-01,non_tax,petroleum,4415
2018-01-01,non_tax,petroleum,5184
2019-01-01,non_tax,petroleum,5788
2020-01-01,non_tax,petroleum,4202
2021-01-01,non_tax,petroleum,3699
2022-01-01,non_tax,petroleum,5975
2023-01-01,non_tax,petroleum,6848
1970-01-01,non_tax,interest,115
1971-01-01,non_tax,interest,143
1972-01-01,non_tax,interest,310
1973-01-01,non_tax,interest,95
1974-01-01,non_tax,interest,139
1975-01-01,non_tax,interest,159
1976-01-01,non_tax,interest,256
1977-01-01,non_tax,interest,243
1978-01-01,non_tax,interest,307
1979-01-01,non_tax,interest,419
1980-01-01,non_tax,interest,473
1981-01-01,non_tax,interest,1499
1982-01-01,non_tax,interest,2050
1983-01-01,non_tax,interest,1286
1984-01-01,non_tax,interest,1795
1985-01-01,non_tax,interest,1996
1986-01-01,non_tax,interest,2499
1987-01-01,non_tax,interest,3450
1988-01-01,non_tax,interest,4696
1989-01-01,non_tax,interest,5405
1990-01-01,non_tax,interest,4613
1991-01-01,non_tax,interest,4648
1992-01-01,non_tax,interest,6672
1993-01-01,non_tax,interest,5940
1994-01-01,non_tax,interest,7133
1995-01-01,non_tax,interest,4381
1996-01-01,non_tax,interest,4761
1997-01-01,non_tax,interest,4789
1998-01-01,non_tax,interest,4883
1999-01-01,non_tax,interest,7007
2000-01-01,non_tax,interest,7383
2001-01-01,non_tax,interest,10056
2002-01-01,non_tax,interest,8353
2003-01-01,non_tax,interest,15201
2004-01-01,non_tax,interest,17778
2005-01-01,non_tax,interest,14849
2006-01-01,non_tax,interest,24794
2007-01-01,non_tax,interest,32408
2008-01-01,non_tax,interest,32271
2009-01-01,non_tax,interest,37394
2010-01-01,non_tax,interest,34575
2011-01-01,non_tax,interest,34005
2012-01-01,non_tax,interest,36736
2013-01-01,non_tax,interest,35306
2014-01-01,non_tax,interest,33756
2015-01-01,non_tax,interest,32838
2016-01-01,non_tax,interest,21425
2017-01-01,non_tax,interest,21638
2018-01-01,non_tax,interest,31889
2019-01-01,non_tax,interest,60058
2020-01-01,non_tax,interest,46067
2021-01-01,non_tax,interest,35018
2022-01-01,non_tax,interest,58223
2023-01-01,non_tax,interest,55824
1970-01-01,non_tax,other,233
1971-01-01,non_tax,other,136
1972-01-01,non_tax,other,145
1973-01-01,non_tax,other,179
1974-01-01,non_tax,other,205
1975-01-01,non_tax,other,265
1976-01-01,non_tax,other,209
1977-01-01,non_tax,other,227
1978-01-01,non_tax,other,248
1979-01-01,non_tax,other,260
1980-01-01,non_tax,other,306
1981-01-01,non_tax,other,347
1982-01-01,non_tax,other,385
1983-01-01,non_tax,other,454
1984-01-01,non_tax,other,540
1985-01-01,non_tax,other,446
1986-01-01,non_tax,other,397
1987-01-01,non_tax,other,345
1988-01-01,non_tax,other,400
1989-01-01,non_tax,other,439
1990-01-01,non_tax,other,451
1991-01-01,non_tax,other,490
1992-01-01,non_tax,other,565
1993-01-01,non_tax,other,646
1994-01-01,non_tax,other,724
1995-01-01,non_tax,other,862
1996-01-01,non_tax,other,1185
1997-01-01,non_tax,other,1158
1998-01-01,non_tax,other,1142
1999-01-01,non_tax,other,1055
2000-01-01,non_tax,other,1161
2001-01-01,non_tax,other,1254
2002-01-01,non_tax,other,1524
2003-01-01,non_tax,other,1296
2004-01-01,non_tax,other,1627
2005-01-01,non_tax,other,1872
2006-01-01,non_tax,other,1999
2007-01-01,non_tax,other,2108
2008-01-01,non_tax,other,2539
2009-01-01,non_tax,other,2709
2010-01-01,non_tax,other,3961
2011-01-01,non_tax,other,4227
2012-01-01,non_tax,other,4603
2013-01-01,non_tax,other,5727
2014-01-01,non_tax,other,5889
2015-01-01,non_tax,other,6089
2016-01-01,non_tax,other,6274
2017-01-01,non_tax,other,5106
2018-01-01,non_tax,other,5203
2019-01-01,non_tax,other,5268
2020-01-01,non_tax,other,5048
2021-01-01,non_tax,other,5526
2022-01-01,non_tax,other,5760
2023-01-01,non_tax,other,6467
1970-01-01,non_revenue,total,31
1971-01-01,non_revenue,total,30
1972-01-01,non_revenue,total,38
1973-01-01,non_revenue,total,45
1974-01-01,non_revenue,total,58
1975-01-01,non_revenue,total,69
1976-01-01,non_revenue,total,112
1977-01-01,non_revenue,total,109
1978-01-01,non_revenue,total,156
1979-01-01,non_revenue,total,182
1980-01-01,non_revenue,total,191
1981-01-01,non_revenue,total,357
1982-01-01,non_revenue,total,571
1983-01-01,non_revenue,total,333
1984-01-01,non_revenue,total,540
1985-01-01,non_revenue,total,440
1986-01-01,non_revenue,total,480
1987-01-01,non_revenue,total,535
1988-01-01,non_revenue,total,636
1989-01-01,non_revenue,total,1103
1990-01-01,non_revenue,total,1331
1991-01-01,non_revenue,total,767
1992-01-01,non_revenue,total,875
1993-01-01,non_revenue,total,517
1994-01-01,non_revenue,total,621
1995-01-01,non_revenue,total,814
1996-01-01,non_revenue,total,678
1997-01-01,non_revenue,total,688
1998-01-01,non_revenue,total,491
1999-01-01,non_revenue,total,655
2000-01-01,non_revenue,total,599
2001-01-01,non_revenue,total,772
2002-01-01,non_revenue,total,896
2003-01-01,non_revenue,total,4586
2004-01-01,non_revenue,total,836
2005-01-01,non_revenue,total,657
2006-01-01,non_revenue,total,910
2007-01-01,non_revenue,total,766
2008-01-01,non_revenue,total,985
2009-01-01,non_revenue,total,1346
2010-01-01,non_revenue,total,1270
2011-01-01,non_revenue,total,1111
2012-01-01,non_revenue,total,1360
2013-01-01,non_revenue,total,2968
2014-01-01,non_revenue,total,2522
2015-01-01,non_revenue,total,2181
2016-01-01,non_revenue,total,3072
2017-01-01,non_revenue,total,3227
2018-01-01,non_revenue,total,7704
2019-01-01,non_revenue,total,4024
2020-01-01,non_revenue,total,8631
2021-01-01,non_revenue,total,8927
2022-01-01,non_revenue,total,5983
2023-01-01,non_revenue,total,6742
