date,sex,ethnicity,abs,rate
2006-01-01,male,indian,6072.0,6.6
2006-01-01,both,other_citizen,1077.0,3.9
2006-01-01,female,other_citizen,424.0,3.1
2006-01-01,male,other_citizen,653.0,4.6
2006-01-01,both,other_noncitizen,2821.0,1.4
2006-01-01,female,other_noncitizen,1330.0,1.7
2006-01-01,male,other_noncitizen,1491.0,1.3
2006-01-01,both,overall,117778.0,4.4
2006-01-01,female,overall,50108.0,3.9
2006-01-01,male,overall,67670.0,5.0
2007-01-01,both,bumi_malay,63787.0,4.7
2007-01-01,female,bumi_malay,27383.0,4.1
2007-01-01,male,bumi_malay,36404.0,5.3
2007-01-01,both,bumi_other,10965.0,3.6
2007-01-01,female,bumi_other,4613.0,3.0
2007-01-01,male,bumi_other,6352.0,4.1
2007-01-01,both,chinese,32265.0,5.2
2007-01-01,female,chinese,13742.0,4.5
2007-01-01,male,chinese,18523.0,5.8
2007-01-01,both,indian,9771.0,5.2
2007-01-01,female,indian,3592.0,3.9
2007-01-01,male,indian,6179.0,6.6
2007-01-01,both,other_citizen,1010.0,3.6
2007-01-01,female,other_citizen,395.0,2.9
2007-01-01,male,other_citizen,615.0,4.3
2007-01-01,both,other_noncitizen,2872.0,1.4
2007-01-01,female,other_noncitizen,1339.0,1.6
2007-01-01,male,other_noncitizen,1533.0,1.2
2007-01-01,both,overall,120670.0,4.5
2007-01-01,female,overall,51064.0,3.9
2007-01-01,male,overall,69606.0,5.0
2008-01-01,both,bumi_malay,67595.0,4.9
2008-01-01,female,bumi_malay,28921.0,4.2
2008-01-01,male,bumi_malay,38674.0,5.6
2008-01-01,both,bumi_other,11480.0,3.6
2008-01-01,female,bumi_other,4838.0,3.1
2008-01-01,male,bumi_other,6642.0,4.1
2008-01-01,both,chinese,33484.0,5.3
2008-01-01,female,chinese,14264.0,4.7
2008-01-01,male,chinese,19220.0,5.9
2008-01-01,both,indian,10450.0,5.5
2008-01-01,female,indian,3818.0,4.1
2008-01-01,male,indian,6632.0,7.0
2008-01-01,both,other_citizen,1119.0,4.0
2008-01-01,female,other_citizen,423.0,3.1
2008-01-01,male,other_citizen,696.0,4.9
2008-01-01,both,other_noncitizen,2970.0,1.4
2008-01-01,female,other_noncitizen,1402.0,1.6
2008-01-01,male,other_noncitizen,1568.0,1.2
2008-01-01,both,overall,127098.0,4.6
2008-01-01,female,overall,53666.0,4.0
2008-01-01,male,overall,73432.0,5.2
2009-01-01,both,bumi_malay,69917.0,5.0
2009-01-01,female,bumi_malay,29883.0,4.3
2009-01-01,male,bumi_malay,40034.0,5.7
2009-01-01,both,bumi_other,12083.0,3.7
