date,state,sex,age,registrations
2021-02-27,Malaysia,female,0-12,152
2021-02-27,Malaysia,female,12-17,3272
2021-02-27,Malaysia,female,18-24,30473
2021-02-27,Malaysia,female,25-29,25898
2021-02-27,Malaysia,female,30-34,23645
2021-02-27,Malaysia,female,35-39,22629
2021-02-27,Malaysia,female,40-44,18691
2021-02-27,Malaysia,female,45-49,16503
2021-02-27,Malaysia,female,50-54,15074
2021-02-27,Malaysia,female,55-59,13895
2021-02-27,Malaysia,female,60-64,11104
2021-02-27,Malaysia,female,65-69,7594
2021-02-27,Malaysia,female,70-74,4156
2021-02-27,Malaysia,female,75-79,1609
2021-02-27,Malaysia,female,80-84,610
2021-02-27,Malaysia,female,85+,197
2021-02-27,Malaysia,male,0-12,137
2021-02-27,Malaysia,male,12-17,2619
2021-02-27,Malaysia,male,18-24,20304
2021-02-27,Malaysia,male,25-29,19365
2021-02-27,Malaysia,male,30-34,19502
2021-02-27,Malaysia,male,35-39,18297
2021-02-27,Malaysia,male,40-44,15623
2021-02-27,Malaysia,male,45-49,13676
2021-02-27,Malaysia,male,50-54,12446
2021-02-27,Malaysia,male,55-59,11590
2021-02-27,Malaysia,male,60-64,10297
2021-02-27,Malaysia,male,65-69,7564
2021-02-27,Malaysia,male,70-74,4666
2021-02-27,Malaysia,male,75-79,1934
2021-02-27,Malaysia,male,80-84,810
2021-02-27,Malaysia,male,85+,193
2021-02-28,Malaysia,female,0-12,130
2021-02-28,Malaysia,female,12-17,1992
2021-02-28,Malaysia,female,18-24,19497
2021-02-28,Malaysia,female,25-29,16446
2021-02-28,Malaysia,female,30-34,14753
2021-02-28,Malaysia,female,35-39,14198
2021-02-28,Malaysia,female,40-44,11991
2021-02-28,Malaysia,female,45-49,10809
2021-02-28,Malaysia,female,50-54,9967
2021-02-28,Malaysia,female,55-59,9281
2021-02-28,Malaysia,female,60-64,7749
2021-02-28,Malaysia,female,65-69,5370
2021-02-28,Malaysia,female,70-74,2948
2021-02-28,Malaysia,female,75-79,1205
2021-02-28,Malaysia,female,80-84,512
2021-02-28,Malaysia,female,85+,131
2021-02-28,Malaysia,male,0-12,99
2021-02-28,Malaysia,male,12-17,1551
2021-02-28,Malaysia,male,18-24,13738
2021-02-28,Malaysia,male,25-29,13262
2021-02-28,Malaysia,male,30-34,13085
2021-02-28,Malaysia,male,35-39,12379
2021-02-28,Malaysia,male,40-44,10600
2021-02-28,Malaysia,male,45-49,9104
2021-02-28,Malaysia,male,50-54,8608
2021-02-28,Malaysia,male,55-59,8072
2021-02-28,Malaysia,male,60-64,6976
2021-02-28,Malaysia,male,65-69,5283
2021-02-28,Malaysia,male,70-74,3206
2021-02-28,Malaysia,male,75-79,1370
2021-02-28,Malaysia,male,80-84,612
2021-02-28,Malaysia,male,85+,176
2021-03-01,Malaysia,female,0-12,125
2021-03-01,Malaysia,female,12-17,2383
2021-03-01,Malaysia,female,18-24,26141
2021-03-01,Malaysia,female,25-29,21902
2021-03-01,Malaysia,female,30-34,20017
2021-03-01,Malaysia,female,35-39,18780
2021-03-01,Malaysia,female,40-44,15544
2021-03-01,Malaysia,female,45-49,13189
2021-03-01,Malaysia,female,50-54,11636
2021-03-01,Malaysia,female,55-59,9870
2021-03-01,Malaysia,female,60-64,7247
2021-03-01,Malaysia,female,65-69,4555
2021-03-01,Malaysia,female,70-74,2429
2021-03-01,Malaysia,female,75-79,937
2021-03-01,Malaysia,female,80-84,414
2021-03-01,Malaysia,female,85+,130
2021-03-01,Malaysia,male,0-12,104
2021-03-01,Malaysia,male,12-17,1783
2021-03-01,Malaysia,male,18-24,18398
2021-03-01,Malaysia,male,25-29,18665
2021-03-01,Malaysia,male,30-34,19161
2021-03-01,Malaysia,male,35-39,17671
2021-03-01,Malaysia,male,40-44,14558
2021-03-01,Malaysia,male,45-49,12161
2021-03-01,Malaysia,male,50-54,10667
2021-03-01,Malaysia,male,55-59,9679
2021-03-01,Malaysia,male,60-64,7496
2021-03-01,Malaysia,male,65-69,5024
2021-03-01,Malaysia,male,70-74,2781
2021-03-01,Malaysia,male,75-79,1139
2021-03-01,Malaysia,male,80-84,449
2021-03-01,Malaysia,male,85+,140
2021-03-02,Malaysia,female,0-12,119
2021-03-02,Malaysia,female,12-17,1961
2021-03-02,Malaysia,female,18-24,21671
2021-03-02,Malaysia,female,25-29,18236
2021-03-02,Malaysia,female,30-34,17090
2021-03-02,Malaysia,female,35-39,16284
2021-03-02,Malaysia,female,40-44,13441
2021-03-02,Malaysia,female,45-49,11346
2021-03-02,Malaysia,female,50-54,10079
2021-03-02,Malaysia,female,55-59,8385
2021-03-02,Malaysia,female,60-64,6326
2021-03-02,Malaysia,female,65-69,4024
2021-03-02,Malaysia,female,70-74,2161
2021-03-02,Malaysia,female,75-79,818
2021-03-02,Malaysia,female,80-84,344
2021-03-02,Malaysia,female,85+,113
2021-03-02,Malaysia,male,0-12,93
2021-03-02,Malaysia,male,12-17,1530
2021-03-02,Malaysia,male,18-24,15059
2021-03-02,Malaysia,male,25-29,15088
2021-03-02,Malaysia,male,30-34,15472
2021-03-02,Malaysia,male,35-39,14688
2021-03-02,Malaysia,male,40-44,11816
2021-03-02,Malaysia,male,45-49,9864
2021-03-02,Malaysia,male,50-54,9028
2021-03-02,Malaysia,male,55-59,8361
2021-03-02,Malaysia,male,60-64,6350
2021-03-02,Malaysia,male,65-69,4312
2021-03-02,Malaysia,male,70-74,2476
2021-03-02,Malaysia,male,75-79,965
2021-03-02,Malaysia,male,80-84,418
2021-03-02,Malaysia,male,85+,104
2021-03-03,Malaysia,female,0-12,134
2021-03-03,Malaysia,female,12-17,2711
2021-03-03,Malaysia,female,18-24,28710
2021-03-03,Malaysia,female,25-29,24156
2021-03-03,Malaysia,female,30-34,21705
2021-03-03,Malaysia,female,35-39,19371
2021-03-03,Malaysia,female,40-44,15189
2021-03-03,Malaysia,female,45-49,12660
2021-03-03,Malaysia,female,50-54,11564
2021-03-03,Malaysia,female,55-59,10228
2021-03-03,Malaysia,female,60-64,7241
2021-03-03,Malaysia,female,65-69,4487
2021-03-03,Malaysia,female,70-74,2334
2021-03-03,Malaysia,female,75-79,808
2021-03-03,Malaysia,female,80-84,376
2021-03-03,Malaysia,female,85+,114
2021-03-03,Malaysia,male,0-12,132
2021-03-03,Malaysia,male,12-17,2109
2021-03-03,Malaysia,male,18-24,20582
2021-03-03,Malaysia,male,25-29,19636
2021-03-03,Malaysia,male,30-34,19235
2021-03-03,Malaysia,male,35-39,17601
2021-03-03,Malaysia,male,40-44,13549
2021-03-03,Malaysia,male,45-49,10732
2021-03-03,Malaysia,male,50-54,9629
2021-03-03,Malaysia,male,55-59,8621
2021-03-03,Malaysia,male,60-64,6900
2021-03-03,Malaysia,male,65-69,4595
2021-03-03,Malaysia,male,70-74,2527
2021-03-03,Malaysia,male,75-79,1022
2021-03-03,Malaysia,male,80-84,427
2021-03-03,Malaysia,male,85+,109
2021-03-04,Malaysia,female,0-12,173
2021-03-04,Malaysia,female,12-17,4166
2021-03-04,Malaysia,female,18-24,49835
2021-03-04,Malaysia,female,25-29,35840
2021-03-04,Malaysia,female,30-34,29711
2021-03-04,Malaysia,female,35-39,25892
2021-03-04,Malaysia,female,40-44,19581
2021-03-04,Malaysia,female,45-49,16810
2021-03-04,Malaysia,female,50-54,15459
