series,date,sector,value
abs,2015-01-01,p0,281643.0
abs,2015-01-01,p1,21764.0
abs,2015-01-01,p2,27716.0
abs,2015-01-01,p3,62217.0
abs,2015-01-01,p4,13728.0
abs,2015-01-01,p5,153066.0
abs,2015-01-01,p6,3151.0
abs,2015-04-01,p0,288307.0
abs,2015-04-01,p1,24404.0
abs,2015-04-01,p2,25913.0
abs,2015-04-01,p3,65081.0
abs,2015-04-01,p4,12927.0
abs,2015-04-01,p5,156236.0
abs,2015-04-01,p6,3747.0
abs,2015-07-01,p0,297422.0
abs,2015-07-01,p1,26956.0
abs,2015-07-01,p2,23605.0
abs,2015-07-01,p3,66415.0
abs,2015-07-01,p4,14332.0
abs,2015-07-01,p5,162493.0
abs,2015-07-01,p6,3621.0
abs,2015-10-01,p0,309569.0
abs,2015-10-01,p1,24415.0
abs,2015-10-01,p2,25825.0
abs,2015-10-01,p3,68667.0
abs,2015-10-01,p4,14395.0
abs,2015-10-01,p5,172087.0
abs,2015-10-01,p6,4180.0
abs,2016-01-01,p0,295016.0
abs,2016-01-01,p1,22021.0
abs,2016-01-01,p2,26110.0
abs,2016-01-01,p3,64368.0
abs,2016-01-01,p4,15250.0
abs,2016-01-01,p5,163132.0
abs,2016-01-01,p6,4136.0
abs,2016-04-01,p0,303738.0
abs,2016-04-01,p1,25438.0
abs,2016-04-01,p2,25609.0
abs,2016-04-01,p3,67390.0
abs,2016-04-01,p4,14455.0
abs,2016-04-01,p5,166798.0
abs,2016-04-01,p6,4048.0
abs,2016-07-01,p0,316737.0
abs,2016-07-01,p1,29824.0
abs,2016-07-01,p2,23625.0
abs,2016-07-01,p3,68378.0
abs,2016-07-01,p4,15866.0
abs,2016-07-01,p5,175095.0
abs,2016-07-01,p6,3948.0
abs,2016-10-01,p0,334206.0
abs,2016-10-01,p1,28472.0
abs,2016-10-01,p2,28614.0
abs,2016-10-01,p3,72260.0
abs,2016-10-01,p4,15518.0
abs,2016-10-01,p5,184945.0
abs,2016-10-01,p6,4398.0
abs,2017-01-01,p0,328713.0
abs,2017-01-01,p1,27748.0
abs,2017-01-01,p2,32141.0
