date,time,origin,destination,ridership
2021-01-01,00:00,Arau,Bukit Mertajam,1
2021-01-01,00:00,Bukit Mertajam,Alor Setar,1
2021-01-01,00:00,Tasek Gelugor,Arau,1
2021-01-01,01:00,Arau,Alor Setar,2
2021-01-01,01:00,Arau,Sungai Petani,1
2021-01-01,01:00,Bagan Serai,Alor Setar,1
2021-01-01,01:00,Bukit Mertajam,Alor Setar,1
2021-01-01,02:00,Alor Setar,Sungai Petani,1
2021-01-01,03:00,Anak Bukit,Butterworth,1
2021-01-01,03:00,Sungai Petani,Butterworth,1
2021-01-01,04:00,Arau,Alor Setar,1
2021-01-01,04:00,Butterworth,Bukit Ketri,1
2021-01-01,04:00,Butterworth,Tasek Gelugor,1
2021-01-01,04:00,Padang Rengas,Arau,14
2021-01-01,04:00,Padang Rengas,Bukit Mertajam,1
2021-01-01,04:00,Padang Rengas,Padang Besar,1
2021-01-01,05:00,Alor Setar,Bukit Tengah,2
2021-01-01,05:00,Alor Setar,Butterworth,4
2021-01-01,05:00,Alor Setar,Kobah,1
2021-01-01,05:00,Alor Setar,Nibong Tebal,1
2021-01-01,05:00,Alor Setar,Padang Rengas,3
2021-01-01,05:00,Alor Setar,Parit Buntar,1
2021-01-01,05:00,Alor Setar,Sungai Petani,1
2021-01-01,05:00,Alor Setar,Taiping,1
2021-01-01,05:00,Alor Setar,Tasek Gelugor,1
2021-01-01,05:00,Anak Bukit,Bagan Serai,2
2021-01-01,05:00,Anak Bukit,Bukit Mertajam,2
2021-01-01,05:00,Anak Bukit,Bukit Tengah,3
2021-01-01,05:00,Anak Bukit,Butterworth,2
2021-01-01,05:00,Anak Bukit,Padang Rengas,1
2021-01-01,05:00,Anak Bukit,Sungai Petani,2
2021-01-01,05:00,Arau,Bagan Serai,1
2021-01-01,05:00,Arau,Bukit Mertajam,4
2021-01-01,05:00,Arau,Bukit Tengah,2
2021-01-01,05:00,Arau,Butterworth,3
2021-01-01,05:00,Bagan Serai,Kodiang,1
2021-01-01,05:00,Bukit Ketri,Bukit Tengah,1
2021-01-01,05:00,Bukit Ketri,Sungai Petani,1
2021-01-01,05:00,Bukit Mertajam,Anak Bukit,2
2021-01-01,05:00,Bukit Mertajam,Arau,4
2021-01-01,05:00,Bukit Mertajam,Bukit Ketri,1
2021-01-01,05:00,Bukit Mertajam,Kodiang,2
2021-01-01,05:00,Bukit Mertajam,Padang Besar,1
2021-01-01,05:00,Bukit Mertajam,Padang Rengas,3
2021-01-01,05:00,Bukit Tengah,Alor Setar,2
2021-01-01,05:00,Bukit Tengah,Arau,5
2021-01-01,05:00,Bukit Tengah,Kodiang,1
2021-01-01,05:00,Butterworth,Alor Setar,2
2021-01-01,05:00,Butterworth,Arau,6
2021-01-01,05:00,Butterworth,Bukit Ketri,2
2021-01-01,05:00,Butterworth,Bukit Mertajam,1
2021-01-01,05:00,Butterworth,Gurun,5
2021-01-01,05:00,Butterworth,Kodiang,1
2021-01-01,05:00,Butterworth,Simpang Ampat,1
2021-01-01,05:00,Butterworth,Sungai Petani,2
