date_reg,type,maker,colour,fuel,state
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Kelantan
2000-01-02,motosikal,Honda,black,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,red,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,red,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Kedah
2000-01-02,motosikal,Honda,red,petrol,Kedah
2000-01-02,motosikal,Honda,red,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,red,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,black,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Kelantan
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,red,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,black,petrol,Kedah
2000-01-02,motosikal,Honda,red,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Kedah
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,blue,petrol,Kelantan
2000-01-02,motosikal,Honda,green,petrol,Kelantan
2000-01-02,motosikal,Honda,green,petrol,Kelantan
2000-01-02,motosikal,Honda,green,petrol,Kelantan
2000-01-02,motosikal,Honda,green,petrol,Kelantan
2000-01-02,motosikal,Honda,green,petrol,Terengganu
2000-01-02,motosikal,Honda,green,petrol,Kedah
2000-01-02,motosikal,Honda,green,petrol,Kelantan
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,black,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,black,petrol,Kelantan
2000-01-02,motosikal,Honda,red,petrol,Kelantan
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,red,petrol,Kelantan
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,green,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,green,petrol,Kedah
2000-01-02,motosikal,Honda,blue,petrol,Terengganu
2000-01-02,motosikal,Honda,blue,petrol,Kedah
2000-01-02,motosikal,Honda,green,petrol,Kedah
2000-01-02,motosikal,Honda,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kelantan
2000-01-02,motosikal,Modenas,silver,petrol,Kelantan
2000-01-02,motosikal,Modenas,silver,petrol,Kedah
2000-01-02,motosikal,Modenas,silver,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,yellow,petrol,Terengganu
2000-01-02,motosikal,Modenas,silver,petrol,Terengganu
2000-01-02,motosikal,Modenas,silver,petrol,Kelantan
2000-01-02,motosikal,Modenas,yellow,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Terengganu
2000-01-02,motosikal,Modenas,blue,petrol,Terengganu
2000-01-02,motosikal,Modenas,red,petrol,Terengganu
2000-01-02,motosikal,Modenas,black,petrol,Terengganu
2000-01-02,motosikal,Modenas,black,petrol,Terengganu
2000-01-02,motosikal,Modenas,red,petrol,Kelantan
2000-01-02,motosikal,Modenas,blue,petrol,Terengganu
2000-01-02,motosikal,Modenas,green,petrol,Terengganu
2000-01-02,motosikal,Modenas,green,petrol,Terengganu
2000-01-02,motosikal,Modenas,green,petrol,Terengganu
2000-01-02,motosikal,Modenas,blue,petrol,Terengganu
2000-01-02,motosikal,Modenas,blue,petrol,Terengganu
2000-01-02,motosikal,Modenas,red,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,red,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,red,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kelantan
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,red,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,red,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kelantan
2000-01-02,motosikal,Modenas,red,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kelantan
2000-01-02,motosikal,Modenas,red,petrol,Kelantan
2000-01-02,motosikal,Modenas,red,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,red,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,black,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kelantan
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,green,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Modenas,blue,petrol,Kedah
2000-01-02,motosikal,Suzuki,purple,petrol,Kelantan
2000-01-02,motosikal,Suzuki,red,petrol,Terengganu
2000-01-02,motosikal,Suzuki,green,petrol,Kelantan
2000-01-02,motosikal,Suzuki,green,petrol,Kedah
2000-01-02,motosikal,Suzuki,blue,petrol,Terengganu
2000-01-02,motosikal,Suzuki,blue,petrol,Kelantan
2000-01-02,motosikal,Suzuki,blue,petrol,Kedah
2000-01-02,motosikal,Suzuki,red,petrol,Kedah
2000-01-02,motosikal,Suzuki,green,petrol,Kelantan
2000-01-02,motosikal,Suzuki,blue,petrol,Kelantan
2000-01-02,motosikal,Suzuki,silver,petrol,Kedah
2000-01-02,motosikal,Suzuki,blue,petrol,Kedah
2000-01-02,motosikal,Suzuki,purple,petrol,Kelantan
