date_reg,type,maker,colour,fuel,state
2001-01-01,motosikal,Honda,red,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Kedah
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Kedah
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Kedah
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Kelantan
2001-01-01,motosikal,Honda,black,petrol,Kelantan
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Kedah
2001-01-01,motosikal,Honda,blue,petrol,Kelantan
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Terengganu
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Kelantan
2001-01-01,motosikal,Honda,black,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Terengganu
2001-01-01,motosikal,Honda,blue,petrol,Kedah
2001-01-01,motosikal,Honda,red,petrol,Kedah
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Perlis
2001-01-01,motosikal,Honda,black,petrol,Kelantan
2001-01-01,motosikal,Honda,red,petrol,Terengganu
2001-01-01,motosikal,Honda,red,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Kelantan
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Kedah
2001-01-01,motosikal,Honda,blue,petrol,Kedah
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Terengganu
2001-01-01,motosikal,Honda,blue,petrol,Kedah
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Kedah
2001-01-01,motosikal,Honda,black,petrol,Kelantan
2001-01-01,motosikal,Honda,black,petrol,Kedah
2001-01-01,motosikal,Honda,red,petrol,Kedah
2001-01-01,motosikal,Honda,black,petrol,Terengganu
2001-01-01,motosikal,Honda,green,petrol,Kedah
2001-01-01,motosikal,Honda,green,petrol,Johor
2001-01-01,motosikal,Honda,green,petrol,Terengganu
2001-01-01,motosikal,Honda,green,petrol,Johor
2001-01-01,motosikal,Honda,green,petrol,Johor
2001-01-01,motosikal,Honda,green,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Kelantan
2001-01-01,motosikal,Honda,green,petrol,Kelantan
2001-01-01,motosikal,Honda,blue,petrol,Kelantan
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,black,petrol,Kedah
2001-01-01,motosikal,Honda,red,petrol,Kedah
2001-01-01,motosikal,Honda,green,petrol,Kedah
2001-01-01,motosikal,Honda,green,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Terengganu
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,green,petrol,Terengganu
2001-01-01,motosikal,Honda,green,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Honda,blue,petrol,Johor
2001-01-01,motosikal,Kawasaki,red,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Perlis
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,maroon,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Kelantan
2001-01-01,motosikal,Modenas,red,petrol,Johor
2001-01-01,motosikal,Modenas,red,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Kelantan
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Kelantan
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Perlis
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,black,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Perlis
2001-01-01,motosikal,Modenas,black,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Perlis
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Perlis
2001-01-01,motosikal,Modenas,black,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Kedah
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,black,petrol,Kedah
2001-01-01,motosikal,Modenas,red,petrol,Perlis
2001-01-01,motosikal,Modenas,blue,petrol,Terengganu
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Terengganu
2001-01-01,motosikal,Modenas,red,petrol,Terengganu
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,red,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Johor
2001-01-01,motosikal,Modenas,black,petrol,Kedah
2001-01-01,motosikal,Modenas,red,petrol,Terengganu
2001-01-01,motosikal,Modenas,red,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,green,petrol,Kedah
2001-01-01,motosikal,Modenas,green,petrol,Kedah
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Kedah
2001-01-01,motosikal,Modenas,green,petrol,Kedah
2001-01-01,motosikal,Modenas,green,petrol,Johor
2001-01-01,motosikal,Modenas,green,petrol,Kedah
2001-01-01,motosikal,Modenas,green,petrol,Kedah
2001-01-01,motosikal,Modenas,green,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Johor
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Modenas,blue,petrol,Kedah
2001-01-01,motosikal,Suzuki,silver,petrol,Johor
2001-01-01,motosikal,Suzuki,blue,petrol,Terengganu
2001-01-01,motosikal,Suzuki,purple,petrol,Kedah
2001-01-01,motosikal,Suzuki,green,petrol,Johor
2001-01-01,motosikal,Suzuki,purple,petrol,Johor
2001-01-01,motosikal,Suzuki,silver,petrol,Johor
2001-01-01,motosikal,Suzuki,blue,petrol,Johor
2001-01-01,motosikal,Suzuki,silver,petrol,Johor
2001-01-01,motosikal,Suzuki,green,petrol,Johor
2001-01-01,motosikal,Suzuki,purple,petrol,Kelantan
2001-01-01,motosikal,Suzuki,brown,petrol,Johor
2001-01-01,motosikal,Suzuki,blue,petrol,Johor
2001-01-01,motosikal,Suzuki,red,petrol,Kedah
2001-01-01,motosikal,Suzuki,red,petrol,Kedah
2001-01-01,motosikal,Suzuki,blue,petrol,Kedah
2001-01-01,motosikal,Suzuki,red,petrol,Kedah
2001-01-01,motosikal,Suzuki,blue,petrol,Johor
2001-01-01,motosikal,Suzuki,blue,petrol,Kedah
2001-01-01,motosikal,Suzuki,blue,petrol,Johor
2001-01-01,motosikal,Suzuki,blue,petrol,Johor
2001-01-01,motosikal,Suzuki,blue,petrol,Johor
2001-01-01,motosikal,Suzuki,blue,petrol,Johor
2001-01-01,motosikal,Suzuki,purple,petrol,Johor
2001-01-01,motosikal,Suzuki,silver,petrol,Johor
2001-01-01,motosikal,Suzuki,blue,petrol,Johor
2001-01-01,motosikal,Yamaha,blue,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Kedah
2001-01-01,motosikal,Yamaha,black,petrol,Johor
2001-01-01,motosikal,Yamaha,brown,petrol,Johor
2001-01-01,motosikal,Yamaha,purple,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Johor
2001-01-01,motosikal,Yamaha,purple,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Johor
2001-01-01,motosikal,Yamaha,blue,petrol,Terengganu
2001-01-01,motosikal,Yamaha,green,petrol,Johor
2001-01-01,motosikal,Yamaha,green,petrol,Kedah
2001-01-01,motosikal,Yamaha,green,petrol,Johor
2001-01-01,motosikal,Yamaha,green,petrol,Johor
2001-01-01,motosikal,Yamaha,blue,petrol,Terengganu
2001-01-01,motosikal,Yamaha,green,petrol,Johor
2001-01-01,motosikal,Yamaha,blue,petrol,Terengganu
2001-01-01,motosikal,Yamaha,red,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Johor
2001-01-01,motosikal,Yamaha,blue,petrol,Johor
2001-01-01,motosikal,Yamaha,grey,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Kelantan
2001-01-01,motosikal,Yamaha,grey,petrol,Johor
2001-01-01,motosikal,Yamaha,grey,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Kelantan
2001-01-01,motosikal,Yamaha,grey,petrol,Johor
2001-01-01,motosikal,Yamaha,blue,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Johor
2001-01-01,motosikal,Yamaha,blue,petrol,Kedah
2001-01-01,motosikal,Yamaha,red,petrol,Terengganu
2001-01-01,motosikal,Yamaha,blue,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Kelantan
2001-01-01,motosikal,Yamaha,red,petrol,Johor
2001-01-01,motosikal,Yamaha,red,petrol,Kedah
