date_reg,type,maker,colour,fuel,state
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Perlis
2003-01-01,motosikal,Modenas,blue,petrol,Terengganu
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,maroon,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Perlis
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,maroon,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Perlis
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Terengganu
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Perlis
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Terengganu
2003-01-01,motosikal,Modenas,maroon,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,black,petrol,Johor
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,black,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,green,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Terengganu
2003-01-01,motosikal,Modenas,purple,petrol,Terengganu
2003-01-01,motosikal,Modenas,purple,petrol,Kelantan
2003-01-01,motosikal,Modenas,blue,petrol,Terengganu
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Terengganu
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,purple,petrol,Johor
2003-01-01,motosikal,Modenas,purple,petrol,Kedah
2003-01-01,motosikal,Modenas,red,petrol,Kedah
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,grey,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,silver,petrol,Johor
2003-01-01,motosikal,Modenas,blue,petrol,Johor
2003-01-01,motosikal,Modenas,grey,petrol,Kedah
2003-01-01,motosikal,Suzuki,blue,petrol,Terengganu
2003-01-01,motosikal,Suzuki,silver,petrol,Johor
2003-01-01,motosikal,Suzuki,silver,petrol,Johor
2003-01-01,motosikal,Suzuki,blue,petrol,Perlis
2003-01-01,motosikal,Suzuki,blue,petrol,Kedah
2003-01-01,motosikal,Suzuki,green,petrol,Johor
2003-01-01,motosikal,Suzuki,blue,petrol,Johor
2003-01-01,motosikal,Suzuki,red,petrol,Perlis
2003-01-01,motosikal,Suzuki,blue,petrol,Perlis
2003-01-01,motosikal,Suzuki,red,petrol,Perlis
2003-01-01,motosikal,Suzuki,red,petrol,Johor
2003-01-01,motosikal,Suzuki,red,petrol,Johor
2003-01-01,motosikal,Suzuki,yellow,petrol,Johor
2003-01-01,motosikal,Suzuki,yellow,petrol,Johor
2003-01-01,motosikal,Suzuki,yellow,petrol,Johor
2003-01-01,motosikal,Suzuki,blue,petrol,Johor
2003-01-01,motosikal,Suzuki,yellow,petrol,Johor
2003-01-01,motosikal,Suzuki,blue,petrol,Perlis
2003-01-01,motosikal,Suzuki,yellow,petrol,Kedah
2003-01-01,motosikal,Yamaha,red,petrol,Johor
2003-01-01,motosikal,Yamaha,gold,petrol,Johor
2003-01-01,motosikal,Yamaha,gold,petrol,Johor
2003-01-01,motosikal,Yamaha,silver,petrol,Johor
2003-01-01,motosikal,Yamaha,silver,petrol,Terengganu
2003-01-01,motosikal,Yamaha,gold,petrol,Johor
2003-01-01,motosikal,Yamaha,red,petrol,Johor
2003-01-01,motosikal,Yamaha,yellow,petrol,Johor
2003-01-01,motosikal,Yamaha,yellow,petrol,Johor
2003-01-01,motosikal,Yamaha,silver,petrol,Johor
2003-01-01,motosikal,Yamaha,red,petrol,Johor
2003-01-01,motosikal,Yamaha,silver,petrol,Johor
2003-01-01,motosikal,Yamaha,red,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,red,petrol,Terengganu
2003-01-01,motosikal,Yamaha,silver,petrol,Johor
2003-01-01,motosikal,Yamaha,silver,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Terengganu
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,red,petrol,Johor
2003-01-01,motosikal,Yamaha,red,petrol,Kelantan
2003-01-01,motosikal,Yamaha,red,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,red,petrol,Kelantan
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,red,petrol,Perlis
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Terengganu
2003-01-01,motosikal,Yamaha,blue,petrol,Terengganu
2003-01-01,motosikal,Yamaha,blue,petrol,Kedah
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Terengganu
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-01,motosikal,Yamaha,blue,petrol,Johor
2003-01-02,motosikal,Allied Pacific Motor,black,petrol,Pulau Pinang
2003-01-02,motosikal,Allied Pacific Motor,silver,petrol,Kelantan
2003-01-02,motosikal,BMW,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,red,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,blue,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Pahang
2003-01-02,motosikal,Honda,black,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Selangor
