date,category,variable,value
1986-01-01,budget,spending_de_gross,7559
1987-01-01,budget,spending_de_gross,4741
1988-01-01,budget,spending_de_gross,5231
1989-01-01,budget,spending_de_gross,7696
1990-01-01,budget,spending_de_gross,10689
1991-01-01,budget,spending_de_gross,9565
1992-01-01,budget,spending_de_gross,9688
1993-01-01,budget,spending_de_gross,10124
1994-01-01,budget,spending_de_gross,11277
1995-01-01,budget,spending_de_gross,14051
1996-01-01,budget,spending_de_gross,14628
1997-01-01,budget,spending_de_gross,15750
1998-01-01,budget,spending_de_gross,18103
1999-01-01,budget,spending_de_gross,22614
2000-01-01,budget,spending_de_gross,27941
2001-01-01,budget,spending_de_gross,35235
2002-01-01,budget,spending_de_gross,35977
2003-01-01,budget,spending_de_gross,39353
2004-01-01,budget,spending_de_gross,28864
2005-01-01,budget,spending_de_gross,30534
2006-01-01,budget,spending_de_gross,35807
2007-01-01,budget,spending_de_gross,40564
2008-01-01,budget,spending_de_gross,42847
2009-01-01,budget,spending_de_gross,49515
2010-01-01,budget,spending_de_gross,52792
2011-01-01,budget,spending_de_gross,46416
2012-01-01,budget,spending_de_gross,46932
2013-01-01,budget,spending_de_gross,42210
2014-01-01,budget,spending_de_gross,39503
2015-01-01,budget,spending_de_gross,40768
2016-01-01,budget,spending_de_gross,41995
2017-01-01,budget,spending_de_gross,44884
2018-01-01,budget,spending_de_gross,56095
2019-01-01,budget,spending_de_gross,54173
2020-01-01,budget,spending_de_gross,51360
2021-01-01,budget,spending_de_gross,64257
2022-01-01,budget,spending_de_gross,71574
2023-01-01,budget,spending_de_gross,96091
1970-01-01,budget,spending_de_net,712
1971-01-01,budget,spending_de_net,1070
1972-01-01,budget,spending_de_net,1223
1973-01-01,budget,spending_de_net,1106
1974-01-01,budget,spending_de_net,1854
1975-01-01,budget,spending_de_net,2118
1976-01-01,budget,spending_de_net,2334
1977-01-01,budget,spending_de_net,3138
1978-01-01,budget,spending_de_net,3699
1979-01-01,budget,spending_de_net,4150
1980-01-01,budget,spending_de_net,7338
1981-01-01,budget,spending_de_net,11135
1982-01-01,budget,spending_de_net,11189
1983-01-01,budget,spending_de_net,9417
1984-01-01,budget,spending_de_net,8074
1985-01-01,budget,spending_de_net,6756
1986-01-01,budget,spending_de_net,6949
1987-01-01,budget,spending_de_net,4111
1988-01-01,budget,spending_de_net,4045
1989-01-01,budget,spending_de_net,5701
1990-01-01,budget,spending_de_net,7932
1991-01-01,budget,spending_de_net,8397
1992-01-01,budget,spending_de_net,8418
1993-01-01,budget,spending_de_net,9120
1994-01-01,budget,spending_de_net,9974
1995-01-01,budget,spending_de_net,12520
1996-01-01,budget,spending_de_net,12600
1997-01-01,budget,spending_de_net,14445
1998-01-01,budget,spending_de_net,17128
1999-01-01,budget,spending_de_net,21462
2000-01-01,budget,spending_de_net,25032
2001-01-01,budget,spending_de_net,34232
2002-01-01,budget,spending_de_net,35069
2003-01-01,budget,spending_de_net,38312
2004-01-01,budget,spending_de_net,27518
2005-01-01,budget,spending_de_net,27284
2006-01-01,budget,spending_de_net,34961
2007-01-01,budget,spending_de_net,37460
2008-01-01,budget,spending_de_net,41889
2009-01-01,budget,spending_de_net,48997
2010-01-01,budget,spending_de_net,51296
2011-01-01,budget,spending_de_net,45334
2012-01-01,budget,spending_de_net,44326
2013-01-01,budget,spending_de_net,40683
2014-01-01,budget,spending_de_net,38451
2015-01-01,budget,spending_de_net,39285
2016-01-01,budget,spending_de_net,40648
2017-01-01,budget,spending_de_net,43032
2018-01-01,budget,spending_de_net,55307
2019-01-01,budget,spending_de_net,52570
2020-01-01,budget,spending_de_net,50101
2021-01-01,budget,spending_de_net,63282
2022-01-01,budget,spending_de_net,70167
2023-01-01,budget,spending_de_net,95084
1970-01-01,budget,spending_covid19,0
1971-01-01,budget,spending_covid19,0
1972-01-01,budget,spending_covid19,0
1973-01-01,budget,spending_covid19,0
1974-01-01,budget,spending_covid19,0
1975-01-01,budget,spending_covid19,0
1976-01-01,budget,spending_covid19,0
1977-01-01,budget,spending_covid19,0
1978-01-01,budget,spending_covid19,0
1979-01-01,budget,spending_covid19,0
1980-01-01,budget,spending_covid19,0
1981-01-01,budget,spending_covid19,0
1982-01-01,budget,spending_covid19,0
1983-01-01,budget,spending_covid19,0
1984-01-01,budget,spending_covid19,0
1985-01-01,budget,spending_covid19,0
1986-01-01,budget,spending_covid19,0
1987-01-01,budget,spending_covid19,0
1988-01-01,budget,spending_covid19,0
1989-01-01,budget,spending_covid19,0
1990-01-01,budget,spending_covid19,0
1991-01-01,budget,spending_covid19,0
1992-01-01,budget,spending_covid19,0
1993-01-01,budget,spending_covid19,0
1994-01-01,budget,spending_covid19,0
1995-01-01,budget,spending_covid19,0
1996-01-01,budget,spending_covid19,0
1997-01-01,budget,spending_covid19,0
1998-01-01,budget,spending_covid19,0
1999-01-01,budget,spending_covid19,0
2000-01-01,budget,spending_covid19,0
2001-01-01,budget,spending_covid19,0
2002-01-01,budget,spending_covid19,0
2003-01-01,budget,spending_covid19,0
2004-01-01,budget,spending_covid19,0
2005-01-01,budget,spending_covid19,0
2006-01-01,budget,spending_covid19,0
2007-01-01,budget,spending_covid19,0
2008-01-01,budget,spending_covid19,0
2009-01-01,budget,spending_covid19,0
2010-01-01,budget,spending_covid19,0
2011-01-01,budget,spending_covid19,0
2012-01-01,budget,spending_covid19,0
2013-01-01,budget,spending_covid19,0
2014-01-01,budget,spending_covid19,0
2015-01-01,budget,spending_covid19,0
2016-01-01,budget,spending_covid19,0
2017-01-01,budget,spending_covid19,0
2018-01-01,budget,spending_covid19,0
2019-01-01,budget,spending_covid19,0
2020-01-01,budget,spending_covid19,38019
2021-01-01,budget,spending_covid19,37711
2022-01-01,budget,spending_covid19,30979
2023-01-01,budget,spending_covid19,0
1970-01-01,financing,domestic_gross,372
1971-01-01,financing,domestic_gross,816
1972-01-01,financing,domestic_gross,1096
1973-01-01,financing,domestic_gross,1120
1974-01-01,financing,domestic_gross,1062
1975-01-01,financing,domestic_gross,1386
1976-01-01,financing,domestic_gross,2147
1977-01-01,financing,domestic_gross,2141
1978-01-01,financing,domestic_gross,1669
1979-01-01,financing,domestic_gross,3150
1980-01-01,financing,domestic_gross,3266
1981-01-01,financing,domestic_gross,4965
1982-01-01,financing,domestic_gross,7071
1983-01-01,financing,domestic_gross,4797
1984-01-01,financing,domestic_gross,4081
1985-01-01,financing,domestic_gross,4980
1986-01-01,financing,domestic_gross,5832
1987-01-01,financing,domestic_gross,9672
1988-01-01,financing,domestic_gross,9302
1989-01-01,financing,domestic_gross,3913
1990-01-01,financing,domestic_gross,5436
1991-01-01,financing,domestic_gross,3800
1992-01-01,financing,domestic_gross,4300
1993-01-01,financing,domestic_gross,2800
1994-01-01,financing,domestic_gross,5500
1995-01-01,financing,domestic_gross,2750
1996-01-01,financing,domestic_gross,6000
1997-01-01,financing,domestic_gross,3000
1998-01-01,financing,domestic_gross,17990
1999-01-01,financing,domestic_gross,19281
2000-01-01,financing,domestic_gross,23182
2001-01-01,financing,domestic_gross,23500
2002-01-01,financing,domestic_gross,18000
2003-01-01,financing,domestic_gross,41850
2004-01-01,financing,domestic_gross,45850
2005-01-01,financing,domestic_gross,31500
2006-01-01,financing,domestic_gross,36100
2007-01-01,financing,domestic_gross,54081
2008-01-01,financing,domestic_gross,60000
2009-01-01,financing,domestic_gross,93500
2010-01-01,financing,domestic_gross,60499
2011-01-01,financing,domestic_gross,93312
2012-01-01,financing,domestic_gross,96244
2013-01-01,financing,domestic_gross,100457
2014-01-01,financing,domestic_gross,90740
2015-01-01,financing,domestic_gross,95253
2016-01-01,financing,domestic_gross,86000
2017-01-01,financing,domestic_gross,113916
2018-01-01,financing,domestic_gross,114800
2019-01-01,financing,domestic_gross,115700
2020-01-01,financing,domestic_gross,152582
2021-01-01,financing,domestic_gross,163860
2022-01-01,financing,domestic_gross,171500
2023-01-01,financing,domestic_gross,190910
1970-01-01,financing,domestic_net,365
1971-01-01,financing,domestic_net,728
1972-01-01,financing,domestic_net,836
1973-01-01,financing,domestic_net,877
1974-01-01,financing,domestic_net,832
1975-01-01,financing,domestic_net,1210
1976-01-01,financing,domestic_net,1636
1977-01-01,financing,domestic_net,1887
1978-01-01,financing,domestic_net,1165
1979-01-01,financing,domestic_net,2507
1980-01-01,financing,domestic_net,2311
1981-01-01,financing,domestic_net,4091
1982-01-01,financing,domestic_net,6084
1983-01-01,financing,domestic_net,4466
1984-01-01,financing,domestic_net,3153
1985-01-01,financing,domestic_net,3591
1986-01-01,financing,domestic_net,4929
1987-01-01,financing,domestic_net,8693
1988-01-01,financing,domestic_net,7857
1989-01-01,financing,domestic_net,2368
1990-01-01,financing,domestic_net,3793
1991-01-01,financing,domestic_net,3157
1992-01-01,financing,domestic_net,1479
1993-01-01,financing,domestic_net,375
1994-01-01,financing,domestic_net,1751
1995-01-01,financing,domestic_net,0
1996-01-01,financing,domestic_net,1291
1997-01-01,financing,domestic_net,-2048
1998-01-01,financing,domestic_net,11040
1999-01-01,financing,domestic_net,5423
2000-01-01,financing,domestic_net,12714
2001-01-01,financing,domestic_net,13381
2002-01-01,financing,domestic_net,6076
2003-01-01,financing,domestic_net,23250
2004-01-01,financing,domestic_net,25650
2005-01-01,financing,domestic_net,12700
2006-01-01,financing,domestic_net,17750
2007-01-01,financing,domestic_net,25800
2008-01-01,financing,domestic_net,35654
2009-01-01,financing,domestic_net,56879
2010-01-01,financing,domestic_net,36456
2011-01-01,financing,domestic_net,45069
2012-01-01,financing,domestic_net,43344
2013-01-01,financing,domestic_net,39526
2014-01-01,financing,domestic_net,37557
2015-01-01,financing,domestic_net,38931
2016-01-01,financing,domestic_net,37859
2017-01-01,financing,domestic_net,40750
2018-01-01,financing,domestic_net,51973
2019-01-01,financing,domestic_net,46688
2020-01-01,financing,domestic_net,76051
2021-01-01,financing,domestic_net,86300
2022-01-01,financing,domestic_net,96494
2023-01-01,financing,domestic_net,104080
1970-01-01,financing,foreign_gross,107
1971-01-01,financing,foreign_gross,421
1972-01-01,financing,foreign_gross,404
1973-01-01,financing,foreign_gross,171
1974-01-01,financing,foreign_gross,351
1975-01-01,financing,foreign_gross,1165
1976-01-01,financing,foreign_gross,948
1977-01-01,financing,foreign_gross,1173
1978-01-01,financing,foreign_gross,1934
1979-01-01,financing,foreign_gross,863
1980-01-01,financing,foreign_gross,493
1981-01-01,financing,foreign_gross,3618
1982-01-01,financing,foreign_gross,5380
1983-01-01,financing,foreign_gross,5067
1984-01-01,financing,foreign_gross,4155
1985-01-01,financing,foreign_gross,7343
1986-01-01,financing,foreign_gross,2893
1987-01-01,financing,foreign_gross,1086
1988-01-01,financing,foreign_gross,2301
1989-01-01,financing,foreign_gross,1789
1990-01-01,financing,foreign_gross,1778
1991-01-01,financing,foreign_gross,1420
1992-01-01,financing,foreign_gross,734
1993-01-01,financing,foreign_gross,1220
1994-01-01,financing,foreign_gross,1293
1995-01-01,financing,foreign_gross,442
1996-01-01,financing,foreign_gross,749
1997-01-01,financing,foreign_gross,462
1998-01-01,financing,foreign_gross,4001
1999-01-01,financing,foreign_gross,4763
2000-01-01,financing,foreign_gross,4767
2001-01-01,financing,foreign_gross,7030
2002-01-01,financing,foreign_gross,10465
2003-01-01,financing,foreign_gross,3190
2004-01-01,financing,foreign_gross,1136
2005-01-01,financing,foreign_gross,651
2006-01-01,financing,foreign_gross,834
2007-01-01,financing,foreign_gross,489
2008-01-01,financing,foreign_gross,472
2009-01-01,financing,foreign_gross,451
2010-01-01,financing,foreign_gross,4495
2011-01-01,financing,foreign_gross,6469
2012-01-01,financing,foreign_gross,684
2013-01-01,financing,foreign_gross,413
2014-01-01,financing,foreign_gross,277
2015-01-01,financing,foreign_gross,5560
2016-01-01,financing,foreign_gross,5982
2017-01-01,financing,foreign_gross,63
2018-01-01,financing,foreign_gross,36
2019-01-01,financing,foreign_gross,7304
2020-01-01,financing,foreign_gross,0
2021-01-01,financing,foreign_gross,5277
2022-01-01,financing,foreign_gross,0
2023-01-01,financing,foreign_gross,0
1970-01-01,financing,foreign_net,-2
1971-01-01,financing,foreign_net,372
1972-01-01,financing,foreign_net,354
1973-01-01,financing,foreign_net,69
1974-01-01,financing,foreign_net,223
1975-01-01,financing,foreign_net,912
1976-01-01,financing,foreign_net,638
1977-01-01,financing,foreign_net,269
1978-01-01,financing,foreign_net,541
1979-01-01,financing,foreign_net,679
1980-01-01,financing,foreign_net,310
1981-01-01,financing,foreign_net,3419
1982-01-01,financing,foreign_net,4893
1983-01-01,financing,foreign_net,4569
1984-01-01,financing,foreign_net,3093
1985-01-01,financing,foreign_net,956
1986-01-01,financing,foreign_net,1348
1987-01-01,financing,foreign_net,-2438
1988-01-01,financing,foreign_net,-3094
1989-01-01,financing,foreign_net,-1038
1990-01-01,financing,foreign_net,-767
1991-01-01,financing,foreign_net,118
1992-01-01,financing,foreign_net,-3170
1993-01-01,financing,foreign_net,-3134
1994-01-01,financing,foreign_net,-4757
1995-01-01,financing,foreign_net,-1635
1996-01-01,financing,foreign_net,-2177
1997-01-01,financing,foreign_net,-1681
1998-01-01,financing,foreign_net,1819
1999-01-01,financing,foreign_net,2923
2000-01-01,financing,foreign_net,864
2001-01-01,financing,foreign_net,6295
2002-01-01,financing,foreign_net,8020
2003-01-01,financing,foreign_net,-3664
2004-01-01,financing,foreign_net,121
2005-01-01,financing,foreign_net,-3503
2006-01-01,financing,foreign_net,-3054
2007-01-01,financing,foreign_net,-4314
2008-01-01,financing,foreign_net,-474
2009-01-01,financing,foreign_net,-6286
2010-01-01,financing,foreign_net,3664
2011-01-01,financing,foreign_net,550
2012-01-01,financing,foreign_net,-14
2013-01-01,financing,foreign_net,-221
2014-01-01,financing,foreign_net,-356
2015-01-01,financing,foreign_net,727
2016-01-01,financing,foreign_net,835
2017-01-01,financing,foreign_net,-342
2018-01-01,financing,foreign_net,-320
2019-01-01,financing,foreign_net,6977
2020-01-01,financing,foreign_net,-330
2021-01-01,financing,foreign_net,1734
2022-01-01,financing,foreign_net,-266
2023-01-01,financing,foreign_net,-248
1970-01-01,financing,asset_use,112
1971-01-01,financing,asset_use,-50
1972-01-01,financing,asset_use,181
1973-01-01,financing,asset_use,103
1974-01-01,financing,asset_use,326
1975-01-01,financing,asset_use,-221
1976-01-01,financing,asset_use,-569
1977-01-01,financing,asset_use,320
1978-01-01,financing,asset_use,543
1979-01-01,financing,asset_use,-1651
1980-01-01,financing,asset_use,1083
1981-01-01,financing,asset_use,1505
1982-01-01,financing,asset_use,-556
1983-01-01,financing,asset_use,-2102
1984-01-01,financing,asset_use,-1471
1985-01-01,financing,asset_use,-140
1986-01-01,financing,asset_use,1229
1987-01-01,financing,asset_use,-102
1988-01-01,financing,asset_use,-1473
1989-01-01,financing,asset_use,2080
1990-01-01,financing,asset_use,411
1991-01-01,financing,asset_use,-635
1992-01-01,financing,asset_use,2934
1993-01-01,financing,asset_use,2405
1994-01-01,financing,asset_use,-1402
1995-01-01,financing,asset_use,-226
1996-01-01,financing,asset_use,-929
1997-01-01,financing,asset_use,-2897
1998-01-01,financing,asset_use,-7857
1999-01-01,financing,asset_use,1140
2000-01-01,financing,asset_use,6136
2001-01-01,financing,asset_use,-1253
2002-01-01,financing,asset_use,6157
2003-01-01,financing,asset_use,1342
2004-01-01,financing,asset_use,-6352
2005-01-01,financing,asset_use,9527
2006-01-01,financing,asset_use,4413
2007-01-01,financing,asset_use,-827
2008-01-01,financing,asset_use,414
2009-01-01,financing,asset_use,-3171
2010-01-01,financing,asset_use,3125
2011-01-01,financing,asset_use,-3110
2012-01-01,financing,asset_use,-2899
2013-01-01,financing,asset_use,-747
2014-01-01,financing,asset_use,208
2015-01-01,financing,asset_use,-2464
2016-01-01,financing,asset_use,-294
2017-01-01,financing,asset_use,-87
2018-01-01,financing,asset_use,1732
2019-01-01,financing,asset_use,-2166
2020-01-01,financing,asset_use,11925
2021-01-01,financing,asset_use,10723
2022-01-01,financing,asset_use,3254
2023-01-01,financing,asset_use,-12441
