date,state,parlimen,poverty_absolute
2024-01-01,Johor,P.165 Tanjung Piai,1.3
2019-01-01,W.P. Labuan,P.166 Labuan,3.1
2022-01-01,W.P. Labuan,P.166 Labuan,2.5
2024-01-01,W.P. Labuan,P.166 Labuan,2.0
2019-01-01,Sabah,P.167 Kudat,47.0
2022-01-01,Sabah,P.167 Kudat,40.4
2024-01-01,Sabah,P.167 Kudat,41.9
2019-01-01,Sabah,P.168 Kota Marudu,44.2
2022-01-01,Sabah,P.168 Kota Marudu,47.5
2024-01-01,Sabah,P.168 Kota Marudu,38.1
2019-01-01,Sabah,P.169 Kota Belud,34.1
2022-01-01,Sabah,P.169 Kota Belud,27.8
2024-01-01,Sabah,P.169 Kota Belud,26.1
2019-01-01,Sabah,P.170 Tuaran,16.3
2022-01-01,Sabah,P.170 Tuaran,25.6
2024-01-01,Sabah,P.170 Tuaran,24.0
2019-01-01,Sabah,P.171 Sepanggar,9.8
2022-01-01,Sabah,P.171 Sepanggar,12.2
2024-01-01,Sabah,P.171 Sepanggar,14.3
2019-01-01,Sabah,P.172 Kota Kinabalu,1.6
2022-01-01,Sabah,P.172 Kota Kinabalu,2.8
2024-01-01,Sabah,P.172 Kota Kinabalu,2.0
2019-01-01,Sabah,P.173 Putatan,11.7
2022-01-01,Sabah,P.173 Putatan,14.6
2024-01-01,Sabah,P.173 Putatan,9.7
2019-01-01,Sabah,P.174 Penampang,4.2
2022-01-01,Sabah,P.174 Penampang,7.1
2024-01-01,Sabah,P.174 Penampang,6.7
2019-01-01,Sabah,P.175 Papar,12.1
2022-01-01,Sabah,P.175 Papar,14.6
2024-01-01,Sabah,P.175 Papar,13.4
2019-01-01,Sabah,P.176 Kimanis,18.4
2022-01-01,Sabah,P.176 Kimanis,25.7
2024-01-01,Sabah,P.176 Kimanis,27.3
2019-01-01,Sabah,P.177 Beaufort,28.0
2022-01-01,Sabah,P.177 Beaufort,20.7
2024-01-01,Sabah,P.177 Beaufort,15.4
2019-01-01,Sabah,P.178 Sipitang,10.4
2022-01-01,Sabah,P.178 Sipitang,17.3
2024-01-01,Sabah,P.178 Sipitang,19.6
2019-01-01,Sabah,P.179 Ranau,26.8
2022-01-01,Sabah,P.179 Ranau,25.4
2024-01-01,Sabah,P.179 Ranau,23.5
2019-01-01,Sabah,P.180 Keningau,14.7
2022-01-01,Sabah,P.180 Keningau,12.4
2024-01-01,Sabah,P.180 Keningau,11.9
2019-01-01,Sabah,P.181 Tenom,17.2
2022-01-01,Sabah,P.181 Tenom,14.7
2024-01-01,Sabah,P.181 Tenom,12.1
2019-01-01,Sabah,P.182 Pensiangan,31.1
2022-01-01,Sabah,P.182 Pensiangan,29.4
2024-01-01,Sabah,P.182 Pensiangan,16.8
2019-01-01,Sabah,P.183 Beluran,43.3
2022-01-01,Sabah,P.183 Beluran,33.0
2024-01-01,Sabah,P.183 Beluran,29.7
2019-01-01,Sabah,P.184 Libaran,20.2
2022-01-01,Sabah,P.184 Libaran,17.0
2024-01-01,Sabah,P.184 Libaran,14.6
2019-01-01,Sabah,P.185 Batu Sapi,13.7
2022-01-01,Sabah,P.185 Batu Sapi,16.8
2024-01-01,Sabah,P.185 Batu Sapi,9.8
2019-01-01,Sabah,P.186 Sandakan,16.8
2022-01-01,Sabah,P.186 Sandakan,20.3
2024-01-01,Sabah,P.186 Sandakan,18.1
2019-01-01,Sabah,P.187 Kinabatangan,41.7
2022-01-01,Sabah,P.187 Kinabatangan,37.0
2024-01-01,Sabah,P.187 Kinabatangan,32.0
2019-01-01,Sabah,P.188 Lahad Datu,19.9
2022-01-01,Sabah,P.188 Lahad Datu,23.8
2024-01-01,Sabah,P.188 Lahad Datu,16.1
2019-01-01,Sabah,P.189 Semporna,31.5
2022-01-01,Sabah,P.189 Semporna,28.0
2024-01-01,Sabah,P.189 Semporna,30.4
2019-01-01,Sabah,P.190 Tawau,13.5
2022-01-01,Sabah,P.190 Tawau,14.2
2024-01-01,Sabah,P.190 Tawau,13.7
2019-01-01,Sabah,P.191 Kalabakan,14.8
2022-01-01,Sabah,P.191 Kalabakan,17.3
2024-01-01,Sabah,P.191 Kalabakan,14.8
2019-01-01,Sarawak,P.192 Mas Gading,9.5
2022-01-01,Sarawak,P.192 Mas Gading,11.1
2024-01-01,Sarawak,P.192 Mas Gading,9.4
2019-01-01,Sarawak,P.193 Santubong,11.7
2022-01-01,Sarawak,P.193 Santubong,13.0
2024-01-01,Sarawak,P.193 Santubong,13.0
2019-01-01,Sarawak,P.194 Petra Jaya,6.1
2022-01-01,Sarawak,P.194 Petra Jaya,12.2
2024-01-01,Sarawak,P.194 Petra Jaya,9.9
2019-01-01,Sarawak,P.195 Bandar Kuching,4.3
2022-01-01,Sarawak,P.195 Bandar Kuching,7.7
2024-01-01,Sarawak,P.195 Bandar Kuching,6.3
2019-01-01,Sarawak,P.196 Stampin,3.0
2022-01-01,Sarawak,P.196 Stampin,5.5
2024-01-01,Sarawak,P.196 Stampin,5.2
2019-01-01,Sarawak,P.197 Kota Samarahan,7.7
2022-01-01,Sarawak,P.197 Kota Samarahan,8.8
2024-01-01,Sarawak,P.197 Kota Samarahan,6.3
2019-01-01,Sarawak,P.198 Puncak Borneo,11.0
2022-01-01,Sarawak,P.198 Puncak Borneo,12.5
2024-01-01,Sarawak,P.198 Puncak Borneo,7.5
2019-01-01,Sarawak,P.199 Serian,20.8
2022-01-01,Sarawak,P.199 Serian,20.6
2024-01-01,Sarawak,P.199 Serian,19.8
2019-01-01,Sarawak,P.200 Batang Sadong,18.4
2022-01-01,Sarawak,P.200 Batang Sadong,17.0
2024-01-01,Sarawak,P.200 Batang Sadong,11.5
2019-01-01,Sarawak,P.201 Batang Lupar,28.4
2022-01-01,Sarawak,P.201 Batang Lupar,15.9
2024-01-01,Sarawak,P.201 Batang Lupar,14.1
2019-01-01,Sarawak,P.202 Sri Aman,9.3
2022-01-01,Sarawak,P.202 Sri Aman,12.4
2024-01-01,Sarawak,P.202 Sri Aman,8.0
2019-01-01,Sarawak,P.203 Lubok Antu,8.8
2022-01-01,Sarawak,P.203 Lubok Antu,15.1
2024-01-01,Sarawak,P.203 Lubok Antu,13.0
2019-01-01,Sarawak,P.204 Betong,23.0
2022-01-01,Sarawak,P.204 Betong,8.3
2024-01-01,Sarawak,P.204 Betong,8.3
2019-01-01,Sarawak,P.205 Saratok,17.6
2022-01-01,Sarawak,P.205 Saratok,7.9
2024-01-01,Sarawak,P.205 Saratok,4.5
2019-01-01,Sarawak,P.206 Tanjong Manis,14.8
2022-01-01,Sarawak,P.206 Tanjong Manis,29.5
2024-01-01,Sarawak,P.206 Tanjong Manis,21.4
2019-01-01,Sarawak,P.207 Igan,21.8
2022-01-01,Sarawak,P.207 Igan,23.5
2024-01-01,Sarawak,P.207 Igan,16.7
2019-01-01,Sarawak,P.208 Sarikei,9.1
2022-01-01,Sarawak,P.208 Sarikei,17.2
2024-01-01,Sarawak,P.208 Sarikei,16.6
2019-01-01,Sarawak,P.209 Julau,18.1
2022-01-01,Sarawak,P.209 Julau,22.9
2024-01-01,Sarawak,P.209 Julau,21.5
2019-01-01,Sarawak,P.210 Kanowit,21.9
2022-01-01,Sarawak,P.210 Kanowit,24.9
2024-01-01,Sarawak,P.210 Kanowit,21.8
2019-01-01,Sarawak,P.211 Lanang,10.8
2022-01-01,Sarawak,P.211 Lanang,13.9
2024-01-01,Sarawak,P.211 Lanang,11.3
2019-01-01,Sarawak,P.212 Sibu,4.0
2022-01-01,Sarawak,P.212 Sibu,7.8
2024-01-01,Sarawak,P.212 Sibu,2.1
2019-01-01,Sarawak,P.213 Mukah,10.3
2022-01-01,Sarawak,P.213 Mukah,13.0
2024-01-01,Sarawak,P.213 Mukah,13.0
2019-01-01,Sarawak,P.214 Selangau,11.1
2022-01-01,Sarawak,P.214 Selangau,12.0
2024-01-01,Sarawak,P.214 Selangau,7.1
2019-01-01,Sarawak,P.215 Kapit,4.7
2022-01-01,Sarawak,P.215 Kapit,19.1
2024-01-01,Sarawak,P.215 Kapit,14.9
2019-01-01,Sarawak,P.216 Hulu Rajang,6.1
2022-01-01,Sarawak,P.216 Hulu Rajang,14.1
2024-01-01,Sarawak,P.216 Hulu Rajang,8.9
2019-01-01,Sarawak,P.217 Bintulu,2.4
2022-01-01,Sarawak,P.217 Bintulu,3.7
2024-01-01,Sarawak,P.217 Bintulu,3.4
2019-01-01,Sarawak,P.218 Sibuti,7.9
2022-01-01,Sarawak,P.218 Sibuti,6.9
2024-01-01,Sarawak,P.218 Sibuti,5.4
2019-01-01,Sarawak,P.219 Miri,4.0
2022-01-01,Sarawak,P.219 Miri,6.5
2024-01-01,Sarawak,P.219 Miri,3.5
2019-01-01,Sarawak,P.220 Baram,14.4
2022-01-01,Sarawak,P.220 Baram,10.3
2024-01-01,Sarawak,P.220 Baram,4.5
2019-01-01,Sarawak,P.221 Limbang,11.0
2022-01-01,Sarawak,P.221 Limbang,14.6
2024-01-01,Sarawak,P.221 Limbang,14.4
2019-01-01,Sarawak,P.222 Lawas,14.6
2022-01-01,Sarawak,P.222 Lawas,18.1
2024-01-01,Sarawak,P.222 Lawas,14.6
