state,district,stage,sex,date,students
Johor,All Districts,secondary,male,2018-01-01,120079
Johor,All Districts,secondary,male,2019-01-01,118598
Johor,All Districts,secondary,male,2020-01-01,119114
Johor,All Districts,secondary,male,2021-01-01,120751
Johor,All Districts,secondary,male,2022-01-01,121237
Johor,All Districts,secondary,male,2023-06-30,120900
Johor,All Districts,secondary,male,2024-06-30,122968
Johor,All Districts,secondary,male,2025-06-30,124751
Johor,All Districts,post_secondary,both,2018-01-01,13666
Johor,All Districts,post_secondary,both,2019-01-01,12989
Johor,All Districts,post_secondary,both,2020-01-01,7064
Johor,All Districts,post_secondary,both,2021-01-01,6705
Johor,All Districts,post_secondary,both,2022-01-01,6938
Johor,All Districts,post_secondary,both,2023-06-30,7404
Johor,All Districts,post_secondary,both,2024-06-30,6870
Johor,All Districts,post_secondary,both,2025-06-30,11388
Johor,All Districts,post_secondary,female,2018-01-01,8451
Johor,All Districts,post_secondary,female,2019-01-01,8028
Johor,All Districts,post_secondary,female,2020-01-01,4006
Johor,All Districts,post_secondary,female,2021-01-01,4013
Johor,All Districts,post_secondary,female,2022-01-01,3936
Johor,All Districts,post_secondary,female,2023-06-30,3914
Johor,All Districts,post_secondary,female,2024-06-30,3739
Johor,All Districts,post_secondary,female,2025-06-30,6661
Johor,All Districts,post_secondary,male,2018-01-01,5215
Johor,All Districts,post_secondary,male,2019-01-01,4961
Johor,All Districts,post_secondary,male,2020-01-01,3058
Johor,All Districts,post_secondary,male,2021-01-01,2692
Johor,All Districts,post_secondary,male,2022-01-01,3002
Johor,All Districts,post_secondary,male,2023-06-30,3490
Johor,All Districts,post_secondary,male,2024-06-30,3131
Johor,All Districts,post_secondary,male,2025-06-30,4727
Johor,Batu Pahat,primary,both,2017-01-01,37916
Johor,Batu Pahat,primary,both,2018-01-01,37173
Johor,Batu Pahat,primary,both,2019-01-01,36797
Johor,Batu Pahat,primary,both,2020-01-01,36317
Johor,Batu Pahat,primary,both,2021-01-01,36064
Johor,Batu Pahat,primary,both,2022-01-01,35543
Johor,Batu Pahat,primary,both,2023-06-30,35006
Johor,Batu Pahat,primary,both,2024-06-30,34851
Johor,Batu Pahat,primary,both,2025-06-30,34494
Johor,Batu Pahat,primary,female,2017-01-01,18324
Johor,Batu Pahat,primary,female,2018-01-01,17993
Johor,Batu Pahat,primary,female,2019-01-01,17815
Johor,Batu Pahat,primary,female,2020-01-01,17499
Johor,Batu Pahat,primary,female,2021-01-01,17343
Johor,Batu Pahat,primary,female,2022-01-01,17137
Johor,Batu Pahat,primary,female,2023-06-30,17029
Johor,Batu Pahat,primary,female,2024-06-30,16905
Johor,Batu Pahat,primary,female,2025-06-30,16697
Johor,Batu Pahat,primary,male,2017-01-01,19592
Johor,Batu Pahat,primary,male,2018-01-01,19180
Johor,Batu Pahat,primary,male,2019-01-01,18982
Johor,Batu Pahat,primary,male,2020-01-01,18818
Johor,Batu Pahat,primary,male,2021-01-01,18721
Johor,Batu Pahat,primary,male,2022-01-01,18406
Johor,Batu Pahat,primary,male,2023-06-30,17977
Johor,Batu Pahat,primary,male,2024-06-30,17946
Johor,Batu Pahat,primary,male,2025-06-30,17797
Johor,Batu Pahat,secondary,both,2017-01-01,32997
Johor,Batu Pahat,secondary,both,2018-01-01,29601
Johor,Batu Pahat,secondary,both,2019-01-01,28659
Johor,Batu Pahat,secondary,both,2020-01-01,28329
Johor,Batu Pahat,secondary,both,2021-01-01,28144
Johor,Batu Pahat,secondary,both,2022-01-01,27708
Johor,Batu Pahat,secondary,both,2023-06-30,27243
Johor,Batu Pahat,secondary,both,2024-06-30,27209
Johor,Batu Pahat,secondary,both,2025-06-30,26876
Johor,Batu Pahat,secondary,female,2017-01-01,16779
Johor,Batu Pahat,secondary,female,2018-01-01,14869
Johor,Batu Pahat,secondary,female,2019-01-01,14345
Johor,Batu Pahat,secondary,female,2020-01-01,14111
Johor,Batu Pahat,secondary,female,2021-01-01,13945
Johor,Batu Pahat,secondary,female,2022-01-01,13651
Johor,Batu Pahat,secondary,female,2023-06-30,13350
Johor,Batu Pahat,secondary,female,2024-06-30,13233
Johor,Batu Pahat,secondary,female,2025-06-30,13037
Johor,Batu Pahat,secondary,male,2017-01-01,16218
Johor,Batu Pahat,secondary,male,2018-01-01,14732
Johor,Batu Pahat,secondary,male,2019-01-01,14314
Johor,Batu Pahat,secondary,male,2020-01-01,14218
Johor,Batu Pahat,secondary,male,2021-01-01,14199
Johor,Batu Pahat,secondary,male,2022-01-01,14057
Johor,Batu Pahat,secondary,male,2023-06-30,13893
Johor,Batu Pahat,secondary,male,2024-06-30,13976
Johor,Batu Pahat,secondary,male,2025-06-30,13839
Johor,Batu Pahat,post_secondary,both,2018-01-01,2104
Johor,Batu Pahat,post_secondary,both,2019-01-01,1911
Johor,Batu Pahat,post_secondary,both,2020-01-01,1056
Johor,Batu Pahat,post_secondary,both,2021-01-01,1044
Johor,Batu Pahat,post_secondary,both,2022-01-01,1136
Johor,Batu Pahat,post_secondary,both,2023-06-30,1157
Johor,Batu Pahat,post_secondary,both,2024-06-30,1029
Johor,Batu Pahat,post_secondary,both,2025-06-30,1726
Johor,Batu Pahat,post_secondary,female,2018-01-01,1218
Johor,Batu Pahat,post_secondary,female,2019-01-01,1126
Johor,Batu Pahat,post_secondary,female,2020-01-01,532
Johor,Batu Pahat,post_secondary,female,2021-01-01,568
Johor,Batu Pahat,post_secondary,female,2022-01-01,604
Johor,Batu Pahat,post_secondary,female,2023-06-30,550
