date,state,education,addicts
2022-01-01,Terengganu,none,27
2023-01-01,Terengganu,none,21
2019-01-01,Terengganu,none,74
2020-01-01,Terengganu,none,236
2021-01-01,W.P. Kuala Lumpur,none,16
2022-01-01,W.P. Kuala Lumpur,none,22
2023-01-01,W.P. Kuala Lumpur,none,20
2019-01-01,W.P. Kuala Lumpur,none,51
2020-01-01,W.P. Kuala Lumpur,none,54
2021-01-01,W.P. Labuan,none,5
2022-01-01,W.P. Labuan,none,2
2023-01-01,W.P. Labuan,none,5
2019-01-01,W.P. Labuan,none,7
2020-01-01,W.P. Labuan,none,1
2021-01-01,W.P. Putrajaya,none,4
2022-01-01,W.P. Putrajaya,none,1
2023-01-01,W.P. Putrajaya,none,
2019-01-01,W.P. Putrajaya,none,
2020-01-01,W.P. Putrajaya,none,
2020-01-01,Malaysia,primary,1871
2021-01-01,Malaysia,primary,1765
2023-01-01,Malaysia,primary,2623
2020-01-01,Malaysia,primary,1871
2019-01-01,Malaysia,primary,2301
2018-01-01,Malaysia,primary,2118
2017-01-01,Malaysia,primary,2370
2016-01-01,Malaysia,primary,2898
2021-01-01,Johor,primary,214
2022-01-01,Johor,primary,319
2023-01-01,Johor,primary,354
2019-01-01,Johor,primary,211
2020-01-01,Johor,primary,191
2019-01-01,Kedah,primary,297
2020-01-01,Kedah,primary,203
2021-01-01,Kedah,primary,163
2022-01-01,Kedah,primary,287
2023-01-01,Kedah,primary,283
2021-01-01,Kelantan,primary,215
2022-01-01,Kelantan,primary,213
2023-01-01,Kelantan,primary,228
2019-01-01,Kelantan,primary,207
2020-01-01,Kelantan,primary,174
2021-01-01,Melaka,primary,33
2022-01-01,Melaka,primary,42
2023-01-01,Melaka,primary,47
2019-01-01,Melaka,primary,66
2020-01-01,Melaka,primary,45
2021-01-01,Negeri Sembilan,primary,69
2022-01-01,Negeri Sembilan,primary,111
2023-01-01,Negeri Sembilan,primary,99
2019-01-01,Negeri Sembilan,primary,102
2020-01-01,Negeri Sembilan,primary,74
2021-01-01,Pahang,primary,102
2022-01-01,Pahang,primary,141
2023-01-01,Pahang,primary,221
2019-01-01,Pahang,primary,147
2020-01-01,Pahang,primary,161
2021-01-01,Perak,primary,195
2022-01-01,Perak,primary,286
2023-01-01,Perak,primary,289
2019-01-01,Perak,primary,236
2020-01-01,Perak,primary,211
2021-01-01,Perlis,primary,13
2022-01-01,Perlis,primary,29
2023-01-01,Perlis,primary,30
2019-01-01,Perlis,primary,17
2020-01-01,Perlis,primary,14
2021-01-01,Pulau Pinang,primary,89
2022-01-01,Pulau Pinang,primary,154
2023-01-01,Pulau Pinang,primary,211
2019-01-01,Pulau Pinang,primary,189
2020-01-01,Pulau Pinang,primary,152
2021-01-01,Sabah,primary,63
2022-01-01,Sabah,primary,61
2023-01-01,Sabah,primary,63
2019-01-01,Sabah,primary,181
2020-01-01,Sabah,primary,83
2021-01-01,Sarawak,primary,98
2022-01-01,Sarawak,primary,169
2023-01-01,Sarawak,primary,175
2019-01-01,Sarawak,primary,85
2020-01-01,Sarawak,primary,77
2021-01-01,Selangor,primary,198
2022-01-01,Selangor,primary,230
2023-01-01,Selangor,primary,256
2019-01-01,Selangor,primary,207
2020-01-01,Selangor,primary,118
2021-01-01,Terengganu,primary,238
2022-01-01,Terengganu,primary,275
2023-01-01,Terengganu,primary,326
2019-01-01,Terengganu,primary,235
2020-01-01,Terengganu,primary,266
2021-01-01,W.P. Kuala Lumpur,primary,66
2022-01-01,W.P. Kuala Lumpur,primary,109
2023-01-01,W.P. Kuala Lumpur,primary,89
2019-01-01,W.P. Kuala Lumpur,primary,109
2020-01-01,W.P. Kuala Lumpur,primary,95
2021-01-01,W.P. Labuan,primary,6
2022-01-01,W.P. Labuan,primary,11
2023-01-01,W.P. Labuan,primary,8
2019-01-01,W.P. Labuan,primary,10
2020-01-01,W.P. Labuan,primary,7
2021-01-01,W.P. Putrajaya,primary,3
2022-01-01,W.P. Putrajaya,primary,1
2023-01-01,W.P. Putrajaya,primary,1
2019-01-01,W.P. Putrajaya,primary,2
2020-01-01,W.P. Putrajaya,primary,
2020-01-01,Malaysia,pmr,6915
2021-01-01,Malaysia,pmr,6246
2023-01-01,Malaysia,pmr,8852
2020-01-01,Malaysia,pmr,6915
2019-01-01,Malaysia,pmr,8843
2018-01-01,Malaysia,pmr,8451
2017-01-01,Malaysia,pmr,9082
2016-01-01,Malaysia,pmr,11730
2021-01-01,Johor,pmr,799
2022-01-01,Johor,pmr,936
2023-01-01,Johor,pmr,853
2019-01-01,Johor,pmr,749
2020-01-01,Johor,pmr,766
2019-01-01,Kedah,pmr,1176
2020-01-01,Kedah,pmr,814
2021-01-01,Kedah,pmr,639
2022-01-01,Kedah,pmr,1010
2023-01-01,Kedah,pmr,989
2021-01-01,Kelantan,pmr,808
2022-01-01,Kelantan,pmr,990
2023-01-01,Kelantan,pmr,992
2019-01-01,Kelantan,pmr,1100
2020-01-01,Kelantan,pmr,820
2021-01-01,Melaka,pmr,197
2022-01-01,Melaka,pmr,209
2023-01-01,Melaka,pmr,157
2019-01-01,Melaka,pmr,329
2020-01-01,Melaka,pmr,314
2021-01-01,Negeri Sembilan,pmr,252
2022-01-01,Negeri Sembilan,pmr,330
2023-01-01,Negeri Sembilan,pmr,286
2019-01-01,Negeri Sembilan,pmr,392
2020-01-01,Negeri Sembilan,pmr,260
2021-01-01,Pahang,pmr,314
2022-01-01,Pahang,pmr,494
2023-01-01,Pahang,pmr,592
2019-01-01,Pahang,pmr,583
2020-01-01,Pahang,pmr,446
2021-01-01,Perak,pmr,581
2022-01-01,Perak,pmr,886
2023-01-01,Perak,pmr,812
2019-01-01,Perak,pmr,750
2020-01-01,Perak,pmr,634
2021-01-01,Perlis,pmr,98
2022-01-01,Perlis,pmr,175
2023-01-01,Perlis,pmr,178
2019-01-01,Perlis,pmr,123
2020-01-01,Perlis,pmr,90
2021-01-01,Pulau Pinang,pmr,504
2022-01-01,Pulau Pinang,pmr,916
2023-01-01,Pulau Pinang,pmr,850
2019-01-01,Pulau Pinang,pmr,932
2020-01-01,Pulau Pinang,pmr,600
2021-01-01,Sabah,pmr,196
2022-01-01,Sabah,pmr,251
2023-01-01,Sabah,pmr,233
2019-01-01,Sabah,pmr,515
2020-01-01,Sabah,pmr,248
2021-01-01,Sarawak,pmr,213
2022-01-01,Sarawak,pmr,411
2023-01-01,Sarawak,pmr,545
2019-01-01,Sarawak,pmr,211
2020-01-01,Sarawak,pmr,165
2021-01-01,Selangor,pmr,656
2022-01-01,Selangor,pmr,928
2023-01-01,Selangor,pmr,853
2019-01-01,Selangor,pmr,785
2020-01-01,Selangor,pmr,581
2021-01-01,Terengganu,pmr,679
2022-01-01,Terengganu,pmr,812
2023-01-01,Terengganu,pmr,796
2019-01-01,Terengganu,pmr,810
2020-01-01,Terengganu,pmr,729
2021-01-01,W.P. Kuala Lumpur,pmr,288
2022-01-01,W.P. Kuala Lumpur,pmr,357
2023-01-01,W.P. Kuala Lumpur,pmr,365
2019-01-01,W.P. Kuala Lumpur,pmr,337
2020-01-01,W.P. Kuala Lumpur,pmr,401
2021-01-01,W.P. Labuan,pmr,13
2022-01-01,W.P. Labuan,pmr,29
2023-01-01,W.P. Labuan,pmr,19
2019-01-01,W.P. Labuan,pmr,47
2020-01-01,W.P. Labuan,pmr,40
2021-01-01,W.P. Putrajaya,pmr,9
2022-01-01,W.P. Putrajaya,pmr,8
2023-01-01,W.P. Putrajaya,pmr,9
2019-01-01,W.P. Putrajaya,pmr,4
2020-01-01,W.P. Putrajaya,pmr,7
2020-01-01,Malaysia,spm,8027
2021-01-01,Malaysia,spm,7468
2023-01-01,Malaysia,spm,10243
2020-01-01,Malaysia,spm,8027
2019-01-01,Malaysia,spm,9678
2018-01-01,Malaysia,spm,9114
2017-01-01,Malaysia,spm,9311
2016-01-01,Malaysia,spm,11314
2021-01-01,Johor,spm,814
2022-01-01,Johor,spm,1055
2023-01-01,Johor,spm,1112
2019-01-01,Johor,spm,824
2020-01-01,Johor,spm,887
2019-01-01,Kedah,spm,1190
2020-01-01,Kedah,spm,949
2021-01-01,Kedah,spm,851
2022-01-01,Kedah,spm,1138
2023-01-01,Kedah,spm,1163
2021-01-01,Kelantan,spm,964
2022-01-01,Kelantan,spm,929
2023-01-01,Kelantan,spm,1129
2019-01-01,Kelantan,spm,1213
2020-01-01,Kelantan,spm,957
2021-01-01,Melaka,spm,243
2022-01-01,Melaka,spm,238
2023-01-01,Melaka,spm,212
2019-01-01,Melaka,spm,336
2020-01-01,Melaka,spm,356
2021-01-01,Negeri Sembilan,spm,309
2022-01-01,Negeri Sembilan,spm,390
2023-01-01,Negeri Sembilan,spm,352
2019-01-01,Negeri Sembilan,spm,562
2020-01-01,Negeri Sembilan,spm,334
2021-01-01,Pahang,spm,448
2022-01-01,Pahang,spm,618
2023-01-01,Pahang,spm,908
2019-01-01,Pahang,spm,739
2020-01-01,Pahang,spm,616
2021-01-01,Perak,spm,696
2022-01-01,Perak,spm,915
2023-01-01,Perak,spm,906
2019-01-01,Perak,spm,799
2020-01-01,Perak,spm,750
2021-01-01,Perlis,spm,82
2022-01-01,Perlis,spm,197
2023-01-01,Perlis,spm,205
2019-01-01,Perlis,spm,145
2020-01-01,Perlis,spm,130
2021-01-01,Pulau Pinang,spm,459
2022-01-01,Pulau Pinang,spm,775
2023-01-01,Pulau Pinang,spm,819
2019-01-01,Pulau Pinang,spm,778
2020-01-01,Pulau Pinang,spm,536
2021-01-01,Sabah,spm,231
2022-01-01,Sabah,spm,289
2023-01-01,Sabah,spm,252
2019-01-01,Sabah,spm,571
2020-01-01,Sabah,spm,260
2021-01-01,Sarawak,spm,276
2022-01-01,Sarawak,spm,487
2023-01-01,Sarawak,spm,617
2019-01-01,Sarawak,spm,272
2020-01-01,Sarawak,spm,232
2021-01-01,Selangor,spm,789
2022-01-01,Selangor,spm,1041
2023-01-01,Selangor,spm,1054
2019-01-01,Selangor,spm,869
2020-01-01,Selangor,spm,693
2021-01-01,Terengganu,spm,870
2022-01-01,Terengganu,spm,932
2023-01-01,Terengganu,spm,965
2019-01-01,Terengganu,spm,863
2020-01-01,Terengganu,spm,895
2021-01-01,W.P. Kuala Lumpur,spm,384
2022-01-01,W.P. Kuala Lumpur,spm,367
2023-01-01,W.P. Kuala Lumpur,spm,443
2019-01-01,W.P. Kuala Lumpur,spm,434
2020-01-01,W.P. Kuala Lumpur,spm,381
2021-01-01,W.P. Labuan,spm,20
2022-01-01,W.P. Labuan,spm,25
2023-01-01,W.P. Labuan,spm,15
2019-01-01,W.P. Labuan,spm,62
2020-01-01,W.P. Labuan,spm,35
2021-01-01,W.P. Putrajaya,spm,32
2022-01-01,W.P. Putrajaya,spm,23
2023-01-01,W.P. Putrajaya,spm,13
2019-01-01,W.P. Putrajaya,spm,21
2020-01-01,W.P. Putrajaya,spm,16
2020-01-01,Malaysia,stpm,137
2021-01-01,Malaysia,stpm,118
2023-01-01,Malaysia,stpm,182
2020-01-01,Malaysia,stpm,137
2019-01-01,Malaysia,stpm,154
2018-01-01,Malaysia,stpm,166
2017-01-01,Malaysia,stpm,166
2016-01-01,Malaysia,stpm,218
2021-01-01,Johor,stpm,10
2022-01-01,Johor,stpm,15
2023-01-01,Johor,stpm,17
2019-01-01,Johor,stpm,15
2020-01-01,Johor,stpm,7
2019-01-01,Kedah,stpm,29
2020-01-01,Kedah,stpm,11
2021-01-01,Kedah,stpm,10
2022-01-01,Kedah,stpm,14
2023-01-01,Kedah,stpm,17
2021-01-01,Kelantan,stpm,26
2022-01-01,Kelantan,stpm,38
2023-01-01,Kelantan,stpm,28
2019-01-01,Kelantan,stpm,19
2020-01-01,Kelantan,stpm,35
2021-01-01,Melaka,stpm,3
2022-01-01,Melaka,stpm,3
2023-01-01,Melaka,stpm,1
2019-01-01,Melaka,stpm,6
2020-01-01,Melaka,stpm,3
2021-01-01,Negeri Sembilan,stpm,
2022-01-01,Negeri Sembilan,stpm,7
2023-01-01,Negeri Sembilan,stpm,3
2019-01-01,Negeri Sembilan,stpm,2
2020-01-01,Negeri Sembilan,stpm,4
2021-01-01,Pahang,stpm,9
2022-01-01,Pahang,stpm,9
2023-01-01,Pahang,stpm,13
2019-01-01,Pahang,stpm,11
2020-01-01,Pahang,stpm,8
2021-01-01,Perak,stpm,8
2022-01-01,Perak,stpm,5
2023-01-01,Perak,stpm,7
2019-01-01,Perak,stpm,13
2020-01-01,Perak,stpm,12
2021-01-01,Perlis,stpm,
2022-01-01,Perlis,stpm,1
2023-01-01,Perlis,stpm,3
2019-01-01,Perlis,stpm,1
2020-01-01,Perlis,stpm,3
2021-01-01,Pulau Pinang,stpm,5
2022-01-01,Pulau Pinang,stpm,11
2023-01-01,Pulau Pinang,stpm,17
2019-01-01,Pulau Pinang,stpm,11
2020-01-01,Pulau Pinang,stpm,6
2021-01-01,Sabah,stpm,7
2022-01-01,Sabah,stpm,5
2023-01-01,Sabah,stpm,11
2019-01-01,Sabah,stpm,21
2020-01-01,Sabah,stpm,16
2021-01-01,Sarawak,stpm,9
2022-01-01,Sarawak,stpm,11
2023-01-01,Sarawak,stpm,8
2019-01-01,Sarawak,stpm,2
2020-01-01,Sarawak,stpm,4
2021-01-01,Selangor,stpm,8
2022-01-01,Selangor,stpm,21
2023-01-01,Selangor,stpm,22
2019-01-01,Selangor,stpm,11
2020-01-01,Selangor,stpm,8
2021-01-01,Terengganu,stpm,14
2022-01-01,Terengganu,stpm,19
2023-01-01,Terengganu,stpm,16
2019-01-01,Terengganu,stpm,7
2020-01-01,Terengganu,stpm,15
2021-01-01,W.P. Kuala Lumpur,stpm,6
2022-01-01,W.P. Kuala Lumpur,stpm,7
2023-01-01,W.P. Kuala Lumpur,stpm,7
2019-01-01,W.P. Kuala Lumpur,stpm,5
2020-01-01,W.P. Kuala Lumpur,stpm,5
2021-01-01,W.P. Labuan,stpm,2
2022-01-01,W.P. Labuan,stpm,1
2023-01-01,W.P. Labuan,stpm,
2019-01-01,W.P. Labuan,stpm,1
2020-01-01,W.P. Labuan,stpm,
2021-01-01,W.P. Putrajaya,stpm,1
2022-01-01,W.P. Putrajaya,stpm,
2023-01-01,W.P. Putrajaya,stpm,
2019-01-01,W.P. Putrajaya,stpm,
2020-01-01,W.P. Putrajaya,stpm,
2020-01-01,Malaysia,diploma,568
2021-01-01,Malaysia,diploma,593
2023-01-01,Malaysia,diploma,690
2020-01-01,Malaysia,diploma,568
2019-01-01,Malaysia,diploma,620
2018-01-01,Malaysia,diploma,540
2017-01-01,Malaysia,diploma,473
2016-01-01,Malaysia,diploma,506
2021-01-01,Johor,diploma,52
2022-01-01,Johor,diploma,67
2023-01-01,Johor,diploma,48
2019-01-01,Johor,diploma,57
2020-01-01,Johor,diploma,64
2019-01-01,Kedah,diploma,47
2020-01-01,Kedah,diploma,48
2021-01-01,Kedah,diploma,37
2022-01-01,Kedah,diploma,48
2023-01-01,Kedah,diploma,64
2021-01-01,Kelantan,diploma,58
2022-01-01,Kelantan,diploma,52
2023-01-01,Kelantan,diploma,67
2019-01-01,Kelantan,diploma,52
2020-01-01,Kelantan,diploma,44
2021-01-01,Melaka,diploma,25
2022-01-01,Melaka,diploma,20
2023-01-01,Melaka,diploma,15
2019-01-01,Melaka,diploma,14
2020-01-01,Melaka,diploma,29
2021-01-01,Negeri Sembilan,diploma,30
2022-01-01,Negeri Sembilan,diploma,39
2023-01-01,Negeri Sembilan,diploma,45
2019-01-01,Negeri Sembilan,diploma,58
2020-01-01,Negeri Sembilan,diploma,38
2021-01-01,Pahang,diploma,32
2022-01-01,Pahang,diploma,44
2023-01-01,Pahang,diploma,63
2019-01-01,Pahang,diploma,47
2020-01-01,Pahang,diploma,36
2021-01-01,Perak,diploma,38
2022-01-01,Perak,diploma,45
2023-01-01,Perak,diploma,52
2019-01-01,Perak,diploma,39
2020-01-01,Perak,diploma,47
2021-01-01,Perlis,diploma,3
2022-01-01,Perlis,diploma,12
