date,time,origin,destination,ridership
2020-10-15,05:00,Batu Gajah,KL Sentral,7
2020-10-15,05:00,Batu Gajah,Tanjong Malim,1
2020-10-15,05:00,Ipoh,Batang Kali,1
2020-10-15,05:00,Ipoh,KL Sentral,20
2020-10-15,05:00,Ipoh,Kepong Sentral,2
2020-10-15,05:00,Ipoh,Kuala Lumpur,2
2020-10-15,05:00,Ipoh,Sungai Buloh,1
2020-10-15,05:00,Ipoh,Tapah Road,1
2020-10-15,05:00,Kampar,KL Sentral,3
2020-10-15,05:00,Sungkai,KL Sentral,3
2020-10-15,05:00,Sungkai,Kepong Sentral,2
2020-10-15,05:00,Tapah Road,KL Sentral,4
2020-10-15,06:00,Bukit Mertajam,Ipoh,1
2020-10-15,06:00,Bukit Mertajam,KL Sentral,4
2020-10-15,06:00,Butterworth,Ipoh,2
2020-10-15,06:00,Butterworth,KL Sentral,6
2020-10-15,06:00,Butterworth,Kampar,1
2020-10-15,06:00,Slim River,KL Sentral,1
2020-10-15,07:00,KL Sentral,Bagan Serai,2
2020-10-15,07:00,KL Sentral,Sungai Petani,2
2020-10-15,07:00,Kuala Kangsar,KL Sentral,1
2020-10-15,07:00,Rawang,KL Sentral,2
2020-10-15,07:00,Sungai Buloh,Kuala Kangsar,1
2020-10-15,07:00,Taiping,Ipoh,2
2020-10-15,07:00,Taiping,KL Sentral,2
2020-10-15,08:00,Batang Melaka,Arau,1
2020-10-15,08:00,Batang Melaka,Ipoh,1
2020-10-15,08:00,Batu Gajah,KL Sentral,8
2020-10-15,08:00,Bukit Mertajam,KL Sentral,1
2020-10-15,08:00,Butterworth,KL Sentral,1
2020-10-15,08:00,Gemas,Anak Bukit,1
2020-10-15,08:00,Gemas,Arau,1
2020-10-15,08:00,Gemas,Bandar Tasek Selatan,2
2020-10-15,08:00,Gemas,Gurun,1
2020-10-15,08:00,Gemas,Ipoh,7
2020-10-15,08:00,Gemas,KL Sentral,9
2020-10-15,08:00,Gemas,Kampar,2
2020-10-15,08:00,Gemas,Parit Buntar,1
2020-10-15,08:00,Gemas,Pulau Sebang (Tampin),1
2020-10-15,08:00,Gemas,Seremban,4
2020-10-15,08:00,Gemas,Sungai Petani,3
2020-10-15,08:00,Gemas,Taiping,13
2020-10-15,08:00,Gemas,Tanjong Malim,2
2020-10-15,08:00,Gemas,Tasek Gelugor,4
2020-10-15,08:00,Ipoh,KL Sentral,3
2020-10-15,08:00,KL Sentral,Butterworth,1
2020-10-15,08:00,KL Sentral,Kampar,1
2020-10-15,08:00,Kampar,KL Sentral,1
2020-10-15,08:00,Pulau Sebang (Tampin),Arau,1
2020-10-15,08:00,Pulau Sebang (Tampin),Bandar Tasek Selatan,1
2020-10-15,08:00,Pulau Sebang (Tampin),Batu Gajah,1
2020-10-15,08:00,Pulau Sebang (Tampin),Tasek Gelugor,1
2020-10-15,08:00,Tanjong Malim,Sungai Petani,1
2020-10-15,09:00,Arau,KL Sentral,1
2020-10-15,09:00,Kajang,Arau,1
2020-10-15,09:00,Kajang,Ipoh,1
2020-10-15,09:00,Kampar,Kepong Sentral,1
2020-10-15,09:00,Seremban,Arau,3
2020-10-15,09:00,Seremban,Ipoh,1
2020-10-15,09:00,Seremban,Sungai Petani,3
2020-10-15,09:00,Seremban,Tanjong Malim,1
2020-10-15,09:00,Sungai Buloh,Tapah Road,1
2020-10-15,10:00,Alor Setar,KL Sentral,1
2020-10-15,10:00,Bandar Tasek Selatan,Sungai Petani,1
2020-10-15,10:00,Ipoh,Bukit Mertajam,1
2020-10-15,10:00,Ipoh,Butterworth,1
2020-10-15,10:00,KL Sentral,Alor Setar,3
2020-10-15,10:00,KL Sentral,Arau,6
2020-10-15,10:00,KL Sentral,Batu Gajah,1
2020-10-15,10:00,KL Sentral,Gurun,1
2020-10-15,10:00,KL Sentral,Ipoh,9
2020-10-15,10:00,KL Sentral,Padang Besar,1
2020-10-15,10:00,KL Sentral,Parit Buntar,1
2020-10-15,10:00,KL Sentral,Sungai Petani,4
2020-10-15,10:00,KL Sentral,Taiping,1
2020-10-15,10:00,KL Sentral,Tanjong Malim,1
2020-10-15,10:00,Kampar,Bukit Mertajam,1
2020-10-15,10:00,Kuala Lumpur,Ipoh,1
2020-10-15,10:00,Kuala Lumpur,Taiping,1
2020-10-15,10:00,Sungai Petani,KL Sentral,1
2020-10-15,11:00,KL Sentral,Batu Gajah,2
2020-10-15,11:00,KL Sentral,Bukit Mertajam,2
2020-10-15,11:00,KL Sentral,Butterworth,7
2020-10-15,11:00,KL Sentral,Ipoh,1
2020-10-15,11:00,KL Sentral,Taiping,2
2020-10-15,11:00,Rawang,Alor Setar,1
2020-10-15,11:00,Rawang,Taiping,1
2020-10-15,11:00,Sungai Buloh,Taiping,1
2020-10-15,11:00,Taiping,KL Sentral,2
2020-10-15,11:00,Tanjong Malim,Alor Setar,1
2020-10-15,11:00,Tanjong Malim,Arau,6
2020-10-15,11:00,Tanjong Malim,Batu Gajah,1
2020-10-15,11:00,Tanjong Malim,Gurun,3
2020-10-15,11:00,Tanjong Malim,Ipoh,2
2020-10-15,11:00,Tanjong Malim,Parit Buntar,1
2020-10-15,11:00,Tanjong Malim,Sungai Petani,2
2020-10-15,11:00,Tanjong Malim,Taiping,1
2020-10-15,11:00,Tasek Gelugor,Padang Besar,1
2020-10-15,12:00,Batu Gajah,Alor Setar,1
2020-10-15,12:00,Batu Gajah,Parit Buntar,2
2020-10-15,12:00,Batu Gajah,Sungai Petani,2
2020-10-15,12:00,Batu Gajah,Tasek Gelugor,1
2020-10-15,12:00,Kajang,Gemas,1
2020-10-15,12:00,Kampar,Alor Setar,1
2020-10-15,12:00,Kampar,Ipoh,2
2020-10-15,12:00,Kampar,Sungai Petani,2
2020-10-15,12:00,Kampar,Tasek Gelugor,2
2020-10-15,12:00,Kepong Sentral,Batu Gajah,1
2020-10-15,12:00,Tapah Road,Arau,1
2020-10-15,12:00,Tapah Road,Ipoh,2
2020-10-15,13:00,Batu Gajah,Butterworth,1
2020-10-15,13:00,Batu Gajah,Taiping,1
2020-10-15,13:00,Ipoh,Alor Setar,5
2020-10-15,13:00,Ipoh,Anak Bukit,1
2020-10-15,13:00,Ipoh,Arau,4
2020-10-15,13:00,Ipoh,Bukit Mertajam,3
2020-10-15,13:00,Ipoh,Butterworth,1
2020-10-15,13:00,Ipoh,Gurun,3
2020-10-15,13:00,Ipoh,Kuala Kangsar,1
2020-10-15,13:00,Ipoh,Parit Buntar,4
2020-10-15,13:00,Ipoh,Sungai Petani,3
2020-10-15,13:00,Ipoh,Taiping,1
2020-10-15,13:00,KL Sentral,Batu Gajah,3
2020-10-15,13:00,KL Sentral,Bukit Mertajam,1
