date,time,origin,destination,ridership
2025-01-01,00:00,Segamat,Tanah Merah,1
2025-01-01,00:00,Segamat,Kuala Krau,1
2025-01-01,00:00,Segamat,Jerantut,1
2025-01-01,00:00,Segamat,Kuala Lipis,1
2025-01-01,01:00,Gemas,Tumpat,2
2025-01-01,01:00,Gemas,Pasir Mas,6
2025-01-01,01:00,Gemas,Gua Musang,3
2025-01-01,01:00,Gemas,Tanah Merah,10
2025-01-01,01:00,Gemas,Krambit,3
2025-01-01,01:00,Gemas,Wakaf Bharu,18
2025-01-01,01:00,Gemas,Jerantut,1
2025-01-01,01:00,Gua Musang,JB Sentral,3
2025-01-01,01:00,Gua Musang,Kluang,1
2025-01-01,01:00,Gua Musang,Gemas,3
2025-01-01,01:00,Gua Musang,Kempas Baru,18
2025-01-01,01:00,Gua Musang,Kulai,1
2025-01-01,01:00,Gua Musang,Bahau,1
2025-01-01,01:00,Gua Musang,Segamat,2
2025-01-01,01:00,Gua Musang,Mentakab,1
2025-01-01,01:00,Merapoh,Kempas Baru,2
2025-01-01,02:00,Bahau,Mentakab,1
2025-01-01,02:00,Bahau,Pasir Mas,2
2025-01-01,02:00,Bahau,Dabong,1
2025-01-01,02:00,Bahau,Tumpat,4
2025-01-01,02:00,Bahau,Wakaf Bharu,3
2025-01-01,02:00,Gemas,Kluang,2
2025-01-01,02:00,Gemas,Kulai,5
2025-01-01,02:00,Gemas,Segamat,1
2025-01-01,02:00,Gemas,JB Sentral,18
2025-01-01,02:00,Gemas,Kempas Baru,1
2025-01-01,02:00,Segamat,Bekok,1
2025-01-01,02:00,Segamat,JB Sentral,3
2025-01-01,02:00,Segamat,Kempas Baru,3
2025-01-01,03:00,Kemayan,Krai,1
2025-01-01,03:00,Kuala Lipis,Kluang,2
2025-01-01,03:00,Kuala Lipis,Bahau,1
2025-01-01,03:00,Kuala Lipis,Kempas Baru,11
2025-01-01,03:00,Kuala Lipis,Gemas,1
2025-01-01,03:00,Kuala Lipis,Segamat,4
2025-01-01,03:00,Kuala Lipis,JB Sentral,1
2025-01-01,03:00,Kuala Lipis,Kuala Krau,1
2025-01-01,03:00,Triang,Pasir Mas,2
2025-01-01,03:00,Triang,Tumpat,1
2025-01-01,03:00,Mentakab,Tanah Merah,2
2025-01-01,03:00,Mentakab,Wakaf Bharu,5
2025-01-01,03:00,Mentakab,Gua Musang,2
2025-01-01,03:00,Mentakab,Pasir Mas,5
2025-01-01,03:00,Mentakab,Krai,3
2025-01-01,03:00,Labis,JB Sentral,1
2025-01-01,03:00,Kuala Lipis,Gua Musang,7
2025-01-01,03:00,Bekok,Kempas Baru,2
2025-01-01,03:00,Paloh,JB Sentral,2
2025-01-01,04:00,Jerantut,JB Sentral,4
2025-01-01,04:00,Jerantut,Kluang,2
2025-01-01,04:00,Jerantut,Kempas Baru,7
2025-01-01,04:00,Jerantut,Kulai,3
2025-01-01,04:00,Kuala Krau,Dabong,18
2025-01-01,04:00,Mentakab,Kluang,1
2025-01-01,04:00,Mentakab,JB Sentral,5
2025-01-01,04:00,Mentakab,Kempas Baru,1
2025-01-01,04:00,Chegar Perah,Gua Musang,1
2025-01-01,04:00,Tumpat,Krai,1
2025-01-01,04:00,Tumpat,Dabong,3
2025-01-01,04:00,Wakaf Bharu,Kuala Lipis,3
2025-01-01,04:00,Wakaf Bharu,Tanah Merah,2
2025-01-01,04:00,Wakaf Bharu,Dabong,5
2025-01-01,04:00,Wakaf Bharu,Manek Urai,1
2025-01-01,04:00,Wakaf Bharu,Kemubu,1
2025-01-01,04:00,Kluang,JB Sentral,13
2025-01-01,04:00,Kluang,Kulai,2
2025-01-01,04:00,Pasir Mas,Merapoh,1
2025-01-01,04:00,Pasir Mas,Krai,1
2025-01-01,04:00,Pasir Mas,Jerek Baru,2
2025-01-01,04:00,Pasir Mas,Dabong,2
2025-01-01,04:00,Pasir Mas,Manek Urai,1
2025-01-01,05:00,Jerantut,Tanah Merah,9
2025-01-01,05:00,Jerantut,Tumpat,5
2025-01-01,05:00,Jerantut,Wakaf Bharu,9
2025-01-01,05:00,Jerantut,Pasir Mas,2
2025-01-01,05:00,Triang,JB Sentral,11
2025-01-01,05:00,Krambit,Pasir Mas,1
2025-01-01,05:00,Kemayan,Bahau,2
2025-01-01,05:00,Rengam,JB Sentral,1
2025-01-01,05:00,Gua Musang,Krai,1
2025-01-01,05:00,Gua Musang,Sri Mahligai,1
2025-01-01,05:00,Gua Musang,Tanah Merah,1
2025-01-01,05:00,Gua Musang,Pasir Mas,8
