series,date,domain,registrations
cumulative,2024-04-01,overall,312440
cumulative,2024-05-01,overall,310604
cumulative,2024-06-01,overall,311312
cumulative,2024-07-01,overall,311603
cumulative,2024-08-01,overall,313588
cumulative,2024-09-01,overall,317271
cumulative,2024-10-01,overall,320164
cumulative,2024-11-01,overall,330203
cumulative,2024-12-01,overall,342326
cumulative,2025-01-01,overall,352717
new_net,2007-09-01,overall,1066
new_net,2007-10-01,overall,1828
new_net,2007-11-01,overall,1020
new_net,2007-12-01,overall,955
new_net,2008-01-01,overall,3070
new_net,2008-02-01,overall,1376
new_net,2008-03-01,overall,3317
new_net,2008-04-01,overall,4223
new_net,2008-05-01,overall,2004
new_net,2008-06-01,overall,1371
new_net,2008-07-01,overall,1050
new_net,2008-08-01,overall,1136
new_net,2008-09-01,overall,1210
new_net,2008-10-01,overall,785
new_net,2008-11-01,overall,881
new_net,2008-12-01,overall,1287
new_net,2009-01-01,overall,-201
new_net,2009-02-01,overall,-450
new_net,2009-03-01,overall,814
new_net,2009-04-01,overall,1520
new_net,2009-05-01,overall,77
new_net,2009-06-01,overall,411
new_net,2009-07-01,overall,1392
new_net,2009-08-01,overall,1709
new_net,2009-09-01,overall,1570
new_net,2009-10-01,overall,925
new_net,2009-11-01,overall,1245
new_net,2009-12-01,overall,1390
new_net,2010-01-01,overall,967
new_net,2010-02-01,overall,1384
new_net,2010-03-01,overall,2702
new_net,2010-04-01,overall,2331
new_net,2010-05-01,overall,1164
new_net,2010-06-01,overall,2489
new_net,2010-07-01,overall,437
new_net,2010-08-01,overall,2580
new_net,2010-09-01,overall,1429
new_net,2010-10-01,overall,1540
new_net,2010-11-01,overall,3225
new_net,2010-12-01,overall,1369
new_net,2011-01-01,overall,2475
new_net,2011-02-01,overall,1541
new_net,2011-03-01,overall,1855
new_net,2011-04-01,overall,1921
new_net,2011-05-01,overall,857
new_net,2011-06-01,overall,1319
new_net,2011-07-01,overall,1256
new_net,2011-08-01,overall,2761
new_net,2011-09-01,overall,2769
new_net,2011-10-01,overall,1093
new_net,2011-11-01,overall,2125
new_net,2011-12-01,overall,13215
new_net,2012-01-01,overall,15192
new_net,2012-02-01,overall,26705
new_net,2012-03-01,overall,2982
new_net,2012-04-01,overall,1891
new_net,2012-05-01,overall,1605
new_net,2012-06-01,overall,3481
new_net,2012-07-01,overall,1983
new_net,2012-08-01,overall,1918
new_net,2012-09-01,overall,1591
new_net,2012-10-01,overall,1972
new_net,2012-11-01,overall,1353
new_net,2012-12-01,overall,2273
new_net,2013-01-01,overall,2103
new_net,2013-02-01,overall,228
new_net,2013-03-01,overall,-735
new_net,2013-04-01,overall,-7663
new_net,2013-05-01,overall,-35938
new_net,2013-06-01,overall,1336
new_net,2013-07-01,overall,4709
new_net,2013-08-01,overall,2390
new_net,2013-09-01,overall,-223
new_net,2013-10-01,overall,2655
new_net,2013-11-01,overall,4364
new_net,2013-12-01,overall,10371
new_net,2014-01-01,overall,5858
new_net,2014-02-01,overall,3198
new_net,2014-03-01,overall,742
new_net,2014-04-01,overall,8823
new_net,2014-05-01,overall,2872
new_net,2014-06-01,overall,1235
new_net,2014-07-01,overall,3132
new_net,2014-08-01,overall,3661
new_net,2014-09-01,overall,5972
new_net,2014-10-01,overall,2002
new_net,2014-11-01,overall,1800
new_net,2014-12-01,overall,37512
new_net,2015-01-01,overall,20970
new_net,2015-02-01,overall,-636
new_net,2015-03-01,overall,1594
new_net,2015-04-01,overall,109
new_net,2015-05-01,overall,6598
new_net,2015-06-01,overall,5816
new_net,2015-07-01,overall,-104
new_net,2015-08-01,overall,-1477
new_net,2015-09-01,overall,-1750
new_net,2015-10-01,overall,1426
new_net,2015-11-01,overall,-293
new_net,2015-12-01,overall,20199
new_net,2016-01-01,overall,-2008
new_net,2016-02-01,overall,-2364
new_net,2016-03-01,overall,-482
new_net,2016-04-01,overall,1421
new_net,2016-05-01,overall,497
new_net,2016-06-01,overall,342
new_net,2016-07-01,overall,613
new_net,2016-08-01,overall,396
new_net,2016-09-01,overall,410
new_net,2016-10-01,overall,537
new_net,2016-11-01,overall,2019
new_net,2016-12-01,overall,955
new_net,2017-01-01,overall,282
new_net,2017-02-01,overall,71
new_net,2017-03-01,overall,299
new_net,2017-04-01,overall,299
new_net,2017-05-01,overall,627
new_net,2017-06-01,overall,513
new_net,2017-07-01,overall,338
new_net,2017-08-01,overall,296
new_net,2017-09-01,overall,254
new_net,2017-10-01,overall,262
new_net,2017-11-01,overall,1844
new_net,2017-12-01,overall,10187
new_net,2018-01-01,overall,245
new_net,2018-02-01,overall,166
new_net,2018-03-01,overall,318
new_net,2018-04-01,overall,285
new_net,2018-05-01,overall,222
new_net,2018-06-01,overall,547
new_net,2018-07-01,overall,-313
new_net,2018-08-01,overall,-1479
new_net,2018-09-01,overall,-1208
new_net,2018-10-01,overall,-2348
new_net,2018-11-01,overall,-2776
new_net,2018-12-01,overall,-1759
new_net,2019-01-01,overall,-2673
new_net,2019-02-01,overall,-2359
new_net,2019-03-01,overall,163
new_net,2019-04-01,overall,-319
new_net,2019-05-01,overall,592
new_net,2019-06-01,overall,380
new_net,2019-07-01,overall,151
new_net,2019-08-01,overall,-197
new_net,2019-09-01,overall,-1300
new_net,2019-10-01,overall,-2748
new_net,2019-11-01,overall,-2227
new_net,2019-12-01,overall,-2718
new_net,2020-01-01,overall,-3259
new_net,2020-02-01,overall,-3079
new_net,2020-03-01,overall,-2651
new_net,2020-04-01,overall,-1608
new_net,2020-05-01,overall,-2171
new_net,2020-06-01,overall,3226
new_net,2020-07-01,overall,3651
new_net,2020-08-01,overall,1048
new_net,2020-09-01,overall,2258
new_net,2020-10-01,overall,1649
new_net,2020-11-01,overall,425
new_net,2020-12-01,overall,513
new_net,2021-01-01,overall,783
new_net,2021-02-01,overall,552
new_net,2021-03-01,overall,211
new_net,2021-04-01,overall,353
new_net,2021-05-01,overall,-34
new_net,2021-06-01,overall,-807
new_net,2021-07-01,overall,137
new_net,2021-08-01,overall,69
new_net,2021-09-01,overall,1202
new_net,2021-10-01,overall,-4
new_net,2021-11-01,overall,-27
new_net,2021-12-01,overall,226
new_net,2022-01-01,overall,-782
new_net,2022-02-01,overall,96
new_net,2022-03-01,overall,-378
new_net,2022-04-01,overall,-414
new_net,2022-05-01,overall,214
new_net,2022-06-01,overall,2408
new_net,2022-07-01,overall,-358
new_net,2022-08-01,overall,-2491
new_net,2022-09-01,overall,-2389
new_net,2022-10-01,overall,399
new_net,2022-11-01,overall,517
new_net,2022-12-01,overall,342
new_net,2023-01-01,overall,-2114
new_net,2023-02-01,overall,-208
new_net,2023-03-01,overall,1437
new_net,2023-04-01,overall,1331
new_net,2023-05-01,overall,-205
new_net,2023-06-01,overall,-491
new_net,2023-07-01,overall,-4243
new_net,2023-08-01,overall,341
new_net,2023-09-01,overall,200
new_net,2023-10-01,overall,-484
new_net,2023-11-01,overall,111
new_net,2023-12-01,overall,-96
new_net,2024-01-01,overall,-37
new_net,2024-02-01,overall,-375
new_net,2024-03-01,overall,-471
new_net,2024-04-01,overall,-130
new_net,2024-05-01,overall,-1836
new_net,2024-06-01,overall,708
new_net,2024-07-01,overall,291
new_net,2024-08-01,overall,1985
new_net,2024-09-01,overall,3683
new_net,2024-10-01,overall,2893
new_net,2024-11-01,overall,10039
new_net,2024-12-01,overall,12123
new_net,2025-01-01,overall,10391
cumulative,2007-08-01,.my,23
cumulative,2007-09-01,.my,23
cumulative,2007-10-01,.my,23
cumulative,2007-11-01,.my,23
cumulative,2007-12-01,.my,23
cumulative,2008-01-01,.my,2699
cumulative,2008-02-01,.my,3747
cumulative,2008-03-01,.my,6427
cumulative,2008-04-01,.my,9946
cumulative,2008-05-01,.my,10990
cumulative,2008-06-01,.my,11649
cumulative,2008-07-01,.my,12243
cumulative,2008-08-01,.my,12834
cumulative,2008-09-01,.my,13220
cumulative,2008-10-01,.my,13623
cumulative,2008-11-01,.my,14027
cumulative,2008-12-01,.my,14445
cumulative,2009-01-01,.my,14807
cumulative,2009-02-01,.my,15420
cumulative,2009-03-01,.my,15479
cumulative,2009-04-01,.my,15901
cumulative,2009-05-01,.my,15599
cumulative,2009-06-01,.my,15212
cumulative,2009-07-01,.my,15659
cumulative,2009-08-01,.my,16362
cumulative,2009-09-01,.my,16957
cumulative,2009-10-01,.my,17268
cumulative,2009-11-01,.my,17749
cumulative,2009-12-01,.my,18226
cumulative,2010-01-01,.my,18579
cumulative,2010-02-01,.my,18958
cumulative,2010-03-01,.my,19761
cumulative,2010-04-01,.my,20209
cumulative,2010-05-01,.my,20413
cumulative,2010-06-01,.my,20522
cumulative,2010-07-01,.my,20672
cumulative,2010-08-01,.my,21391
cumulative,2010-09-01,.my,21751
cumulative,2010-10-01,.my,21810
cumulative,2010-11-01,.my,22494
cumulative,2010-12-01,.my,23220
cumulative,2011-01-01,.my,23595
cumulative,2011-02-01,.my,23972
cumulative,2011-03-01,.my,24335
cumulative,2011-04-01,.my,24600
cumulative,2011-05-01,.my,24680
cumulative,2011-06-01,.my,24978
cumulative,2011-07-01,.my,25186
cumulative,2011-08-01,.my,25849
cumulative,2011-09-01,.my,27083
cumulative,2011-10-01,.my,27701
cumulative,2011-11-01,.my,28510
cumulative,2011-12-01,.my,39050
cumulative,2012-01-01,.my,53238
cumulative,2012-02-01,.my,79390
cumulative,2012-03-01,.my,80649
cumulative,2012-04-01,.my,81131
cumulative,2012-05-01,.my,81474
cumulative,2012-06-01,.my,82900
cumulative,2012-07-01,.my,83406
cumulative,2012-08-01,.my,84289
cumulative,2012-09-01,.my,84757
cumulative,2012-10-01,.my,85570
cumulative,2012-11-01,.my,86118
cumulative,2012-12-01,.my,87488
cumulative,2013-01-01,.my,89873
cumulative,2013-02-01,.my,89592
cumulative,2013-03-01,.my,86430
cumulative,2013-04-01,.my,76798
cumulative,2013-05-01,.my,41756
cumulative,2013-06-01,.my,42053
cumulative,2013-07-01,.my,43368
cumulative,2013-08-01,.my,44733
cumulative,2013-09-01,.my,45506
cumulative,2013-10-01,.my,46844
cumulative,2013-11-01,.my,47980
cumulative,2013-12-01,.my,51721
cumulative,2014-01-01,.my,53230
cumulative,2014-02-01,.my,54050
cumulative,2014-03-01,.my,53561
cumulative,2014-04-01,.my,59788
cumulative,2014-05-01,.my,61494
cumulative,2014-06-01,.my,62182
cumulative,2014-07-01,.my,64330
cumulative,2014-08-01,.my,66272
cumulative,2014-09-01,.my,73022
cumulative,2014-10-01,.my,74744
cumulative,2014-11-01,.my,76270
cumulative,2014-12-01,.my,113811
cumulative,2015-01-01,.my,134531
cumulative,2015-02-01,.my,135181
cumulative,2015-03-01,.my,135718
cumulative,2015-04-01,.my,135322
cumulative,2015-05-01,.my,138404
cumulative,2015-06-01,.my,141771
cumulative,2015-07-01,.my,142376
cumulative,2015-08-01,.my,142293
cumulative,2015-09-01,.my,142490
cumulative,2015-10-01,.my,142183
cumulative,2015-11-01,.my,142818
cumulative,2015-12-01,.my,153807
cumulative,2016-01-01,.my,153046
cumulative,2016-02-01,.my,151543
cumulative,2016-03-01,.my,151453
cumulative,2016-04-01,.my,152219
cumulative,2016-05-01,.my,152491
cumulative,2016-06-01,.my,152763
cumulative,2016-07-01,.my,153084
cumulative,2016-08-01,.my,153264
cumulative,2016-09-01,.my,153460
cumulative,2016-10-01,.my,153859
cumulative,2016-11-01,.my,155650
cumulative,2016-12-01,.my,156739
cumulative,2017-01-01,.my,156611
cumulative,2017-02-01,.my,156495
cumulative,2017-03-01,.my,156450
cumulative,2017-04-01,.my,156664
cumulative,2017-05-01,.my,157116
cumulative,2017-06-01,.my,157319
cumulative,2017-07-01,.my,157541
cumulative,2017-08-01,.my,157682
cumulative,2017-09-01,.my,157590
cumulative,2017-10-01,.my,157348
cumulative,2017-11-01,.my,158049
cumulative,2017-12-01,.my,169697
cumulative,2018-01-01,.my,169878
cumulative,2018-02-01,.my,169774
cumulative,2018-03-01,.my,169685
cumulative,2018-04-01,.my,169891
cumulative,2018-05-01,.my,169821
cumulative,2018-06-01,.my,169786
cumulative,2018-07-01,.my,169570
cumulative,2018-08-01,.my,168901
cumulative,2018-09-01,.my,167884
cumulative,2018-10-01,.my,164628
cumulative,2018-11-01,.my,161002
cumulative,2018-12-01,.my,158800
cumulative,2019-01-01,.my,155580
cumulative,2019-02-01,.my,154476
cumulative,2019-03-01,.my,154139
cumulative,2019-04-01,.my,153885
cumulative,2019-05-01,.my,154016
cumulative,2019-06-01,.my,153491
cumulative,2019-07-01,.my,153566
cumulative,2019-08-01,.my,154663
cumulative,2019-09-01,.my,153593
cumulative,2019-10-01,.my,151240
cumulative,2019-11-01,.my,150550
cumulative,2019-12-01,.my,149287
cumulative,2020-01-01,.my,148544
cumulative,2020-02-01,.my,147066
cumulative,2020-03-01,.my,147535
cumulative,2020-04-01,.my,148836
cumulative,2020-05-01,.my,149214
cumulative,2020-06-01,.my,151091
cumulative,2020-07-01,.my,153105
cumulative,2020-08-01,.my,153278
cumulative,2020-09-01,.my,154173
cumulative,2020-10-01,.my,155150
cumulative,2020-11-01,.my,155558
cumulative,2020-12-01,.my,155038
cumulative,2021-01-01,.my,154928
cumulative,2021-02-01,.my,154825
cumulative,2021-03-01,.my,154812
cumulative,2021-04-01,.my,155012
cumulative,2021-05-01,.my,154958
cumulative,2021-06-01,.my,153814
cumulative,2021-07-01,.my,153840
cumulative,2021-08-01,.my,153998
cumulative,2021-09-01,.my,153931
cumulative,2021-10-01,.my,153977
cumulative,2021-11-01,.my,153927
cumulative,2021-12-01,.my,153975
cumulative,2022-01-01,.my,153696
cumulative,2022-02-01,.my,153806
cumulative,2022-03-01,.my,153084
cumulative,2022-04-01,.my,152884
cumulative,2022-05-01,.my,152988
cumulative,2022-06-01,.my,153885
cumulative,2022-07-01,.my,153317
cumulative,2022-08-01,.my,152131
cumulative,2022-09-01,.my,150890
cumulative,2022-10-01,.my,150940
cumulative,2022-11-01,.my,151133
cumulative,2022-12-01,.my,151219
cumulative,2023-01-01,.my,150394
cumulative,2023-02-01,.my,150350
cumulative,2023-03-01,.my,150812
cumulative,2023-04-01,.my,151312
cumulative,2023-05-01,.my,151216
cumulative,2023-06-01,.my,150895
cumulative,2023-07-01,.my,148224
cumulative,2023-08-01,.my,148316
cumulative,2023-09-01,.my,148495
cumulative,2023-10-01,.my,148252
cumulative,2023-11-01,.my,148265
cumulative,2023-12-01,.my,148220
cumulative,2024-01-01,.my,148189
cumulative,2024-02-01,.my,147987
cumulative,2024-03-01,.my,147699
cumulative,2024-04-01,.my,147591
cumulative,2024-05-01,.my,146386
cumulative,2024-06-01,.my,147041
cumulative,2024-07-01,.my,147283
cumulative,2024-08-01,.my,149273
cumulative,2024-09-01,.my,152685
cumulative,2024-10-01,.my,156097
cumulative,2024-11-01,.my,166065
cumulative,2024-12-01,.my,179302
cumulative,2025-01-01,.my,189813
new_net,2007-09-01,.my,0
new_net,2007-10-01,.my,0
