date,category,function,value
1998-04-01,social,total,890
1998-07-01,social,total,1118
1998-10-01,social,total,3166
1999-01-01,social,total,380
1999-04-01,social,total,1875
1999-07-01,social,total,1802
1999-10-01,social,total,2879
2000-01-01,social,total,1039
2000-04-01,social,total,1788
2000-07-01,social,total,3313
2000-10-01,social,total,4936
2001-01-01,social,total,2788
2001-04-01,social,total,2535
2001-07-01,social,total,3671
2001-10-01,social,total,6389
2002-01-01,social,total,2298
2002-04-01,social,total,4457
2002-07-01,social,total,4237
2002-10-01,social,total,7052
2003-01-01,social,total,4219
2003-04-01,social,total,4219
2003-07-01,social,total,3602
2003-10-01,social,total,5668
2004-01-01,social,total,2025
2004-04-01,social,total,2191
2004-07-01,social,total,2340
2004-10-01,social,total,3703
2005-01-01,social,total,668
2005-04-01,social,total,2008
2005-07-01,social,total,1103
2005-10-01,social,total,3670
2006-01-01,social,total,808
2006-04-01,social,total,1495
2006-07-01,social,total,2142
2006-10-01,social,total,5080
2007-01-01,social,total,740
2007-04-01,social,total,1735
2007-07-01,social,total,4416
2007-10-01,social,total,6002
2008-01-01,social,total,1578
2008-04-01,social,total,3249
2008-07-01,social,total,4008
2008-10-01,social,total,4882
2009-01-01,social,total,3093
2009-04-01,social,total,4771
2009-07-01,social,total,3629
2009-10-01,social,total,5897
2010-01-01,social,total,2889
2010-04-01,social,total,4258
2010-07-01,social,total,4922
2010-10-01,social,total,8716
2011-01-01,social,total,2493
2011-04-01,social,total,2507
2011-07-01,social,total,3751
2011-10-01,social,total,3855
2012-01-01,social,total,2204
2012-04-01,social,total,2250
2012-07-01,social,total,3114
2012-10-01,social,total,4831
2013-01-01,social,total,2352
2013-04-01,social,total,1725
2013-07-01,social,total,2642
2013-10-01,social,total,4165
2014-01-01,social,total,1801
2014-04-01,social,total,1585
2014-07-01,social,total,1874
2014-10-01,social,total,5230
2015-01-01,social,total,1825
2015-04-01,social,total,2184
2015-07-01,social,total,2384
2015-10-01,social,total,4768
2016-01-01,social,total,2368
2016-04-01,social,total,2550
2016-07-01,social,total,1639
2016-10-01,social,total,3872
2017-01-01,social,total,2326
2017-04-01,social,total,2676
2017-07-01,social,total,2708
2017-10-01,social,total,4714
2018-01-01,social,total,2035
2018-04-01,social,total,2547
2018-07-01,social,total,2109
2018-10-01,social,total,6182
2019-01-01,social,total,2964
2019-04-01,social,total,2530
2019-07-01,social,total,3313
2019-10-01,social,total,5676
2020-01-01,social,total,3281
2020-04-01,social,total,1583
2020-07-01,social,total,2954
2020-10-01,social,total,6010
2021-01-01,social,total,3638
2021-04-01,social,total,3114
2021-07-01,social,total,8413
2021-10-01,social,total,7438
2022-01-01,social,total,4018
2022-04-01,social,total,4570
2022-07-01,social,total,5147
2022-10-01,social,total,7396
2023-01-01,social,total,4043
2023-04-01,social,total,4751
2023-07-01,social,total,6704
2023-10-01,social,total,8749
2024-01-01,social,total,5932
1996-01-01,social,education,313
1996-04-01,social,education,334
1996-07-01,social,education,569
1996-10-01,social,education,875
1997-01-01,social,education,344
1997-04-01,social,education,511
1997-07-01,social,education,789
1997-10-01,social,education,877
1998-01-01,social,education,382
1998-04-01,social,education,461
1998-07-01,social,education,491
1998-10-01,social,education,1581
1999-01-01,social,education,204
1999-04-01,social,education,1212
1999-07-01,social,education,1247
1999-10-01,social,education,1202
2000-01-01,social,education,721
2000-04-01,social,education,1207
2000-07-01,social,education,2486
2000-10-01,social,education,2685
2001-01-01,social,education,2482
2001-04-01,social,education,1557
2001-07-01,social,education,2701
2001-10-01,social,education,3622
2002-01-01,social,education,1878
2002-04-01,social,education,3252
2002-07-01,social,education,2768
2002-10-01,social,education,4538
2003-01-01,social,education,2940
2003-04-01,social,education,2456
2003-07-01,social,education,1912
2003-10-01,social,education,2885
2004-01-01,social,education,930
2004-04-01,social,education,708
2004-07-01,social,education,1062
2004-10-01,social,education,1616
2005-01-01,social,education,313
2005-04-01,social,education,1219
2005-07-01,social,education,475
2005-10-01,social,education,1728
2006-01-01,social,education,456
2006-04-01,social,education,784
2006-07-01,social,education,1291
2006-10-01,social,education,2819
2007-01-01,social,education,391
2007-04-01,social,education,877
2007-07-01,social,education,1850
2007-10-01,social,education,3153
2008-01-01,social,education,1134
2008-04-01,social,education,2190
2008-07-01,social,education,2182
2008-10-01,social,education,2386
2009-01-01,social,education,2236
2009-04-01,social,education,3469
2009-07-01,social,education,1984
2009-10-01,social,education,3138
2010-01-01,social,education,1931
2010-04-01,social,education,2470
2010-07-01,social,education,3103
2010-10-01,social,education,4541
2011-01-01,social,education,1700
2011-04-01,social,education,1533
2011-07-01,social,education,2327
2011-10-01,social,education,2175
2012-01-01,social,education,1533
2012-04-01,social,education,1238
2012-07-01,social,education,1984
2012-10-01,social,education,2795
2013-01-01,social,education,1695
2013-04-01,social,education,898
2013-07-01,social,education,1664
2013-10-01,social,education,2180
2014-01-01,social,education,1213
2014-04-01,social,education,936
2014-07-01,social,education,933
2014-10-01,social,education,1846
2015-01-01,social,education,1039
2015-04-01,social,education,1069
2015-07-01,social,education,750
2015-10-01,social,education,1901
2016-01-01,social,education,840
2016-04-01,social,education,798
2016-07-01,social,education,663
2016-10-01,social,education,1427
2017-01-01,social,education,1293
2017-04-01,social,education,1457
2017-07-01,social,education,1422
2017-10-01,social,education,2135
2018-01-01,social,education,1005
2018-04-01,social,education,1141
2018-07-01,social,education,904
2018-10-01,social,education,3454
2019-01-01,social,education,2063
2019-04-01,social,education,1204
2019-07-01,social,education,1965
2019-10-01,social,education,2397
2020-01-01,social,education,2039
2020-04-01,social,education,820
2020-07-01,social,education,1780
2020-10-01,social,education,2097
2021-01-01,social,education,2274
2021-04-01,social,education,1209
2021-07-01,social,education,2287
2021-10-01,social,education,2460
2022-01-01,social,education,1962
2022-04-01,social,education,2363
2022-07-01,social,education,2268
2022-10-01,social,education,3437
2023-01-01,social,education,1978
2023-04-01,social,education,2731
2023-07-01,social,education,3416
2023-10-01,social,education,4061
2024-01-01,social,education,3247
1996-01-01,social,health,21
1996-04-01,social,health,71
1996-07-01,social,health,139
1996-10-01,social,health,228
1997-01-01,social,health,30
1997-04-01,social,health,52
1997-07-01,social,health,100
1997-10-01,social,health,267
1998-01-01,social,health,40
1998-04-01,social,health,146
1998-07-01,social,health,161
1998-10-01,social,health,369
1999-01-01,social,health,82
1999-04-01,social,health,157
1999-07-01,social,health,189
1999-10-01,social,health,408
2000-01-01,social,health,119
2000-04-01,social,health,183
2000-07-01,social,health,309
2000-10-01,social,health,660
2001-01-01,social,health,67
2001-04-01,social,health,366
2001-07-01,social,health,305
2001-10-01,social,health,832
2002-01-01,social,health,114
2002-04-01,social,health,423
2002-07-01,social,health,415
2002-10-01,social,health,551
2003-01-01,social,health,409
2003-04-01,social,health,519
2003-07-01,social,health,624
2003-10-01,social,health,1129
2004-01-01,social,health,471
2004-04-01,social,health,659
2004-07-01,social,health,486
2004-10-01,social,health,736
2005-01-01,social,health,135
2005-04-01,social,health,217
2005-07-01,social,health,204
2005-10-01,social,health,664
2006-01-01,social,health,163
2006-04-01,social,health,194
2006-07-01,social,health,236
2006-10-01,social,health,705
2007-01-01,social,health,67
2007-04-01,social,health,214
2007-07-01,social,health,300
2007-10-01,social,health,915
2008-01-01,social,health,117
2008-04-01,social,health,300
2008-07-01,social,health,556
2008-10-01,social,health,679
2009-01-01,social,health,261
2009-04-01,social,health,471
2009-07-01,social,health,695
2009-10-01,social,health,1148
2010-01-01,social,health,584
2010-04-01,social,health,700
2010-07-01,social,health,651
2010-10-01,social,health,1844
2011-01-01,social,health,371
2011-04-01,social,health,510
2011-07-01,social,health,658
2011-10-01,social,health,668
2012-01-01,social,health,258
2012-04-01,social,health,338
2012-07-01,social,health,470
2012-10-01,social,health,798
2013-01-01,social,health,208
2013-04-01,social,health,342
2013-07-01,social,health,418
2013-10-01,social,health,771
2014-01-01,social,health,164
2014-04-01,social,health,215
2014-07-01,social,health,262
2014-10-01,social,health,744
2015-01-01,social,health,113
2015-04-01,social,health,231
2015-07-01,social,health,290
2015-10-01,social,health,809
2016-01-01,social,health,181
2016-04-01,social,health,297
2016-07-01,social,health,220
2016-10-01,social,health,797
2017-01-01,social,health,236
2017-04-01,social,health,369
2017-07-01,social,health,268
2017-10-01,social,health,596
2018-01-01,social,health,195
2018-04-01,social,health,408
2018-07-01,social,health,353
2018-10-01,social,health,817
2019-01-01,social,health,213
2019-04-01,social,health,424
2019-07-01,social,health,382
2019-10-01,social,health,808
2020-01-01,social,health,277
2020-04-01,social,health,367
2020-07-01,social,health,539
2020-10-01,social,health,2800
2021-01-01,social,health,604
2021-04-01,social,health,1026
2021-07-01,social,health,4247
2021-10-01,social,health,2842
2022-01-01,social,health,720
2022-04-01,social,health,1179
2022-07-01,social,health,989
2022-10-01,social,health,1524
2023-01-01,social,health,666
2023-04-01,social,health,1034
2023-07-01,social,health,1413
2023-10-01,social,health,1683
2024-01-01,social,health,1016
1996-01-01,social,housing,29
1996-04-01,social,housing,70
1996-07-01,social,housing,114
1996-10-01,social,housing,288
1997-01-01,social,housing,35
1997-04-01,social,housing,140
1997-07-01,social,housing,142
1997-10-01,social,housing,418
1998-01-01,social,housing,148
1998-04-01,social,housing,149
1998-07-01,social,housing,284
1998-10-01,social,housing,449
1999-01-01,social,housing,60
1999-04-01,social,housing,258
1999-07-01,social,housing,191
1999-10-01,social,housing,572
2000-01-01,social,housing,110
2000-04-01,social,housing,187
2000-07-01,social,housing,226
2000-10-01,social,housing,672
2001-01-01,social,housing,142
2001-04-01,social,housing,312
2001-07-01,social,housing,290
2001-10-01,social,housing,525
2002-01-01,social,housing,124
2002-04-01,social,housing,292
2002-07-01,social,housing,476
2002-10-01,social,housing,915
2003-01-01,social,housing,249
2003-04-01,social,housing,577
2003-07-01,social,housing,464
2003-10-01,social,housing,639
2004-01-01,social,housing,279
2004-04-01,social,housing,340
2004-07-01,social,housing,363
2004-10-01,social,housing,610
2005-01-01,social,housing,170
2005-04-01,social,housing,229
2005-07-01,social,housing,214
2005-10-01,social,housing,469
2006-01-01,social,housing,141
2006-04-01,social,housing,265
2006-07-01,social,housing,285
2006-10-01,social,housing,656
2007-01-01,social,housing,140
2007-04-01,social,housing,288
2007-07-01,social,housing,1725
2007-10-01,social,housing,795
2008-01-01,social,housing,161
2008-04-01,social,housing,295
2008-07-01,social,housing,721
2008-10-01,social,housing,603
2009-01-01,social,housing,331
2009-04-01,social,housing,304
2009-07-01,social,housing,369
2009-10-01,social,housing,390
2010-01-01,social,housing,130
2010-04-01,social,housing,196
2010-07-01,social,housing,185
2010-10-01,social,housing,822
2011-01-01,social,housing,86
2011-04-01,social,housing,130
2011-07-01,social,housing,209
2011-10-01,social,housing,337
2012-01-01,social,housing,75
2012-04-01,social,housing,110
2012-07-01,social,housing,157
2012-10-01,social,housing,182
2013-01-01,social,housing,89
2013-04-01,social,housing,174
2013-07-01,social,housing,136
2013-10-01,social,housing,452
2014-01-01,social,housing,141
2014-04-01,social,housing,168
2014-07-01,social,housing,51
2014-10-01,social,housing,259
2015-01-01,social,housing,390
2015-04-01,social,housing,434
2015-07-01,social,housing,752
2015-10-01,social,housing,433
2016-01-01,social,housing,1058
2016-04-01,social,housing,877
2016-07-01,social,housing,125
2016-10-01,social,housing,178
2017-01-01,social,housing,191
2017-04-01,social,housing,211
2017-07-01,social,housing,159
2017-10-01,social,housing,223
2018-01-01,social,housing,260
2018-04-01,social,housing,182
2018-07-01,social,housing,331
2018-10-01,social,housing,512
2019-01-01,social,housing,244
2019-04-01,social,housing,515
2019-07-01,social,housing,320
2019-10-01,social,housing,1047
2020-01-01,social,housing,471
2020-04-01,social,housing,134
2020-07-01,social,housing,216
2020-10-01,social,housing,195
2021-01-01,social,housing,424
2021-04-01,social,housing,457
2021-07-01,social,housing,268
2021-10-01,social,housing,210
2022-01-01,social,housing,383
2022-04-01,social,housing,457
2022-07-01,social,housing,349
2022-10-01,social,housing,464
2023-01-01,social,housing,415
2023-04-01,social,housing,405
2023-07-01,social,housing,488
2023-10-01,social,housing,798
2024-01-01,social,housing,469
1996-01-01,social,community,36
1996-04-01,social,community,142
1996-07-01,social,community,154
1996-10-01,social,community,601
1997-01-01,social,community,50
1997-04-01,social,community,137
1997-07-01,social,community,179
1997-10-01,social,community,848
1998-01-01,social,community,39
1998-04-01,social,community,134
1998-07-01,social,community,182
1998-10-01,social,community,767
1999-01-01,social,community,34
1999-04-01,social,community,248
1999-07-01,social,community,175
1999-10-01,social,community,697
2000-01-01,social,community,89
2000-04-01,social,community,212
2000-07-01,social,community,293
2000-10-01,social,community,918
2001-01-01,social,community,97
2001-04-01,social,community,300
2001-07-01,social,community,375
2001-10-01,social,community,1411
2002-01-01,social,community,182
2002-04-01,social,community,489
2002-07-01,social,community,577
2002-10-01,social,community,1048
2003-01-01,social,community,621
2003-04-01,social,community,666
2003-07-01,social,community,602
2003-10-01,social,community,1015
2004-01-01,social,community,345
2004-04-01,social,community,485
2004-07-01,social,community,429
2004-10-01,social,community,740
2005-01-01,social,community,50
2005-04-01,social,community,343
2005-07-01,social,community,210
2005-10-01,social,community,809
2006-01-01,social,community,48
2006-04-01,social,community,251
2006-07-01,social,community,331
2006-10-01,social,community,900
2007-01-01,social,community,143
2007-04-01,social,community,356
2007-07-01,social,community,540
2007-10-01,social,community,1139
2008-01-01,social,community,165
2008-04-01,social,community,465
2008-07-01,social,community,549
2008-10-01,social,community,1214
2009-01-01,social,community,265
2009-04-01,social,community,527
2009-07-01,social,community,580
2009-10-01,social,community,1220
2010-01-01,social,community,243
2010-04-01,social,community,891
2010-07-01,social,community,982
2010-10-01,social,community,1509
2011-01-01,social,community,336
2011-04-01,social,community,334
2011-07-01,social,community,557
2011-10-01,social,community,676
2012-01-01,social,community,339
2012-04-01,social,community,564
2012-07-01,social,community,503
2012-10-01,social,community,1056
2013-01-01,social,community,360
2013-04-01,social,community,311
2013-07-01,social,community,423
2013-10-01,social,community,762
2014-01-01,social,community,283
2014-04-01,social,community,266
2014-07-01,social,community,629
2014-10-01,social,community,2382
2015-01-01,social,community,284
2015-04-01,social,community,450
2015-07-01,social,community,593
2015-10-01,social,community,1626
2016-01-01,social,community,289
2016-04-01,social,community,578
2016-07-01,social,community,630
2016-10-01,social,community,1471
2017-01-01,social,community,605
2017-04-01,social,community,639
2017-07-01,social,community,860
2017-10-01,social,community,1760
2018-01-01,social,community,575
2018-04-01,social,community,816
2018-07-01,social,community,521
2018-10-01,social,community,1399
2019-01-01,social,community,444
2019-04-01,social,community,386
2019-07-01,social,community,646
2019-10-01,social,community,1425
2020-01-01,social,community,493
2020-04-01,social,community,262
2020-07-01,social,community,418
2020-10-01,social,community,919
2021-01-01,social,community,335
2021-04-01,social,community,422
2021-07-01,social,community,1610
2021-10-01,social,community,1925
2022-01-01,social,community,953
2022-04-01,social,community,571
2022-07-01,social,community,1541
2022-10-01,social,community,1971
2023-01-01,social,community,984
2023-04-01,social,community,582
2023-07-01,social,community,1387
2023-10-01,social,community,2207
2024-01-01,social,community,1199
1996-01-01,admin,total,79
1996-04-01,admin,total,79
1996-07-01,admin,total,120
1996-10-01,admin,total,235
1997-01-01,admin,total,58
1997-04-01,admin,total,146
1997-07-01,admin,total,207
1997-10-01,admin,total,605
1998-01-01,admin,total,52
1998-04-01,admin,total,198
1998-07-01,admin,total,207
1998-10-01,admin,total,1240
1999-01-01,admin,total,56
1999-04-01,admin,total,1076
1999-07-01,admin,total,1069
1999-10-01,admin,total,1386
2000-01-01,admin,total,919
2000-04-01,admin,total,409
2000-07-01,admin,total,1187
2000-10-01,admin,total,378
2001-01-01,admin,total,122
2001-04-01,admin,total,677
2001-07-01,admin,total,729
2001-10-01,admin,total,2311
2002-01-01,admin,total,95
2002-04-01,admin,total,405
2002-07-01,admin,total,264
2002-10-01,admin,total,403
2003-01-01,admin,total,298
2003-04-01,admin,total,209
2003-07-01,admin,total,377
2003-10-01,admin,total,940
2004-01-01,admin,total,450
2004-04-01,admin,total,486
2004-07-01,admin,total,580
2004-10-01,admin,total,1104
2005-01-01,admin,total,467
2005-04-01,admin,total,366
2005-07-01,admin,total,614
2005-10-01,admin,total,1878
2006-01-01,admin,total,143
2006-04-01,admin,total,928
2006-07-01,admin,total,1316
2006-10-01,admin,total,1689
2007-01-01,admin,total,1844
2007-04-01,admin,total,-181
2007-07-01,admin,total,-758
2007-10-01,admin,total,949
2008-01-01,admin,total,208
2008-04-01,admin,total,431
2008-07-01,admin,total,456
2008-10-01,admin,total,902
2009-01-01,admin,total,220
2009-04-01,admin,total,355
2009-07-01,admin,total,489
2009-10-01,admin,total,667
2010-01-01,admin,total,201
2010-04-01,admin,total,408
2010-07-01,admin,total,446
2010-10-01,admin,total,862
2011-01-01,admin,total,111
2011-04-01,admin,total,208
2011-07-01,admin,total,283
2011-10-01,admin,total,483
2012-01-01,admin,total,93
2012-04-01,admin,total,271
2012-07-01,admin,total,208
2012-10-01,admin,total,615
2013-01-01,admin,total,106
2013-04-01,admin,total,130
2013-07-01,admin,total,590
2013-10-01,admin,total,1206
2014-01-01,admin,total,135
2014-04-01,admin,total,301
2014-07-01,admin,total,310
2014-10-01,admin,total,597
2015-01-01,admin,total,238
2015-04-01,admin,total,329
2015-07-01,admin,total,297
2015-10-01,admin,total,703
2016-01-01,admin,total,303
2016-04-01,admin,total,379
2016-07-01,admin,total,300
2016-10-01,admin,total,639
2017-01-01,admin,total,638
2017-04-01,admin,total,788
2017-07-01,admin,total,709
2017-10-01,admin,total,806
2018-01-01,admin,total,527
2018-04-01,admin,total,660
2018-07-01,admin,total,435
2018-10-01,admin,total,568
2019-01-01,admin,total,543
2019-04-01,admin,total,687
2019-07-01,admin,total,657
2019-10-01,admin,total,889
2020-01-01,admin,total,597
2020-04-01,admin,total,615
2020-07-01,admin,total,954
2020-10-01,admin,total,869
2021-01-01,admin,total,637
2021-04-01,admin,total,767
2021-07-01,admin,total,673
2021-10-01,admin,total,795
2022-01-01,admin,total,745
2022-04-01,admin,total,727
2022-07-01,admin,total,817
2022-10-01,admin,total,828
2023-01-01,admin,total,531
2023-04-01,admin,total,883
2023-07-01,admin,total,813
2023-10-01,admin,total,999
2024-01-01,admin,total,710
