date,category,function,value
2017-01-01,defence,total,819
2017-04-01,defence,total,1205
2017-07-01,defence,total,1254
2017-10-01,defence,total,2055
2018-01-01,defence,total,790
2018-04-01,defence,total,1076
2018-07-01,defence,total,1132
2018-10-01,defence,total,1931
2019-01-01,defence,total,1778
2019-04-01,defence,total,718
2019-07-01,defence,total,971
2019-10-01,defence,total,2147
2020-01-01,defence,total,1562
2020-04-01,defence,total,522
2020-07-01,defence,total,784
2020-10-01,defence,total,2917
2021-01-01,defence,total,1921
2021-04-01,defence,total,1630
2021-07-01,defence,total,1568
2021-10-01,defence,total,2379
2022-01-01,defence,total,1943
2022-04-01,defence,total,1345
2022-07-01,defence,total,2210
2022-10-01,defence,total,2711
2023-01-01,defence,total,1968
2023-04-01,defence,total,1957
2023-07-01,defence,total,2164
2023-10-01,defence,total,5293
2024-01-01,defence,total,2219
1996-01-01,economy,total,677
1996-04-01,economy,total,1028
1996-07-01,economy,total,2756
1996-10-01,economy,total,3232
1997-01-01,economy,total,948
1997-04-01,economy,total,1762
1997-07-01,economy,total,1420
1997-10-01,economy,total,3371
1998-01-01,economy,total,388
1998-04-01,economy,total,1356
1998-07-01,economy,total,2004
1998-10-01,economy,total,5495
1999-01-01,economy,total,339
1999-04-01,economy,total,2033
1999-07-01,economy,total,3119
1999-10-01,economy,total,3478
2000-01-01,economy,total,543
2000-04-01,economy,total,3069
2000-07-01,economy,total,1868
2000-10-01,economy,total,6159
2001-01-01,economy,total,2342
2001-04-01,economy,total,2064
2001-07-01,economy,total,2360
2001-10-01,economy,total,5959
2002-01-01,economy,total,1210
2002-04-01,economy,total,2595
2002-07-01,economy,total,2772
2002-10-01,economy,total,5856
2003-01-01,economy,total,2404
2003-04-01,economy,total,3385
2003-07-01,economy,total,2653
2003-10-01,economy,total,5350
2004-01-01,economy,total,1613
2004-04-01,economy,total,3069
2004-07-01,economy,total,2529
2004-10-01,economy,total,4640
2005-01-01,economy,total,1431
2005-04-01,economy,total,2526
2005-07-01,economy,total,2259
2005-10-01,economy,total,8741
2006-01-01,economy,total,829
2006-04-01,economy,total,2303
2006-07-01,economy,total,4540
2006-10-01,economy,total,9731
2007-01-01,economy,total,2167
2007-04-01,economy,total,3788
2007-07-01,economy,total,5394
2007-10-01,economy,total,8768
2008-01-01,economy,total,2758
2008-04-01,economy,total,4026
2008-07-01,economy,total,6656
2008-10-01,economy,total,7913
2009-01-01,economy,total,4371
2009-04-01,economy,total,6214
2009-07-01,economy,total,6575
2009-10-01,economy,total,9279
2010-01-01,economy,total,3428
2010-04-01,economy,total,6620
2010-07-01,economy,total,6376
2010-10-01,economy,total,9696
2011-01-01,economy,total,3099
2011-04-01,economy,total,4956
2011-07-01,economy,total,7534
2011-10-01,economy,total,12566
2012-01-01,economy,total,5585
2012-04-01,economy,total,7240
2012-07-01,economy,total,6622
2012-10-01,economy,total,9490
2013-01-01,economy,total,6479
2013-04-01,economy,total,4337
2013-07-01,economy,total,4988
2013-10-01,economy,total,8842
2014-01-01,economy,total,4870
2014-04-01,economy,total,4766
2014-07-01,economy,total,5086
2014-10-01,economy,total,8617
2015-01-01,economy,total,5547
2015-04-01,economy,total,4194
2015-07-01,economy,total,4990
2015-10-01,economy,total,8555
2016-01-01,economy,total,6187
2016-04-01,economy,total,6715
2016-07-01,economy,total,4661
2016-10-01,economy,total,7550
2017-01-01,economy,total,5666
2017-04-01,economy,total,6101
2017-07-01,economy,total,4751
2017-10-01,economy,total,7668
2018-01-01,economy,total,7560
2018-04-01,economy,total,4889
2018-07-01,economy,total,3958
2018-10-01,economy,total,19695
2019-01-01,economy,total,6239
2019-04-01,economy,total,8304
2019-07-01,economy,total,5350
2019-10-01,economy,total,11407
2020-01-01,economy,total,6103
2020-04-01,economy,total,4339
2020-07-01,economy,total,7589
2020-10-01,economy,total,10682
2021-01-01,economy,total,9373
2021-04-01,economy,total,7293
2021-07-01,economy,total,11568
2021-10-01,economy,total,3050
2022-01-01,economy,total,10074
2022-04-01,economy,total,7065
2022-07-01,economy,total,7665
2022-10-01,economy,total,14312
2023-01-01,economy,total,20100
2023-04-01,economy,total,10520
2023-07-01,economy,total,10156
2023-10-01,economy,total,16462
2024-01-01,economy,total,10014
1996-01-01,economy,agriculture,171
1996-04-01,economy,agriculture,149
1996-07-01,economy,agriculture,309
1996-10-01,economy,agriculture,553
1997-01-01,economy,agriculture,65
1997-04-01,economy,agriculture,193
1997-07-01,economy,agriculture,247
1997-10-01,economy,agriculture,600
1998-01-01,economy,agriculture,108
1998-04-01,economy,agriculture,189
1998-07-01,economy,agriculture,208
1998-10-01,economy,agriculture,455
