strata,date,division,index
urban,2010-01-01,overall,99.4
urban,2010-02-01,overall,99.4
urban,2010-03-01,overall,99.4
urban,2010-04-01,overall,99.4
urban,2010-05-01,overall,99.6
urban,2010-06-01,overall,99.7
urban,2010-07-01,overall,100.0
urban,2010-08-01,overall,100.3
urban,2010-09-01,overall,100.4
urban,2010-10-01,overall,100.5
urban,2010-11-01,overall,100.8
urban,2010-12-01,overall,101.2
urban,2011-01-01,overall,101.8
urban,2011-02-01,overall,102.4
urban,2011-03-01,overall,102.4
urban,2011-04-01,overall,102.6
urban,2011-05-01,overall,102.9
urban,2011-06-01,overall,103.2
urban,2011-07-01,overall,103.4
urban,2011-08-01,overall,103.6
urban,2011-09-01,overall,103.9
urban,2011-10-01,overall,104.0
urban,2011-11-01,overall,104.2
urban,2011-12-01,overall,104.2
urban,2012-01-01,overall,104.6
urban,2012-02-01,overall,104.5
urban,2012-03-01,overall,104.5
urban,2012-04-01,overall,104.5
urban,2012-05-01,overall,104.7
urban,2012-06-01,overall,104.9
urban,2012-07-01,overall,104.9
urban,2012-08-01,overall,105.1
urban,2012-09-01,overall,105.3
urban,2012-10-01,overall,105.5
urban,2012-11-01,overall,105.5
urban,2012-12-01,overall,105.5
urban,2013-01-01,overall,106.0
urban,2013-02-01,overall,106.2
urban,2013-03-01,overall,106.3
urban,2013-04-01,overall,106.3
urban,2013-05-01,overall,106.7
urban,2013-06-01,overall,106.8
urban,2013-07-01,overall,107.0
urban,2013-08-01,overall,107.1
urban,2013-09-01,overall,108.0
urban,2013-10-01,overall,108.3
urban,2013-11-01,overall,108.6
urban,2013-12-01,overall,108.9
urban,2014-01-01,overall,109.7
urban,2014-02-01,overall,110.0
urban,2014-03-01,overall,110.0
urban,2014-04-01,overall,110.0
urban,2014-05-01,overall,110.2
urban,2014-06-01,overall,110.4
urban,2014-07-01,overall,110.5
urban,2014-08-01,overall,110.7
urban,2014-09-01,overall,110.9
urban,2014-10-01,overall,111.6
urban,2014-11-01,overall,112.1
urban,2014-12-01,overall,112.0
urban,2015-01-01,overall,110.8
urban,2015-02-01,overall,110.1
urban,2015-03-01,overall,111.1
urban,2015-04-01,overall,112.2
urban,2015-05-01,overall,112.7
urban,2015-06-01,overall,113.4
urban,2015-07-01,overall,114.3
urban,2015-08-01,overall,114.3
urban,2015-09-01,overall,114.0
urban,2015-10-01,overall,114.5
urban,2015-11-01,overall,115.2
urban,2015-12-01,overall,115.1
urban,2016-01-01,overall,114.9
urban,2016-02-01,overall,114.8
urban,2016-03-01,overall,114.2
urban,2016-04-01,overall,114.7
urban,2016-05-01,overall,114.9
urban,2016-06-01,overall,115.1
urban,2016-07-01,overall,115.5
urban,2016-08-01,overall,116.0
urban,2016-09-01,overall,115.7
urban,2016-10-01,overall,116.0
urban,2016-11-01,overall,117.1
urban,2016-12-01,overall,117.1
urban,2017-01-01,overall,118.4
urban,2017-02-01,overall,120.0
urban,2017-03-01,overall,119.8
urban,2017-04-01,overall,119.6
urban,2017-05-01,overall,119.4
urban,2017-06-01,overall,119.1
urban,2017-07-01,overall,119.1
urban,2017-08-01,overall,120.2
urban,2017-09-01,overall,120.5
urban,2017-10-01,overall,120.5
urban,2017-11-01,overall,121.2
urban,2017-12-01,overall,121.3
urban,2018-01-01,overall,121.7
urban,2018-02-01,overall,121.8
urban,2018-03-01,overall,121.4
urban,2018-04-01,overall,121.4
urban,2018-05-01,overall,121.6
urban,2018-06-01,overall,120.0
urban,2018-07-01,overall,120.2
urban,2018-08-01,overall,120.4
urban,2018-09-01,overall,120.9
urban,2018-10-01,overall,121.2
urban,2018-11-01,overall,121.5
urban,2018-12-01,overall,121.5
urban,2019-01-01,overall,120.9
urban,2019-02-01,overall,121.3
urban,2019-03-01,overall,121.6
urban,2019-04-01,overall,121.7
urban,2019-05-01,overall,121.8
urban,2019-06-01,overall,121.9
urban,2019-07-01,overall,122.0
urban,2019-08-01,overall,122.3
urban,2019-09-01,overall,122.4
urban,2019-10-01,overall,122.5
urban,2019-11-01,overall,122.7
urban,2019-12-01,overall,122.8
urban,2020-01-01,overall,123.0
urban,2020-02-01,overall,122.9
urban,2020-03-01,overall,121.5
urban,2020-04-01,overall,118.2
urban,2020-05-01,overall,118.5
urban,2020-06-01,overall,119.7
urban,2020-07-01,overall,120.5
urban,2020-08-01,overall,120.7
urban,2020-09-01,overall,120.7
urban,2020-10-01,overall,120.8
urban,2020-11-01,overall,120.6
urban,2020-12-01,overall,121.2
urban,2021-01-01,overall,122.7
urban,2021-02-01,overall,123.0
urban,2021-03-01,overall,123.5
urban,2021-04-01,overall,123.6
urban,2021-05-01,overall,123.7
urban,2021-06-01,overall,123.7
urban,2021-07-01,overall,123.1
urban,2021-08-01,overall,123.1
urban,2021-09-01,overall,123.3
urban,2021-10-01,overall,124.2
urban,2021-11-01,overall,124.6
urban,2021-12-01,overall,125.1
urban,2022-01-01,overall,125.6
urban,2022-02-01,overall,125.9
urban,2022-03-01,overall,126.3
urban,2022-04-01,overall,126.6
urban,2022-05-01,overall,127.4
urban,2022-06-01,overall,128.2
urban,2022-07-01,overall,128.7
urban,2022-08-01,overall,129.0
urban,2022-09-01,overall,129.2
urban,2022-10-01,overall,129.4
urban,2022-11-01,overall,129.9
urban,2022-12-01,overall,130.1
urban,2023-01-01,overall,130.3
urban,2023-02-01,overall,130.7
urban,2023-03-01,overall,130.8
urban,2023-04-01,overall,130.8
urban,2023-05-01,overall,131.1
urban,2023-06-01,overall,131.3
urban,2023-07-01,overall,131.4
urban,2023-08-01,overall,131.6
urban,2023-09-01,overall,131.6
urban,2023-10-01,overall,131.8
urban,2023-11-01,overall,131.8
urban,2023-12-01,overall,132.0
urban,2024-01-01,overall,132.2
urban,2024-02-01,overall,132.9
urban,2024-03-01,overall,133.0
urban,2024-04-01,overall,133.2
urban,2024-05-01,overall,133.6
urban,2024-06-01,overall,133.8
urban,2024-07-01,overall,134.0
urban,2024-08-01,overall,134.1
urban,2024-09-01,overall,134.1
urban,2024-10-01,overall,134.2
urban,2024-11-01,overall,134.1
urban,2024-12-01,overall,134.2
urban,2025-01-01,overall,134.5
urban,2025-02-01,overall,135.0
urban,2025-03-01,overall,135.0
urban,2025-04-01,overall,135.2
urban,2025-05-01,overall,135.4
urban,2025-06-01,overall,135.5
urban,2025-07-01,overall,135.6
